date,open,high,low,close,volume
1987-11-05,0.1844,0.1897,0.1844,0.1865,303600
1987-11-06,0.1887,0.1918,0.1865,0.1876,591600
1987-11-09,0.1865,0.1865,0.1807,0.1823,193200
1987-11-10,0.1812,0.1834,0.1791,0.1812,453600
1987-11-11,0.1807,0.1844,0.1781,0.1834,444000
1987-11-12,0.1844,0.1865,0.1823,0.1834,459600
1987-11-13,0.1812,0.1834,0.1802,0.1834,547200
1987-11-16,0.1855,0.1870,0.1823,0.1823,198000
1987-11-17,0.1812,0.1818,0.1802,0.1802,517200
1987-11-18,0.1812,0.1812,0.1759,0.1802,306000
1987-11-19,0.1791,0.1791,0.1728,0.1728,344400
1987-11-20,0.1701,0.1701,0.1664,0.1664,289200
1987-11-23,0.1659,0.1675,0.1643,0.1670,669600
1987-11-24,0.1696,0.1706,0.1685,0.1696,522000
1987-11-25,0.1696,0.1760,0.1696,0.1760,193200
1987-11-27,0.1750,0.1750,0.1728,0.1728,52800
1987-11-30,0.1707,0.1707,0.1643,0.1643,284400
1987-12-01,0.1654,0.1664,0.1622,0.1654,270000
1987-12-02,0.1643,0.1686,0.1632,0.1686,904800
1987-12-03,0.1696,0.1696,0.1622,0.1622,102000
1987-12-04,0.1611,0.1611,0.1579,0.1579,724800
1987-12-07,0.1568,0.1579,0.1536,0.1547,162000
1987-12-08,0.1547,0.1590,0.1547,0.1579,544800
1987-12-09,0.1579,0.1707,0.1579,0.1675,369600
1987-12-10,0.1654,0.1675,0.1622,0.1622,336000
1987-12-11,0.1622,0.1622,0.1606,0.1606,73200
1987-12-14,0.1616,0.1622,0.1579,0.1622,724800
1987-12-15,0.1632,0.1686,0.1632,0.1686,157200
1987-12-16,0.1696,0.1824,0.1675,0.1814,667200
1987-12-17,0.1803,0.1814,0.1782,0.1782,799200
1987-12-18,0.1782,0.1782,0.1744,0.1744,141600
1987-12-21,0.1744,0.1824,0.1744,0.1824,411600
1987-12-22,0.1824,0.1824,0.1782,0.1792,102000
1987-12-23,0.1792,0.1803,0.1728,0.1728,432000
1987-12-24,0.1728,0.1760,0.1728,0.1755,146400
1987-12-28,0.1803,0.1835,0.1750,0.1760,1006800
1987-12-29,0.1739,0.1739,0.1718,0.1723,249600
1987-12-30,0.1728,0.1782,0.1718,0.1782,879600
1987-12-31,0.1782,0.1782,0.1744,0.1744,436800
1988-01-04,0.1755,0.1835,0.1755,0.1819,225600
1988-01-05,0.1835,0.1910,0.1835,0.1910,553200
1988-01-06,0.1910,0.1995,0.1910,0.1995,408000
1988-01-07,0.2000,0.2000,0.1942,0.1952,174000
1988-01-08,0.1942,0.1974,0.1846,0.1851,536400
1988-01-11,0.1840,0.1910,0.1819,0.1910,301200
1988-01-12,0.1899,0.1910,0.1867,0.1872,223200
1988-01-13,0.1878,0.1888,0.1856,0.1888,877200
1988-01-14,0.1878,0.1878,0.1856,0.1856,189600
1988-01-15,0.1867,0.1899,0.1867,0.1888,142800
1988-01-18,0.1878,0.1878,0.1878,0.1878,37200
1988-01-19,0.1867,0.1867,0.1856,0.1856,30000
1988-01-20,0.1846,0.1846,0.1771,0.1782,142800
1988-01-21,0.1792,0.1835,0.1792,0.1819,97200
1988-01-22,0.1830,0.1846,0.1819,0.1846,58800
1988-01-25,0.1856,0.1888,0.1856,0.1888,98400
1988-01-26,0.1899,0.1974,0.1888,0.1974,182400
1988-01-27,0.1963,0.1979,0.1942,0.1942,151200
1988-01-28,0.1942,0.1979,0.1942,0.1979,140400
