date,open,high,low,close,volume
2006-10-17,38.3805,38.4018,37.5114,38.1681,1741300
2006-10-18,38.7416,38.7416,37.3610,37.5309,1484400
2006-10-19,37.5309,37.7850,36.5539,36.6813,1481700
2006-10-20,36.9575,38.0194,36.6389,37.9132,1440300
2006-10-23,37.9132,38.4442,37.4884,37.7858,1152300
2006-10-24,37.8070,38.4018,37.6371,38.0194,880300
2006-10-25,38.1894,38.4230,37.4035,38.3805,1214900
2006-10-26,38.7204,42.3312,38.3805,41.0143,4729700
2006-10-27,41.6302,42.6922,41.1630,42.6285,3889400
2006-10-30,43.0533,44.8162,42.7347,43.1807,1939000
2006-10-31,43.7542,44.5613,42.0126,42.4798,1322000
2006-11-01,42.9046,43.3931,41.9488,41.9488,854100
2006-11-02,41.9488,43.3294,41.4178,41.4391,821700
2006-11-03,41.7152,42.4161,41.6302,42.1612,787000
2006-11-06,42.2674,43.0533,41.9913,42.4586,842300
2006-11-07,42.4798,42.7984,41.9701,42.3949,706900
2006-11-08,41.4391,41.6727,39.9310,40.7382,1550900
2006-11-09,40.9506,42.9046,40.5682,42.9046,992300
2006-11-10,42.4798,42.7135,41.4391,42.4586,765600
2006-11-13,42.3949,42.3949,41.8851,42.2250,332800
2006-11-14,42.3099,42.6073,41.8426,42.3524,520000
2006-11-15,42.3524,42.7347,42.1612,42.5223,591700
2006-11-16,42.3949,42.6497,42.1612,42.6497,374000
2006-11-17,42.4798,42.4798,41.7152,41.9913,485900
2006-11-20,42.1612,42.2462,41.0568,41.4178,427000
2006-11-21,41.2054,41.3116,40.3558,40.9081,1593300
2006-11-22,40.2284,41.3754,39.9310,41.0568,1469400
2006-11-24,40.3983,40.7806,40.3134,40.7169,141100
2006-11-27,40.3558,40.5682,39.1876,40.1434,826500
2006-11-28,39.5062,40.2348,38.4018,40.1434,782200
2006-11-29,40.6744,40.7594,40.1434,40.4408,458600
2006-11-30,40.3558,40.5043,39.8461,40.2921,246600
2006-12-01,40.2072,40.2496,39.7399,39.9735,371500
2006-12-04,39.5487,39.9310,39.4425,39.8461,306900
2006-12-05,39.8248,40.5045,39.6762,40.3134,370000
2006-12-06,40.3134,40.5895,39.7909,40.5682,580200
2006-12-07,40.7806,40.8868,40.1434,40.8019,364800
2006-12-08,40.4833,41.3116,40.4620,41.0992,545200
2006-12-11,41.0992,41.4178,40.1647,40.2709,499600
2006-12-12,40.1434,42.0975,39.8248,41.8851,946200
2006-12-13,40.5682,40.5682,38.4867,38.7416,2291600
2006-12-14,38.7628,38.9540,37.4884,38.1469,1634700
2006-12-15,38.7204,40.0372,38.2318,39.7186,3829300
2006-12-18,39.5062,39.6124,38.5080,38.6142,769000
2006-12-19,38.2956,38.5292,37.7221,38.0194,914900
2006-12-20,38.0194,38.5929,37.8070,38.1256,428200
2006-12-21,38.0194,38.2956,37.7008,37.9132,466400
2006-12-22,38.0194,38.1042,37.7646,37.9132,537800
2006-12-26,37.9132,38.1044,37.4884,37.5309,322300
2006-12-27,37.5309,37.6371,36.9787,37.1911,464400
2006-12-28,38.0194,38.0194,37.1911,37.7008,520500
2006-12-29,37.7646,38.0194,37.5309,37.7858,476800
2007-01-03,37.9557,38.6566,37.7858,38.6142,714500
2007-01-04,38.7628,38.9328,38.0194,38.4230,398100
2007-01-05,37.5946,38.4018,37.2123,37.2761,457000
2007-01-08,37.2761,37.5309,36.8088,37.5097,504900
2007-01-09,37.2761,37.6584,36.9787,37.5522,802100
2007-01-10,37.7433,38.1681,37.3823,37.7646,438300
2007-01-11,37.7646,39.2938,37.6796,38.1044,859400
2007-01-12,38.0619,39.0390,37.6159,37.7008,569200
2007-01-16,37.7008,37.7646,37.1911,37.5309,504300
2007-01-17,37.4035,38.4018,37.3823,38.2106,591900
2007-01-18,37.8070,37.8070,36.9362,36.9787,824500
2007-01-19,36.9150,37.5522,36.0654,37.5522,955000
2007-01-22,37.7221,38.5080,37.5522,38.3805,954300
2007-01-23,38.2743,39.0602,37.8070,38.7628,533100
2007-01-24,38.3380,39.1027,37.8708,38.8266,741300
2007-01-25,38.7628,39.0602,38.5292,38.9540,788400
2007-01-26,38.7628,39.4638,38.6142,39.1664,707300
2007-01-29,39.1452,39.4425,38.9115,39.3151,503500
2007-01-30,39.4425,40.0160,38.9752,39.6549,483100
2007-01-31,40.0372,40.1859,39.2089,39.4000,1063800
2007-02-01,39.2938,39.4850,37.9557,38.5504,1678500
2007-02-02,38.5717,39.2301,38.4867,39.1664,768200
2007-02-05,39.0814,39.5912,38.8266,39.4213,507900
2007-02-06,39.2938,39.5062,39.2089,39.2938,357800
2007-02-07,39.1452,39.4000,38.6779,38.8053,495400
2007-02-08,38.7628,39.7186,38.7628,39.6762,589100
2007-02-09,39.8248,39.9310,38.9328,39.2514,311400
2007-02-12,39.2514,39.2938,38.1256,38.2106,686500
2007-02-13,38.5504,38.8690,37.8283,38.2106,553400
2007-02-14,38.4442,38.7204,38.1469,38.5504,416000
2007-02-15,38.8690,38.9752,38.5504,38.5929,313000
2007-02-16,38.6142,38.9328,38.4867,38.9328,187300
2007-02-20,38.9328,39.5062,38.3380,39.3151,267100
2007-02-21,39.2301,39.7824,38.9328,38.9965,294700
2007-02-22,38.4655,39.6337,38.2531,38.9965,357100
2007-02-23,39.1239,39.1664,38.7628,38.7841,155100
2007-02-26,39.3576,39.9310,39.2514,39.2726,565100
2007-02-27,38.7204,39.2089,38.0832,38.3380,415100
2007-02-28,38.0407,38.6566,38.0194,38.2956,555300
