date,open,high,low,close,volume
1987-11-05,0.6536,0.6769,0.6536,0.6769,158400
1987-11-06,0.7003,0.7353,0.6947,0.7180,122400
1987-11-09,0.7297,0.7297,0.6769,0.7059,141000
1987-11-10,0.6947,0.7003,0.6708,0.6947,63600
1987-11-11,0.6947,0.7003,0.6886,0.6886,27600
1987-11-12,0.7059,0.7119,0.6947,0.6947,165000
1987-11-13,0.6886,0.7003,0.6886,0.6886,50400
1987-11-16,0.7003,0.7119,0.7003,0.7003,30000
1987-11-17,0.7003,0.7119,0.6825,0.6825,73200
1987-11-18,0.6886,0.7059,0.6769,0.7059,105600
1987-11-19,0.7003,0.7119,0.6886,0.6886,34200
1987-11-20,0.6825,0.7003,0.6769,0.6947,73800
1987-11-23,0.7059,0.7180,0.7059,0.7180,203400
1987-11-24,0.7353,0.7469,0.7353,0.7353,214800
1987-11-25,0.7236,0.7297,0.7059,0.7119,64200
1987-11-27,0.7119,0.7180,0.7003,0.7003,58200
1987-11-30,0.7003,0.7003,0.6825,0.7003,159000
1987-12-01,0.6886,0.7003,0.6886,0.6947,102600
1987-12-02,0.6947,0.7059,0.6825,0.7059,75600
1987-12-03,0.7059,0.7180,0.7059,0.7119,97800
1987-12-04,0.7003,0.7059,0.7003,0.7003,58800
1987-12-07,0.6947,0.7003,0.6825,0.6886,123600
1987-12-08,0.7003,0.7003,0.6947,0.7003,67800
1987-12-09,0.7003,0.7180,0.7003,0.7003,105000
1987-12-10,0.7003,0.7236,0.7003,0.7059,73800
1987-12-11,0.7059,0.7059,0.7003,0.7003,111000
1987-12-14,0.6947,0.7003,0.6886,0.6947,122400
1987-12-15,0.6886,0.7003,0.6886,0.7003,59400
1987-12-16,0.6947,0.7119,0.6886,0.7003,398400
1987-12-17,0.7119,0.7703,0.7119,0.7703,333000
1987-12-18,0.7586,0.8053,0.7586,0.7997,172800
1987-12-21,0.8053,0.8053,0.7647,0.7759,140400
1987-12-22,0.7703,0.7759,0.7469,0.7647,270600
1987-12-23,0.7703,0.8109,0.7703,0.7759,837600
1987-12-24,0.7880,0.7936,0.7820,0.7820,201600
1987-12-28,0.7703,0.7703,0.7180,0.7180,78000
1987-12-29,0.7059,0.7119,0.6825,0.7119,139200
1987-12-30,0.7059,0.7586,0.7059,0.7586,520200
1987-12-31,0.7586,0.7820,0.7525,0.7759,578400
1988-01-04,0.7586,0.7880,0.7586,0.7820,155400
1988-01-05,0.7936,0.8347,0.7936,0.8347,128400
1988-01-06,0.8403,0.8403,0.8170,0.8347,156600
1988-01-07,0.8286,0.8403,0.8109,0.8403,90000
1988-01-08,0.8286,0.8286,0.7525,0.7525,131400
1988-01-11,0.7409,0.7469,0.7119,0.7353,137400
1988-01-12,0.7409,0.7469,0.7119,0.7180,63600
1988-01-13,0.7236,0.7469,0.7236,0.7409,93600
1988-01-14,0.7469,0.7936,0.7469,0.7936,89400
1988-01-15,0.8053,0.8053,0.7880,0.7997,93000
1988-01-18,0.8053,0.8347,0.8053,0.8053,62400
1988-01-19,0.8053,0.8170,0.8053,0.8109,38400
1988-01-20,0.7997,0.8053,0.7880,0.7936,91200
1988-01-21,0.7936,0.7997,0.7880,0.7880,48000
1988-01-22,0.7936,0.8109,0.7936,0.8109,128400
1988-01-25,0.8170,0.8170,0.7997,0.7997,30000
1988-01-26,0.7997,0.8286,0.7997,0.8170,32400
1988-01-27,0.8053,0.8170,0.7997,0.8170,127800
1988-01-28,0.8109,0.8403,0.8109,0.8403,93600
1988-01-29,0.8637,0.8637,0.8347,0.8347,167400
1988-02-01,0.8487,0.8609,0.8487,0.8487,83400
1988-02-02,0.8487,0.8609,0.8375,0.8609,81600
1988-02-03,0.8609,0.9311,0.8548,0.9190,506400
1988-02-04,0.9016,0.9077,0.8899,0.9016,398400
1988-02-05,0.8956,0.9311,0.8956,0.9190,215400
1988-02-08,0.9134,0.9134,0.8782,0.8899,127800
1988-02-09,0.8899,0.9016,0.8899,0.8956,236400
1988-02-10,0.8899,0.9016,0.8899,0.9016,70800
1988-02-11,0.8899,0.8899,0.8782,0.8838,439200
1988-02-12,0.8782,0.8782,0.8197,0.8548,477600
1988-02-16,0.8609,0.8609,0.8431,0.8431,156000
1988-02-17,0.8548,0.8609,0.8431,0.8431,116400
1988-02-18,0.8314,0.8431,0.8253,0.8375,253800
1988-02-19,0.8375,0.8665,0.8375,0.8609,154200
1988-02-22,0.8487,0.8726,0.8431,0.8665,158400
1988-02-23,0.8609,0.8665,0.8487,0.8609,52200
1988-02-24,0.8548,0.8665,0.8548,0.8609,74400
1988-02-25,0.8487,0.8726,0.8487,0.8609,93600
1988-02-26,0.8548,0.8665,0.8487,0.8609,117000
1988-02-29,0.8609,0.8782,0.8609,0.8782,56400
1988-03-01,0.8665,0.8782,0.8609,0.8665,25200
1988-03-02,0.8899,0.8899,0.8726,0.8782,106200
1988-03-03,0.8726,0.8838,0.8726,0.8782,48600
1988-03-04,0.8782,0.8782,0.8487,0.8487,51600
1988-03-07,0.8487,0.8726,0.8487,0.8726,177000
1988-03-08,0.8726,0.8838,0.8665,0.8838,31200
1988-03-09,0.8726,0.8726,0.8548,0.8548,27000
1988-03-10,0.8548,0.8609,0.8487,0.8548,22800
1988-03-11,0.8548,0.8665,0.8548,0.8609,72000
1988-03-14,0.8487,0.8782,0.8487,0.8609,61800
1988-03-15,0.8548,0.8665,0.8548,0.8548,218400
1988-03-16,0.8548,0.8726,0.8548,0.8726,124200
1988-03-17,0.8665,0.8782,0.8609,0.8726,49800
1988-03-18,0.8665,0.8899,0.8665,0.8838,91800
1988-03-21,0.8782,0.8782,0.8726,0.8782,6000
1988-03-22,0.8726,0.8726,0.8487,0.8487,38400
1988-03-23,0.8548,0.8548,0.8487,0.8548,52800
1988-03-24,0.8487,0.8487,0.8487,0.8487,101400
1988-03-25,0.8431,0.8431,0.8431,0.8431,22200
1988-03-28,0.8314,0.8487,0.8314,0.8431,96600
1988-03-29,0.8548,0.8548,0.8487,0.8487,22800
1988-03-30,0.8487,0.8609,0.8487,0.8548,46200
1988-03-31,0.8487,0.8548,0.8487,0.8548,44400
1988-04-04,0.8487,0.8665,0.8487,0.8665,48000
1988-04-05,0.8609,0.8609,0.8609,0.8609,3000
1988-04-06,0.8548,0.8899,0.8548,0.8899,396600
1988-04-07,0.8838,0.8899,0.8782,0.8899,66000
1988-04-08,0.8838,0.8899,0.8665,0.8899,187800
1988-04-11,0.8782,0.9077,0.8782,0.9077,111600
1988-04-12,0.9016,0.9251,0.8838,0.8899,145200
1988-04-13,0.8956,0.9016,0.8899,0.8899,24600
1988-04-14,0.8726,0.8782,0.8609,0.8609,100800
1988-04-15,0.8487,0.8487,0.8253,0.8314,259800
1988-04-18,0.8431,0.8431,0.8253,0.8375,42600
1988-04-19,0.8375,0.8487,0.8375,0.8431,56400
1988-04-20,0.8431,0.8487,0.8431,0.8431,133800
1988-04-21,0.8431,0.8431,0.8314,0.8431,246600
1988-04-22,0.8431,0.8431,0.8375,0.8375,16200
1988-04-25,0.8375,0.8548,0.8375,0.8487,32400
1988-04-26,0.8487,0.8548,0.8487,0.8487,69000
1988-04-27,0.8487,0.8609,0.8314,0.8431,162000
1988-04-28,0.8375,0.8487,0.8375,0.8431,67200
1988-04-29,0.8458,0.8754,0.8458,0.8754,72600
1988-05-02,0.8637,0.8811,0.8637,0.8693,96600
1988-05-03,0.8576,0.8637,0.8576,0.8576,38400
1988-05-04,0.8514,0.8576,0.8458,0.8458,75600
1988-05-05,0.8458,0.8458,0.8402,0.8402,19200
1988-05-06,0.8402,0.8402,0.8162,0.8162,285000
1988-05-09,0.8162,0.8162,0.8049,0.8106,91800
1988-05-10,0.8049,0.8049,0.7932,0.7932,92400
1988-05-11,0.7871,0.7871,0.7871,0.7871,78000
1988-05-12,0.7871,0.7871,0.7871,0.7871,91800
1988-05-13,0.7871,0.7871,0.7810,0.7810,31200
1988-05-16,0.7871,0.8049,0.7871,0.8049,60000
1988-05-17,0.8049,0.8106,0.8049,0.8106,18600
1988-05-18,0.8049,0.8049,0.7753,0.7753,57600
1988-05-19,0.7810,0.7810,0.7753,0.7753,4800
1988-05-20,0.7753,0.7871,0.7753,0.7871,37800
1988-05-23,0.7932,0.7932,0.7871,0.7871,36600
1988-05-24,0.7810,0.7988,0.7753,0.7988,25200
1988-05-25,0.7932,0.7932,0.7810,0.7810,10200
1988-05-26,0.7810,0.7810,0.7697,0.7697,33600
1988-05-27,0.7697,0.7697,0.7697,0.7697,14400
1988-05-31,0.7697,0.7871,0.7697,0.7810,68400
1988-06-01,0.7810,0.7932,0.7810,0.7871,19200
1988-06-02,0.7871,0.7871,0.7810,0.7871,33000
1988-06-03,0.7932,0.8049,0.7932,0.8049,100200
1988-06-06,0.7988,0.8049,0.7988,0.7988,18000
1988-06-07,0.8049,0.8162,0.8049,0.8106,38400
1988-06-08,0.8106,0.8280,0.8106,0.8223,121800
1988-06-09,0.8280,0.8984,0.8280,0.8928,458400
1988-06-10,0.8928,0.8928,0.8811,0.8928,76200
1988-06-13,0.8867,0.9045,0.8811,0.9045,122400
1988-06-14,0.8984,0.9107,0.8984,0.9045,84000
1988-06-15,0.9045,0.9045,0.8867,0.9045,66000
1988-06-16,0.9107,0.9163,0.8928,0.9163,55200
1988-06-17,0.9163,0.9163,0.9107,0.9107,37200
1988-06-20,0.9045,0.9107,0.9045,0.9107,159000
1988-06-21,0.9107,0.9163,0.9045,0.9163,66000
1988-06-22,0.9163,0.9572,0.9163,0.9515,160800
1988-06-23,0.9633,1.0103,0.9633,1.0103,134400
1988-06-24,0.9985,1.0103,0.9868,1.0046,43800
1988-06-27,0.9924,0.9924,0.9750,0.9811,40800
1988-06-28,0.9750,0.9750,0.9163,0.9341,334200
1988-06-29,0.9280,0.9341,0.9163,0.9341,62400
1988-06-30,0.9341,0.9341,0.9107,0.9107,287400
1988-07-01,0.9163,0.9163,0.8928,0.9107,641400
1988-07-05,0.9163,0.9341,0.9107,0.9280,49200
1988-07-06,0.9163,0.9163,0.8984,0.8984,34800
1988-07-07,0.8928,0.9045,0.8576,0.8637,183000
1988-07-08,0.8637,0.8754,0.8637,0.8754,124800
1988-07-11,0.8811,0.9219,0.8811,0.9107,240600
1988-07-12,0.9163,0.9280,0.9107,0.9107,53400
1988-07-13,0.9045,0.9107,0.8754,0.8754,62400
1988-07-14,0.8693,0.8693,0.8576,0.8693,30000
1988-07-15,0.8576,0.8576,0.8514,0.8514,95400
1988-07-18,0.8576,0.8576,0.8458,0.8514,17400
1988-07-19,0.8280,0.8458,0.8280,0.8402,199800
1988-07-20,0.8458,0.8576,0.8458,0.8576,155400
1988-07-21,0.8637,0.8637,0.8514,0.8514,16800
1988-07-22,0.8458,0.8576,0.8402,0.8402,102000
1988-07-25,0.8341,0.8514,0.8341,0.8514,19800
1988-07-26,0.8458,0.8576,0.8458,0.8514,16800
1988-07-27,0.8458,0.8576,0.8402,0.8402,22200
1988-07-28,0.8458,0.8576,0.8458,0.8576,49200
1988-07-29,0.8514,0.8637,0.8402,0.8637,331800
1988-08-01,0.8664,0.8839,0.8664,0.8839,39000
1988-08-02,0.8782,0.8782,0.8721,0.8782,14400
1988-08-03,0.8721,0.8782,0.8603,0.8664,111600
1988-08-04,0.8603,0.8839,0.8603,0.8839,192600
1988-08-05,0.8839,0.8957,0.8839,0.8895,109200
1988-08-08,0.8839,0.8895,0.8839,0.8895,9600
1988-08-09,0.8839,0.8895,0.8839,0.8895,21600
1988-08-10,0.8839,0.8839,0.8839,0.8839,45600
1988-08-11,0.8839,0.8839,0.8839,0.8839,21000
1988-08-12,0.8839,0.8957,0.8839,0.8957,43800
1988-08-15,0.8895,0.9013,0.8895,0.9013,35400
1988-08-16,0.8895,0.8895,0.8782,0.8782,330600
1988-08-17,0.8721,0.8895,0.8721,0.8839,39000
1988-08-18,0.8839,0.9013,0.8839,0.8957,43200
1988-08-19,0.8957,0.8957,0.8895,0.8895,61800
1988-08-22,0.8839,0.8895,0.8839,0.8839,81000
1988-08-23,0.8839,0.8839,0.8839,0.8839,31800
1988-08-24,0.8839,0.8957,0.8839,0.8957,81000
1988-08-25,0.8895,0.8895,0.8839,0.8839,14400
1988-08-26,0.8895,0.8895,0.8839,0.8839,86400
1988-08-29,0.8895,0.8895,0.8839,0.8839,15600
1988-08-30,0.8839,0.8839,0.8839,0.8839,35400
1988-08-31,0.8839,0.8839,0.8839,0.8839,7200
1988-09-01,0.8839,0.8839,0.8839,0.8839,26400
1988-09-02,0.8895,0.8895,0.8839,0.8839,25200
1988-09-06,0.8839,0.8957,0.8839,0.8957,157800
1988-09-07,0.8957,0.9013,0.8957,0.9013,45000
1988-09-08,0.8957,0.9013,0.8957,0.8957,16200
1988-09-09,0.8957,0.9074,0.8957,0.8957,103800
1988-09-12,0.9013,0.9192,0.9013,0.9192,46200
1988-09-13,0.9136,0.9136,0.9074,0.9136,18000
1988-09-14,0.9192,0.9192,0.9074,0.9192,369000
1988-09-15,0.9192,0.9310,0.9192,0.9249,194400
1988-09-16,0.9249,0.9310,0.9192,0.9310,54600
1988-09-19,0.9249,0.9310,0.9192,0.9249,38400
1988-09-20,0.9249,0.9371,0.9192,0.9371,33600
1988-09-21,0.9428,0.9428,0.9371,0.9371,19200
1988-09-22,0.9371,0.9428,0.9310,0.9310,25200
1988-09-23,0.9310,0.9310,0.9310,0.9310,12600
1988-09-26,0.9310,0.9310,0.9310,0.9310,33000
1988-09-27,0.9310,0.9371,0.9310,0.9310,32400
1988-09-28,0.9310,0.9310,0.9249,0.9249,18000
1988-09-29,0.9192,0.9249,0.9074,0.9074,400800
1988-09-30,0.9013,0.9074,0.8957,0.9013,195600
1988-10-03,0.8957,0.8957,0.8839,0.8839,810000
1988-10-04,0.8895,0.8895,0.8839,0.8839,23400
1988-10-05,0.8895,0.8895,0.8839,0.8839,12600
1988-10-06,0.8895,0.8895,0.8839,0.8895,17400
1988-10-07,0.8839,0.8895,0.8721,0.8721,12600
1988-10-10,0.8721,0.8782,0.8721,0.8721,18600
1988-10-11,0.8721,0.8782,0.8603,0.8721,8400
1988-10-12,0.8664,0.8664,0.8603,0.8603,19800
1988-10-13,0.8603,0.8603,0.8603,0.8603,10200
1988-10-14,0.8664,0.8664,0.8603,0.8603,42600
1988-10-17,0.8603,0.8664,0.8603,0.8603,67200
1988-10-18,0.8542,0.8542,0.8485,0.8542,18000
1988-10-19,0.8542,0.8542,0.8485,0.8542,12000
1988-10-20,0.8485,0.8485,0.8485,0.8485,99000
1988-10-21,0.8542,0.8603,0.8485,0.8542,43200
1988-10-24,0.8485,0.8603,0.8485,0.8542,264000
1988-10-25,0.8542,0.8542,0.8429,0.8429,484800
1988-10-26,0.8429,0.8485,0.8367,0.8485,12600
1988-10-27,0.8367,0.8429,0.8367,0.8367,198000
1988-10-28,0.8367,0.8485,0.8367,0.8429,219000
1988-10-31,0.8429,0.8485,0.8367,0.8429,67800
1988-11-01,0.8513,0.8513,0.8513,0.8513,43200
1988-11-02,0.8513,0.8570,0.8513,0.8513,163200
1988-11-03,0.8513,0.8570,0.8513,0.8570,72000
1988-11-04,0.8570,0.8570,0.8570,0.8570,8400
1988-11-07,0.8570,0.8632,0.8513,0.8632,79800
1988-11-08,0.8632,0.8693,0.8632,0.8693,46800
1988-11-09,0.8632,0.8693,0.8632,0.8693,27600
1988-11-10,0.8693,0.8693,0.8632,0.8632,18000
1988-11-11,0.8632,0.8632,0.8513,0.8513,199200
1988-11-14,0.8457,0.8513,0.8457,0.8513,97800
1988-11-15,0.8457,0.8750,0.8457,0.8632,30600
1988-11-16,0.8632,0.8693,0.8570,0.8570,112800
1988-11-17,0.8693,0.8750,0.8632,0.8693,266400
1988-11-18,0.8693,0.8693,0.8693,0.8693,22200
1988-11-21,0.8693,0.8693,0.8632,0.8632,103200
1988-11-22,0.8632,0.8632,0.8570,0.8570,16800
1988-11-23,0.8570,0.8570,0.8513,0.8513,19800
1988-11-25,0.8513,0.8513,0.8513,0.8513,62400
1988-11-28,0.8513,0.8750,0.8513,0.8750,91800
1988-11-29,0.8693,0.8750,0.8632,0.8693,23400
1988-11-30,0.8693,0.8811,0.8693,0.8811,139800
1988-12-01,0.8868,0.9166,0.8868,0.8986,62400
1988-12-02,0.8868,0.8868,0.8811,0.8811,10200
1988-12-05,0.8811,0.8925,0.8811,0.8925,61200
1988-12-06,0.8811,0.8925,0.8811,0.8868,27000
1988-12-07,0.8811,0.8811,0.8750,0.8750,63000
1988-12-08,0.8811,0.8811,0.8750,0.8750,24600
1988-12-09,0.8750,0.8811,0.8693,0.8750,42600
1988-12-12,0.8693,0.8693,0.8632,0.8693,28200
1988-12-13,0.8632,0.8811,0.8632,0.8811,111600
1988-12-14,0.8811,0.8868,0.8811,0.8811,30000
1988-12-15,0.8811,0.8986,0.8811,0.8986,48600
1988-12-16,0.8925,0.8925,0.8925,0.8925,5400
1988-12-19,0.8868,0.8868,0.8570,0.8632,58800
1988-12-20,0.8570,0.8570,0.8277,0.8457,111000
1988-12-21,0.8457,0.8457,0.8277,0.8457,70200
1988-12-22,0.8457,0.8513,0.8457,0.8457,25800
1988-12-23,0.8457,0.8457,0.8334,0.8334,19800
1988-12-27,0.8215,0.8215,0.8215,0.8215,24000
1988-12-28,0.8334,0.8334,0.8159,0.8334,69600
1988-12-29,0.8277,0.8277,0.8215,0.8215,18000
1988-12-30,0.8215,0.8334,0.8215,0.8334,48000
1989-01-03,0.8395,0.8395,0.8395,0.8395,27600
1989-01-04,0.8513,0.8750,0.8513,0.8750,91200
1989-01-05,0.8750,0.8925,0.8750,0.8811,25800
1989-01-06,0.8986,0.9105,0.8986,0.9043,49800
1989-01-09,0.8986,0.8986,0.8811,0.8811,25800
1989-01-10,0.8811,0.8811,0.8750,0.8750,6600
1989-01-11,0.8750,0.8868,0.8750,0.8811,9000
1989-01-12,0.8750,0.8925,0.8750,0.8925,24600
1989-01-13,0.9043,0.9166,0.9043,0.9166,34200
1989-01-16,0.9280,0.9280,0.9223,0.9223,34200
1989-01-17,0.9223,0.9223,0.9166,0.9166,44400
1989-01-18,0.9166,0.9223,0.9166,0.9223,16200
1989-01-19,0.9223,0.9341,0.9223,0.9341,31200
1989-01-20,0.9341,0.9403,0.9341,0.9341,20400
1989-01-23,0.9341,0.9341,0.9280,0.9280,64800
1989-01-24,0.9223,0.9280,0.9166,0.9166,52800
1989-01-25,0.9166,0.9280,0.9166,0.9223,54000
1989-01-26,0.9223,0.9341,0.9223,0.9341,27600
1989-01-27,0.9341,0.9459,0.9280,0.9280,93000
1989-01-30,0.9341,0.9634,0.9341,0.9634,243600
1989-01-31,0.9548,0.9961,0.9548,0.9904,119400
1989-02-01,0.9904,1.0079,0.9904,0.9961,53400
1989-02-02,1.0079,1.0198,1.0018,1.0198,64200
1989-02-03,1.0198,1.0198,0.9961,0.9961,42600
1989-02-06,0.9961,1.0018,0.9961,0.9961,33000
1989-02-07,0.9961,1.0141,0.9961,1.0141,22800
1989-02-08,1.0198,1.0260,1.0198,1.0198,35400
1989-02-09,1.0260,1.0317,1.0198,1.0198,30600
1989-02-10,1.0198,1.0198,1.0079,1.0079,24000
1989-02-13,1.0079,1.0079,1.0079,1.0079,73800
1989-02-14,1.0198,1.0198,1.0018,1.0018,280800
1989-02-15,1.0018,1.0141,1.0018,1.0141,114600
1989-02-16,1.0198,1.0260,1.0079,1.0079,72000
1989-02-17,1.0141,1.0260,1.0141,1.0141,22200
1989-02-21,1.0141,1.0198,1.0141,1.0198,19800
1989-02-22,1.0198,1.0198,1.0079,1.0079,101400
1989-02-23,1.0079,1.0079,1.0079,1.0079,27000
