date,open,high,low,close,volume
2019-07-01,184.9496,186.1582,171.6944,173.6339,6707386
2019-07-02,177.7665,181.9185,176.9283,181.0608,3959721
2019-07-03,180.3103,180.6807,175.9244,179.6280,1846865
2019-07-05,179.5306,180.7538,177.0940,180.2713,1072911
2019-07-08,179.7450,180.5832,178.4195,179.9984,1280487
2019-07-09,180.7976,186.4896,180.3298,186.4116,2445205
2019-07-10,186.6748,188.0295,185.8756,187.7274,1611354
2019-07-11,187.1036,190.7391,186.3531,189.5207,1573778
2019-07-12,190.2810,192.3813,189.8229,190.7586,1168964
2019-07-15,190.6903,190.6903,186.1972,186.6943,1441023
2019-07-16,186.6455,188.2927,185.7294,187.6884,984253
2019-07-17,187.9418,189.5500,187.8252,189.0529,1298053
2019-07-18,189.3161,190.0081,186.7722,189.2186,1223419
2019-07-19,189.9009,190.2030,186.0023,188.5753,1125928
2019-07-22,188.9165,191.4700,188.4291,189.9691,1004641
2019-07-23,191.1192,191.2751,186.0997,189.6085,1562025
2019-07-24,189.0822,193.1172,188.1009,192.9320,827857
2019-07-25,195.0470,197.8150,193.5071,195.5831,1403191
2019-07-26,196.3530,196.6357,193.1367,194.7644,1136942
2019-07-29,194.9301,196.8111,194.7644,196.2848,1542685
2019-07-30,195.9145,196.2166,194.4037,194.9301,1133382
2019-07-31,194.8326,206.4455,194.4037,202.3374,2582158
2019-08-01,197.1035,203.8579,194.4037,199.6571,1834149
2019-08-02,199.8033,199.9104,195.6513,199.2380,1228939
2019-08-05,198.2049,199.1211,194.1162,196.2848,2163994
2019-08-06,200.4466,201.4602,196.7429,199.9203,1661034
2019-08-07,198.6825,204.0040,198.0441,202.2009,2305320
2019-08-08,204.1405,209.5401,203.5655,209.0138,2213598
2019-08-09,208.1463,209.5401,204.9495,206.2457,1254083
2019-08-12,206.0313,206.5854,203.8286,204.0138,1257316
2019-08-13,203.1658,206.9572,202.1815,204.5109,1162937
2019-08-14,202.8929,204.3988,200.2955,202.4544,1225998
2019-08-15,202.3276,206.2847,201.9086,204.2867,1744289
2019-08-16,205.9923,206.5329,203.7994,205.5245,1394072
2019-08-19,206.8500,208.3315,206.2165,207.6492,899314
2019-08-20,208.4972,209.3061,206.4114,207.2009,907858
2019-08-21,208.0781,209.7447,206.6259,208.7506,1254877
2019-08-22,209.2769,209.9007,205.4953,207.9026,934028
2019-08-23,207.7662,209.0722,202.7857,203.5947,1296775
2019-08-26,204.2282,206.9475,202.0060,206.2555,1199728
2019-08-27,206.8695,207.6492,204.8422,205.1444,1257470
2019-08-28,204.6571,207.5030,202.0450,206.7428,938696
2019-08-29,208.8676,208.9553,206.5771,207.8929,1038547
2019-08-30,208.9260,209.2178,205.7779,206.0508,1221105
2019-09-03,204.9264,206.5012,203.3908,205.9241,1454917
2019-09-04,205.7872,209.4258,205.7872,208.9759,1822133
2019-09-05,210.2963,210.2963,207.1957,207.4891,1449348
2019-09-06,208.9465,211.9102,208.4966,210.0029,1370286
2019-09-09,209.9442,210.3550,203.7184,204.2515,1279895
2019-09-10,202.5007,204.0755,193.1890,204.0559,2041372
2019-09-11,204.3493,205.0683,201.7280,203.2734,1333452
2019-09-12,205.4057,205.7383,202.7354,204.8482,1347496
2019-09-13,205.1220,205.4840,202.6621,202.9115,1238051
2019-09-16,207.7630,210.3550,204.9265,209.3182,2048548
2019-09-17,209.5432,210.5898,206.8925,209.5725,1320074
2019-09-18,208.7998,211.1962,206.4816,210.0029,1811296
2019-09-19,209.4258,211.1428,208.6531,209.3769,1752261
2019-09-20,209.4356,210.4235,205.8861,207.3424,3343786
2019-09-23,207.7923,209.2399,206.3154,208.6335,1846143
2019-09-24,209.1421,212.5558,206.9511,207.2739,2433462
2019-09-25,206.8435,208.3988,206.0219,207.9488,1158347
2019-09-26,208.8976,209.9246,208.0466,208.5553,1117571
2019-09-27,208.7802,208.8731,203.3125,204.3493,1233830
2019-09-30,205.1514,206.9903,203.7527,204.0755,894162
2019-10-01,205.0438,206.0415,198.8327,199.2338,1066835
2019-10-02,198.5588,199.2924,196.2798,198.8229,1377412
2019-10-03,199.1555,201.8551,198.5295,201.6986,1294269
2019-10-04,201.4247,203.4886,199.8891,203.2245,859361
2019-10-07,203.0680,203.5179,200.7792,201.2682,684398
2019-10-08,200.6912,204.8971,199.7130,204.6721,1733591
2019-10-09,205.5231,205.6991,201.9236,204.3689,1189947
2019-10-10,203.4690,206.9218,203.4690,205.3372,1461690
2019-10-11,207.7825,207.7825,203.0778,204.3689,1288345
2019-10-14,204.0755,205.0242,201.8649,202.1192,691492
2019-10-15,202.7550,203.8407,200.8868,201.0237,866587
2019-10-16,201.2291,203.6451,200.0358,202.2562,1197779
2019-10-17,203.6646,204.0021,196.3679,196.5439,1296164
2019-10-18,196.6124,197.2553,190.8610,193.7465,2112412
2019-10-21,194.8909,197.7666,194.3823,195.2919,1145637
2019-10-22,194.1573,198.0747,192.7684,196.2798,1434219
2019-10-23,196.8374,197.4634,194.3920,195.9962,1189695
2019-10-24,195.4973,201.7573,195.0278,199.6348,1415012
2019-10-25,200.0163,200.0163,194.8175,196.5635,1138990
2019-10-28,196.5733,198.2165,195.5560,196.2016,1140529
2019-10-29,196.8374,199.5468,195.8886,198.5491,1795212
2019-10-30,202.3344,204.5450,198.5686,203.2734,1676413
2019-10-31,202.8430,204.7699,200.1141,201.7964,1962772
2019-11-01,201.8356,203.4495,195.7712,197.0036,2411835
2019-11-04,196.6026,197.2041,189.5308,190.6654,2417339
2019-11-05,190.1177,190.6067,186.3812,188.8167,2652765
2019-11-06,187.8582,192.0054,187.8582,191.6631,1753963
2019-11-07,192.6901,193.0716,190.3035,190.6165,1569604
2019-11-08,190.1274,193.4237,190.0590,191.7316,1374547
2019-11-11,190.3915,191.4577,187.7506,190.8904,1470200
2019-11-12,190.4698,194.3040,189.7851,193.8541,1951387
2019-11-13,193.5998,195.9032,192.0446,194.8713,1313265
2019-11-14,194.9202,197.0819,194.2845,195.3897,858533
2019-11-15,197.2188,198.5393,196.5537,198.0893,1212849
2019-11-18,197.9524,199.7522,197.5905,198.3045,1285089
2019-11-19,199.4783,200.5053,197.8546,198.7056,1301661
2019-11-20,198.9697,201.6888,198.8816,200.3292,1227776
2019-11-21,200.2888,201.3589,195.0116,195.4386,1746281
2019-11-22,197.0292,197.5495,194.0554,195.0263,900518
2019-11-25,195.0557,196.9015,192.3361,192.9154,1710418
2019-11-26,193.9856,196.6364,192.9645,196.0768,1932704
2019-11-27,195.8805,197.2506,194.9134,196.8524,802029
2019-11-29,197.4513,197.9913,195.7332,197.4317,485936
2019-12-02,196.5775,197.0193,190.3332,190.7358,1364278
2019-12-03,190.7358,192.0023,189.8031,191.3936,1313826
2019-12-04,192.2183,192.8761,190.0681,190.1565,1062525
2019-12-05,190.1565,191.1383,189.6362,189.8718,909857
2019-12-06,190.0289,191.8354,188.7427,188.9882,1333369
2019-12-09,188.9980,190.2351,188.4383,190.0976,1239579
2019-12-10,194.4666,195.8510,192.9743,193.3768,1626460
2019-12-11,192.5914,195.0263,192.5914,194.8692,1078877
2019-12-12,194.7808,196.3517,191.6783,192.7092,1102102
2019-12-13,192.2183,196.7052,192.2183,196.5383,1515940
2019-12-16,196.9408,198.7670,195.4779,197.6772,1322674
2019-12-17,197.3139,198.3055,192.7092,195.4583,1240129
2019-12-18,195.5859,196.3026,192.9743,194.1230,1306615
2019-12-19,194.6139,195.3503,192.5816,193.8187,1288740
2019-12-20,195.9688,197.1175,193.5241,196.3517,2304914
2019-12-23,197.1175,199.4930,195.4386,198.0601,1129448
2019-12-24,199.1990,199.3266,196.9506,197.5593,330616
2019-12-26,197.5692,198.3252,196.9703,197.9422,637725
2019-12-27,198.4037,199.5328,197.5888,198.0404,881467
2019-12-30,198.0993,198.1092,195.3797,196.4401,838100
2019-12-31,196.2830,196.9113,193.4554,194.2703,1010883
2020-01-02,194.8201,199.6702,194.4519,199.6113,1214661
2020-01-03,202.4193,206.9945,202.4193,206.6411,2182244
2020-01-06,208.3592,210.1068,205.3353,207.8683,1968125
2020-01-07,208.1629,210.3425,207.1614,208.8599,1551533
2020-01-08,208.8796,210.9806,206.5822,207.4461,1683321
2020-01-09,206.5625,209.0661,206.4381,208.4280,979981
2020-01-10,208.2120,208.4770,205.8900,206.5429,1186459
2020-01-13,207.5934,208.8796,204.9204,208.7323,1306901
2020-01-14,208.7029,209.2134,207.7701,208.9090,1265363
2020-01-15,208.5360,211.7465,207.9960,209.2821,882653
2020-01-16,210.1265,211.0788,209.3214,210.4505,876557
2020-01-17,211.3832,215.4724,210.1167,215.3890,1934474
2020-01-21,215.4086,217.3133,213.8475,216.4493,1527234
2020-01-22,216.9795,218.9431,215.3301,215.9093,1411393
2020-01-23,216.1253,219.7433,215.6148,218.7566,1211585
2020-01-24,219.1689,220.4158,218.0006,218.9235,1154234
2020-01-27,216.9697,219.5027,215.7621,218.2755,1231665
2020-01-28,219.0609,220.1704,216.6162,219.0806,1334769
2020-01-29,219.9249,221.7413,218.7369,219.5027,925049
2020-01-30,217.9711,220.9607,217.7748,220.6515,1038000
2020-01-31,219.6697,220.6024,215.4184,217.3035,1390057
2020-02-03,217.7159,219.2033,216.3315,216.8715,1244077
2020-02-04,221.2602,224.3431,218.2460,219.6697,1802639
2020-02-05,220.5238,221.7805,217.8729,219.4046,1316430
2020-02-06,219.5813,223.4349,218.9186,221.8689,1458459
2020-02-07,223.0863,226.3852,221.8885,225.6783,1229838
2020-02-10,225.6881,226.7878,223.0962,225.4230,1052581
2020-02-11,225.0990,225.2700,222.7024,223.8522,1283749
2020-02-12,224.3332,226.0416,220.6711,225.8550,1433531
2020-02-13,225.0205,226.7779,222.8311,222.8802,1187895
2020-02-14,223.0274,225.2954,222.3598,224.3921,1177140
2020-02-18,223.8522,225.6783,222.4383,224.5689,912288
2020-02-19,224.4511,225.5310,221.4075,221.8689,1450295
2020-02-20,222.3107,223.0863,217.4606,219.7286,957671
2020-02-21,218.9333,220.1507,217.5293,218.7468,1198735
2020-02-24,214.2108,216.7340,212.8854,215.0748,1185480
2020-02-25,215.3399,216.7635,205.0996,205.9440,1907306
2020-02-26,206.0029,211.8152,205.9636,206.4938,2240643
2020-02-27,204.7265,206.1992,197.7459,198.2662,2314467
2020-02-28,191.9630,194.5095,187.1424,194.1328,2997828
2020-03-02,194.2997,199.2971,191.1678,198.3742,2246607
2020-03-03,200.1611,205.6887,194.2801,195.0656,1772564
2020-03-04,198.6688,208.1432,196.6463,207.7898,1677301
2020-03-05,204.8542,205.0702,195.3797,196.9212,1760999
2020-03-06,191.4525,197.9226,188.8998,196.2928,1615116
2020-03-09,183.3722,189.4791,178.6890,183.1857,1918509
2020-03-10,189.9798,192.7288,182.9206,192.5521,1826181
2020-03-11,187.3289,190.0387,181.0061,184.9333,2323551
2020-03-12,171.4433,178.2472,161.1359,162.9997,3092657
2020-03-13,171.4531,175.3901,161.4828,174.3985,2287289
2020-03-16,152.1802,163.4415,146.4955,149.4606,1983831
2020-03-17,152.4944,167.5749,148.6457,165.8764,2130424
2020-03-18,152.1213,171.9145,149.4017,164.9339,2801768
2020-03-19,163.3139,164.3252,150.6584,157.2267,2507604
2020-03-20,157.5605,157.5605,148.0566,151.2377,2684629
2020-03-23,150.2460,151.7286,139.4265,147.4871,2303286
2020-03-24,150.6878,159.6027,150.1675,159.1216,1814198
2020-03-25,157.8158,176.4996,157.0892,170.3044,1775685
2020-03-26,172.4742,187.7118,171.6494,187.0344,2310904
2020-03-27,180.2992,187.0687,175.2134,181.6344,2163107
2020-03-30,183.5097,184.0791,175.9792,178.6497,1924266
2020-03-31,177.5403,180.2206,173.7898,176.8432,2767283
2020-04-01,168.8611,174.6734,167.1331,173.9469,1498669
2020-04-02,172.9258,180.6133,172.0323,180.1813,1898473
2020-04-03,180.0930,181.3988,174.1236,175.2527,1395459
2020-04-06,183.5588,183.8042,178.2963,180.6526,1918678
2020-04-07,187.1620,187.1718,175.4196,176.6272,2523241
2020-04-08,177.7072,185.2426,176.2787,181.8308,1285845
