date,open,high,low,close,volume
1972-06-01,1.5170,1.5191,1.5018,1.5104,456000
1972-06-02,1.5135,1.5279,1.5135,1.5279,640000
1972-06-05,1.5251,1.5251,1.5018,1.5074,464000
1972-06-06,1.5074,1.5074,1.4929,1.4929,796800
1972-06-07,1.4929,1.5135,1.4901,1.5104,584000
1972-06-08,1.5104,1.5163,1.4901,1.4929,726400
1972-06-09,1.4957,1.5135,1.4957,1.5104,296000
1972-06-12,1.5104,1.5221,1.4988,1.5074,473600
1972-06-13,1.5104,1.5279,1.5104,1.5221,478400
1972-06-14,1.5279,1.5601,1.5279,1.5541,795200
1972-06-15,1.5629,1.5804,1.5629,1.5629,836800
1972-06-16,1.5629,1.5657,1.5396,1.5454,267200
1972-06-19,1.5454,1.5541,1.5163,1.5338,1001600
1972-06-20,1.5396,1.5541,1.5396,1.5541,345600
1972-06-21,1.5541,1.5601,1.5368,1.5396,556800
1972-06-22,1.5396,1.5541,1.5338,1.5513,321600
1972-06-23,1.5513,1.5601,1.5513,1.5571,212800
1972-06-26,1.5571,1.5746,1.5424,1.5746,278400
1972-06-27,1.5746,1.5835,1.5571,1.5657,268800
1972-06-28,1.5601,1.5601,1.5338,1.5396,433600
1972-06-29,1.5396,1.5485,1.5307,1.5307,313600
1972-06-30,1.5338,1.5571,1.5338,1.5513,404800
1972-07-03,1.5513,1.5718,1.5485,1.5688,240000
1972-07-05,1.5804,1.5979,1.5804,1.5863,734400
1972-07-06,1.6068,1.6240,1.6068,1.6154,809600
1972-07-07,1.6184,1.6534,1.6184,1.6534,595200
1972-07-10,1.6534,1.6562,1.6329,1.6357,316800
1972-07-11,1.6357,1.6534,1.6357,1.6418,232000
1972-07-12,1.6446,1.6707,1.6446,1.6562,1132800
1972-07-13,1.6562,1.6737,1.6387,1.6562,790400
1972-07-14,1.6590,1.6912,1.6590,1.6854,950400
1972-07-17,1.6854,1.6854,1.6562,1.6562,187200
1972-07-18,1.6474,1.6474,1.6387,1.6446,385600
1972-07-19,1.6446,1.6854,1.6446,1.6621,636800
1972-07-20,1.6621,1.6796,1.6621,1.6796,326400
1972-07-21,1.6854,1.7057,1.6854,1.7057,340800
1972-07-24,1.7057,1.7554,1.7029,1.7351,811200
1972-07-25,1.7351,1.7523,1.7204,1.7204,312000
1972-07-26,1.7495,1.7701,1.7495,1.7640,816000
1972-07-27,1.7640,1.7757,1.7495,1.7640,422400
1972-07-28,1.7640,1.7670,1.7612,1.7612,208000
1972-07-31,1.7554,1.7554,1.7379,1.7407,174400
1972-08-01,1.7407,1.7612,1.7379,1.7612,368000
1972-08-02,1.7612,1.7670,1.7495,1.7554,384000
1972-08-03,1.7554,1.7612,1.7379,1.7612,355200
1972-08-04,1.7612,1.7612,1.7495,1.7495,193600
