date,open,high,low,close,volume
1988-01-05,1.9707,1.9817,1.9596,1.9596,12400
1988-01-06,1.9596,1.9596,1.9375,1.9485,52800
1988-01-07,1.9375,1.9596,1.9375,1.9485,17600
1988-01-08,1.9596,1.9596,1.9375,1.9375,23600
1988-01-11,1.9375,1.9596,1.9264,1.9375,24800
1988-01-12,1.9485,1.9538,1.9317,1.9485,20000
1988-01-13,1.9375,1.9817,1.9375,1.9817,16400
1988-01-14,1.9928,2.0039,1.9817,1.9928,25600
1988-01-15,2.0150,2.0260,2.0039,2.0039,24000
1988-01-18,2.0150,2.0371,2.0150,2.0203,41200
1988-01-19,2.0096,2.0260,2.0096,2.0260,28000
1988-01-20,2.0150,2.0260,2.0096,2.0203,13600
1988-01-21,2.0096,2.0260,2.0039,2.0096,50800
1988-01-22,2.0150,2.0203,2.0150,2.0203,44400
1988-01-25,1.9928,2.0260,1.9928,2.0150,24800
1988-01-26,2.0150,2.0203,2.0039,2.0096,88400
1988-01-27,2.0096,2.0150,1.9928,1.9981,14800
1988-01-28,2.0039,2.0096,1.9928,1.9981,67600
1988-01-29,2.0096,2.0260,1.9981,2.0260,21600
1988-02-01,2.0318,2.0371,2.0318,2.0371,32000
1988-02-02,2.0318,2.0646,2.0318,2.0592,77600
1988-02-03,2.0592,2.0592,2.0371,2.0371,53600
1988-02-04,2.0318,2.0539,2.0318,2.0539,18800
1988-02-05,2.0592,2.0592,2.0424,2.0592,15600
1988-02-08,2.0592,2.0592,2.0260,2.0260,6400
1988-02-09,2.0371,2.0371,2.0260,2.0371,15200
1988-02-10,2.0371,2.0592,2.0318,2.0482,24800
1988-02-11,2.0592,2.0592,2.0482,2.0482,15600
1988-02-12,2.0592,2.0761,2.0592,2.0592,174800
1988-02-16,2.0646,2.0646,2.0539,2.0539,27200
1988-02-17,2.0646,2.0646,2.0482,2.0482,12400
1988-02-18,2.0424,2.0539,2.0424,2.0539,56800
1988-02-19,2.0424,2.0592,2.0371,2.0482,22800
1988-02-22,2.0482,2.0592,2.0482,2.0592,22000
1988-02-23,2.0592,2.0761,2.0539,2.0646,35200
1988-02-24,2.0592,2.0867,2.0592,2.0703,26800
1988-02-25,2.0646,2.0703,2.0592,2.0703,22400
1988-02-26,2.0646,2.1146,2.0592,2.1035,132400
1988-02-29,2.0925,2.1035,2.0925,2.1035,31600
1988-03-01,2.0982,2.1088,2.0925,2.0925,142400
1988-03-02,2.1035,2.1035,2.0925,2.1035,14000
1988-03-03,2.0982,2.1088,2.0982,2.1088,29200
1988-03-04,2.1088,2.1146,2.0867,2.0982,15200
1988-03-07,2.0925,2.1035,2.0814,2.0814,27200
1988-03-08,2.0703,2.0925,2.0703,2.0761,29200
1988-03-09,2.0867,2.0867,2.0703,2.0814,22800
1988-03-10,2.0814,2.0814,2.0592,2.0592,44000
1988-03-11,2.0592,2.0761,2.0592,2.0646,22800
1988-03-14,2.0703,2.0761,2.0592,2.0646,35600
1988-03-15,2.0703,2.0703,2.0539,2.0592,18800
1988-03-16,2.0539,2.0592,2.0424,2.0539,34000
1988-03-17,2.0482,2.0539,2.0424,2.0539,32800
