date,open,high,low,close,volume
1985-07-01,0.5518,0.5570,0.5518,0.5570,403200
1985-07-02,0.5570,0.5676,0.5545,0.5597,5916800
1985-07-03,0.5624,0.5649,0.5624,0.5649,582400
1985-07-05,0.5649,0.5701,0.5649,0.5701,1132800
1985-07-08,0.5701,0.5726,0.5676,0.5701,2131200
1985-07-09,0.5726,0.5883,0.5726,0.5804,1849600
1985-07-10,0.5804,0.5908,0.5804,0.5804,2332800
1985-07-11,0.5804,0.5908,0.5804,0.5883,992000
1985-07-12,0.5883,0.5960,0.5883,0.5908,1641600
1985-07-15,0.5908,0.5960,0.5777,0.5804,1827200
1985-07-16,0.5804,0.5856,0.5752,0.5831,6966400
1985-07-17,0.5831,0.5856,0.5804,0.5856,3078400
1985-07-18,0.5856,0.5933,0.5856,0.5883,976000
1985-07-19,0.5985,0.6063,0.5985,0.6039,764800
1985-07-22,0.6039,0.6039,0.5960,0.5985,697600
1985-07-23,0.5960,0.5960,0.5726,0.5777,2310400
1985-07-24,0.5726,0.5726,0.5338,0.5468,5155200
1985-07-25,0.5390,0.5390,0.5338,0.5390,905600
1985-07-26,0.5390,0.5417,0.5338,0.5363,784000
1985-07-29,0.5363,0.5390,0.5209,0.5209,1321600
1985-07-30,0.5182,0.5182,0.5079,0.5131,3676800
1985-07-31,0.5182,0.5338,0.5182,0.5311,4012800
1985-08-01,0.5311,0.5363,0.5286,0.5311,1574400
1985-08-02,0.5311,0.5338,0.5104,0.5131,3241600
1985-08-05,0.5131,0.5182,0.4975,0.4975,2905600
1985-08-06,0.5027,0.5155,0.5027,0.5027,1872000
1985-08-07,0.5027,0.5079,0.4923,0.4975,2883200
1985-08-08,0.4975,0.5027,0.4975,0.4975,2336000
1985-08-09,0.4975,0.5002,0.4896,0.4896,2137600
1985-08-12,0.4896,0.4923,0.4741,0.4768,444800
1985-08-13,0.4768,0.4847,0.4664,0.4820,1280000
1985-08-14,0.4820,0.4923,0.4795,0.4820,3884800
1985-08-15,0.4820,0.4871,0.4716,0.4795,838400
1985-08-16,0.4795,0.4871,0.4768,0.4795,678400
1985-08-19,0.4795,0.4847,0.4768,0.4820,656000
1985-08-20,0.4820,0.4871,0.4795,0.4820,2150400
1985-08-21,0.4871,0.5054,0.4871,0.4975,2441600
1985-08-22,0.5054,0.5104,0.5054,0.5104,2854400
1985-08-23,0.5104,0.5182,0.5079,0.5155,710400
1985-08-26,0.5155,0.5155,0.5104,0.5104,412800
1985-08-27,0.5104,0.5131,0.5104,0.5104,704000
1985-08-28,0.5104,0.5155,0.5079,0.5104,1078400
1985-08-29,0.5104,0.5104,0.4975,0.4975,5769600
1985-08-30,0.4975,0.5079,0.4975,0.4975,3724800
1985-09-03,0.4975,0.4975,0.4948,0.4975,1155200
1985-09-04,0.4975,0.5027,0.4847,0.4975,1900800
1985-09-05,0.4975,0.4975,0.4871,0.4896,2121600
1985-09-06,0.4896,0.4896,0.4847,0.4896,521600
1985-09-09,0.4896,0.4896,0.4689,0.4768,598400
1985-09-10,0.4664,0.4664,0.4353,0.4457,2032000
1985-09-11,0.4457,0.4587,0.4457,0.4587,3660800
1985-09-12,0.4587,0.4664,0.4561,0.4561,1222400
