date,open,high,low,close,volume
1987-11-05,0.6101,0.6145,0.6059,0.6145,70197
1987-11-06,0.6273,0.6314,0.6228,0.6314,81899
1987-11-09,0.6400,0.6444,0.6358,0.6358,153098
1987-11-10,0.6400,0.6530,0.6400,0.6489,66704
1987-11-11,0.6444,0.6489,0.6444,0.6444,2802
1987-11-12,0.6444,0.6657,0.6444,0.6575,65701
1987-11-13,0.6575,0.6616,0.6400,0.6400,59497
1987-11-16,0.6400,0.6702,0.6400,0.6702,156697
1987-11-17,0.6657,0.6657,0.6530,0.6530,37802
1987-11-18,0.6530,0.6616,0.6530,0.6616,12097
1987-11-19,0.6657,0.6657,0.6575,0.6575,18104
1987-11-20,0.6489,0.6530,0.6489,0.6489,33701
1987-11-23,0.6489,0.6616,0.6489,0.6575,16304
1987-11-24,0.6616,0.6702,0.6616,0.6657,24399
1987-11-25,0.6657,0.6743,0.6657,0.6743,24399
1987-11-27,0.6702,0.6702,0.6702,0.6702,12097
1987-11-30,0.6657,0.6702,0.6530,0.6530,119700
1987-12-01,0.6489,0.6489,0.6400,0.6400,75702
1987-12-02,0.6400,0.6400,0.6358,0.6400,130499
1987-12-03,0.6444,0.6444,0.6358,0.6400,14998
1987-12-04,0.6314,0.6314,0.6145,0.6187,30299
1987-12-07,0.6059,0.6059,0.5974,0.6015,77798
1987-12-08,0.6059,0.6101,0.5974,0.6059,45897
1987-12-09,0.6015,0.6187,0.6015,0.6187,38402
1987-12-10,0.6145,0.6273,0.6145,0.6273,136900
1987-12-11,0.6314,0.6314,0.6273,0.6273,77798
1987-12-14,0.6314,0.6400,0.6314,0.6400,143097
1987-12-15,0.6444,0.6489,0.6400,0.6489,112600
1987-12-16,0.6530,0.6575,0.6489,0.6575,144600
1987-12-17,0.6616,0.6702,0.6575,0.6657,225003
1987-12-18,0.6702,0.6788,0.6616,0.6788,118797
1987-12-21,0.6874,0.6960,0.6702,0.6788,272198
1987-12-22,0.6829,0.6829,0.6702,0.6702,19501
1987-12-23,0.6743,0.6788,0.6657,0.6702,355600
1987-12-24,0.6702,0.6788,0.6702,0.6743,121500
1987-12-28,0.6788,0.6829,0.6743,0.6788,108097
1987-12-29,0.6743,0.6743,0.6616,0.6616,51903
1987-12-30,0.6657,0.6743,0.6657,0.6702,39700
1987-12-31,0.6657,0.7132,0.6657,0.7132,200399
1988-01-04,0.7091,0.7173,0.7091,0.7091,108097
1988-01-05,0.7173,0.7259,0.7132,0.7173,69703
1988-01-06,0.7218,0.7218,0.7173,0.7173,7298
1988-01-07,0.7132,0.7173,0.7132,0.7132,8999
1988-01-08,0.7046,0.7046,0.6919,0.6919,48600
1988-01-11,0.6919,0.6960,0.6874,0.6919,150698
1988-01-12,0.6960,0.6960,0.6874,0.6874,237100
1988-01-13,0.6829,0.6919,0.6743,0.6788,40604
1988-01-14,0.6743,0.6788,0.6702,0.6702,19501
1988-01-15,0.6788,0.6874,0.6657,0.6788,218700
1988-01-18,0.6874,0.7046,0.6874,0.6960,251999
1988-01-19,0.6919,0.7046,0.6919,0.7046,35197
1988-01-20,0.7046,0.7091,0.6960,0.6960,37802
1988-01-21,0.6960,0.7046,0.6960,0.7046,103503
1988-01-22,0.7046,0.7091,0.7005,0.7091,71100
1988-01-25,0.7046,0.7259,0.7046,0.7218,39298
1988-01-26,0.7218,0.7259,0.7218,0.7218,18400
1988-01-27,0.7218,0.7345,0.7218,0.7259,25599
1988-01-28,0.7304,0.7345,0.7304,0.7345,115304
1988-01-29,0.7345,0.7390,0.7345,0.7390,23100
1988-02-01,0.7390,0.7475,0.7390,0.7390,107497
1988-02-02,0.7434,0.7475,0.7434,0.7434,4199
1988-02-03,0.7434,0.7475,0.7434,0.7434,39700
1988-02-04,0.7475,0.7520,0.7434,0.7434,19501
1988-02-05,0.7434,0.7434,0.7434,0.7434,2802
1988-02-08,0.7434,0.7475,0.7390,0.7475,139604
1988-02-09,0.7434,0.7475,0.7434,0.7434,22500
1988-02-10,0.7475,0.7733,0.7259,0.7647,855398
1988-02-11,0.7733,0.8036,0.7733,0.7864,225998
1988-02-12,0.7819,0.7864,0.7647,0.7819,170100
1988-02-16,0.7819,0.7905,0.7774,0.7905,248999
1988-02-17,0.7864,0.7950,0.7864,0.7864,206497
1988-02-18,0.7819,0.7905,0.7819,0.7905,145800
1988-02-19,0.7905,0.7991,0.7864,0.7991,147698
1988-02-22,0.7950,0.7991,0.7905,0.7991,51402
1988-02-23,0.7991,0.8077,0.7950,0.7991,229597
1988-02-24,0.8036,0.8204,0.8036,0.8204,43801
1988-02-25,0.8230,0.8318,0.8230,0.8318,57599
1988-02-26,0.8230,0.8230,0.8189,0.8189,12097
1988-02-29,0.8147,0.8495,0.8147,0.8495,156097
1988-03-01,0.8537,0.8624,0.8495,0.8537,144000
1988-03-02,0.8537,0.8537,0.8537,0.8537,100002
1988-03-03,0.8495,0.8537,0.8450,0.8450,72900
1988-03-04,0.8495,0.8495,0.8495,0.8495,24399
1988-03-07,0.8495,0.8537,0.8495,0.8537,41401
1988-03-08,0.8624,0.8711,0.8537,0.8537,177398
1988-03-09,0.8582,0.8886,0.8582,0.8798,243000
1988-03-10,0.8886,0.8886,0.8711,0.8711,57599
1988-03-11,0.8711,0.8753,0.8711,0.8753,30603
1988-03-14,0.8711,0.8711,0.8624,0.8624,95400
1988-03-15,0.8666,0.8666,0.8495,0.8495,86402
1988-03-16,0.8495,0.8582,0.8495,0.8582,70197
