date,open,high,low,close,volume
1980-01-02,0.1868,0.1868,0.1806,0.1806,807951
1980-01-03,0.1806,0.1826,0.1785,0.1796,538848
1980-01-04,0.1796,0.1826,0.1785,0.1826,300606
1980-01-07,0.1806,0.1806,0.1753,0.1785,665070
1980-01-08,0.1785,0.1806,0.1681,0.1723,857821
1980-01-09,0.1723,0.1733,0.1681,0.1681,318653
1980-01-10,0.1681,0.1764,0.1640,0.1764,938445
1980-01-11,0.1764,0.1785,0.1723,0.1764,835182
1980-01-14,0.1753,0.1753,0.1671,0.1743,1279950
1980-01-15,0.1764,0.1817,0.1764,0.1764,1541152
1980-01-16,0.1764,0.1817,0.1764,0.1764,295800
1980-01-17,0.1764,0.1774,0.1733,0.1764,470718
1980-01-18,0.1764,0.1910,0.1723,0.1910,1321170
1980-01-21,0.1910,0.1951,0.1868,0.1868,1138885
1980-01-22,0.1868,0.1910,0.1847,0.1847,455447
1980-01-23,0.1847,0.1868,0.1764,0.1764,465912
1980-01-24,0.1785,0.1868,0.1785,0.1785,625559
1980-01-25,0.1785,0.1817,0.1785,0.1785,409849
1980-01-28,0.1785,0.1806,0.1743,0.1743,710668
1980-01-29,0.1753,0.1806,0.1753,0.1764,1062959
1980-01-30,0.1743,0.1743,0.1681,0.1681,979345
1980-01-31,0.1712,0.1796,0.1712,0.1743,1199753
1980-02-01,0.1753,0.1817,0.1753,0.1785,1116032
1980-02-04,0.1785,0.1826,0.1785,0.1826,869995
1980-02-05,0.1826,0.1878,0.1806,0.1878,493250
1980-02-06,0.1878,0.1899,0.1847,0.1889,812223
1980-02-07,0.1868,0.1868,0.1837,0.1837,660265
1980-02-08,0.1826,0.1826,0.1785,0.1785,238242
1980-02-11,0.1785,0.1826,0.1743,0.1774,660265
1980-02-12,0.1774,0.1826,0.1743,0.1796,1138885
1980-02-13,0.1796,0.1826,0.1774,0.1785,1040106
1980-02-14,0.1785,0.1796,0.1743,0.1743,602706
1980-02-15,0.1743,0.1764,0.1681,0.1712,830377
1980-02-19,0.1712,0.1723,0.1671,0.1712,261094
1980-02-20,0.1712,0.1712,0.1702,0.1702,938445
1980-02-21,0.1702,0.1702,0.1681,0.1681,2419155
1980-02-22,0.1681,0.1681,0.1630,0.1630,1279950
1980-02-25,0.1630,0.1640,0.1598,0.1619,880780
1980-02-26,0.1619,0.1640,0.1598,0.1640,938445
1980-02-27,0.1640,0.1660,0.1609,0.1609,215496
1980-02-28,0.1598,0.1598,0.1577,0.1587,346204
1980-02-29,0.1587,0.1609,0.1577,0.1609,807951
1980-03-03,0.1609,0.1660,0.1609,0.1640,432595
1980-03-04,0.1640,0.1660,0.1640,0.1650,124300
1980-03-05,0.1650,0.1650,0.1598,0.1598,698494
1980-03-06,0.1587,0.1587,0.1504,0.1557,721027
1980-03-07,0.1557,0.1577,0.1504,0.1515,550915
1980-03-10,0.1515,0.1525,0.1453,0.1525,1286144
1980-03-11,0.1525,0.1546,0.1504,0.1504,579961
1980-03-12,0.1557,0.1567,0.1557,0.1567,625559
1980-03-13,0.1567,0.1598,0.1546,0.1598,1491282
1980-03-14,0.1598,0.1598,0.1567,0.1577,1062959
1980-03-17,0.1577,0.1598,0.1567,0.1567,2133606
1980-03-18,0.1567,0.1619,0.1557,0.1619,602706
1980-03-19,0.1640,0.1660,0.1640,0.1640,255114
1980-03-20,0.1660,0.1681,0.1660,0.1671,573874
1980-03-21,0.1650,0.1650,0.1630,0.1650,151851
1980-03-24,0.1650,0.1650,0.1598,0.1598,1366768
1980-03-25,0.1557,0.1557,0.1536,0.1546,784885
1980-03-26,0.1546,0.1619,0.1546,0.1619,1371146
1980-03-27,0.1598,0.1598,0.1536,0.1567,1085491
1980-03-28,0.1567,0.1619,0.1546,0.1619,493250
1980-03-31,0.1619,0.1619,0.1536,0.1619,967171
1980-04-01,0.1619,0.1640,0.1619,0.1640,432595
1980-04-02,0.1640,0.1650,0.1619,0.1640,232155
1980-04-03,0.1640,0.1650,0.1630,0.1630,14950
1980-04-07,0.1630,0.1630,0.1598,0.1598,113515
1980-04-08,0.1577,0.1577,0.1546,0.1577,323245
1980-04-09,0.1577,0.1630,0.1546,0.1577,425226
1980-04-10,0.1577,0.1630,0.1557,0.1557,625559
1980-04-11,0.1567,0.1630,0.1567,0.1567,614773
1980-04-14,0.1567,0.1567,0.1546,0.1567,151851
1980-04-15,0.1567,0.1577,0.1546,0.1546,238242
1980-04-16,0.1546,0.1567,0.1536,0.1536,232155
1980-04-17,0.1536,0.1536,0.1494,0.1504,1343809
1980-04-18,0.1504,0.1515,0.1474,0.1474,128785
1980-04-21,0.1474,0.1494,0.1474,0.1474,238242
1980-04-22,0.1474,0.1515,0.1474,0.1494,1708273
1980-04-23,0.1494,0.1536,0.1474,0.1525,5900095
1980-04-24,0.1525,0.1536,0.1515,0.1515,3444418
1980-04-25,0.1504,0.1504,0.1494,0.1494,797059
1980-04-28,0.1494,0.1515,0.1494,0.1494,1855853
1980-04-29,0.1504,0.1525,0.1504,0.1525,186450
1980-04-30,0.1536,0.1557,0.1536,0.1557,124300
1980-05-01,0.1557,0.1557,0.1525,0.1546,956706
1980-05-02,0.1557,0.1660,0.1557,0.1630,5409621
1980-05-05,0.1630,0.1650,0.1587,0.1650,2178991
1980-05-06,0.1650,0.1650,0.1609,0.1619,1564218
1980-05-07,0.1619,0.1640,0.1609,0.1619,6302682
1980-05-08,0.1619,0.1640,0.1619,0.1640,432595
1980-05-09,0.1640,0.1640,0.1619,0.1630,238242
1980-05-12,0.1630,0.1650,0.1630,0.1650,857821
1980-05-13,0.1660,0.1743,0.1660,0.1743,2493586
1980-05-14,0.1753,0.1889,0.1753,0.1878,1878385
1980-05-15,0.1847,0.1847,0.1806,0.1826,614773
1980-05-16,0.1826,0.1972,0.1826,0.1930,2460268
1980-05-19,0.1910,0.1910,0.1889,0.1889,1108450
1980-05-20,0.1899,0.1910,0.1899,0.1910,455447
1980-05-21,0.1910,0.1919,0.1889,0.1919,1024836
1980-05-22,0.1919,0.1993,0.1889,0.1993,1404571
1980-05-23,0.1993,0.2024,0.1993,0.2013,1172416
1980-05-27,0.2013,0.2034,0.2013,0.2034,1257418
1980-05-28,0.2034,0.2045,0.2013,0.2034,1708273
1980-05-29,0.2034,0.2034,0.2003,0.2003,2475432
1980-05-30,0.1993,0.1993,0.1972,0.1993,637839
1980-06-02,0.1993,0.2096,0.1993,0.2076,1923877
1980-06-03,0.2076,0.2345,0.2055,0.2325,4115682
1980-06-04,0.2283,0.2283,0.2252,0.2262,12221144
1980-06-05,0.2272,0.2293,0.2272,0.2283,3518742
1980-06-06,0.2283,0.2314,0.2283,0.2283,1822536
1980-06-09,0.2283,0.2314,0.2272,0.2283,1468323
1980-06-10,0.2283,0.2345,0.2262,0.2325,2949353
1980-06-11,0.2335,0.2366,0.2335,0.2356,295800
1980-06-12,0.2356,0.2387,0.2325,0.2335,4183812
1980-06-13,0.2345,0.2459,0.2345,0.2377,2419155
1980-06-16,0.2449,0.2491,0.2449,0.2459,2437309
1980-06-17,0.2459,0.2532,0.2428,0.2501,3568932
1980-06-18,0.2501,0.2564,0.2491,0.2491,8228374
1980-06-19,0.2491,0.2511,0.2459,0.2459,1621883
1980-06-20,0.2428,0.2428,0.2377,0.2408,1495767
1980-06-23,0.2408,0.2428,0.2387,0.2428,1172416
1980-06-24,0.2438,0.2480,0.2438,0.2480,488765
1980-06-25,0.2480,0.2553,0.2449,0.2491,4651646
1980-06-26,0.2480,0.2480,0.2428,0.2470,493250
1980-06-27,0.2459,0.2459,0.2408,0.2459,318653
1980-06-30,0.2459,0.2480,0.2366,0.2480,1735611
1980-07-01,0.2470,0.2470,0.2438,0.2449,215496
1980-07-02,0.2449,0.2470,0.2408,0.2459,3348630
1980-07-03,0.2459,0.2480,0.2449,0.2480,665070
1980-07-07,0.2480,0.2511,0.2480,0.2480,2482800
1980-07-08,0.2491,0.2553,0.2491,0.2501,4867250
1980-07-09,0.2501,0.2605,0.2501,0.2532,2505653
1980-07-10,0.2532,0.2532,0.2491,0.2491,4202073
1980-07-11,0.2491,0.2521,0.2470,0.2511,6279723
1980-07-14,0.2532,0.2698,0.2532,0.2677,1837486
1980-07-15,0.2698,0.2813,0.2698,0.2698,4297861
1980-07-16,0.2698,0.2781,0.2687,0.2730,432595
1980-07-17,0.2730,0.2771,0.2730,0.2760,721027
1980-07-18,0.2781,0.2989,0.2781,0.2968,3432351
1980-07-21,0.2968,0.3030,0.2958,0.3020,1435005
1980-07-22,0.3040,0.3238,0.3040,0.3113,4401124
1980-07-23,0.3113,0.3196,0.3030,0.3134,1855853
1980-07-24,0.3134,0.3206,0.3113,0.3134,807951
1980-07-25,0.3113,0.3113,0.3051,0.3051,853336
1980-07-28,0.3051,0.3113,0.3051,0.3093,261094
1980-07-29,0.3093,0.3238,0.3093,0.3238,573874
1980-07-30,0.3238,0.3321,0.3227,0.3311,1240653
1980-07-31,0.3311,0.3342,0.3311,0.3332,2460268
1980-08-01,0.3362,0.3435,0.3362,0.3393,1513921
1980-08-04,0.3393,0.3425,0.3321,0.3414,3227106
1980-08-05,0.3425,0.3528,0.3425,0.3508,2516438
1980-08-06,0.3508,0.3508,0.3455,0.3466,1860338
1980-08-07,0.3466,0.3487,0.3425,0.3487,2801773
1980-08-08,0.3487,0.3674,0.3487,0.3591,4191714
1980-08-11,0.3591,0.3591,0.3528,0.3560,1518726
1980-08-12,0.3560,0.3611,0.3445,0.3445,1495767
1980-08-13,0.3404,0.3404,0.3279,0.3311,1753765
1980-08-14,0.3311,0.3425,0.3217,0.3404,1860338
1980-08-15,0.3404,0.3445,0.3342,0.3445,869995
1980-08-18,0.3404,0.3404,0.3311,0.3311,1240653
1980-08-19,0.3279,0.3279,0.3155,0.3155,2247655
1980-08-20,0.3155,0.3217,0.3134,0.3196,1553432
1980-08-21,0.3217,0.3445,0.3217,0.3383,1240653
1980-08-22,0.3383,0.3455,0.3342,0.3445,4738464
1980-08-25,0.3445,0.3487,0.3362,0.3362,1194948
1980-08-26,0.3362,0.3549,0.3342,0.3498,642111
1980-08-27,0.3498,0.3570,0.3435,0.3487,2088008
1980-08-28,0.3487,0.3508,0.3466,0.3487,602706
1980-08-29,0.3487,0.3487,0.3477,0.3487,1564218
1980-09-02,0.3477,0.3477,0.3404,0.3477,368736
1980-09-03,0.3477,0.3518,0.3445,0.3445,1172416
1980-09-04,0.3435,0.3435,0.3321,0.3342,869995
