date,open,high,low,close,volume
2016-11-10,29.9419,30.2316,27.8673,28.3439,35019076
2016-11-11,27.8486,28.1196,26.9608,27.9327,6020148
2016-11-14,27.4187,28.4373,26.8674,28.2131,4481917
2016-11-15,27.6991,28.6892,27.6804,28.4373,3667256
2016-11-16,28.7551,29.9419,28.6056,29.6242,4342310
2016-11-17,29.3438,30.8998,28.6289,30.3811,5252133
2016-11-18,30.0354,30.9325,29.7083,30.5400,4253380
2016-11-21,30.1475,30.3718,29.2410,29.6616,5036677
2016-11-22,29.4560,30.9792,28.4373,30.5587,5601830
2016-11-23,30.5587,31.2783,30.3718,30.8577,3620409
2016-11-25,30.6148,30.6335,30.1569,30.4559,827809
2016-11-28,30.1569,31.3063,30.0634,30.5961,1929250
2016-11-29,30.8858,31.1755,30.5774,31.0166,2139479
2016-11-30,31.0820,32.0539,30.8391,31.2876,2764920
2016-12-01,30.8764,31.0820,30.0774,30.3811,2914939
2016-12-02,30.0541,31.0353,29.9139,30.8297,1213120
2016-12-05,30.7176,31.5488,30.6055,31.4465,2004735
2016-12-06,31.2596,31.6427,31.0353,31.6054,1622915
2016-12-07,31.8390,32.6894,31.7736,32.4745,3809431
2016-12-08,32.6240,33.6426,32.3436,33.5772,2602986
2016-12-09,33.4744,34.1192,33.2688,33.9977,1993074
2016-12-12,33.9977,34.7780,33.9323,34.3248,1258339
2016-12-13,34.5491,34.6612,33.3342,34.1846,1814756
2016-12-14,34.2220,34.5771,32.6801,32.8483,3886277
2016-12-15,32.7642,32.9548,31.9137,32.1287,1555074
2016-12-16,32.0913,33.1473,32.0352,32.9511,3783968
2016-12-19,32.9978,33.4931,32.0259,32.2221,1983266
2016-12-20,31.9792,32.8109,31.9605,32.6614,944998
2016-12-21,32.3717,32.9137,32.2034,32.7268,703934
2016-12-22,32.7081,34.2220,32.5212,33.9510,1438479
2016-12-23,34.0258,34.6425,33.6146,34.4369,888289
2016-12-27,34.2500,35.0350,34.2127,34.8949,822236
2016-12-28,34.8107,35.1939,34.5865,34.7921,534220
2016-12-29,34.9229,35.4743,34.7108,35.2967,658516
2016-12-30,35.2687,35.9976,35.2079,35.3715,773230
2017-01-03,35.2406,36.0723,34.9135,35.0350,2006963
2017-01-04,35.2032,35.8948,34.0396,34.5584,1712669
2017-01-05,34.5584,35.2406,34.0912,34.2220,1099591
2017-01-06,34.0351,34.5397,33.6987,34.4183,1367990
2017-01-09,34.3996,34.6612,33.7361,34.4743,1333756
2017-01-10,36.2499,36.4088,33.8202,34.4276,3712586
2017-01-11,34.2968,34.7640,33.6613,34.4743,2185874
2017-01-12,34.2874,34.5865,33.7548,34.5397,1235201
2017-01-13,34.4743,34.8575,34.1566,34.7827,1010164
2017-01-17,34.7080,34.7827,34.3435,34.4743,1907181
2017-01-18,34.3435,34.4650,34.0258,34.2407,1214200
2017-01-19,34.3809,34.5771,33.9510,34.5397,890406
2017-01-20,34.5304,35.1004,34.3622,34.6799,1337042
2017-01-23,34.5584,34.9696,34.0781,34.3622,2035285
2017-01-24,34.2594,35.2032,34.1940,35.0350,1199629
2017-01-25,34.9977,35.3246,34.0538,34.2687,1183305
2017-01-26,34.1826,34.6335,34.0511,34.1262,1015269
2017-01-27,34.1920,34.3235,33.6378,34.2295,1088390
2017-01-30,34.0041,34.6898,34.0041,34.5489,912896
2017-01-31,34.4550,35.2722,34.4550,35.0937,1625296
2017-02-01,35.3004,35.6667,34.9059,35.4789,2212174
2017-02-02,35.4131,36.4558,35.3286,36.0894,2496332
2017-02-03,36.1552,37.0757,36.1271,36.5403,1495201
2017-02-06,36.7564,36.9630,36.3722,36.8597,1097753
2017-02-07,36.8691,37.3857,36.6155,37.0194,1362245
2017-02-08,36.8973,37.2824,36.2397,36.7845,1575213
2017-02-09,36.6906,37.1227,36.3431,36.7094,1138886
2017-02-10,36.6343,37.1697,36.2585,36.8879,868909
2017-02-13,36.8597,37.3012,36.4746,37.0382,1128260
2017-02-14,36.9442,37.3294,36.8691,37.2448,1098381
2017-02-15,37.1039,37.3388,36.8221,37.2260,1387718
2017-02-16,37.1697,37.7239,37.1602,37.4797,1034842
2017-02-17,37.3575,37.5266,36.9161,37.2166,1487957
2017-02-21,37.1603,37.6957,36.9161,37.2166,1295408
2017-02-22,37.0194,37.5736,37.0194,37.4327,800763
2017-02-23,37.5266,37.5266,36.8879,37.1039,564214
2017-02-24,37.1039,37.2542,36.9362,37.1791,374959
2017-02-27,37.2918,37.2918,36.7094,37.0851,603491
2017-02-28,37.0476,37.3763,36.8127,36.8127,653900
2017-03-01,36.7282,37.6112,36.7000,37.5266,734412
2017-03-02,37.2918,37.9399,37.1575,37.7802,818892
2017-03-03,37.6487,38.0123,37.1321,37.9493,1254144
2017-03-06,37.9211,38.1466,37.6300,37.9681,1784398
2017-03-07,37.8178,38.5599,37.6159,38.2687,1684017
2017-03-08,38.1842,38.5881,37.9681,38.2499,1926522
2017-03-09,38.3157,38.6069,38.0808,38.4941,1533904
2017-03-10,38.5317,39.0765,38.3856,38.8887,1544140
2017-03-13,38.8793,39.0859,38.8041,39.0108,1383880
2017-03-14,38.9826,39.6871,38.8165,39.6495,992609
2017-03-15,39.8656,40.8331,39.7153,39.7904,2309856
2017-03-16,39.7153,39.9219,39.2174,39.4429,1065257
2017-03-17,39.3959,39.8186,39.1418,39.6871,1608966
2017-03-20,39.7435,40.0441,39.5378,39.9032,1693155
2017-03-21,40.0065,40.5090,39.9595,40.2695,1640736
2017-03-22,40.4104,40.8425,39.8562,39.8656,1391719
2017-03-23,39.8280,40.6546,39.6589,40.4010,1135576
2017-03-24,40.3916,40.6124,40.0816,40.0816,1338311
2017-03-27,39.9501,40.4104,39.6589,40.3540,812738
2017-03-28,40.2601,40.5795,40.0722,40.3165,901945
2017-03-29,40.2789,40.3446,39.9407,40.0534,704039
2017-03-30,40.1098,40.1098,39.5086,39.5368,641004
2017-03-31,39.5180,39.5885,39.2738,39.5086,1003812
2017-04-03,39.4617,39.6871,39.2174,39.4523,914679
2017-04-04,39.5274,39.6589,39.0202,39.6307,1297662
2017-04-05,39.5744,39.9219,39.1705,39.2080,816318
2017-04-06,40.5043,40.7673,38.1466,40.5231,2956532
2017-04-07,39.5744,40.6358,39.2174,40.3822,2618197
2017-04-10,40.3353,40.4010,39.6214,40.1662,1236697
2017-04-11,40.1850,40.2883,39.5409,40.2789,1170516
2017-04-12,40.2977,40.3446,39.5274,39.6026,717625
2017-04-13,39.6214,39.7716,39.3302,39.3302,531793
2017-04-17,39.3489,39.6965,39.2221,39.6683,508809
2017-04-18,39.7059,39.8656,39.4429,39.8092,812945
2017-04-19,39.7247,39.8186,39.4617,39.6401,526314
2017-04-20,39.7435,40.1474,39.4711,40.0159,415618
2017-04-21,39.9877,39.9877,39.4898,39.6965,1035046
2017-04-24,39.9501,40.1192,39.6401,40.0816,555585
2017-04-25,40.2413,40.3259,39.7153,39.8844,840056
2017-04-26,39.9388,39.9859,39.5897,39.8538,901229
2017-04-27,39.7595,40.4294,39.7501,40.2312,991385
2017-04-28,40.1841,40.2312,39.2028,39.3915,1186078
2017-05-01,39.4953,39.5991,39.0141,39.4387,1440256
2017-05-02,39.3255,39.6463,38.5990,39.0519,1039744
2017-05-03,38.8443,39.0990,38.5235,38.5895,800552
