date,open,high,low,close,volume
2010-04-28,10.3281,10.3281,10.0728,10.2120,5244400
2010-04-29,10.2120,10.7923,10.1656,10.6762,8773600
2010-04-30,10.6530,10.6762,10.3281,10.3513,1644400
2010-05-03,10.5602,10.6530,10.5138,10.5834,3302700
2010-05-04,10.5834,10.5834,9.9800,9.9800,2276500
2010-05-05,10.2120,10.2120,9.2837,9.5575,6999200
2010-05-06,9.5158,9.5390,8.5642,9.0284,8029400
2010-05-07,9.0516,9.0748,8.3089,8.6338,3881500
2010-05-10,9.1676,9.2141,8.6802,8.8241,3861100
2010-05-11,8.7034,8.9495,8.7034,8.7731,2626900
2010-05-12,8.9123,9.3022,8.9123,9.1908,5714300
2010-05-13,9.2141,9.3301,9.0980,9.1212,2475900
2010-05-14,8.9588,9.0052,8.7034,8.7034,3133400
2010-05-17,8.8195,8.9123,8.6802,8.7499,10117000
2010-05-18,8.8427,8.9680,8.4714,8.7220,6219800
2010-05-19,8.7731,8.7870,8.1464,8.2161,6227700
2010-05-20,7.9561,7.9561,7.5198,7.8447,10248400
2010-05-21,7.5894,7.9468,7.5430,7.6822,4560800
2010-05-24,7.7519,7.9608,7.7426,7.8447,1761300
2010-05-25,7.7936,7.7936,7.5198,7.6915,4649600
2010-05-26,7.8865,8.0768,7.7983,7.9608,2079300
2010-05-27,8.1928,8.3553,8.1928,8.3089,3156100
2010-05-28,8.3089,8.3089,7.5430,8.2485,222200
2010-06-01,8.1928,8.2625,7.9840,8.1232,900800
2010-06-02,8.1743,8.1975,7.9932,8.0443,829900
2010-06-03,8.1000,8.1232,7.9608,8.0443,2173600
2010-06-04,7.9143,7.9375,7.7751,7.9143,3147200
2010-06-07,7.9608,7.9840,7.7704,7.8401,2826800
2010-06-08,7.9051,7.9051,7.6590,7.7751,2037700
2010-06-09,7.7936,7.9375,7.7519,7.7936,1410200
2010-06-10,7.8772,7.9236,7.8215,7.8772,1401000
2010-06-11,7.8633,7.9793,7.8633,7.9561,452500
2010-06-14,7.9793,8.1604,7.9793,8.1186,1008500
2010-06-15,8.1139,8.3553,8.0536,8.3414,1974300
2010-06-16,8.3228,8.3414,8.1836,8.1882,1041500
2010-06-17,8.2068,8.2393,7.9561,8.0304,1090600
2010-06-18,8.0443,8.0536,7.9608,7.9886,1373700
2010-06-21,8.1000,8.1371,7.9329,7.9375,514100
2010-06-22,7.9329,7.9375,7.7983,7.8169,1502900
2010-06-23,7.8447,7.8679,7.7055,7.7287,1125700
2010-06-24,7.7472,7.8540,7.5894,7.7983,2151600
2010-06-25,7.8447,7.8540,7.7519,7.8076,612000
2010-06-28,7.8308,7.8308,7.7519,7.8308,355800
2010-06-29,7.7704,7.7704,7.5430,7.5430,2561000
2010-06-30,7.5523,7.6590,7.4966,7.4966,1534100
2010-07-01,7.5383,7.5662,7.1484,7.2181,4006100
2010-07-02,7.2320,7.2830,7.1484,7.1856,231700
2010-07-06,7.1949,7.2366,6.9163,6.9906,833700
2010-07-07,6.9860,7.0324,6.8978,6.9628,2137200
2010-07-08,6.9396,7.0324,6.9396,6.9860,2422200
2010-07-09,7.0092,7.4362,6.9628,7.3341,1478700
2010-07-12,7.3434,7.4362,7.3341,7.3434,786100
2010-07-13,7.3480,7.6590,7.3480,7.6126,1647300
2010-07-14,7.6126,7.6358,7.5430,7.6126,1537200
2010-07-15,7.6265,7.6265,7.4269,7.5987,905900
2010-07-16,7.5662,7.5662,7.4269,7.5198,624700
2010-07-19,7.5082,7.7519,7.4780,7.6358,497300
2010-07-20,7.6312,7.6312,7.4966,7.5151,1244700
2010-07-21,7.5151,7.5662,7.5151,7.5383,1801200
2010-07-22,7.5476,7.7008,7.5476,7.6822,1126300
2010-07-23,7.6822,7.7936,7.6683,7.7890,1415100
2010-07-26,7.8911,8.2161,7.8911,8.1928,3400400
