date,open,high,low,close,volume
1983-06-10,3.0518,3.1154,3.0385,3.0775,465600
1983-06-13,3.0518,3.0775,3.0005,3.0775,494400
1983-06-14,3.1031,3.1287,3.0775,3.1154,463600
1983-06-15,3.0898,3.1544,3.0775,3.1411,399200
1983-06-16,3.1411,3.3216,3.1411,3.3083,903200
1983-06-17,3.3339,3.5391,3.3339,3.5391,1201200
1983-06-20,3.5134,3.6550,3.5134,3.6037,555200
1983-06-21,3.5904,3.6417,3.5904,3.6160,513600
1983-06-22,3.6929,3.7442,3.6417,3.7442,608400
1983-06-23,3.7955,3.7955,3.7186,3.7319,414400
1983-06-24,3.7186,3.7319,3.6160,3.6417,288000
1983-06-27,3.6160,3.6293,3.5391,3.5647,206800
1983-06-28,3.5391,3.5647,3.4621,3.4878,310400
1983-06-29,3.4621,3.4878,3.3852,3.4108,243600
1983-06-30,3.4365,3.4365,3.3216,3.3472,338000
1983-07-01,3.3729,3.4108,3.3339,3.3852,94800
1983-07-05,3.3596,3.3729,3.3083,3.3729,74800
1983-07-06,3.3729,3.3985,3.2693,3.2826,118000
1983-07-07,3.2960,3.3729,3.2826,3.3083,710000
1983-07-08,3.3216,3.3216,3.2570,3.2960,98800
1983-07-11,3.3083,3.3083,3.2570,3.2960,140000
1983-07-12,3.3083,3.3729,3.1544,3.1544,406000
1983-07-13,3.1287,3.1287,3.0775,3.1287,535200
1983-07-14,3.2436,3.2826,3.1031,3.2826,151600
1983-07-15,3.2826,3.3083,3.2436,3.3083,96400
1983-07-18,3.3083,3.3472,3.2826,3.3216,174800
1983-07-19,3.2960,3.3472,3.2960,3.3216,214400
1983-07-20,3.3729,3.4242,3.3339,3.3985,346800
1983-07-21,3.3985,3.4755,3.3472,3.3472,260800
1983-07-22,3.3216,3.3596,3.2960,3.3472,254000
1983-07-25,3.3472,3.3596,3.3216,3.3472,68000
1983-07-26,3.3472,3.3596,3.3083,3.3596,332800
1983-07-27,3.3339,3.3596,3.3216,3.3339,172800
1983-07-28,3.2826,3.3083,3.1287,3.1544,534400
1983-07-29,3.0775,3.1667,3.0775,3.1667,409600
1983-08-01,3.1411,3.1667,2.9872,2.9872,325200
1983-08-02,3.0128,3.0775,3.0005,3.0262,835200
1983-08-03,3.0262,3.0385,2.9872,3.0005,466800
1983-08-04,2.9236,2.9872,2.8723,2.9615,1443600
1983-08-05,2.9615,3.0385,2.9492,2.9492,428800
1983-08-08,2.8979,2.9359,2.8723,2.8846,594800
1983-08-09,2.8846,2.8979,2.8210,2.8723,344000
1983-08-10,2.8723,2.8979,2.8723,2.8846,153200
1983-08-11,2.8979,2.9749,2.8979,2.9749,398400
1983-08-12,3.0005,3.0518,3.0005,3.0262,322400
1983-08-15,3.0262,3.1031,3.0128,3.0898,485200
1983-08-16,3.1031,3.1154,3.0385,3.0898,87200
1983-08-17,3.0641,3.2570,3.0385,3.2313,114000
1983-08-18,3.3339,3.3472,3.1544,3.1923,154800
1983-08-19,3.2313,3.2313,3.1923,3.1923,63200
1983-08-22,3.2313,3.3083,3.2313,3.3083,173600
