date,open,high,low,close,volume
1970-01-02,0.1829,0.1882,0.1829,0.1882,2825604
1970-01-05,0.1882,0.1914,0.1872,0.1914,2210450
1970-01-06,0.1914,0.1946,0.1914,0.1925,1951169
1970-01-07,0.1925,0.1946,0.1914,0.1914,2728769
1970-01-08,0.1914,0.1930,0.1914,0.1914,2242404
1970-01-09,0.1914,0.1920,0.1850,0.1861,3288033
1970-01-12,0.1861,0.1866,0.1765,0.1787,2462441
1970-01-13,0.1776,0.1776,0.1739,0.1755,2380793
1970-01-14,0.1755,0.1760,0.1739,0.1760,1003955
1970-01-15,0.1760,0.1760,0.1739,0.1750,1869642
1970-01-16,0.1750,0.1755,0.1712,0.1733,1635147
1970-01-19,0.1733,0.1739,0.1665,0.1665,1286442
1970-01-20,0.1665,0.1712,0.1627,0.1712,2851241
1970-01-21,0.1712,0.1755,0.1702,0.1702,1188756
1970-01-22,0.1702,0.1723,0.1665,0.1670,1966356
1970-01-23,0.1680,0.1702,0.1680,0.1685,1829547
1970-01-26,0.1675,0.1675,0.1654,0.1659,1700028
1970-01-27,0.1659,0.1665,0.1648,0.1659,1853604
1970-01-28,0.1659,0.1659,0.1627,0.1632,1869642
1970-01-29,0.1632,0.1638,0.1580,0.1585,3262397
1970-01-30,0.1585,0.1611,0.1585,0.1606,2971161
1970-02-02,0.1627,0.1670,0.1627,0.1659,3651197
1970-02-03,0.1659,0.1787,0.1659,0.1723,4039997
1970-02-04,0.1728,0.1787,0.1728,0.1765,1440747
1970-02-05,0.1765,0.1787,0.1744,0.1787,324041
1970-02-06,0.1813,0.1882,0.1813,0.1882,1480842
1970-02-09,0.1882,0.1914,0.1872,0.1877,929597
1970-02-10,0.1872,0.1872,0.1819,0.1835,760833
1970-02-11,0.1835,0.1840,0.1776,0.1824,2355156
1970-02-12,0.1824,0.1829,0.1787,0.1803,655250
1970-02-13,0.1803,0.1835,0.1787,0.1835,703242
1970-02-16,0.1835,0.1850,0.1813,0.1819,420755
1970-02-17,0.1819,0.1829,0.1787,0.1808,777600
1970-02-18,0.1824,0.1888,0.1824,0.1877,1068836
1970-02-19,0.1893,0.1925,0.1893,0.1893,3434441
1970-02-20,0.1866,0.1866,0.1850,0.1866,1684841
1970-02-24,0.1866,0.1866,0.1803,0.1808,1749600
1970-02-25,0.1813,0.1914,0.1813,0.1914,4373636
1970-02-26,0.1914,0.1930,0.1872,0.1909,1577556
1970-02-27,0.1909,0.1930,0.1898,0.1920,1238450
1970-03-02,0.1920,0.1920,0.1893,0.1893,1367969
1970-03-03,0.1893,0.1925,0.1893,0.1914,1149633
1970-03-04,0.1914,0.1936,0.1893,0.1893,1238450
1970-03-05,0.1893,0.1898,0.1835,0.1856,2193561
