date,open,high,low,close,volume
1994-10-31,4.2334,4.2954,4.2334,4.2954,1984200
1994-11-01,4.2954,4.2954,4.2334,4.2644,2176400
1994-11-02,4.2644,4.2644,4.2334,4.2334,2348200
1994-11-03,4.2334,4.2644,4.1998,4.2334,2060800
1994-11-04,4.2334,4.2644,4.1998,4.1998,2663800
1994-11-07,4.1662,4.1662,4.1352,4.1662,1049400
1994-11-08,4.1662,4.1662,4.0705,4.0705,5761000
1994-11-09,4.1041,4.1662,4.1041,4.1352,2480000
1994-11-10,4.1352,4.1662,4.1352,4.1662,1956000
1994-11-11,4.1662,4.1662,4.1352,4.1352,1300200
1994-11-14,4.2721,4.2721,4.2372,4.2721,1419200
1994-11-15,4.2721,4.2721,4.2372,4.2372,3118800
1994-11-16,4.2372,4.2721,4.2372,4.2372,813400
1994-11-17,4.2372,4.2372,4.1699,4.2022,1477600
1994-11-18,4.2022,4.2022,4.1376,4.1699,2452600
1994-11-21,4.1699,4.1699,4.0677,4.0677,3276000
1994-11-22,4.0677,4.1027,4.0031,4.0031,2725000
1994-11-23,4.0031,4.0354,3.9332,4.0354,2634200
1994-11-25,4.0354,4.0354,4.0354,4.0354,640800
1994-11-28,4.0354,4.0677,4.0031,4.0677,1583400
1994-11-29,4.0677,4.0677,4.0031,4.0354,1056400
1994-11-30,4.0354,4.0354,4.0031,4.0354,1086800
1994-12-01,4.0354,4.0354,4.0031,4.0031,979000
1994-12-02,4.0031,4.0354,3.9681,4.0354,1257200
1994-12-05,4.0354,4.0677,4.0031,4.0031,1071200
1994-12-06,4.0031,4.0031,3.9681,4.0031,1819200
1994-12-07,4.0031,4.0031,3.9332,3.9681,1223400
1994-12-08,3.9681,4.0031,3.9681,3.9681,1178400
1994-12-09,3.9681,3.9681,3.9332,3.9681,1682000
1994-12-12,3.9681,4.0031,3.9332,3.9681,1011400
1994-12-13,3.9681,4.0354,3.9681,4.0031,1555200
1994-12-14,4.0031,4.0354,4.0031,4.0354,1351600
1994-12-15,4.0354,4.0677,3.9681,4.0354,2600400
1994-12-16,4.0354,4.0677,4.0031,4.0354,3428800
1994-12-19,4.0354,4.1027,3.9681,4.0677,3590000
1994-12-20,4.0677,4.1027,4.0677,4.1027,1464200
1994-12-21,4.1027,4.1376,4.1027,4.1027,3717600
1994-12-22,4.1027,4.1699,4.1027,4.1699,1467200
1994-12-23,4.1699,4.1699,4.1027,4.1027,1012000
1994-12-27,4.1027,4.1699,4.1027,4.1699,3242800
1994-12-28,4.1699,4.1699,4.1027,4.1699,1814400
1994-12-29,4.1699,4.2022,4.1699,4.2022,1436200
1994-12-30,4.2022,4.2022,4.1376,4.2022,1365600
1995-01-03,4.2022,4.2022,4.1376,4.1699,1064200
1995-01-04,4.1699,4.2022,4.1027,4.1376,1751600
1995-01-05,4.1376,4.1699,4.1027,4.1699,1600200
1995-01-06,4.1699,4.2022,4.1376,4.1376,2230600
1995-01-09,4.1376,4.1699,4.1027,4.1376,2108800
1995-01-10,4.1376,4.1699,4.1376,4.1376,1580600
1995-01-11,4.1376,4.1376,4.0677,4.1027,3488600
1995-01-12,4.0677,4.0677,4.0354,4.0354,1875600
1995-01-13,4.0677,4.0677,4.0677,4.0677,2206600
1995-01-16,4.0677,4.1027,4.0677,4.1027,3502000
1995-01-17,4.1027,4.1376,4.1027,4.1027,1322800
1995-01-18,4.1027,4.1027,4.0677,4.0677,2150400
1995-01-19,4.0354,4.0354,4.0031,4.0354,3214600
1995-01-20,4.0354,4.0677,4.0031,4.0354,2263800
1995-01-23,4.0354,4.0677,4.0031,4.0677,4176200
1995-01-24,4.0677,4.1027,4.0354,4.0677,1362800
1995-01-25,4.0677,4.1027,4.0677,4.1027,2840000
1995-01-26,3.8336,3.8336,3.6991,3.7987,14524000
1995-01-27,3.7987,3.8336,3.7341,3.7341,7288800
1995-01-30,3.7341,3.7664,3.7341,3.7664,3881000
1995-01-31,3.7664,3.7987,3.7664,3.7987,2975200
1995-02-01,3.7987,3.7987,3.6991,3.7341,2668000
1995-02-02,3.7341,3.7664,3.6991,3.7341,1846800
1995-02-03,3.7341,3.7987,3.7341,3.7987,3790800
1995-02-06,3.7987,3.8336,3.7664,3.7987,2963200
1995-02-07,3.8336,3.8686,3.8336,3.8686,2994800
1995-02-08,3.8686,3.9332,3.8336,3.8686,3764800
1995-02-09,3.8686,3.9009,3.7987,3.9009,1978400
1995-02-10,3.9009,3.9009,3.8686,3.8686,1724200
1995-02-13,4.0451,4.0451,4.0085,4.0085,1560000
1995-02-14,4.0085,4.0451,3.9719,4.0085,1967200
1995-02-15,4.0085,4.0451,4.0085,4.0451,1822800
