date,open,high,low,close,volume
1981-12-31,0.3844,0.3863,0.3825,0.3863,563200
1982-01-04,0.3875,0.3900,0.3837,0.3900,1305600
1982-01-05,0.3875,0.3900,0.3837,0.3875,486400
1982-01-06,0.3825,0.3837,0.3799,0.3799,595200
1982-01-07,0.3761,0.3799,0.3724,0.3749,4870400
1982-01-08,0.3774,0.3799,0.3737,0.3749,198400
1982-01-11,0.3749,0.3774,0.3724,0.3737,1612800
1982-01-12,0.3662,0.3699,0.3623,0.3635,6675200
1982-01-13,0.3648,0.3674,0.3611,0.3635,889600
1982-01-14,0.3560,0.3623,0.3497,0.3523,2380800
1982-01-15,0.3598,0.3662,0.3523,0.3598,1715200
1982-01-18,0.3674,0.3724,0.3623,0.3724,544000
1982-01-19,0.3724,0.3724,0.3711,0.3724,96000
1982-01-20,0.3724,0.3724,0.3711,0.3724,204800
1982-01-21,0.3674,0.3737,0.3598,0.3598,1305600
1982-01-22,0.3623,0.3648,0.3598,0.3648,268800
1982-01-25,0.3635,0.3674,0.3598,0.3674,768000
1982-01-26,0.3611,0.3623,0.3585,0.3598,396800
1982-01-27,0.3674,0.3711,0.3623,0.3648,2163200
1982-01-28,0.3687,0.3749,0.3623,0.3623,3699200
1982-01-29,0.3737,0.3774,0.3699,0.3699,1619200
1982-02-01,0.3737,0.3749,0.3711,0.3724,2713600
1982-02-02,0.3737,0.3774,0.3699,0.3724,947200
1982-02-03,0.3687,0.3724,0.3648,0.3662,608000
1982-02-04,0.3674,0.3724,0.3611,0.3724,4160000
1982-02-05,0.3825,0.3888,0.3749,0.3863,889600
1982-02-08,0.3912,0.3988,0.3825,0.3875,1568000
1982-02-09,0.3786,0.3837,0.3737,0.3737,268800
1982-02-10,0.3674,0.3724,0.3623,0.3623,2457600
1982-02-11,0.3635,0.3662,0.3611,0.3623,3635200
1982-02-12,0.3648,0.3662,0.3623,0.3623,640000
1982-02-16,0.3623,0.3648,0.3598,0.3611,1337600
1982-02-17,0.3648,0.3674,0.3623,0.3674,1216000
1982-02-18,0.3711,0.3724,0.3699,0.3699,454400
1982-02-19,0.3737,0.3774,0.3699,0.3699,627200
1982-02-22,0.3737,0.3774,0.3699,0.3699,716800
1982-02-23,0.3635,0.3687,0.3573,0.3598,1952000
1982-02-24,0.3623,0.3662,0.3585,0.3662,812800
1982-02-25,0.3786,0.3875,0.3687,0.3761,2668800
1982-02-26,0.3799,0.3825,0.3761,0.3825,3539200
1982-03-01,0.3837,0.3875,0.3786,0.3875,704000
1982-03-02,0.3863,0.3900,0.3825,0.3900,857600
1982-03-03,0.3875,0.3900,0.3850,0.3875,1036800
1982-03-04,0.3837,0.3875,0.3786,0.3825,3001600
1982-03-05,0.3761,0.3799,0.3724,0.3724,2220800
1982-03-08,0.3662,0.3786,0.3523,0.3523,2041600
1982-03-09,0.3548,0.3611,0.3472,0.3611,2310400
1982-03-10,0.3573,0.3598,0.3548,0.3598,492800
1982-03-11,0.3724,0.3799,0.3648,0.3786,902400
1982-03-12,0.3711,0.3786,0.3623,0.3623,1504000
1982-03-15,0.3497,0.3548,0.3447,0.3497,3232000
1982-03-16,0.3460,0.3485,0.3422,0.3422,2246400
1982-03-17,0.3410,0.3472,0.3347,0.3472,1081600
1982-03-18,0.3485,0.3523,0.3447,0.3523,595200
1982-03-19,0.3422,0.3523,0.3410,0.3497,1676800
1982-03-22,0.3485,0.3523,0.3447,0.3523,339200
1982-03-23,0.3573,0.3623,0.3523,0.3623,4185600
1982-03-24,0.3585,0.3623,0.3536,0.3548,422400
1982-03-25,0.3598,0.3623,0.3573,0.3611,1068800
1982-03-26,0.3585,0.3598,0.3560,0.3560,531200
1982-03-29,0.3560,0.3585,0.3536,0.3536,211200
1982-03-30,0.3510,0.3523,0.3497,0.3497,115200
1982-03-31,0.3536,0.3573,0.3485,0.3485,2752000
1982-04-01,0.3510,0.3560,0.3460,0.3560,3808000
1982-04-02,0.3623,0.3648,0.3585,0.3648,1433600
1982-04-05,0.3662,0.3699,0.3623,0.3648,4761600
1982-04-06,0.3737,0.3799,0.3674,0.3799,4633600
1982-04-07,0.3813,0.3837,0.3786,0.3799,3187200
1982-04-08,0.3863,0.3950,0.3761,0.3912,4441600
