date,open,high,low,close,volume
1990-01-12,3.6292,3.6873,3.5991,3.5991,52800
1990-01-15,3.6292,3.6292,3.5712,3.5712,50000
1990-01-16,3.5712,3.6292,3.5712,3.6292,44400
1990-01-17,3.6292,3.7152,3.6292,3.6873,57600
1990-01-18,3.6873,3.6873,3.5712,3.5712,39600
1990-01-19,3.5991,3.5991,3.5712,3.5712,18400
1990-01-22,3.5410,3.5410,3.5131,3.5131,32400
1990-01-23,3.5410,3.5410,3.4830,3.5410,34400
1990-01-24,3.5131,3.5410,3.4830,3.5131,23200
1990-01-25,3.4830,3.5131,3.4830,3.5131,25600
1990-01-26,3.4551,3.4830,3.3669,3.3970,78000
1990-01-29,3.4249,3.4249,3.3970,3.4249,1200
1990-01-30,3.4551,3.4551,3.3669,3.4249,18800
1990-01-31,3.4249,3.4249,3.3970,3.3970,10000
1990-02-01,3.4249,3.4249,3.3970,3.3970,94400
1990-02-02,3.4249,3.4249,3.3669,3.4249,40000
1990-02-05,3.4249,3.4249,3.3970,3.3970,3600
1990-02-06,3.3669,3.3669,3.3390,3.3390,16000
1990-02-07,3.3669,3.4551,3.3669,3.4551,37200
1990-02-08,3.5068,3.5068,3.4203,3.4203,7600
1990-02-09,3.4483,3.4483,3.4203,3.4483,2800
1990-02-12,3.4721,3.4721,3.4133,3.4133,4800
1990-02-13,3.4439,3.4439,3.2956,3.2956,679200
1990-02-14,3.2673,3.3262,3.2367,3.3262,35600
1990-02-15,3.2956,3.3262,3.2673,3.2956,20000
1990-02-16,3.2956,3.3262,3.2367,3.2367,26800
1990-02-20,3.1779,3.2085,3.1190,3.1190,35600
1990-02-21,3.1496,3.1496,3.0013,3.0013,28000
1990-02-22,3.0319,3.0319,2.9731,3.0013,24800
1990-02-23,2.9731,3.0319,2.9731,3.0319,9600
1990-02-26,3.0319,3.0602,3.0013,3.0602,15200
1990-02-27,3.0908,3.1496,3.0602,3.1496,27200
1990-02-28,3.1496,3.2673,3.1496,3.2367,47200
1990-03-01,3.2673,3.2956,3.2673,3.2956,19200
1990-03-02,3.3262,3.4133,3.3262,3.4133,36000
1990-03-05,3.4133,3.4439,3.4133,3.4439,15600
1990-03-06,3.4721,3.4721,3.4439,3.4721,10000
1990-03-07,3.4439,3.5310,3.4439,3.5310,14400
1990-03-08,3.5027,3.5027,3.4133,3.4721,38400
1990-03-09,3.4439,3.4721,3.3850,3.4439,31200
1990-03-12,3.4133,3.4439,3.3850,3.4133,28800
1990-03-13,3.3850,3.3850,3.3544,3.3544,8800
1990-03-14,3.3544,3.3850,3.3544,3.3850,4400
1990-03-15,3.3850,3.3850,3.3544,3.3850,17200
1990-03-16,3.3850,3.4439,3.3850,3.4133,16400
1990-03-19,3.4133,3.4439,3.4133,3.4439,6800
1990-03-20,3.4133,3.4133,3.3544,3.3544,16800
1990-03-21,3.3850,3.3850,3.3544,3.3544,13600
1990-03-22,3.3262,3.3262,3.2367,3.2673,30800
1990-03-23,3.2956,3.2956,3.2673,3.2956,7200
1990-03-26,3.3262,3.3262,3.2956,3.2956,4800
