date,open,high,low,close,volume
2004-11-05,10.8306,14.9590,10.8306,14.8571,8150300
2004-11-08,14.5513,16.0378,14.0161,15.8849,1113400
2004-11-09,15.9189,16.6495,14.7127,15.7745,521600
2004-11-10,15.5876,18.0426,15.3073,17.1167,709500
2004-11-11,17.5839,20.7345,17.3035,17.8387,1757100
2004-11-12,18.8147,19.1129,17.8387,18.1785,580900
2004-11-15,18.3917,19.6226,17.4904,18.3569,638900
2004-11-16,18.8496,19.0874,17.7962,18.8581,457500
2004-11-17,18.5183,19.7500,18.5183,18.6882,442500
2004-11-18,18.5268,18.6797,17.4225,17.7028,273900
2004-11-19,17.6688,18.4758,16.5560,18.2634,597300
2004-11-22,17.9491,19.5291,17.9067,18.8750,290400
2004-11-23,19.4102,19.4102,17.5414,18.0001,436800
2004-11-24,18.2634,18.3144,17.2016,17.8812,182600
2004-11-26,17.9661,18.0511,17.7538,17.8379,61100
2004-11-29,18.4333,18.4758,16.7429,17.1846,317800
2004-11-30,17.3503,17.6348,16.5730,16.6495,282900
2004-12-01,16.8958,17.0742,16.3521,17.0232,317000
2004-12-02,16.9892,19.0874,16.9892,18.3824,486600
2004-12-03,18.3909,19.4272,17.9067,18.2125,222000
2004-12-06,18.3993,18.7476,17.3630,17.4140,147000
2004-12-07,17.8302,17.8387,15.7490,16.5135,414200
2004-12-08,16.4796,16.7174,15.8849,16.4796,82500
2004-12-09,16.5220,17.3290,16.0124,16.9892,142900
2004-12-10,17.1591,17.7028,17.0317,17.3375,209100
2004-12-13,17.1252,17.3035,16.3521,16.4796,66500
2004-12-14,16.4796,16.9043,15.2478,15.5367,319600
2004-12-15,15.5027,15.6131,14.4833,14.6192,511400
2004-12-16,14.4663,14.6532,13.3111,13.6678,339100
2004-12-17,13.7953,14.4069,13.3535,13.5319,485700
2004-12-20,13.8038,14.3134,13.4640,13.6933,134400
2004-12-21,13.6339,14.8316,13.6339,14.4154,123500
2004-12-22,14.5683,14.5683,14.2285,14.3907,50100
2004-12-23,14.4324,14.7127,14.3219,14.6023,106800
2004-12-27,14.6023,14.7042,13.8632,14.4239,58400
2004-12-28,14.4833,14.4833,14.0161,14.3644,48200
2004-12-29,14.2285,14.6107,14.0586,14.2370,86500
2004-12-30,14.3899,14.5938,14.2795,14.5938,27600
2004-12-31,14.5513,14.5513,14.1945,14.4493,47500
2005-01-03,14.2285,14.5683,13.5396,13.5498,87400
2005-01-04,13.7188,13.8207,12.9968,13.2176,178100
2005-01-05,13.0987,13.9397,12.9883,13.2516,121500
2005-01-06,13.1675,13.3620,12.8439,12.9798,44000
2005-01-07,12.9543,13.7443,12.9288,13.1667,55000
2005-01-10,13.1667,13.5914,12.7929,13.1667,39300
2005-01-11,13.1667,13.5999,13.0732,13.5234,128500
2005-01-12,13.4181,13.5285,13.0902,13.4895,45200
2005-01-13,13.1667,13.3705,12.7164,12.8099,54100
2005-01-14,12.6995,13.0180,12.6995,12.9118,35500
2005-01-18,13.0392,13.1242,12.6910,12.7334,64200
2005-01-19,12.8269,12.8269,12.5296,12.6825,19400
2005-01-20,12.4871,12.6315,12.2323,12.4701,70900
2005-01-21,12.2832,12.5466,11.5612,12.3512,111200
2005-01-24,12.0199,12.9713,11.9774,11.9774,32900
2005-01-25,12.0794,12.3087,11.9774,12.2323,78800
2005-01-26,12.3852,12.4276,12.0199,12.1898,33700
2005-01-27,12.1048,12.3172,12.0284,12.0794,19100
2005-01-28,12.0199,12.2323,12.0199,12.0878,29700
2005-01-31,11.9774,12.2407,11.7820,11.8755,71500
2005-02-01,11.7735,12.1048,11.7650,11.8585,87500
2005-02-02,11.8500,11.8670,11.5697,11.7396,34800
2005-02-03,11.5527,11.5527,10.2700,10.2700,256200
2005-02-04,10.1850,10.5758,9.1997,9.7688,778700
2005-02-07,9.5564,10.3210,9.5564,9.6839,227800
2005-02-08,9.6074,10.1086,9.5564,9.6414,216400
2005-02-09,10.7032,10.9411,9.7009,10.1681,451900
2005-02-10,10.8646,11.0430,10.5333,10.6183,221300
2005-02-11,10.8137,10.8137,10.5333,10.6013,89300
2005-02-14,10.4484,10.6607,10.2275,10.3634,83800
2005-02-15,10.2785,11.3148,10.2785,11.0855,213300
2005-02-16,11.4253,11.6801,11.2129,11.6376,101700
2005-02-17,11.7905,11.9349,10.8646,10.9920,149500
2005-02-18,11.1534,11.6206,11.1449,11.1789,57200
2005-02-22,11.2978,11.2978,10.9156,11.0430,95600
2005-02-23,11.1619,11.1619,10.8816,10.8816,25600
2005-02-24,10.8306,10.8816,10.3719,10.7372,72700
2005-02-25,10.5758,10.7032,10.2360,10.6021,59000
2005-02-28,10.6777,10.6777,10.0237,10.0661,84500
2005-03-01,10.3210,10.3210,10.1511,10.1918,78200
2005-03-02,10.1935,10.2020,10.0916,10.1935,44100
2005-03-03,10.0152,10.1850,9.6754,9.7085,96700
2005-03-04,9.6422,9.8538,9.6414,9.7094,33600
2005-03-07,9.7688,9.8198,9.6244,9.6839,22400
2005-03-08,9.6329,9.9302,9.2846,9.4375,65300
2005-03-09,9.3271,9.4120,9.0553,9.3951,79800
2005-03-10,9.3959,9.7009,9.3959,9.5310,70100
2005-03-11,9.4545,9.7263,9.1062,9.3781,41600
2005-03-14,9.3441,9.5564,9.2931,9.5140,113700
2005-03-15,9.6074,9.6074,9.2591,9.3356,64600
2005-03-16,9.2506,9.4970,9.2252,9.3441,178700
2005-03-17,9.3441,9.4885,9.2252,9.3016,43900
2005-03-18,9.1912,9.4715,9.1912,9.2931,49400
2005-03-21,9.2761,9.4205,9.0043,9.0892,56400
2005-03-22,8.9958,9.4290,8.9882,9.2761,29400
2005-03-23,9.1487,9.2252,8.8259,8.9194,38500
2005-03-24,8.9041,8.9873,8.7325,8.8429,70400
2005-03-28,8.7155,8.8684,8.5116,8.7155,81200
2005-03-29,8.6645,8.8174,8.2823,8.3927,47000
2005-03-30,8.2398,8.4182,7.7981,8.1888,176400
2005-03-31,8.0784,9.7263,8.0784,9.4885,438300
2005-04-01,10.2700,11.0345,10.0916,10.9835,344000
2005-04-04,11.0685,11.0685,10.2785,10.8391,93900
2005-04-05,10.8646,10.8731,10.3125,10.3125,110200
2005-04-06,10.2700,10.4059,10.1766,10.1935,90100
2005-04-07,10.2785,10.3464,9.9812,10.2267,81900
2005-04-08,10.1935,10.3040,10.1426,10.1596,153800
2005-04-11,10.1935,10.8052,10.1935,10.4059,70700
2005-04-12,10.4059,10.7797,10.2785,10.6692,99100
2005-04-13,10.6183,11.3573,10.6183,11.0600,162200
2005-04-14,11.2809,11.8330,11.0345,11.5527,171100
2005-04-15,11.5612,11.5612,11.2978,11.4847,131100
2005-04-18,11.7396,12.1898,11.3998,11.7566,217300
2005-04-19,12.0199,12.0199,11.7311,11.7820,152000
2005-04-20,11.7226,11.7226,11.2214,11.2214,117900
2005-04-21,11.3828,11.6121,11.2214,11.6121,155600
2005-04-22,11.5442,11.5442,10.8391,10.8391,963100
2005-04-25,10.9156,11.0430,10.4229,10.5758,192600
2005-04-26,10.6098,10.6183,10.1935,10.2360,237200
2005-04-27,10.2105,10.3804,10.0746,10.2785,157100
2005-04-28,10.2785,10.6743,10.2360,10.2700,130500
2005-04-29,10.5673,10.5673,10.1935,10.4144,159700
2005-05-02,10.4654,10.6777,10.1256,10.3889,137700
2005-05-03,10.3380,10.7797,10.3380,10.5588,198700
2005-05-04,9.9812,9.9812,9.0468,9.5989,977200
2005-05-05,9.4035,9.7688,9.2846,9.3441,586100
2005-05-06,9.2506,9.5395,9.0977,9.5395,555200
2005-05-09,9.4375,9.5564,8.9024,9.4290,619900
2005-05-10,9.4290,9.4290,9.2846,9.3441,311000
2005-05-11,9.3441,9.3441,9.0638,9.1657,274900
2005-05-12,9.0383,9.1487,8.6815,8.9363,212900
2005-05-13,8.9109,8.9618,8.6815,8.6815,65600
2005-05-16,8.6645,8.8599,8.0614,8.7495,398400
2005-05-17,8.7664,8.9278,8.5541,8.9194,174500
2005-05-18,8.8259,9.2591,8.4352,8.6645,211000
2005-05-19,8.6645,8.9024,8.4946,8.5796,101900
2005-05-20,8.6263,8.6263,8.2992,8.4097,130900
2005-05-23,8.3502,9.4290,8.3502,9.1147,249100
2005-05-24,9.2082,9.3441,8.9788,9.2167,126400
2005-05-25,9.2421,9.2591,8.7325,8.8514,237700
2005-05-26,8.8344,8.8939,8.7495,8.8684,154200
2005-05-27,8.7664,9.0807,8.5796,8.7919,148900
2005-05-31,8.9024,8.9024,8.2738,8.4946,194200
2005-06-01,8.3927,8.4946,8.0614,8.3502,329100
2005-06-02,8.3502,8.5456,8.2491,8.5456,135700
2005-06-03,8.5371,8.8599,8.4946,8.7325,117000
2005-06-06,8.6475,8.7614,8.3842,8.7495,129800
2005-06-07,8.7749,8.8004,8.6560,8.6985,129100
2005-06-08,8.6475,8.6475,8.3757,8.4352,45700
2005-06-09,8.5286,8.5711,8.3587,8.5711,115700
2005-06-10,8.5286,8.8599,8.5201,8.6645,189300
2005-06-13,8.6815,9.0977,8.6815,9.0043,244200
2005-06-14,9.0638,9.7688,8.9788,9.7094,413500
2005-06-15,9.9047,9.9387,9.2252,9.4885,108100
2005-06-16,9.3781,9.8368,9.2676,9.8113,142700
2005-06-17,9.7518,9.8538,9.6414,9.6499,198200
2005-06-20,9.8877,9.8877,9.5638,9.6244,52100
2005-06-21,9.6329,9.7858,9.5989,9.7263,181400
2005-06-22,9.7603,9.9642,9.7009,9.8962,385500
2005-06-23,9.9982,9.9982,9.7009,9.7688,1232600
2005-06-24,9.7688,9.9132,8.9278,9.8368,1340700
2005-06-27,9.8877,9.8877,9.6839,9.7773,280900
2005-06-28,9.7943,9.8538,9.4375,9.7688,244900
2005-06-29,9.7688,9.9557,9.1657,9.6584,496000
2005-06-30,9.5564,9.7178,9.3696,9.5989,273100
2005-07-01,9.6244,9.6244,9.2591,9.3568,161000
2005-07-05,9.2761,9.4800,9.1402,9.2167,118100
2005-07-06,9.1317,9.3781,9.1215,9.2506,238000
2005-07-07,9.1487,9.2506,8.6645,8.9363,345200
2005-07-08,8.8429,8.9873,8.8174,8.9533,460200
2005-07-11,9.0043,10.1596,8.9278,9.5989,494300
2005-07-12,9.6244,9.6754,9.3186,9.3866,123900
2005-07-13,9.4290,9.4290,9.1912,9.2252,64300
2005-07-14,9.3356,9.5564,9.2506,9.2506,181100
2005-07-15,9.1317,9.3441,9.0043,9.2337,178700
2005-07-18,9.2252,9.4120,9.0977,9.3016,123500
2005-07-19,9.4205,9.4205,9.1232,9.3186,126400
2005-07-20,9.2676,9.7517,9.2421,9.7094,143200
2005-07-21,9.7094,9.7433,9.2931,9.3951,93500
2005-07-22,9.3951,9.7009,9.3611,9.6754,67100
2005-07-25,9.5904,9.5904,9.3016,9.3611,55800
2005-07-26,9.3611,9.4545,9.1402,9.2761,116600
2005-07-27,9.3016,9.4961,8.9703,9.3356,101000
2005-07-28,9.2931,9.4970,9.1147,9.2252,80000
2005-07-29,9.1657,9.3441,9.1657,9.3016,61000
2005-08-01,9.3271,9.3526,9.1317,9.1402,127900
2005-08-02,9.1147,9.1402,9.0043,9.1402,121500
2005-08-03,9.0638,9.3611,8.9448,9.2082,97700
2005-08-04,9.1827,9.1827,8.9703,8.9703,64900
2005-08-05,9.0043,9.0553,8.9618,8.9788,78000
2005-08-08,8.5201,8.7919,8.5201,8.6815,148500
2005-08-09,8.7240,9.4120,8.5541,9.2082,168000
2005-08-10,9.2506,9.3441,8.5116,8.7325,168000
2005-08-11,8.7240,8.7749,8.3842,8.4946,129200
2005-08-12,8.4606,8.6051,8.3332,8.5286,67900
2005-08-15,8.5541,8.8004,8.4606,8.8004,85600
2005-08-16,8.7834,8.7834,8.4267,8.4946,129300
2005-08-17,8.4267,8.5711,8.3672,8.4861,42200
2005-08-18,8.4012,8.6135,8.3842,8.4861,47900
2005-08-19,8.4437,8.6305,8.4097,8.5456,67800
2005-08-22,8.6305,8.6985,8.4521,8.5456,74200
2005-08-23,8.6051,8.6645,8.4521,8.5966,122900
2005-08-24,8.5541,8.9533,8.5201,8.9194,129800
2005-08-25,8.9024,9.4800,8.9024,9.3526,183500
2005-08-26,9.3050,9.7603,9.2676,9.3526,96000
2005-08-29,9.2761,9.6754,9.2676,9.6669,64400
2005-08-30,9.6669,9.6669,9.3441,9.4630,57600
2005-08-31,9.4630,9.5564,9.2082,9.5055,141800
2005-09-01,9.5055,9.6924,9.3696,9.3866,95600
2005-09-02,9.3534,9.4205,9.3441,9.4035,22700
2005-09-06,9.3611,9.6584,9.3611,9.5904,55500
2005-09-07,9.5649,9.8962,9.2421,9.5310,67200
2005-09-08,9.4970,9.7518,9.3781,9.5989,58100
2005-09-09,9.6074,9.7094,9.3271,9.6329,63700
2005-09-12,9.6839,10.5928,9.6839,10.3634,133700
2005-09-13,10.3634,10.3889,9.7773,9.9897,124000
2005-09-14,9.9982,9.9982,9.4035,9.5140,115700
2005-09-15,9.5225,9.5480,9.4545,9.5480,48800
2005-09-16,10.4059,10.4399,9.6924,9.9727,250100
2005-09-19,9.9132,10.3889,9.9132,10.2360,171700
2005-09-20,10.2700,10.3889,10.1511,10.3295,148500
2005-09-21,10.2530,10.4994,10.2445,10.3719,128400
2005-09-22,10.2785,11.1704,10.2445,10.8391,215500
2005-09-23,10.9156,11.3658,10.8561,11.1534,188200
2005-09-26,11.2299,11.6376,11.2299,11.3233,157700
2005-09-27,11.3233,11.5527,11.2554,11.4083,274600
2005-09-28,11.4932,12.3597,11.1959,11.9689,189300
2005-09-29,11.9774,12.0284,11.1874,11.9010,115700
2005-09-30,11.7481,11.8585,11.3403,11.5527,202200
2005-10-03,11.5111,11.5111,11.1449,11.1619,126100
2005-10-04,11.1874,11.2299,10.8221,10.8646,150200
2005-10-05,10.7797,10.9581,10.3210,10.5673,187400
2005-10-06,10.5758,10.8052,10.4059,10.5673,106500
2005-10-07,10.5928,10.6692,10.5248,10.5673,104500
2005-10-10,10.5078,10.6523,10.4229,10.4314,46500
2005-10-11,10.5078,11.0175,10.5078,10.8052,116400
2005-10-12,10.7542,10.9156,10.2870,10.4484,81100
