date,open,high,low,close,volume
1970-01-02,2.5633,2.5781,2.5605,2.5633,72000
1970-01-05,2.5664,2.5811,2.5664,2.5781,446400
1970-01-06,2.5781,2.6045,2.5750,2.6045,176000
1970-01-07,2.6045,2.6248,2.5984,2.6190,164800
1970-01-08,2.6190,2.6599,2.6131,2.6541,304000
1970-01-09,2.6541,2.6630,2.6335,2.6482,139200
1970-01-12,2.6482,2.6513,2.6307,2.6513,118400
1970-01-13,2.6513,2.6658,2.6424,2.6424,262400
1970-01-14,2.6452,2.6833,2.6452,2.6716,377600
1970-01-15,2.6599,2.6599,2.6190,2.6190,169600
1970-01-16,2.6190,2.6365,2.5547,2.6015,289600
1970-01-19,2.5722,2.5722,2.5372,2.5488,179200
1970-01-20,2.5488,2.5694,2.5372,2.5694,172800
1970-01-21,2.5694,2.5694,2.5460,2.5633,272000
1970-01-22,2.5633,2.5839,2.5577,2.5781,318400
1970-01-23,2.5781,2.5867,2.5517,2.5517,176000
1970-01-26,2.5517,2.5694,2.5255,2.5400,278400
1970-01-27,2.5400,2.5430,2.4612,2.4612,217600
1970-01-28,2.4612,2.4845,2.4436,2.4464,344000
1970-01-29,2.4436,2.4436,2.4085,2.4085,296000
1970-01-30,2.4085,2.4085,2.3295,2.3473,430400
1970-02-02,2.3473,2.3501,2.3295,2.3473,340800
1970-02-03,2.3473,2.4202,2.3473,2.4085,692800
1970-02-04,2.4085,2.4085,2.3442,2.3590,392000
1970-02-05,2.3590,2.3590,2.3384,2.3501,292800
1970-02-06,2.3501,2.3590,2.3384,2.3442,313600
1970-02-09,2.3473,2.3824,2.3473,2.3676,283200
1970-02-10,2.3676,2.3793,2.3559,2.3763,267200
1970-02-11,2.3763,2.3880,2.3676,2.3707,392000
1970-02-12,2.3880,2.4144,2.3880,2.4144,217600
1970-02-13,2.4144,2.4291,2.4057,2.4230,148800
1970-02-16,2.4319,2.4728,2.4319,2.4728,142400
1970-02-17,2.4845,2.5283,2.4845,2.5049,158400
1970-02-18,2.5138,2.5694,2.5138,2.5430,683200
1970-02-19,2.5430,2.5605,2.5313,2.5430,272000
1970-02-20,2.5430,2.5664,2.5196,2.5255,584000
1970-02-24,2.5255,2.5255,2.5049,2.5049,193600
1970-02-25,2.5049,2.5664,2.5049,2.5664,299200
1970-02-26,2.5664,2.5664,2.5313,2.5577,270400
1970-02-27,2.5577,2.5633,2.5313,2.5488,152000
1970-03-02,2.5488,2.5664,2.5430,2.5430,112000
1970-03-03,2.5430,2.5460,2.5079,2.5196,128000
1970-03-04,2.5196,2.5488,2.5138,2.5400,331200
1970-03-05,2.5372,2.5372,2.4932,2.5021,168000
1970-03-06,2.5021,2.5079,2.4787,2.4904,172800
1970-03-09,2.4904,2.4962,2.4612,2.4698,120000
1970-03-10,2.4698,2.4876,2.4436,2.4876,444800
