date,open,high,low,close,volume
1988-01-26,9.2204,9.4208,9.0199,9.2204,7244600
1988-01-27,9.2685,9.9219,9.1722,9.9219,3652400
1988-01-28,9.8217,10.0702,9.7215,10.0702,2180000
1988-01-29,9.9740,10.0702,9.5210,9.8217,1335400
1988-02-01,9.7215,9.8217,9.5731,9.6212,488800
1988-02-02,9.6212,9.6212,9.4689,9.6212,476800
1988-02-03,9.6212,10.1223,9.6212,9.7215,1284600
1988-02-04,9.7215,9.8698,9.6693,9.8698,328000
1988-02-05,9.8217,9.9740,9.8217,9.9219,403600
1988-02-08,9.7215,9.7215,9.5210,9.6212,143400
1988-02-09,9.7215,9.7215,9.5210,9.5210,157000
1988-02-10,9.6212,9.8698,9.6212,9.8217,456400
1988-02-11,9.9219,10.0702,9.9219,9.9219,484000
1988-02-12,10.0221,10.2707,10.0221,10.2226,222600
1988-02-16,10.2707,10.6234,10.2707,10.6234,838000
1988-02-17,10.6234,10.7758,10.3228,10.4711,642400
1988-02-18,10.4230,10.6716,10.3749,10.6234,516000
1988-02-19,10.6234,11.7259,10.6234,11.4252,1103400
1988-02-22,11.3250,11.4252,11.2248,11.3771,326600
1988-02-23,11.3250,11.3250,11.0724,11.2248,245000
1988-02-24,11.1767,11.1767,11.0243,11.1246,271600
1988-02-25,11.1246,11.4252,11.1246,11.2729,948000
1988-02-26,11.2729,11.3250,11.2248,11.3250,256000
1988-02-29,11.4252,12.1789,11.3771,12.1268,647800
1988-03-01,12.1789,12.3272,11.9263,11.9263,587200
1988-03-02,11.8742,12.1789,11.8742,12.1789,192000
1988-03-03,12.2751,12.2751,12.0265,12.0265,232800
1988-03-04,11.9263,12.4274,11.9263,12.4274,426000
1988-03-07,12.2270,12.8764,12.2270,12.7802,463400
1988-03-08,12.7281,12.8764,12.6760,12.7802,494800
1988-03-09,12.8283,12.8283,12.6760,12.7281,205400
1988-03-10,12.7802,12.7802,11.6738,11.6738,414200
1988-03-11,11.6257,11.7780,11.2248,11.6257,223400
1988-03-14,11.7259,12.1268,11.6738,12.0747,144800
1988-03-15,12.2270,12.7802,12.2270,12.7802,673200
1988-03-16,12.8283,12.9285,12.4755,12.5798,202800
1988-03-17,12.7281,12.7281,12.4274,12.6279,146600
1988-03-18,12.6760,12.6760,12.3793,12.3793,166800
1988-03-21,12.3272,12.3272,11.9784,12.0265,254400
1988-03-22,12.0265,12.2270,11.8742,11.9263,515000
1988-03-23,11.9784,12.0265,11.9263,12.0265,27600
1988-03-24,11.6257,11.6257,11.2248,11.5254,699200
1988-03-25,11.6257,11.7780,11.3771,11.3771,152800
1988-03-28,11.0724,11.4252,11.0724,11.4252,137000
1988-03-29,11.5254,12.1268,11.5254,12.0747,186000
1988-03-30,12.0747,12.1268,11.9263,11.9784,125000
1988-03-31,11.8261,12.0747,11.8261,12.0747,294400
1988-04-04,12.0265,12.0265,12.0265,12.0265,148200
1988-04-05,11.9784,12.2270,11.9784,12.1268,219600
1988-04-06,12.1268,12.8283,12.1268,12.6760,125200
1988-04-07,12.7281,12.8283,12.6279,12.8283,165400
1988-04-08,12.7802,12.8283,12.6760,12.8283,182400
1988-04-11,12.7802,12.8283,12.5798,12.6279,85400
1988-04-12,12.5798,12.5798,12.3272,12.3793,419000
1988-04-13,12.3272,12.4755,12.3272,12.3793,208000
1988-04-14,12.2270,12.2270,11.8261,11.8261,167000
1988-04-15,11.7259,11.8261,11.5254,11.8261,102800
1988-04-18,11.8261,12.1268,11.2248,11.5254,807000
1988-04-19,11.4733,11.8261,11.4733,11.5776,442200
1988-04-20,11.5776,11.7259,11.5776,11.6738,68000
1988-04-21,11.7259,11.9263,11.7259,11.8261,44800
1988-04-22,11.8261,11.9263,11.8261,11.9263,1800
1988-04-25,12.0265,12.2270,11.9263,12.2270,204000
1988-04-26,12.3793,12.5277,12.3793,12.5277,150000
1988-04-27,12.4755,12.4755,12.2751,12.2751,86200
1988-04-28,12.1789,12.1789,12.0747,12.1268,103400
1988-04-29,12.0265,12.0265,11.6257,11.8261,89800
1988-05-02,11.7780,11.9263,11.7780,11.9263,142400
1988-05-03,11.9263,12.0265,11.9263,12.0265,313000
1988-05-04,12.0747,12.0747,11.8261,11.8261,141600
1988-05-05,11.8742,11.8742,11.6257,11.7259,369800
1988-05-06,11.7780,11.7780,11.6257,11.6257,89400
1988-05-09,11.7259,11.7259,11.2248,11.3250,169200
1988-05-10,11.2248,11.3250,11.2248,11.2729,215000
1988-05-11,11.1767,11.1767,10.6234,10.6716,93800
1988-05-12,10.7237,11.0724,10.7237,11.0724,226400
1988-05-13,11.2248,11.6257,11.2248,11.6257,119600
1988-05-16,11.5776,11.7259,11.5776,11.6257,70600
1988-05-17,11.7780,11.8261,11.7259,11.7780,79200
1988-05-18,11.7259,11.7259,11.4252,11.4733,29000
1988-05-19,11.4733,11.5254,11.3250,11.3250,138000
1988-05-20,11.4252,11.7259,11.3771,11.6257,135400
1988-05-23,11.5254,11.5254,11.3250,11.3250,144800
1988-05-24,11.2729,11.3771,11.2729,11.3771,92600
1988-05-25,11.3771,11.5776,11.2729,11.4252,219000
1988-05-26,11.4252,11.5254,11.4252,11.4733,217400
1988-05-27,11.4733,11.5254,11.4252,11.4252,148800
1988-05-31,11.3250,11.5776,11.2248,11.5776,220400
1988-06-01,11.5776,11.8742,11.5776,11.8261,366400
1988-06-02,11.8742,12.0265,11.7780,12.0265,211600
1988-06-03,12.7281,12.8283,12.5277,12.5277,283000
1988-06-06,12.4274,13.0288,12.4274,12.8283,364400
1988-06-07,12.8283,13.4777,12.6279,12.8764,554200
1988-06-08,12.8764,13.4296,12.8764,13.3294,237600
1988-06-09,13.1811,13.8786,13.1811,13.6782,268200
1988-06-10,13.6782,13.8305,13.6301,13.6782,188200
1988-06-13,13.6301,14.0310,13.6301,13.7824,57600
1988-06-14,13.8786,15.6345,13.8786,14.8327,760000
1988-06-15,14.7325,15.8350,14.7325,15.6345,621400
1988-06-16,15.5343,16.0354,15.1334,15.3338,505600
1988-06-17,15.4341,15.6345,14.8327,14.9330,139800
1988-06-20,14.9330,15.1855,14.8327,15.1855,285400
1988-06-21,15.2336,15.8350,15.2336,15.7347,531000
1988-06-22,16.0354,16.8372,16.0354,16.2358,772800
1988-06-23,16.6367,17.3383,16.5365,16.6848,820800
1988-06-24,16.7369,16.9374,16.5886,16.5886,251400
1988-06-27,16.5886,16.5886,16.3882,16.4844,276000
1988-06-28,16.4363,16.5365,15.4822,16.0354,510000
1988-06-29,15.9352,15.9352,15.6826,15.6826,208200
1988-06-30,15.7347,15.8350,15.6826,15.7868,299600
1988-07-01,15.8831,15.9873,15.8831,15.9352,212600
1988-07-05,15.9873,16.7369,15.9873,16.3882,205200
1988-07-06,16.4363,17.0376,16.3882,16.6367,642800
1988-07-07,16.6367,17.0376,16.6367,16.9374,551200
1988-07-08,16.4363,16.7891,16.4363,16.5365,536000
1988-07-11,16.4844,16.5886,16.2358,16.2358,117400
1988-07-12,16.2358,16.2839,15.7347,15.9873,109600
1988-07-13,16.0354,16.1356,15.9352,15.9352,45800
1988-07-14,15.8350,16.8372,15.8350,16.6848,356800
1988-07-15,16.7369,17.0376,16.4844,16.6848,362400
1988-07-18,16.5365,16.6367,16.0354,16.0354,158400
1988-07-19,15.9873,15.9873,15.2336,15.6345,2492400
1988-07-20,15.6345,15.6345,15.0332,15.2336,528400
1988-07-21,15.1855,15.5343,15.1855,15.4822,478200
1988-07-22,15.4822,15.4822,14.9851,15.0332,247400
1988-07-25,15.0813,15.1334,14.2314,14.5842,388400
1988-07-26,14.5842,14.9851,14.5842,14.9330,272400
1988-07-27,15.0332,15.1855,14.5842,14.5842,286600
1988-07-28,14.6323,14.9851,14.6323,14.8327,200200
1988-07-29,14.8327,15.1334,14.6323,14.9851,174200
1988-08-01,15.0813,16.0354,14.9851,15.1334,376200
1988-08-02,15.1855,15.2336,14.6804,15.2336,471400
1988-08-03,15.2336,15.2336,15.1334,15.1855,532800
1988-08-04,15.2336,15.6345,15.1855,15.5343,397000
1988-08-05,15.5343,15.7347,15.4822,15.7347,189400
1988-08-08,15.6345,15.7347,15.5343,15.6826,135600
1988-08-09,15.8350,16.0354,15.3338,15.5864,391200
1988-08-10,15.3338,15.3338,14.9330,15.1855,269000
1988-08-11,15.1855,15.4341,14.8327,15.4341,146800
1988-08-12,15.5343,15.5343,15.2336,15.3860,68000
1988-08-15,15.2336,15.2336,14.8808,14.9851,169600
1988-08-16,14.9330,15.2817,14.6323,15.1855,291400
1988-08-17,15.1855,15.3338,15.0332,15.1855,234600
1988-08-18,15.2336,15.7347,15.2336,15.4341,324800
1988-08-19,15.4822,15.5864,15.4341,15.4341,137800
1988-08-22,15.3860,15.3860,15.0813,15.1855,194200
1988-08-23,15.1855,15.4822,15.1855,15.3860,219600
1988-08-24,15.4341,15.6345,15.4341,15.6345,95600
1988-08-25,15.5343,15.8350,15.5343,15.8350,120800
1988-08-26,15.7868,16.2839,15.7868,16.1356,352800
1988-08-29,16.1877,16.5365,16.1356,16.4363,187600
1988-08-30,16.3361,16.5365,16.2358,16.4363,122000
1988-08-31,16.4844,16.6367,16.3361,16.3882,97400
1988-09-01,16.2839,16.2839,15.9352,15.9873,77400
1988-09-02,16.1356,16.3882,16.1356,16.3361,89200
1988-09-06,16.3361,16.4363,16.2358,16.3882,159200
1988-09-07,16.3361,16.6367,16.2839,16.4363,289200
1988-09-08,16.4844,16.9895,16.4363,16.6848,285600
1988-09-09,16.6848,16.8372,16.6367,16.8372,203600
1988-09-12,16.7369,16.8853,16.5365,16.5365,198600
1988-09-13,16.5886,16.7891,16.5365,16.7369,156600
1988-09-14,16.8372,17.0857,16.8372,17.0857,470200
1988-09-15,17.0376,17.2862,16.9895,17.0376,158000
1988-09-16,17.0857,17.0857,16.7369,16.8372,265000
1988-09-19,16.8372,16.8372,16.5365,16.5365,82800
1988-09-20,16.5886,16.5886,16.1877,16.2358,98600
1988-09-21,16.3361,16.4844,16.1877,16.1877,800200
1988-09-22,16.2839,16.2839,15.0332,15.5343,1026000
1988-09-23,15.3338,15.6345,15.3338,15.5343,156400
1988-09-26,15.5343,15.5343,15.0332,15.2336,171200
1988-09-27,15.2817,15.3860,14.9330,14.9330,204200
1988-09-28,14.9330,15.0332,14.8327,14.8808,111200
1988-09-29,14.8808,15.6345,14.8808,15.4341,463600
1988-09-30,15.4822,15.5864,14.8327,14.9851,4569600
1988-10-03,15.0332,15.2336,14.8808,15.2336,562600
1988-10-04,15.2336,15.3860,15.1855,15.1855,192200
1988-10-05,15.2336,15.6826,15.2336,15.5864,291800
1988-10-06,15.6826,16.0354,15.5864,15.9352,135600
1988-10-07,15.9352,16.2358,15.9352,16.0835,193800
1988-10-10,16.0835,16.0835,15.9873,16.0354,86000
1988-10-11,16.0354,16.0835,15.9352,15.9873,53600
1988-10-12,15.9352,15.9352,15.6826,15.7868,73400
1988-10-13,15.6826,16.1356,15.6826,15.8350,150000
1988-10-14,15.8350,16.1356,15.8350,16.1356,270800
1988-10-17,16.1356,16.1356,15.9352,15.9352,276000
1988-10-18,16.0354,16.1877,16.0354,16.1877,297600
1988-10-19,16.3361,16.6367,16.2839,16.3361,262200
1988-10-20,16.3882,16.7369,16.3361,16.6367,251000
1988-10-21,16.5886,16.6848,16.5886,16.5886,32600
1988-10-24,16.6367,16.6367,16.3882,16.4363,609400
1988-10-25,16.3361,16.4363,16.3361,16.4363,117800
