date,open,high,low,close,volume
2004-11-19,8.0042,8.7728,7.5095,8.6933,3906200
2004-11-22,8.7463,9.7181,8.4018,8.4989,728000
2004-11-23,8.3929,8.6138,7.7392,8.2869,505800
2004-11-24,8.3929,8.8347,8.3929,8.6394,319500
2004-11-26,8.2162,8.7905,8.1721,8.6580,65600
2004-11-29,8.8347,8.9230,8.3576,8.6571,130700
2004-11-30,8.6580,8.8258,8.2251,8.7286,194900
2004-12-01,8.3929,9.0290,8.3929,8.8258,209800
2004-12-02,8.8612,9.7181,8.8082,9.5856,337400
2004-12-03,9.7093,10.0273,9.3471,9.8418,288100
2004-12-06,10.0627,10.3189,9.7181,9.8330,192600
2004-12-07,10.0538,10.0538,9.4001,9.6386,195900
2004-12-08,9.6828,9.8948,9.2852,9.6298,78500
2004-12-09,9.5414,9.6828,9.3029,9.5503,40900
2004-12-10,9.4619,9.4619,8.9672,9.1969,86100
2004-12-13,8.9230,9.6916,8.7286,9.1262,77500
2004-12-14,9.5856,9.5856,8.9230,9.0379,29800
2004-12-15,8.8347,9.2322,8.7463,8.8788,191400
2004-12-16,8.7021,8.9937,8.7021,8.8435,108800
2004-12-17,8.7463,8.9672,8.2339,8.3929,418100
2004-12-20,8.7463,8.7463,7.9865,8.2162,173700
2004-12-21,7.9512,8.6182,7.9512,8.3664,81400
2004-12-22,8.2781,8.5608,7.9512,8.4901,50000
2004-12-23,8.4813,8.7463,8.4724,8.6270,29900
2004-12-27,8.5873,8.6491,8.3576,8.5873,72000
2004-12-28,8.5078,8.5961,8.1456,8.3929,58200
2004-12-29,8.3046,8.5254,8.3046,8.3929,80100
2004-12-30,8.2427,8.4901,8.2162,8.2957,33300
2004-12-31,8.2957,8.4371,8.1721,8.2162,53000
2005-01-03,8.2251,8.3488,7.7745,7.8363,91300
2005-01-04,7.7127,7.9954,7.5890,7.6420,105900
2005-01-05,7.6155,7.6331,7.1561,7.3328,76500
2005-01-06,7.2886,7.6773,7.2002,7.2798,29700
2005-01-07,7.2002,7.5757,7.1561,7.2886,17500
2005-01-10,7.2091,7.2091,6.7143,6.8910,75600
2005-01-11,6.7497,7.0324,6.3168,6.3786,52400
2005-01-12,6.4493,6.4493,5.6542,5.8309,113000
2005-01-13,5.9811,5.9811,5.4068,5.5040,346100
2005-01-14,5.3891,5.6718,5.3538,5.5482,109600
2005-01-18,5.6807,5.6807,5.4863,5.5570,102100
2005-01-19,5.6718,5.6807,5.5217,5.6012,61000
2005-01-20,5.4687,6.0871,5.4687,6.0517,112300
2005-01-21,6.1754,6.8822,6.0252,6.7673,197500
2005-01-24,6.6172,7.1207,6.6172,6.9970,126400
2005-01-25,7.0677,7.3063,6.6260,6.9264,124700
2005-01-26,6.9352,7.0677,6.4493,6.8645,42200
2005-01-27,6.6967,7.1031,6.4846,6.7673,42200
2005-01-28,6.3963,7.3946,6.3963,6.7320,68000
2005-01-31,6.8027,6.8469,6.4051,6.5200,69000
2005-02-01,6.4405,6.8910,6.4405,6.6260,136100
2005-02-02,6.7143,6.8734,6.4758,6.6878,83900
2005-02-03,6.6260,6.6437,6.4493,6.4935,131400
2005-02-04,6.5111,6.7673,6.3168,6.6878,107600
2005-02-07,6.7585,6.7585,6.3168,6.6437,92800
2005-02-08,6.7232,6.7320,6.4493,6.7320,149900
2005-02-09,6.7585,6.8204,6.1931,6.2638,38400
2005-02-10,6.1843,6.5376,6.0959,6.1047,18400
