date,open,high,low,close,volume
1970-01-02,0.5262,0.5262,0.5181,0.5192,475200
1970-01-05,0.5192,0.5227,0.5146,0.5164,669600
1970-01-06,0.5164,0.5204,0.5134,0.5204,568800
1970-01-07,0.5204,0.5251,0.5146,0.5157,892800
1970-01-08,0.5169,0.5227,0.5169,0.5192,496800
1970-01-09,0.5192,0.5239,0.5134,0.5181,1634400
1970-01-12,0.5181,0.5210,0.5157,0.5181,648000
1970-01-13,0.5181,0.5192,0.5111,0.5169,1159200
1970-01-14,0.5157,0.5157,0.5099,0.5157,525600
1970-01-15,0.5157,0.5204,0.5111,0.5134,1058400
1970-01-16,0.5134,0.5192,0.5087,0.5134,1720800
1970-01-19,0.5111,0.5111,0.5041,0.5064,3110400
1970-01-20,0.5064,0.5099,0.5052,0.5099,871200
1970-01-21,0.5099,0.5152,0.5087,0.5134,1044000
1970-01-22,0.5111,0.5111,0.5064,0.5111,792000
1970-01-23,0.5111,0.5152,0.5064,0.5087,972000
1970-01-26,0.5041,0.5041,0.4877,0.4877,1252800
1970-01-27,0.4877,0.4924,0.4819,0.4901,1605600
1970-01-28,0.4877,0.4877,0.4807,0.4819,914400
1970-01-29,0.4819,0.4842,0.4621,0.4761,1216800
1970-01-30,0.4761,0.4889,0.4714,0.4714,1454400
1970-02-02,0.4761,0.4802,0.4761,0.4784,813600
1970-02-03,0.4842,0.5111,0.4842,0.5111,2181600
1970-02-04,0.5087,0.5087,0.4901,0.4971,1476000
1970-02-05,0.4994,0.5035,0.4994,0.5029,489600
1970-02-06,0.5029,0.5035,0.4936,0.4971,302400
1970-02-09,0.5006,0.5064,0.5006,0.5041,784800
1970-02-10,0.5041,0.5087,0.5006,0.5017,439200
1970-02-11,0.5017,0.5041,0.4994,0.5041,367200
1970-02-12,0.5064,0.5122,0.5064,0.5076,590400
1970-02-13,0.5099,0.5134,0.5099,0.5122,597600
1970-02-16,0.5122,0.5192,0.5122,0.5152,698400
1970-02-17,0.5152,0.5175,0.5117,0.5140,1641600
1970-02-18,0.5111,0.5111,0.5029,0.5059,1713600
1970-02-19,0.5059,0.5076,0.5023,0.5064,921600
1970-02-20,0.5064,0.5134,0.5041,0.5122,1274400
1970-02-24,0.5146,0.5227,0.5146,0.5210,770400
1970-02-25,0.5210,0.5239,0.5157,0.5239,1346400
1970-02-26,0.5239,0.5245,0.5111,0.5111,2030400
1970-02-27,0.5111,0.5111,0.4982,0.5087,1447200
1970-03-02,0.5087,0.5122,0.4982,0.5017,583200
1970-03-03,0.5017,0.5052,0.4971,0.5029,1288800
1970-03-04,0.5029,0.5064,0.5006,0.5006,792000
1970-03-05,0.5006,0.5041,0.4959,0.4959,532800
1970-03-06,0.4971,0.4994,0.4971,0.4976,432000
1970-03-09,0.4959,0.4959,0.4912,0.4936,669600
1970-03-10,0.4936,0.4971,0.4761,0.4877,1195200
1970-03-11,0.4877,0.4877,0.4807,0.4854,979200
1970-03-12,0.4831,0.4831,0.4691,0.4761,1339200
1970-03-13,0.4650,0.4650,0.4556,0.4597,3304800
1970-03-16,0.4586,0.4586,0.4533,0.4539,1706400
1970-03-17,0.4539,0.4574,0.4533,0.4574,1094400
1970-03-18,0.4609,0.4726,0.4609,0.4726,1461600
1970-03-19,0.4726,0.4784,0.4667,0.4726,1216800
1970-03-20,0.4726,0.4755,0.4533,0.4609,1274400
1970-03-23,0.4609,0.4638,0.4539,0.4638,482400
1970-03-24,0.4679,0.4784,0.4679,0.4714,1519200
1970-03-25,0.4749,0.4924,0.4749,0.4854,1087200
1970-03-26,0.4854,0.4871,0.4819,0.4854,1051200
1970-03-30,0.4854,0.4901,0.4819,0.4837,540000
1970-03-31,0.4796,0.4796,0.4732,0.4761,1137600
1970-04-01,0.4761,0.4831,0.4761,0.4772,957600
1970-04-02,0.4772,0.4778,0.4737,0.4755,504000
1970-04-03,0.4755,0.4755,0.4656,0.4667,1087200
1970-04-06,0.4667,0.4714,0.4644,0.4644,712800
1970-04-07,0.4644,0.4661,0.4609,0.4661,705600
1970-04-08,0.4661,0.4772,0.4661,0.4772,684000
1970-04-09,0.4772,0.4854,0.4667,0.4679,2959200
1970-04-10,0.4679,0.4702,0.4661,0.4673,871200
1970-04-13,0.4673,0.4679,0.4574,0.4609,986400
1970-04-14,0.4609,0.4644,0.4516,0.4621,1576800
1970-04-15,0.4621,0.4772,0.4621,0.4644,799200
1970-04-16,0.4644,0.4667,0.4556,0.4574,1274400
1970-04-17,0.4545,0.4545,0.4469,0.4504,1591200
1970-04-20,0.4504,0.4574,0.4481,0.4527,763200
1970-04-21,0.4527,0.4644,0.4446,0.4504,1101600
1970-04-22,0.4504,0.4551,0.4434,0.4457,1044000
1970-04-23,0.4434,0.4434,0.4300,0.4323,1663200
1970-04-24,0.4341,0.4382,0.4341,0.4358,1166400
1970-04-27,0.4358,0.4411,0.4358,0.4387,669600
1970-04-28,0.4387,0.4428,0.4341,0.4352,1620000
1970-04-29,0.4352,0.4469,0.4317,0.4434,2188800
1970-04-30,0.4434,0.4451,0.4376,0.4399,1656000
1970-05-01,0.4399,0.4411,0.4364,0.4393,1080000
1970-05-04,0.4364,0.4364,0.4247,0.4306,2692800
1970-05-05,0.4306,0.4317,0.4230,0.4288,1836000
1970-05-06,0.4288,0.4376,0.4259,0.4294,1324800
1970-05-07,0.4294,0.4346,0.4247,0.4294,705600
1970-05-08,0.4294,0.4335,0.4253,0.4271,1195200
1970-05-11,0.4271,0.4312,0.4271,0.4277,554400
1970-05-12,0.4277,0.4341,0.4277,0.4282,1353600
1970-05-13,0.4236,0.4236,0.4201,0.4236,1872000
1970-05-14,0.4236,0.4247,0.4119,0.4195,1303200
1970-05-15,0.4195,0.4241,0.4154,0.4241,1641600
