date,open,high,low,close,volume
1970-01-02,3.3234,3.3967,3.3234,3.3967,70700
1970-01-05,3.3967,3.4211,3.3967,3.4211,90800
1970-01-06,3.4211,3.4211,3.3478,3.3596,106600
1970-01-07,3.3596,3.4084,3.3351,3.3967,79700
1970-01-08,3.4084,3.5189,3.4084,3.5189,303100
1970-01-09,3.5189,3.5805,3.4211,3.4573,769400
1970-01-12,3.4573,3.4573,3.3850,3.3967,77700
1970-01-13,3.3967,3.4084,3.3723,3.3967,66300
1970-01-14,3.3967,3.3967,3.3478,3.3596,38500
1970-01-15,3.3596,3.3723,3.3351,3.3478,46900
1970-01-16,3.3478,3.3723,3.3351,3.3351,52900
1970-01-19,3.3351,3.3967,3.3351,3.3596,63000
1970-01-20,3.3596,3.3596,3.3234,3.3234,57600
1970-01-21,3.3234,3.3351,3.2990,3.3234,110600
1970-01-22,3.3234,3.3478,3.2990,3.3117,59600
1970-01-23,3.3117,3.3478,3.2863,3.2990,51200
1970-01-26,3.2990,3.2990,3.2012,3.2139,268200
1970-01-27,3.2139,3.2139,3.1768,3.1768,207200
1970-01-28,3.2139,3.2628,3.2139,3.2374,91500
1970-01-29,3.2374,3.2501,3.1885,3.1885,114600
1970-01-30,3.2139,3.2501,3.2139,3.2501,92800
1970-02-02,3.2501,3.2745,3.2139,3.2139,99900
1970-02-03,3.2139,3.3234,3.1885,3.2990,100500
1970-02-04,3.2990,3.3967,3.2863,3.3117,81400
1970-02-05,3.3117,3.3234,3.2374,3.2374,93500
1970-02-06,3.2374,3.3117,3.2374,3.2863,74700
1970-02-09,3.2990,3.3478,3.2990,3.3117,111900
1970-02-10,3.3117,3.3234,3.2863,3.2990,65700
1970-02-11,3.2990,3.3351,3.2863,3.3234,56900
1970-02-12,3.3351,3.3723,3.3351,3.3478,79400
1970-02-13,3.3478,3.3596,3.2990,3.3117,154200
1970-02-16,3.3117,3.3723,3.3117,3.3596,70400
1970-02-17,3.3596,3.4211,3.3234,3.4211,87500
1970-02-18,3.4211,3.5062,3.4211,3.5062,97500
1970-02-19,3.5062,3.5189,3.4700,3.5062,100500
1970-02-20,3.5062,3.5551,3.5062,3.5433,90800
1970-02-24,3.5433,3.5551,3.5189,3.5316,77400
1970-02-25,3.5316,3.6772,3.5316,3.6528,151200
1970-02-26,3.6528,3.6528,3.5805,3.6411,105200
1970-02-27,3.6411,3.6772,3.6039,3.6411,106900
1970-03-02,3.6411,3.6772,3.6284,3.6772,114600
1970-03-03,3.6772,3.7633,3.6772,3.7633,130700
1970-03-04,3.7633,3.8121,3.7388,3.8121,138100
1970-03-05,3.8121,3.8610,3.7633,3.8121,121700
1970-03-06,3.7877,3.7877,3.7388,3.7750,55600
1970-03-09,3.7027,3.7027,3.6166,3.6655,73400
1970-03-10,3.6655,3.6772,3.6166,3.6655,56900
1970-03-11,3.6655,3.7515,3.6655,3.7144,49200
1970-03-12,3.7144,3.7144,3.6655,3.7027,66700
1970-03-13,3.7027,3.7144,3.6655,3.7027,60300
1970-03-16,3.6528,3.6528,3.5922,3.6039,61000
1970-03-17,3.6039,3.6655,3.5922,3.6528,76400
1970-03-18,3.6528,3.6900,3.6039,3.6166,67000
1970-03-19,3.6166,3.6166,3.5922,3.5922,33100
1970-03-20,3.5922,3.5922,3.5433,3.5678,73400
1970-03-23,3.5678,3.5922,3.5433,3.5678,70400
1970-03-24,3.5678,3.6528,3.5551,3.6528,50900
1970-03-25,3.6528,3.7027,3.6411,3.6900,103600
1970-03-26,3.6900,3.7027,3.6528,3.6900,81400
1970-03-30,3.6900,3.7027,3.6166,3.6284,49200
1970-03-31,3.6284,3.6772,3.5922,3.6528,48200
1970-04-01,3.6528,3.7515,3.6411,3.7515,79400
1970-04-02,3.7515,3.7633,3.7144,3.7633,75400
1970-04-03,3.7515,3.7515,3.7027,3.7515,58300
1970-04-06,3.7388,3.7388,3.7027,3.7388,63000
1970-04-07,3.7388,3.8493,3.7144,3.8004,105200
1970-04-08,3.8004,3.8239,3.7877,3.8004,48900
1970-04-09,3.8004,3.8239,3.7877,3.7877,82400
1970-04-10,3.7877,3.8004,3.7261,3.7261,63300
1970-04-13,3.7261,3.7515,3.6900,3.6900,46900
1970-04-14,3.6900,3.7027,3.6166,3.6655,68700
1970-04-15,3.7144,3.7750,3.7144,3.7750,109900
1970-04-16,3.7633,3.7633,3.6772,3.6772,96500
1970-04-17,3.6772,3.7144,3.5805,3.6039,56900
1970-04-20,3.6039,3.6900,3.5922,3.6655,36800
1970-04-21,3.6655,3.7027,3.6284,3.6528,55300
1970-04-22,3.6528,3.7027,3.6284,3.6528,51200
1970-04-23,3.6284,3.6284,3.5189,3.5551,108600
1970-04-24,3.5551,3.5805,3.5189,3.5316,46200
1970-04-27,3.5316,3.5551,3.4700,3.4700,71700
1970-04-28,3.4700,3.6411,3.4339,3.4573,147800
1970-04-29,3.4573,3.4700,3.3351,3.4700,134700
1970-04-30,3.4700,3.5433,3.4211,3.4456,62300
1970-05-01,3.4456,3.5062,3.3850,3.4700,33500
1970-05-04,3.3967,3.3967,3.3117,3.3234,70700
1970-05-05,3.3234,3.3723,3.2990,3.3351,54300
