date,open,high,low,close,volume
1993-02-23,4.1125,4.1768,3.9352,3.9840,40594800
1993-02-24,4.0482,4.1446,3.9994,4.0971,9426400
1993-02-25,4.1125,4.1922,4.0971,4.1922,5229200
1993-02-26,4.1922,4.2564,4.1279,4.2564,2761200
1993-03-01,4.2089,4.2256,4.1125,4.1125,3014400
1993-03-02,4.1446,4.2410,4.1279,4.2256,3022800
1993-03-03,4.2089,4.2732,4.1768,4.2089,2808800
1993-03-04,4.1922,4.2410,4.1922,4.1922,1783600
1993-03-05,4.1768,4.2899,4.1125,4.2732,3868800
1993-03-08,4.2410,4.2732,4.2089,4.2564,2516000
1993-03-09,4.2410,4.4338,4.2410,4.3850,2449200
1993-03-10,4.3541,4.5777,4.3374,4.5623,3192800
1993-03-11,4.6111,4.6111,4.5135,4.5623,1276400
1993-03-12,4.5302,4.6587,4.3695,4.6420,2958800
1993-03-15,4.6266,4.6266,4.5302,4.5623,1858400
1993-03-16,4.5302,4.5777,4.4492,4.4659,2182000
1993-03-17,4.4659,4.5135,4.4184,4.5135,2413600
1993-03-18,4.4981,4.6420,4.4981,4.6266,1765200
1993-03-19,4.6587,4.6587,4.5777,4.5777,2397600
1993-03-22,4.5944,4.5944,4.5135,4.5623,729200
1993-03-23,4.5623,4.5623,4.4659,4.4659,924000
1993-03-24,4.4659,4.4659,4.2899,4.4184,1787600
1993-03-25,4.3850,4.4184,4.3207,4.4184,1080400
1993-03-26,4.5623,4.7062,4.5469,4.7062,2376800
1993-03-29,4.6754,4.7551,4.5944,4.7551,1273600
1993-03-30,4.8193,4.9324,4.7705,4.9324,1463600
1993-03-31,4.9479,5.0442,4.9157,4.9324,1856000
1993-04-01,4.8682,4.8836,4.7230,4.7551,1410000
1993-04-02,4.6908,4.7705,4.5777,4.5777,1338800
1993-04-05,4.5623,4.6754,4.5623,4.6587,873200
1993-04-06,4.6754,4.6908,4.5944,4.5944,763200
1993-04-07,4.5777,4.6754,4.5777,4.6587,240400
1993-04-08,4.6587,4.6587,4.6266,4.6420,304000
1993-04-12,4.6420,4.7551,4.6420,4.7551,217600
1993-04-13,4.8193,4.9324,4.8193,4.8990,937600
1993-04-14,4.8990,5.0442,4.8990,5.0275,689600
1993-04-15,4.9633,4.9633,4.7551,4.8193,1319600
1993-04-16,4.8515,4.8836,4.7872,4.8039,1452400
1993-04-19,4.7705,4.8039,4.6754,4.6908,861600
1993-04-20,4.7397,4.7705,4.4492,4.5469,2764000
1993-04-21,4.5469,4.6111,4.4826,4.4826,1372800
1993-04-22,4.4826,4.5623,4.4659,4.4826,1387600
1993-04-23,4.4659,4.4826,4.3695,4.4184,660400
1993-04-26,4.4338,4.4659,4.2732,4.3207,1847200
1993-04-27,4.2732,4.3695,4.1922,4.3695,1674000
1993-04-28,4.4017,4.4659,4.3541,4.4492,726800
1993-04-29,4.4492,4.4826,4.4338,4.4338,228800
1993-04-30,4.4492,5.0121,4.4492,4.9800,3105600
1993-05-03,4.8836,4.8836,4.6908,4.7230,2001200
