date,open,high,low,close,volume
1977-01-03,3.6660,3.7484,3.6660,3.6739,394455
1977-01-04,3.6574,3.6574,3.5915,3.5915,284153
1977-01-05,3.6001,3.6739,3.6001,3.6080,334201
1977-01-06,3.6080,3.6245,3.5829,3.5829,241042
1977-01-07,3.5829,3.6080,3.5342,3.5342,206578
1977-01-10,3.5342,3.5421,3.4683,3.4927,408142
1977-01-11,3.4762,3.4762,3.4024,3.4024,349607
1977-01-12,3.3938,3.3938,3.3200,3.3609,318617
1977-01-13,3.3938,3.4103,3.3938,3.3938,418526
1977-01-14,3.3938,3.4432,3.3694,3.4353,1317925
1977-01-17,3.4353,3.4518,3.4268,3.4432,1164672
1977-01-18,3.4432,3.4597,3.4432,3.4518,385799
1977-01-19,3.4518,3.5091,3.4518,3.5091,163636
1977-01-20,3.5256,3.5671,3.5256,3.5256,304938
1977-01-21,3.5256,3.5500,3.5170,3.5342,1846922
1977-01-24,3.5342,3.5586,3.5091,3.5256,885542
1977-01-25,3.5256,3.5256,3.4268,3.4268,549613
1977-01-26,3.4268,3.4597,3.4103,3.4268,203292
1977-01-27,3.3773,3.3773,3.2950,3.3114,441039
1977-01-28,3.3279,3.3773,3.3279,3.3609,194636
1977-01-31,3.3609,3.3609,3.2699,3.3114,351344
1977-02-01,3.3114,3.3444,3.3029,3.3279,141124
1977-02-02,3.3279,3.3530,3.2871,3.2871,931948
1977-02-03,3.2871,3.2950,3.2699,3.2699,218698
1977-02-04,3.2699,3.2699,3.1467,3.1632,621818
1977-02-07,3.1632,3.1632,3.0478,3.0478,518445
1977-02-08,3.0478,3.1137,3.0478,3.0894,732120
1977-02-09,3.0894,3.0894,3.0314,3.0314,25799
1977-02-10,3.0314,3.0478,3.0070,3.0070,466838
1977-02-11,3.0070,3.0314,3.0070,3.0314,506494
1977-02-14,3.0314,3.0643,3.0070,3.0643,530565
1977-02-15,3.0643,3.0729,3.0478,3.0478,869958
1977-02-16,3.0478,3.0808,3.0478,3.0643,568484
1977-02-17,3.0478,3.0478,3.0070,3.0149,246234
1977-02-18,2.9984,2.9984,2.8666,2.9569,528828
1977-02-22,2.9569,2.9655,2.9325,2.9490,230819
1977-02-23,2.9490,2.9490,2.9240,2.9325,120517
1977-02-24,2.9240,2.9240,2.8752,2.8831,267010
1977-02-25,2.8831,2.9160,2.8666,2.9160,535757
1977-02-28,2.9081,2.9081,2.8996,2.9081,242770
1977-03-01,2.9081,2.9899,2.9081,2.9899,589091
1977-03-02,2.9899,3.0149,2.9819,2.9899,566756
1977-03-03,2.9984,3.1137,2.9984,3.0973,463374
1977-03-04,3.0973,3.1058,3.0729,3.1058,377143
1977-03-07,3.1137,3.1467,3.1137,3.1467,247961
1977-03-08,3.1467,3.1467,3.0973,3.1058,511685
1977-03-09,3.0808,3.0808,3.0314,3.0399,198091
1977-03-10,3.0399,3.0643,2.9899,3.0643,458182
1977-03-11,3.0643,3.0808,3.0564,3.0564,160172
1977-03-14,3.0643,3.1467,3.0643,3.1302,303201
1977-03-15,3.1467,3.1961,3.1467,3.1711,516886
1977-03-16,3.1711,3.2040,3.1711,3.1961,416799
