date,open,high,low,close,volume
1991-10-04,5.0464,5.0464,4.9941,4.9941,12000
1991-10-07,5.0072,5.0072,4.9680,4.9680,20000
1991-10-08,4.9811,4.9811,4.8895,4.9157,97000
1991-10-09,4.9157,4.9680,4.9157,4.9680,40000
1991-10-10,4.9680,4.9680,4.9549,4.9549,26000
1991-10-11,4.9680,4.9811,4.9612,4.9811,104000
1991-10-14,4.9743,5.0203,4.9743,4.9941,23000
1991-10-15,5.0135,5.0135,4.9418,4.9680,28000
1991-10-16,4.9680,4.9680,4.9418,4.9680,62000
1991-10-17,4.9288,4.9811,4.9288,4.9680,140000
1991-10-18,4.9811,4.9941,4.9680,4.9680,105000
1991-10-21,4.9811,4.9811,4.9680,4.9811,159000
1991-10-22,4.9811,4.9941,4.9549,4.9549,17000
1991-10-23,4.8634,4.8634,4.8634,4.8634,38000
1991-10-24,4.8895,4.8895,4.7065,4.7980,2530000
1991-10-25,4.8242,4.8242,4.7980,4.7980,66000
1991-10-28,4.7980,4.8372,4.7980,4.8372,42000
1991-10-29,4.8634,4.8765,4.8634,4.8634,26000
1991-10-30,4.8765,4.8765,4.8503,4.8503,31000
1991-10-31,4.8634,4.8634,4.8634,4.8634,3000
1991-11-01,4.8634,4.8765,4.8634,4.8765,12000
1991-11-04,4.8765,4.8765,4.8765,4.8765,0
1991-11-05,4.8895,4.8895,4.8111,4.8111,137000
1991-11-06,4.8242,4.8242,4.7980,4.8111,78000
1991-11-07,4.7196,4.7850,4.7196,4.7850,95000
1991-11-08,4.7588,4.7588,4.7588,4.7588,2000
1991-11-11,4.7457,4.7457,4.7327,4.7327,4000
1991-11-12,4.7327,4.7327,4.7196,4.7196,61000
1991-11-13,4.7196,4.7588,4.7196,4.7389,56000
1991-11-14,4.7588,4.7588,4.7327,4.7327,92000
1991-11-15,4.7327,4.7327,4.6804,4.6804,63000
1991-11-18,4.6281,4.6411,4.5496,4.5889,104000
1991-11-19,4.5889,4.5889,4.4712,4.5235,99000
1991-11-20,4.5235,4.5235,4.4973,4.5235,27000
1991-11-21,4.5366,4.5496,4.5366,4.5496,9000
1991-11-22,4.5758,4.5758,4.5235,4.5235,35000
