date,open,high,low,close,volume
2002-07-01,12.6595,12.6595,12.6595,12.6595,1300
2002-07-02,13.0814,13.9254,12.6595,12.7692,7000
2002-07-03,11.8155,13.5034,11.8155,12.6595,10200
2002-07-05,12.6595,12.6595,12.6595,12.6595,500
2002-07-08,11.8155,11.8155,11.8155,11.8155,300
2002-07-09,11.8155,13.0814,11.8155,13.0814,2300
2002-07-10,11.6045,13.0814,11.6045,13.0814,500
2002-07-11,13.0814,13.0814,13.0814,13.0814,0
2002-07-12,12.6595,12.6595,12.6595,12.6595,100
2002-07-15,12.4485,12.4485,10.5495,10.7605,42700
2002-07-16,10.7605,10.7605,10.5495,10.5495,5900
2002-07-17,10.5495,10.5495,10.3386,10.5495,2400
2002-07-18,10.3808,10.3808,9.9166,9.9166,1400
2002-07-19,9.7900,9.7900,8.4818,8.8616,10700
2002-07-22,8.8616,8.8616,8.4396,8.6084,4600
2002-07-23,8.6084,8.6084,8.6084,8.6084,100
2002-07-24,8.6084,8.8616,8.6084,8.8616,2200
2002-07-25,8.5662,8.8616,8.5662,8.5662,1300
2002-07-26,8.5662,8.5662,8.5662,8.5662,0
2002-07-29,8.8616,9.3680,8.8194,9.3680,4100
2002-07-30,9.4946,10.0010,9.4946,9.7056,8900
2002-07-31,10.0432,10.1276,9.9166,10.1276,5000
2002-08-01,9.9588,10.0432,9.9588,9.9588,4300
2002-08-02,9.9588,9.9588,9.9588,9.9588,0
2002-08-05,10.0432,10.1276,10.0010,10.0010,28600
2002-08-06,10.1276,10.1276,10.1276,10.1276,10000
2002-08-07,10.1107,10.1698,10.0854,10.1698,4400
2002-08-08,10.2120,10.2120,10.1698,10.2120,12300
2002-08-09,10.2542,10.2542,10.2542,10.2542,3400
2002-08-12,10.2542,10.2542,10.2120,10.2542,24400
2002-08-13,10.2964,10.2964,10.2120,10.2964,3900
2002-08-14,10.2542,10.2964,10.2542,10.2964,3700
2002-08-15,10.2542,10.2542,10.2120,10.2120,700
2002-08-16,10.1276,10.2542,10.1276,10.2542,8600
2002-08-19,10.2542,10.2542,9.8322,9.8322,8700
2002-08-20,9.7900,9.7900,9.7900,9.7900,100
2002-08-21,10.0432,10.1276,9.9166,9.9166,16400
2002-08-22,9.9166,9.9166,9.2836,9.2836,35500
2002-08-23,9.2836,9.3680,9.2836,9.3680,3700
2002-08-26,9.2836,9.2836,9.1570,9.1739,11900
2002-08-27,9.1570,9.2836,8.8701,8.8701,23900
2002-08-28,8.8616,8.8616,8.4396,8.5240,24700
2002-08-29,8.6084,8.6084,8.5240,8.6084,8500
2002-08-30,8.6928,8.6928,8.4396,8.4396,4200
2002-09-03,8.3974,8.4396,7.8489,8.3552,8000
2002-09-04,7.8911,8.0177,7.5113,7.8489,89100
2002-09-05,7.8489,7.8489,7.8489,7.8489,3100
2002-09-06,7.8489,8.1864,7.8489,8.1864,30400
2002-09-09,8.2286,8.3552,8.1864,8.2708,26000
2002-09-10,8.3552,8.3974,8.2877,8.3552,36200
2002-09-11,8.4396,8.4818,8.3552,8.4818,2400
2002-09-12,8.5240,8.5240,8.3552,8.3552,4000
2002-09-13,8.3552,8.3890,8.3552,8.3890,2800
2002-09-16,8.3890,8.4396,8.3130,8.4396,10300
2002-09-17,8.2286,8.3552,8.2286,8.3552,4800
2002-09-18,8.3299,8.3299,8.3299,8.3299,1500
2002-09-19,8.2708,8.2708,8.2708,8.2708,6200
2002-09-20,8.1442,8.1442,7.9333,7.9333,2700
