date,open,high,low,close,volume
1983-04-06,13.7674,13.7981,13.6065,13.7036,94100
1983-04-07,13.7036,13.7981,13.5426,13.7981,42800
1983-04-08,13.5426,13.7674,13.4480,13.7342,161900
1983-04-11,13.7981,14.0536,13.7674,14.0230,274700
1983-04-12,14.1175,14.1814,14.0536,14.0536,117600
1983-04-13,14.1507,14.2146,13.9259,13.9897,202500
1983-04-14,14.0536,14.2453,13.7981,14.2453,247200
1983-04-15,14.2785,14.2785,13.8620,13.9259,413200
1983-04-18,14.1175,14.1814,14.0536,14.0536,129500
1983-04-19,14.0536,14.1175,13.7036,13.7036,264700
1983-04-20,13.7981,13.9897,13.7342,13.9259,63200
1983-04-21,14.0230,14.0230,13.5426,13.7981,312700
1983-04-22,13.7981,13.7981,13.4787,13.6397,133600
1983-04-25,13.8952,14.0536,13.7342,13.7981,118700
1983-04-26,13.8952,14.0536,13.7342,14.0536,62500
1983-04-27,13.9591,14.1175,13.7981,13.9259,898700
1983-04-28,13.8952,13.9897,13.7981,13.9259,166000
1983-04-29,13.7674,13.7981,13.7342,13.7981,135800
1983-05-02,13.6703,13.8952,13.4148,13.6703,464600
1983-05-03,13.7981,13.8620,13.7342,13.8620,108700
1983-05-04,14.0230,14.1814,13.8620,14.0230,483900
1983-05-05,13.9897,14.0536,13.9259,13.9259,748600
1983-05-06,13.8620,14.1814,13.8313,14.1507,282500
1983-05-09,14.0536,14.5008,14.0230,14.2453,497700
1983-05-10,14.3730,14.7563,14.3424,14.7563,528600
1983-05-11,14.6924,14.7563,14.4369,14.4369,256100
1983-05-12,14.5647,14.5647,14.0536,14.2453,919200
1983-05-13,14.1814,14.3730,14.1814,14.2785,168200
1983-05-16,14.3424,14.3424,14.1175,14.1814,110500
1983-05-17,14.3424,14.5008,14.1814,14.5008,225200
1983-05-18,14.5647,14.9173,14.5008,14.6924,394600
1983-05-19,14.8841,14.9173,14.4369,14.7563,221500
1983-05-20,14.6285,14.7256,14.4369,14.5008,215500
1983-05-23,14.5647,14.8202,14.4062,14.7256,127600
1983-05-24,14.7563,15.2035,14.6924,15.1728,277700
1983-05-25,15.3312,15.3312,15.0757,15.1728,276900
1983-05-26,15.2673,15.3006,15.0118,15.0118,217000
1983-05-27,15.0757,15.0757,14.6285,14.6285,168200
1983-05-31,14.6924,15.1396,14.5647,14.5647,123900
1983-06-01,14.1175,14.4369,14.1175,14.4369,352900
1983-06-02,14.5647,14.5647,14.3424,14.4369,69600
1983-06-03,14.5340,14.8202,14.4701,14.6924,194300
1983-06-06,14.5979,14.5979,14.3424,14.4369,56500
1983-06-07,14.3730,14.3730,14.2146,14.2453,87400
1983-06-08,14.3091,14.3091,14.1814,14.3091,148500
1983-06-09,14.3730,14.7563,14.3424,14.7563,168200
1983-06-10,14.6924,14.7563,14.6618,14.6924,78100
1983-06-13,14.7256,14.8841,14.6924,14.8534,69200
1983-06-14,14.7895,14.9173,14.6285,14.6285,167900
1983-06-15,14.5647,14.6285,14.4701,14.6285,65500
1983-06-16,14.5647,14.7895,14.2453,14.2785,333500
1983-06-17,14.3091,14.3091,14.0536,14.0868,107900
1983-06-20,14.1507,14.1507,13.7981,14.0536,168600
1983-06-21,14.1175,14.2453,14.0536,14.2453,152600
1983-06-22,14.2453,14.3730,14.0868,14.3091,66600
1983-06-23,14.2453,14.2785,14.1175,14.2146,131700
1983-06-24,14.2146,14.2146,14.0868,14.1814,73300
1983-06-27,14.0536,14.1507,13.7342,13.9259,112000
1983-06-28,13.9897,13.9897,13.5426,13.5758,66600
1983-06-29,13.4787,13.5426,13.3509,13.5119,67700
1983-06-30,13.4480,13.6703,13.2871,13.4148,92300
1983-07-01,13.5426,13.8313,13.4787,13.8313,117200
1983-07-05,13.7674,13.8313,13.6703,13.6703,111600
1983-07-06,13.6703,13.8620,13.6703,13.8620,43900
1983-07-07,14.0230,14.5008,13.9897,14.3091,131000
1983-07-08,14.3730,14.4062,14.1175,14.1175,299300
1983-07-11,14.3091,14.5340,14.2453,14.4369,66200
1983-07-12,14.4369,14.4369,14.2453,14.2453,58400
1983-07-13,14.3091,14.3091,14.1175,14.3091,108700
1983-07-14,14.3091,14.3730,14.1175,14.1175,47200
1983-07-15,14.0536,14.2453,13.7981,13.7981,157100
1983-07-18,13.8620,13.8952,13.4787,13.6065,263500
1983-07-19,13.6703,13.8620,13.6703,13.7981,88200
1983-07-20,13.9897,14.3091,13.9897,14.3091,263900
1983-07-21,14.3091,14.6618,14.3091,14.4369,137300
1983-07-22,14.4369,14.5647,14.3091,14.4701,93000
1983-07-25,14.4062,14.6924,14.3730,14.6924,43900
1983-07-26,14.8202,15.0118,14.8202,14.9173,160000
1983-07-27,15.0118,15.1728,14.9479,14.9479,367400
1983-07-28,15.0118,15.0118,14.8534,14.8841,43900
1983-07-29,14.8841,14.8841,14.6924,14.7895,110900
1983-08-01,14.6285,14.7895,14.6285,14.6924,42000
1983-08-02,14.6924,14.8841,14.6618,14.8534,107900
1983-08-03,14.7563,15.0118,14.7256,14.8202,115000
1983-08-04,14.7563,14.8202,14.5979,14.6285,73300
1983-08-05,14.6924,14.7563,14.6924,14.7563,92700
1983-08-08,14.6924,14.7563,14.5340,14.5979,78900
1983-08-09,14.5647,14.5647,14.4369,14.5647,207300
1983-08-10,14.5647,14.6285,14.4369,14.6285,70700
1983-08-11,14.5979,14.6618,14.3730,14.5340,58800
1983-08-12,14.4701,14.5979,14.4062,14.5647,51000
1983-08-15,14.5647,14.8841,14.5647,14.8202,76600
1983-08-16,14.8841,15.0118,14.7563,14.9173,70300
1983-08-17,15.0118,15.0757,14.8841,15.0118,120900
1983-08-18,15.0118,15.0757,14.5979,14.7563,100100
1983-08-19,14.6285,14.6924,14.4369,14.6618,56500
1983-08-22,14.8202,15.0118,14.7256,14.7256,105700
1983-08-23,14.6285,14.9479,14.6285,14.7563,120900
1983-08-24,14.6618,14.8841,14.5979,14.6285,65500
1983-08-25,14.6285,14.6924,14.5647,14.6924,46500
1983-08-26,14.7563,15.0118,14.7563,15.0118,41300
1983-08-29,15.0450,15.5561,15.0450,15.5561,290000
1983-08-30,15.4283,15.5229,15.3312,15.3644,85600
1983-08-31,15.3006,15.3006,15.1728,15.1728,142900
1983-09-01,15.2367,15.2673,14.9812,14.9812,161900
1983-09-02,14.9812,15.2035,14.9479,15.1396,83300
1983-09-06,15.2035,15.4590,15.2035,15.4283,119100
1983-09-07,15.3006,15.3644,14.8841,14.9479,227100
1983-09-08,14.9479,15.0118,14.7563,14.8841,131700
1983-09-09,14.9479,15.0757,14.8202,15.0118,53200
1983-09-12,15.0757,15.3312,14.7563,14.7563,316400
1983-09-13,14.7895,14.7895,14.1507,14.2785,456000
1983-09-14,14.1814,14.2785,13.9259,14.1175,320900
1983-09-15,14.0536,14.0536,13.7342,13.7981,163400
1983-09-16,13.3509,13.6703,13.3509,13.6703,150700
