date,open,high,low,close,volume
1984-10-19,0.6239,0.6289,0.6135,0.6190,4140000
1984-10-22,0.6190,0.6239,0.5982,0.6135,888200
1984-10-23,0.6190,0.6190,0.6031,0.6081,1028800
1984-10-24,0.6081,0.6081,0.5982,0.6031,1469800
1984-10-25,0.5774,0.5823,0.5719,0.5719,1728200
1984-10-26,0.5719,0.5774,0.5719,0.5719,222000
1984-10-29,0.5774,0.5774,0.5719,0.5774,3262000
1984-10-30,0.5719,0.5873,0.5719,0.5823,155000
1984-10-31,0.5823,0.5873,0.5774,0.5823,205800
1984-11-01,0.5823,0.5927,0.5823,0.5873,404600
1984-11-02,0.5823,0.5927,0.5823,0.5927,73400
1984-11-05,0.5873,0.5982,0.5823,0.5927,146000
1984-11-06,0.5927,0.6031,0.5927,0.6031,288000
1984-11-07,0.5982,0.5982,0.5927,0.5982,94400
1984-11-08,0.5927,0.5982,0.5873,0.5927,189000
1984-11-09,0.5927,0.5982,0.5873,0.5873,130000
1984-11-12,0.5873,0.5873,0.5823,0.5873,355600
1984-11-13,0.5873,0.5873,0.5774,0.5774,108600
1984-11-14,0.5823,0.5823,0.5774,0.5823,47000
1984-11-15,0.5823,0.5873,0.5774,0.5873,839400
1984-11-16,0.5873,0.5927,0.5823,0.5823,232600
1984-11-19,0.5873,0.5927,0.5873,0.5873,291000
1984-11-20,0.5873,0.5927,0.5823,0.5873,533200
1984-11-21,0.5873,0.5927,0.5774,0.5927,826600
1984-11-23,0.5927,0.6031,0.5873,0.5927,411400
1984-11-26,0.5927,0.5982,0.5873,0.5927,231200
1984-11-27,0.5873,0.5927,0.5873,0.5927,68000
1984-11-28,0.5873,0.5982,0.5873,0.5927,314600
1984-11-29,0.5873,0.5927,0.5873,0.5927,126200
1984-11-30,0.5873,0.5927,0.5873,0.5873,150000
1984-12-03,0.5927,0.5927,0.5823,0.5873,206400
1984-12-04,0.5823,0.5873,0.5823,0.5823,69200
1984-12-05,0.5823,0.5927,0.5774,0.5823,348200
1984-12-06,0.5774,0.5823,0.5719,0.5774,69200
1984-12-07,0.5719,0.5719,0.5616,0.5665,568200
1984-12-10,0.5665,0.5665,0.5566,0.5665,229400
1984-12-11,0.5665,0.5665,0.5616,0.5665,738000
1984-12-12,0.5616,0.5665,0.5616,0.5665,194400
1984-12-13,0.5616,0.5665,0.5616,0.5665,119000
1984-12-14,0.5665,0.5665,0.5616,0.5665,688000
1984-12-17,0.5616,0.5616,0.5457,0.5512,502600
1984-12-18,0.5512,0.5616,0.5512,0.5566,760400
1984-12-19,0.5566,0.6031,0.5566,0.5665,557000
1984-12-20,0.5616,0.5665,0.5566,0.5665,456600
1984-12-21,0.5616,0.5665,0.5566,0.5665,327200
1984-12-24,0.5719,0.5774,0.5665,0.5719,177800
1984-12-26,0.5774,0.5774,0.5665,0.5774,437000
1984-12-27,0.5774,0.5774,0.4626,0.4992,3484000
1984-12-28,0.4833,0.4942,0.4784,0.4942,1561200
1984-12-31,0.4833,0.4992,0.4526,0.4888,998200
1985-01-02,0.4833,0.4888,0.4734,0.4833,1658400
1985-01-03,0.4833,0.4888,0.4680,0.4734,799600
1985-01-04,0.4680,0.4784,0.4576,0.4734,691600
1985-01-07,0.4784,0.4833,0.4680,0.4833,633800
1985-01-08,0.4833,0.5041,0.4784,0.4942,904800
1985-01-09,0.4992,0.5096,0.4992,0.5041,786000
1985-01-10,0.5096,0.5200,0.5041,0.5150,1033200
1985-01-11,0.5096,0.5200,0.4992,0.5096,423800
1985-01-14,0.5150,0.5150,0.5096,0.5096,301600
1985-01-15,0.5096,0.5150,0.4992,0.5096,655000
1985-01-16,0.5041,0.5150,0.4992,0.5096,425200
1985-01-17,0.5096,0.5150,0.5096,0.5150,384000
1985-01-18,0.5150,0.5150,0.5041,0.5041,230800
1985-01-21,0.5096,0.5096,0.4992,0.5096,449200
1985-01-22,0.5041,0.5358,0.4992,0.5041,372600
1985-01-23,0.5041,0.5041,0.4992,0.5041,1715600
1985-01-24,0.5041,0.5041,0.4992,0.5041,1902800
1985-01-25,0.4833,0.5041,0.4833,0.4992,2934000
1985-01-28,0.4992,0.4992,0.4888,0.4942,580600
1985-01-29,0.4888,0.4942,0.4888,0.4942,181400
1985-01-30,0.4888,0.4992,0.4888,0.4942,1226400
1985-01-31,0.4942,0.4992,0.4888,0.4942,1242200
1985-02-01,0.4992,0.4992,0.4888,0.4942,275400
1985-02-04,0.4942,0.4942,0.4833,0.4942,599600
1985-02-05,0.4888,0.4942,0.4833,0.4888,233000
1985-02-06,0.4833,0.4942,0.4833,0.4888,1280000
1985-02-07,0.4833,0.4942,0.4784,0.4888,1444800
1985-02-08,0.4784,0.4888,0.4734,0.4833,1936600
1985-02-11,0.4833,0.4888,0.4784,0.4784,435000
1985-02-12,0.4784,0.4942,0.4784,0.4888,1252400
1985-02-13,0.4888,0.4992,0.4888,0.4992,683600
1985-02-14,0.4942,0.4992,0.4888,0.4888,429400
1985-02-15,0.4942,0.4992,0.4888,0.4992,688400
1985-02-19,0.4942,0.4992,0.4942,0.4942,213800
1985-02-20,0.4942,0.4992,0.4888,0.4992,555800
1985-02-21,0.4992,0.4992,0.4942,0.4942,183600
1985-02-22,0.4992,0.5096,0.4942,0.5096,532000
1985-02-25,0.5041,0.5041,0.4942,0.4942,247400
1985-02-26,0.4942,0.5041,0.4942,0.4942,353800
1985-02-27,0.4942,0.5041,0.4942,0.4992,180400
1985-02-28,0.4992,0.4992,0.4942,0.4992,338000
1985-03-01,0.4942,0.5041,0.4942,0.4992,236400
1985-03-04,0.4992,0.4992,0.4942,0.4992,322800
1985-03-05,0.4942,0.4992,0.4942,0.4992,304400
1985-03-06,0.4992,0.5041,0.4942,0.4992,427800
1985-03-07,0.4992,0.5041,0.4992,0.4992,1036000
1985-03-08,0.4992,0.5041,0.4992,0.5041,128000
1985-03-11,0.4992,0.5041,0.4942,0.4992,132200
1985-03-12,0.4992,0.5041,0.4992,0.4992,166000
1985-03-13,0.4992,0.5096,0.4942,0.4992,552200
