date,open,high,low,close,volume
1980-12-02,0.0588,0.0601,0.0588,0.0588,100710400
1980-12-03,0.0582,0.0582,0.0576,0.0576,25177600
1980-12-04,0.0595,0.0601,0.0595,0.0595,22694400
1980-12-05,0.0576,0.0576,0.0563,0.0563,7590400
1980-12-08,0.0537,0.0537,0.0531,0.0531,5414400
1980-12-09,0.0531,0.0531,0.0518,0.0518,5824000
1980-12-10,0.0505,0.0505,0.0486,0.0486,5875200
1980-12-11,0.0473,0.0473,0.0461,0.0461,5440000
1980-12-12,0.0480,0.0486,0.0480,0.0480,8153600
1980-12-15,0.0499,0.0505,0.0499,0.0499,6643200
1980-12-16,0.0499,0.0499,0.0486,0.0486,6630400
1980-12-17,0.0480,0.0480,0.0467,0.0467,4672000
1980-12-18,0.0480,0.0492,0.0480,0.0480,11251200
1980-12-19,0.0499,0.0505,0.0499,0.0499,10035200
1980-12-22,0.0499,0.0512,0.0499,0.0499,1856000
1980-12-23,0.0512,0.0525,0.0512,0.0512,5696000
1980-12-24,0.0531,0.0543,0.0531,0.0531,2444800
1980-12-26,0.0537,0.0550,0.0537,0.0537,1459200
1980-12-29,0.0537,0.0543,0.0531,0.0531,1740800
1980-12-30,0.0543,0.0550,0.0543,0.0543,4364800
1980-12-31,0.0543,0.0550,0.0537,0.0537,2918400
1981-01-02,0.0550,0.0563,0.0550,0.0550,1574400
1981-01-05,0.0573,0.0582,0.0573,0.0573,5824000
1981-01-06,0.0576,0.0582,0.0576,0.0576,6950400
1981-01-07,0.0550,0.0550,0.0543,0.0543,8806400
1981-01-08,0.0537,0.0537,0.0531,0.0531,3302400
1981-01-09,0.0531,0.0537,0.0525,0.0525,2470400
1981-01-12,0.0531,0.0543,0.0531,0.0531,3353600
1981-01-13,0.0543,0.0556,0.0543,0.0543,4467200
1981-01-14,0.0563,0.0576,0.0563,0.0563,7923200
1981-01-15,0.0563,0.0570,0.0563,0.0563,2521600
1981-01-16,0.0563,0.0576,0.0563,0.0563,3328000
1981-01-19,0.0563,0.0570,0.0563,0.0563,4032000
1981-01-20,0.0556,0.0556,0.0543,0.0543,3507200
1981-01-21,0.0543,0.0550,0.0537,0.0537,985600
1981-01-22,0.0531,0.0531,0.0512,0.0512,1318400
1981-01-23,0.0525,0.0537,0.0525,0.0525,1382400
1981-01-26,0.0525,0.0525,0.0512,0.0512,1126400
1981-01-27,0.0512,0.0518,0.0512,0.0512,857600
1981-01-28,0.0512,0.0518,0.0512,0.0512,1164800
1981-01-29,0.0512,0.0525,0.0512,0.0512,2521600
1981-01-30,0.0505,0.0505,0.0492,0.0492,832000
1981-02-02,0.0492,0.0492,0.0480,0.0480,2060800
1981-02-03,0.0480,0.0492,0.0480,0.0480,1139200
1981-02-04,0.0480,0.0492,0.0480,0.0480,2060800
1981-02-05,0.0492,0.0499,0.0492,0.0492,3878400
1981-02-06,0.0492,0.0505,0.0492,0.0492,1216000
1981-02-09,0.0492,0.0499,0.0480,0.0480,1139200
1981-02-10,0.0480,0.0492,0.0480,0.0480,2176000
1981-02-11,0.0480,0.0486,0.0467,0.0467,1254400
