date,open,high,low,close,volume
1990-03-26,0.5040,0.5040,0.4916,0.4916,27200
1990-03-27,0.5040,0.5040,0.4916,0.4916,363200
1990-03-28,0.4916,0.5040,0.4791,0.4791,678400
1990-03-29,0.4978,0.4978,0.4854,0.4883,233600
1990-03-30,0.4854,0.4978,0.4854,0.4978,139200
1990-04-02,0.4916,0.4978,0.4916,0.4916,118400
1990-04-03,0.5040,0.5040,0.4916,0.4916,830400
1990-04-04,0.4978,0.4978,0.4916,0.4978,243200
1990-04-05,0.4978,0.4978,0.4978,0.4978,24000
1990-04-06,0.4978,0.5040,0.4978,0.4978,518400
1990-04-09,0.5040,0.5040,0.4916,0.4978,211200
1990-04-10,0.4916,0.4916,0.4605,0.4916,1732800
1990-04-11,0.4978,0.4978,0.4916,0.4916,75200
1990-04-12,0.4978,0.4978,0.4916,0.4916,243200
1990-04-16,0.5040,0.5040,0.4791,0.4791,171200
1990-04-17,0.4791,0.4916,0.4729,0.4791,521600
1990-04-18,0.4854,0.4854,0.4729,0.4729,38400
1990-04-19,0.4729,0.4854,0.4729,0.4791,968000
1990-04-20,0.4791,0.4854,0.4729,0.4791,470400
1990-04-23,0.4699,0.4791,0.4667,0.4667,774400
1990-04-24,0.4729,0.4729,0.4729,0.4729,35200
1990-04-25,0.4729,0.4791,0.4729,0.4791,153600
1990-04-26,0.4759,0.4791,0.4729,0.4791,94400
1990-04-27,0.4791,0.4978,0.4791,0.4916,705600
1990-04-30,0.4978,0.5040,0.4916,0.5040,80000
1990-05-01,0.4978,0.5040,0.4978,0.4978,163200
1990-05-02,0.5040,0.5040,0.4978,0.4978,113600
1990-05-03,0.5073,0.5165,0.5040,0.5165,332800
1990-05-04,0.5165,0.5227,0.5165,0.5227,67200
1990-05-07,0.5197,0.5227,0.5197,0.5227,84800
1990-05-08,0.5197,0.5227,0.5165,0.5165,121600
1990-05-09,0.5227,0.5227,0.5165,0.5227,160000
1990-05-10,0.5165,0.5227,0.5132,0.5197,233600
1990-05-11,0.5289,0.5351,0.5227,0.5351,1302400
1990-05-14,0.5351,0.5600,0.5227,0.5600,488000
1990-05-15,0.5538,0.5725,0.5538,0.5725,739200
1990-05-16,0.5725,0.5787,0.5662,0.5725,1108800
1990-05-17,0.5725,0.5725,0.5600,0.5600,124800
1990-05-18,0.5600,0.5787,0.5600,0.5695,550400
1990-05-21,0.5662,0.6160,0.5662,0.6036,1976000
1990-05-22,0.6036,0.6036,0.5725,0.5974,1502400
1990-05-23,0.5974,0.5974,0.5849,0.5849,67200
1990-05-24,0.5849,0.6036,0.5849,0.5974,206400
1990-05-25,0.5725,0.5911,0.5600,0.5911,308800
1990-05-29,0.5911,0.6160,0.5911,0.6036,366400
1990-05-30,0.6223,0.6223,0.5974,0.6098,244800
1990-05-31,0.6098,0.6098,0.5911,0.5911,166400
1990-06-01,0.5974,0.5974,0.5787,0.5787,17600
1990-06-04,0.5787,0.5849,0.5725,0.5849,44800
1990-06-05,0.5849,0.5849,0.5695,0.5725,462400
1990-06-06,0.5662,0.5787,0.5600,0.5787,155200
1990-06-07,0.5911,0.6223,0.5787,0.5849,1331200
1990-06-08,0.5849,0.5911,0.5725,0.5819,782400
1990-06-11,0.5849,0.5974,0.5662,0.5849,1249600
1990-06-12,0.5849,0.5849,0.5849,0.5849,17600
1990-06-13,0.5974,0.5974,0.5849,0.5911,62400
1990-06-14,0.5974,0.5974,0.5974,0.5974,17600
1990-06-15,0.5849,0.6160,0.5849,0.6036,592000
1990-06-18,0.6160,0.6160,0.5911,0.5911,185600
1990-06-19,0.5849,0.5974,0.5787,0.5974,814400
1990-06-20,0.6036,0.6036,0.5974,0.5974,177600
1990-06-21,0.6036,0.6098,0.5974,0.5974,172800
1990-06-22,0.6098,0.6098,0.5974,0.6098,113600
1990-06-25,0.6160,0.6223,0.6098,0.6160,200000
1990-06-26,0.6285,0.6409,0.6223,0.6223,235200
1990-06-27,0.6223,0.6347,0.6160,0.6160,256000
1990-06-28,0.6285,0.6285,0.6285,0.6285,64000
1990-06-29,0.6285,0.6471,0.6160,0.6409,299200
1990-07-02,0.6471,0.6658,0.6409,0.6596,971200
1990-07-03,0.6658,0.6845,0.6534,0.6845,227200
1990-07-05,0.6845,0.6875,0.6720,0.6750,772800
1990-07-06,0.6720,0.6720,0.6658,0.6658,80000
1990-07-09,0.6658,0.6658,0.6409,0.6534,388800
1990-07-10,0.6409,0.6471,0.6285,0.6347,812800
1990-07-11,0.6347,0.6534,0.6285,0.6534,803200
1990-07-12,0.6534,0.6534,0.6409,0.6534,240000
1990-07-13,0.6534,0.6534,0.6409,0.6534,168000
1990-07-16,0.6534,0.6596,0.6471,0.6596,555200
1990-07-17,0.6471,0.6596,0.6471,0.6596,110400
1990-07-18,0.6596,0.6596,0.6596,0.6596,3200
1990-07-19,0.6534,0.6534,0.6471,0.6534,32000
1990-07-20,0.6534,0.6596,0.6471,0.6471,32000
1990-07-23,0.6471,0.6471,0.6223,0.6347,496000
1990-07-24,0.6223,0.6223,0.5911,0.5911,664000
1990-07-25,0.5974,0.6098,0.5725,0.6036,2756800
1990-07-26,0.6036,0.6036,0.5849,0.6036,2436800
1990-07-27,0.5911,0.6036,0.5911,0.5911,65600
1990-07-30,0.5911,0.6036,0.5911,0.5974,222400
1990-07-31,0.5974,0.6098,0.5974,0.6098,1203200
1990-08-01,0.6098,0.6098,0.5911,0.5974,569600
1990-08-02,0.5849,0.5974,0.5849,0.5944,321600
1990-08-03,0.5911,0.5911,0.5414,0.5538,2355200
1990-08-06,0.5289,0.5289,0.4605,0.4791,571200
1990-08-07,0.4667,0.5040,0.4667,0.4916,588800
1990-08-08,0.5040,0.5476,0.5040,0.5414,696000
1990-08-09,0.5351,0.5538,0.5321,0.5321,30400
1990-08-10,0.5351,0.5351,0.4854,0.5040,1019200
1990-08-13,0.5040,0.5227,0.5040,0.5227,104000
1990-08-14,0.5351,0.5414,0.5165,0.5351,220800
1990-08-15,0.5600,0.5787,0.5600,0.5787,88000
1990-08-16,0.5662,0.5725,0.5662,0.5662,688000
1990-08-17,0.5538,0.5662,0.5414,0.5662,358400
1990-08-20,0.5662,0.5725,0.5662,0.5725,808000
1990-08-21,0.5414,0.5600,0.5351,0.5600,168000
1990-08-22,0.5538,0.5662,0.5476,0.5476,393600
1990-08-23,0.5227,0.5414,0.5165,0.5227,105600
1990-08-24,0.5351,0.5351,0.5351,0.5351,14400
1990-08-27,0.5662,0.5662,0.5538,0.5538,150400
1990-08-28,0.5538,0.5538,0.5538,0.5538,0
1990-08-29,0.5476,0.5662,0.5476,0.5476,227200
1990-08-30,0.5476,0.5476,0.5476,0.5476,8000
1990-08-31,0.5476,0.5600,0.5476,0.5476,105600
1990-09-04,0.5476,0.6036,0.5476,0.6036,984000
1990-09-05,0.6098,0.6285,0.5787,0.5787,947200
1990-09-06,0.5911,0.5911,0.5476,0.5476,76800
1990-09-07,0.5351,0.5538,0.5351,0.5538,36800
1990-09-10,0.5787,0.5787,0.5600,0.5600,134400
1990-09-11,0.5787,0.5911,0.5662,0.5662,75200
1990-09-12,0.5787,0.5974,0.5787,0.5911,144000
1990-09-13,0.6068,0.6068,0.5911,0.5911,830400
1990-09-14,0.5911,0.6098,0.5911,0.6098,1216000
1990-09-17,0.5974,0.6160,0.5974,0.6160,209600
1990-09-18,0.6036,0.6098,0.5911,0.6098,883200
1990-09-19,0.6098,0.6098,0.5974,0.5974,4800
1990-09-20,0.5787,0.5974,0.5725,0.5725,80000
1990-09-21,0.5787,0.5787,0.5662,0.5662,91200
1990-09-24,0.5538,0.5538,0.5414,0.5476,112000
1990-09-25,0.5538,0.5787,0.5476,0.5787,411200
1990-09-26,0.5725,0.5787,0.5538,0.5662,284800
1990-09-27,0.5725,0.5725,0.5600,0.5695,2182400
1990-09-28,0.5538,0.5911,0.5538,0.5911,990400
1990-10-01,0.6098,0.6098,0.5911,0.5974,1228800
1990-10-02,0.6036,0.6160,0.5911,0.5974,1833600
1990-10-03,0.5787,0.5787,0.5787,0.5787,73600
1990-10-04,0.5787,0.5849,0.5662,0.5849,633600
1990-10-05,0.5538,0.5755,0.5476,0.5600,550400
1990-10-08,0.5662,0.5755,0.5600,0.5600,206400
1990-10-09,0.5476,0.5600,0.4916,0.4978,1438400
1990-10-10,0.4542,0.5040,0.4542,0.4824,958400
1990-10-11,0.4978,0.4978,0.4667,0.4854,659200
1990-10-12,0.5040,0.5040,0.4605,0.4854,625600
1990-10-15,0.4978,0.4978,0.4729,0.4978,523200
1990-10-16,0.5040,0.5040,0.4542,0.4605,1651200
1990-10-17,0.4480,0.4791,0.4418,0.4729,2208000
1990-10-18,0.4978,0.5351,0.4916,0.5289,600000
1990-10-19,0.5600,0.5600,0.5414,0.5538,220800
1990-10-22,0.5414,0.5538,0.5165,0.5476,2048000
1990-10-23,0.5351,0.5662,0.5351,0.5476,1385600
1990-10-24,0.5227,0.5351,0.5227,0.5351,1092800
1990-10-25,0.5227,0.5289,0.5227,0.5227,139200
1990-10-26,0.5165,0.5289,0.5102,0.5102,771200
1990-10-29,0.5227,0.5227,0.5040,0.5040,654400
1990-10-30,0.4854,0.5102,0.4667,0.4978,1155200
1990-10-31,0.5102,0.5165,0.4854,0.4854,516800
1990-11-01,0.4916,0.4916,0.4854,0.4854,177600
1990-11-02,0.4978,0.5102,0.4916,0.5102,1721600
1990-11-05,0.5102,0.5197,0.4978,0.5197,1121600
1990-11-06,0.5102,0.5197,0.5102,0.5165,704000
1990-11-07,0.5102,0.5102,0.4916,0.4916,1123200
1990-11-08,0.4978,0.5008,0.4916,0.5008,3748800
1990-11-09,0.5102,0.5289,0.4978,0.5227,1502400
1990-11-12,0.5227,0.5600,0.5227,0.5538,4684800
1990-11-13,0.5600,0.5600,0.5351,0.5414,1446400
1990-11-14,0.5414,0.5476,0.5414,0.5414,347200
1990-11-15,0.5414,0.5476,0.5414,0.5476,124800
1990-11-16,0.5476,0.5538,0.5414,0.5506,1392000
1990-11-19,0.5538,0.5538,0.5476,0.5538,1156800
1990-11-20,0.5600,0.5600,0.5476,0.5538,68800
1990-11-21,0.5476,0.5600,0.5476,0.5600,393600
1990-11-23,0.5476,0.5600,0.5476,0.5600,49600
1990-11-26,0.5476,0.5600,0.5414,0.5600,174400
1990-11-27,0.5662,0.5662,0.5538,0.5600,790400
1990-11-28,0.5600,0.5662,0.5600,0.5600,86400
1990-11-29,0.5538,0.5662,0.5538,0.5538,184000
1990-11-30,0.5600,0.5662,0.5538,0.5570,1777600
1990-12-03,0.5600,0.5787,0.5600,0.5725,323200
1990-12-04,0.5787,0.6160,0.5725,0.6098,2726400
1990-12-05,0.6098,0.6471,0.6098,0.6409,1316800
1990-12-06,0.6409,0.6534,0.6223,0.6252,2417600
1990-12-07,0.6223,0.6285,0.6160,0.6252,1905600
1990-12-10,0.6160,0.6285,0.6160,0.6160,28800
1990-12-11,0.6285,0.6285,0.6160,0.6285,1278400
1990-12-12,0.6285,0.6409,0.6160,0.6285,1347200
1990-12-13,0.6285,0.6409,0.6285,0.6285,204800
1990-12-14,0.6285,0.6409,0.6285,0.6409,624000
1990-12-17,0.6347,0.6534,0.6347,0.6534,542400
1990-12-18,0.6596,0.7031,0.6471,0.7031,2734400
1990-12-19,0.7156,0.7343,0.6969,0.7218,1161600
1990-12-20,0.7156,0.7343,0.7156,0.7343,1593600
1990-12-21,0.7343,0.7343,0.7156,0.7156,601600
1990-12-24,0.7156,0.7156,0.6969,0.7094,217600
1990-12-26,0.7031,0.7031,0.6845,0.6907,388800
1990-12-27,0.6845,0.6907,0.6534,0.6534,1336000
1990-12-28,0.6534,0.6658,0.6534,0.6534,648000
1990-12-31,0.6534,0.6658,0.6223,0.6658,1102400
1991-01-02,0.6658,0.6783,0.6626,0.6720,678400
1991-01-03,0.6690,0.6720,0.6658,0.6658,793600
1991-01-04,0.6720,0.6720,0.6658,0.6658,145600
1991-01-07,0.6658,0.6658,0.6471,0.6626,780800
1991-01-08,0.6658,0.7094,0.6658,0.6969,1412800
1991-01-09,0.7031,0.7031,0.6783,0.6907,3896000
