date,open,high,low,close,volume
2011-01-27,19.4807,20.2239,19.4807,19.8719,5809300
2011-01-28,19.8719,19.8719,19.5589,19.5589,2611900
2011-01-31,19.5433,20.7324,19.3633,20.3960,2505300
2011-02-01,20.6933,20.8342,19.9501,20.1457,2155300
2011-02-02,20.3256,20.5994,20.1379,20.3021,1173100
2011-02-03,20.1535,20.4039,20.1457,20.3021,668300
2011-02-04,20.3804,21.2019,20.1457,20.4039,720200
2011-02-07,20.3804,20.4977,20.0596,20.1770,1204800
2011-02-08,20.1066,20.3882,20.0674,20.3647,3632000
2011-02-09,20.3178,20.4977,19.9736,20.0127,873200
2011-02-10,19.9501,20.0596,19.5589,19.8719,1149600
2011-02-11,20.3569,20.3569,19.6450,19.7310,2107900
2011-02-14,19.9266,19.9266,19.6450,19.8484,1122500
2011-02-15,19.8093,19.8875,19.6059,19.8562,887500
2011-02-16,19.8014,20.3413,19.8014,20.3413,853400
2011-02-17,20.2474,21.2879,20.2474,21.1314,1733100
2011-02-18,21.1862,21.7808,21.0297,21.6634,1360800
2011-02-22,21.2410,21.5070,20.5056,20.6699,1109400
2011-02-23,20.4586,20.9046,20.3178,20.8576,1125400
2011-02-24,20.7012,20.7481,20.2943,20.3021,496900
2011-02-25,20.3726,20.4664,20.1691,20.3334,556100
2011-02-28,20.4273,20.9202,20.3100,20.8029,872400
2011-03-01,20.3413,21.5148,20.2788,21.2253,1033500
2011-03-02,21.1627,21.3192,20.9202,21.0610,419700
2011-03-03,20.9984,21.0767,20.3960,20.9202,2173600
2011-03-04,20.7481,21.1549,20.5916,20.7716,719100
2011-03-07,21.3349,21.7808,21.0063,21.1236,1476600
2011-03-08,21.1236,21.5070,21.0454,21.2019,921300
2011-03-09,21.1236,21.2644,20.8733,21.1002,470800
2011-03-10,20.7090,21.0767,20.2396,20.3569,1128300
2011-03-11,20.1926,20.7168,20.1926,20.3413,706900
2011-03-14,20.1770,20.9359,20.1613,20.7012,786600
2011-03-15,20.2630,20.7950,20.1926,20.6073,859600
2011-03-16,20.5916,20.6386,20.1144,20.3647,1261100
2011-03-17,20.6777,20.7246,20.3726,20.4117,363600
2011-03-18,20.4977,20.8576,20.4977,20.8420,663900
2011-03-21,20.8498,21.1706,20.6855,21.1236,377600
2011-03-22,21.0532,21.4913,20.9828,21.2410,720600
2011-03-23,21.1314,21.4209,20.8342,20.9515,812000
2011-03-24,21.0063,21.2332,20.6777,21.1706,225200
2011-03-25,21.2879,22.0233,21.2879,21.6087,475200
2011-03-28,21.5774,21.9216,21.3896,21.5070,605300
2011-03-29,21.5304,21.8590,21.3662,21.8590,410800
2011-03-30,21.9138,22.0233,21.6087,21.7652,912000
2011-03-31,21.7808,21.8669,21.2410,21.3662,5847400
2011-04-01,21.4366,21.6400,21.1314,21.3505,609800
2011-04-04,21.3427,21.9060,21.3427,21.7104,945500
2011-04-05,21.6243,21.6243,21.2566,21.4444,273400
2011-04-06,21.5070,21.5383,21.1706,21.5148,653900
2011-04-07,21.4287,21.6009,21.0767,21.4992,242400
2011-04-08,21.7260,21.7260,21.0532,21.1471,446100
2011-04-11,21.1236,21.8825,21.0297,21.6322,483700
2011-04-12,21.4992,22.1094,21.3740,21.9686,1260300
2011-04-13,22.0468,22.2346,21.8512,21.9607,1031600
2011-04-14,21.8825,21.9451,21.4995,21.6400,161600
2011-04-15,21.6165,21.9295,21.5461,21.9216,246800
2011-04-18,21.6713,21.8121,21.2957,21.3583,311500
2011-04-19,21.3583,22.0546,21.3349,21.5930,371200
2011-04-20,21.8434,21.9060,21.2332,21.3427,1493500
2011-04-21,21.4992,22.8683,21.4992,22.4927,1009500
2011-04-25,22.5866,22.7353,21.7573,22.3754,1074200
2011-04-26,22.3754,22.4849,21.9764,22.2737,491200
2011-04-27,22.3519,22.7744,22.3128,22.4693,848500
2011-04-28,22.5084,24.6442,22.4145,22.9387,2091200
2011-04-29,22.9856,23.5489,22.9003,23.3846,1065600
2011-05-02,23.3846,23.5880,23.2673,23.3377,437800
2011-05-03,23.3533,23.4316,22.8917,22.9622,470700
2011-05-04,23.0795,23.1421,22.3597,22.5710,599000
2011-05-05,22.5084,23.3377,22.4927,23.2908,415600
2011-05-06,23.4238,23.5724,23.1578,23.3377,198500
2011-05-09,23.3925,24.0809,23.2986,23.6976,742200
2011-05-10,23.8071,24.1357,23.5411,23.6428,328500
2011-05-11,23.7915,23.8619,23.5020,23.6193,701900
2011-05-12,23.5333,23.8775,22.9622,23.6819,657000
2011-05-13,23.7602,24.0340,23.3964,23.9401,383700
2011-05-16,23.8540,24.6208,23.6272,24.1748,694400
2011-05-17,24.1670,25.5205,24.1670,25.0823,1846300
2011-05-18,24.3548,25.2936,24.0418,25.0589,1327400
2011-05-19,24.9572,25.1528,24.5269,24.8007,643200
2011-05-20,24.8242,25.0902,24.6442,24.9885,599400
2011-05-23,24.7929,25.0550,24.4173,24.6051,732900
2011-05-24,24.8320,24.8398,23.5724,23.9479,1721400
2011-05-25,23.9479,24.9259,23.7289,24.0496,1114400
2011-05-26,24.0731,24.4095,23.8932,24.2687,669100
2011-05-27,24.4956,24.9024,24.3235,24.5347,1110200
2011-05-31,24.8633,25.8178,24.4486,24.6364,4236000
2011-06-01,24.7146,24.7890,24.0183,24.1200,618100
2011-06-02,24.1748,25.1215,24.1357,25.0354,597600
2011-06-03,24.7616,25.0041,24.3626,24.7381,360400
2011-06-06,24.7538,24.8711,24.3078,24.3704,281200
2011-06-07,24.3939,25.0823,24.3704,24.8555,782900
2011-06-08,24.7538,24.9181,24.5503,24.5973,397200
2011-06-09,24.6833,24.6833,24.3548,24.6364,153200
2011-06-10,24.5895,24.5895,23.6976,23.9088,280900
2011-06-13,23.8932,24.4643,23.8462,23.9714,508900
2011-06-14,24.1122,24.4095,23.9166,23.9479,242200
2011-06-15,23.7523,24.3782,23.2516,23.2673,848200
2011-06-16,23.2438,23.3925,22.3676,22.7900,1063300
2011-06-17,22.8996,24.3861,22.8996,23.6898,1302500
2011-06-20,23.5959,23.6663,22.9895,23.1108,515400
2011-06-21,23.0795,24.0496,22.9387,23.9010,291000
2011-06-22,23.7680,23.8619,23.4238,23.4785,345900
2011-06-23,23.2986,24.1983,23.1030,24.0575,927900
2011-06-24,23.9949,24.0809,23.2047,23.4472,1285600
2011-06-27,23.4081,23.5880,22.9543,23.0013,285800
2011-06-28,23.2360,23.5333,22.7900,23.4159,435400
2011-06-29,23.4472,24.0340,23.2595,23.8619,629500
2011-06-30,23.9636,24.7851,23.8071,24.3782,779500
2011-07-01,24.3391,24.4799,23.6037,24.1279,628000
2011-07-05,24.0496,24.2139,23.6272,24.1748,190400
2011-07-06,24.1826,24.4095,23.7915,24.0105,307200
2011-07-07,24.1279,24.8789,24.0345,24.5347,210400
2011-07-08,24.1983,24.2609,23.7132,23.9558,150200
2011-07-11,23.7210,23.8697,23.4707,23.5333,106500
2011-07-12,23.3455,23.7523,23.2751,23.5098,289700
2011-07-13,23.7132,24.3469,23.4472,23.5489,197800
2011-07-14,23.5489,23.8149,23.1656,23.7054,504500
2011-07-15,24.0027,24.6286,24.0027,24.2843,517000
2011-07-18,24.2452,24.3469,23.5802,23.8853,347400
2011-07-19,23.9636,24.5191,23.9636,24.1279,287000
2011-07-20,24.1044,24.2530,23.5489,23.6428,441800
2011-07-21,23.8619,24.0496,23.7289,23.8697,1398100
2011-07-22,23.9558,24.5269,23.8306,24.2061,754100
2011-07-25,23.9245,24.3235,23.6585,23.7680,719400
2011-07-26,23.7836,23.9166,23.5959,23.6976,432600
2011-07-27,23.5176,23.9792,23.3846,23.7758,1087900
2011-07-28,24.0653,24.9024,23.7210,23.7758,824400
2011-07-29,23.4942,23.5802,23.2203,23.4394,1750000
2011-08-01,23.6428,23.8462,23.2366,23.3846,502600
2011-08-02,23.2125,23.4707,22.6414,22.6883,436400
2011-08-03,22.6257,22.8057,22.2267,22.7744,608000
2011-08-04,22.4223,22.6805,21.9920,21.9999,909100
2011-08-05,22.1642,22.3206,20.9202,21.6322,1560600
2011-08-08,20.9280,21.4679,20.3882,20.4352,1136300
2011-08-09,20.6229,21.1706,20.1770,21.1627,1107200
2011-08-10,20.8029,21.4444,20.6307,20.7090,1437800
2011-08-11,20.8889,21.6243,20.6699,21.4600,944900
2011-08-12,21.5070,21.7417,21.0923,21.1627,289600
2011-08-15,21.2644,21.9138,21.2097,21.8121,808000
2011-08-16,21.6791,22.0625,21.5539,21.8043,517500
