date,open,high,low,close,volume
1981-12-31,3.0646,3.0722,3.0576,3.0646,33798
1982-01-04,3.0576,3.0646,3.0505,3.0505,64998
1982-01-05,3.0576,3.0646,3.0505,3.0505,318000
1982-01-06,2.9774,3.0353,2.9113,2.9481,369198
1982-01-07,2.8750,2.8966,2.8451,2.8966,151398
1982-01-08,2.9552,3.0137,2.8966,2.9990,305400
1982-01-11,2.8381,2.9844,2.6842,2.6842,687300
1982-01-12,2.6626,2.6918,2.6263,2.6263,238398
1982-01-13,2.5531,2.6041,2.5016,2.5016,478098
1982-01-14,2.5309,2.5455,2.5163,2.5163,130098
1982-01-15,2.5602,2.5894,2.5309,2.5894,564402
1982-01-18,2.5531,2.5672,2.5309,2.5379,813498
1982-01-19,2.5455,2.5602,2.5239,2.5455,345300
1982-01-20,2.5818,2.6263,2.5379,2.6111,763002
1982-01-21,2.6696,2.6994,2.6333,2.6918,56400
1982-01-22,2.7357,2.7650,2.7065,2.7650,82302
1982-01-25,2.8235,2.8381,2.8089,2.8235,70302
1982-01-26,2.8451,2.8674,2.8235,2.8451,292800
1982-01-27,2.8451,2.8451,2.8381,2.8451,95598
1982-01-28,2.8451,2.8528,2.8381,2.8528,67002
1982-01-29,2.8750,2.8966,2.8451,2.8750,115500
1982-02-01,2.8966,2.9259,2.8674,2.8966,320700
1982-02-02,2.9113,2.9405,2.8820,2.9405,79602
1982-02-03,2.9914,3.1015,2.8820,2.9113,929700
1982-02-04,2.9113,2.9552,2.8674,2.8890,195198
1982-02-05,2.9113,2.9405,2.8750,2.9259,132798
1982-02-08,2.8890,2.9259,2.8451,2.8451,70998
1982-02-09,2.8089,2.8381,2.7726,2.7866,156702
1982-02-10,2.7287,2.7650,2.6918,2.6918,39102
1982-02-11,2.6772,2.6918,2.6626,2.6842,61002
1982-02-12,2.6696,2.6842,2.6479,2.6479,51102
1982-02-16,2.6696,2.7065,2.6333,2.7065,70998
1982-02-17,2.7357,2.7427,2.7211,2.7211,35100
1982-02-18,2.7427,2.7726,2.7135,2.7650,161298
1982-02-19,2.7574,2.7650,2.7503,2.7574,94200
1982-02-22,2.7357,2.7796,2.6918,2.6918,146700
1982-02-23,2.6626,2.6772,2.6479,2.6550,71700
1982-02-24,2.6696,2.6842,2.6550,2.6626,67698
1982-02-25,2.6842,2.6918,2.6696,2.6772,70998
1982-02-26,2.6772,2.6772,2.6772,2.6772,4602
1982-03-01,2.6772,2.6772,2.6772,2.6772,17898
1982-03-02,2.6842,2.6918,2.6772,2.6772,19200
1982-03-03,2.6994,2.7211,2.6772,2.6994,108900
1982-03-04,2.6994,2.7065,2.6918,2.6994,182598
1982-03-05,2.6994,2.7065,2.6918,2.6918,102198
1982-03-08,2.6479,2.7065,2.5894,2.5894,222402
1982-03-09,2.4940,2.5531,2.4285,2.5016,230400
1982-03-10,2.5163,2.5309,2.5016,2.5163,183198
