date,open,high,low,close,volume
2003-12-02,7.9771,8.0820,7.9771,8.0820,160000
2003-12-03,8.1870,8.1870,8.1870,8.1870,300000
2003-12-04,8.5019,8.5019,8.5019,8.5019,50000
2003-12-05,8.5019,8.5019,8.5019,8.5019,0
2003-12-08,8.8168,9.1526,8.8168,9.1526,954000
2003-12-09,9.1526,9.5515,9.1526,9.2891,3014200
2003-12-10,9.3416,9.6564,9.3416,9.4465,2994600
2003-12-11,9.5515,9.6564,9.4990,9.6145,2203200
2003-12-12,9.6564,9.6774,9.6229,9.6355,709000
2003-12-15,9.6145,9.6145,9.4045,9.4045,1287000
2003-12-16,9.3835,9.3835,9.1526,9.2156,885600
2003-12-17,9.1946,9.1946,8.9847,9.0057,1150800
2003-12-18,9.0057,9.0477,9.0057,9.0477,2425200
2003-12-19,9.0477,9.1526,9.0477,9.1526,1421800
2003-12-22,9.0897,9.1526,9.0897,9.0897,5200
2003-12-23,9.1106,9.1736,9.1106,9.1526,133800
2003-12-24,9.1526,9.1736,9.1526,9.1736,20200
2003-12-26,9.1736,9.1736,9.1736,9.1736,1000
2003-12-29,9.1526,9.1526,9.1526,9.1526,1200
2003-12-30,9.1736,9.1946,9.1736,9.1946,31600
2003-12-31,9.1946,9.2366,9.1946,9.1946,14200
2004-01-02,9.2366,9.4255,9.2156,9.4255,557600
2004-01-05,9.4255,9.4465,9.3626,9.4045,136000
2004-01-06,9.4045,9.4465,9.4003,9.4255,160600
2004-01-07,9.4045,9.4045,9.2366,9.3416,283400
2004-01-08,9.3835,9.3835,9.3206,9.3458,385200
2004-01-09,9.3626,9.3626,8.8797,8.8797,3456200
2004-01-12,8.9217,8.9217,8.9007,8.9007,17800
2004-01-13,8.9217,8.9637,8.8000,8.8168,1069600
2004-01-14,8.8377,8.8587,8.8168,8.8168,208600
2004-01-15,8.8168,8.8168,8.7118,8.7538,54200
2004-01-16,8.7118,8.7748,8.7118,8.7328,493800
2004-01-20,8.8168,8.8377,8.8042,8.8168,856600
2004-01-21,8.8377,8.8797,8.8168,8.8168,969600
2004-01-22,8.8587,9.0687,8.8587,9.0267,863600
2004-01-23,9.0267,9.0267,8.8587,8.9007,748400
2004-01-26,8.9007,8.9007,8.7538,8.7538,291600
2004-01-27,8.7538,8.7538,8.6908,8.7034,994600
2004-01-28,8.7118,8.7118,8.5858,8.6068,100000
2004-01-29,8.6068,8.6068,8.2919,8.3969,1169000
2004-01-30,8.3969,8.5019,8.3969,8.3969,341200
2004-02-02,8.3969,8.5439,8.3969,8.4599,80800
2004-02-03,8.3969,8.5271,8.3969,8.5229,1379200
2004-02-04,8.5019,8.5229,8.5019,8.5019,575200
2004-02-05,8.5103,8.5103,8.4053,8.4179,649000
2004-02-06,8.4599,8.4599,8.3969,8.4179,486600
2004-02-09,8.4179,8.4179,8.3969,8.3969,607400
2004-02-10,8.3969,8.4389,8.3969,8.4095,544600
2004-02-11,8.4305,8.4305,8.3969,8.3969,1015600
2004-02-12,8.4053,8.4179,8.3969,8.3969,188600
2004-02-13,8.4053,8.4137,8.3969,8.4137,927400
2004-02-17,8.4095,8.4137,8.3129,8.3129,276200
2004-02-18,8.2919,8.3339,8.1870,8.1912,442800
2004-02-19,8.1996,8.2080,8.1870,8.2038,680800
2004-02-20,8.2080,8.2164,8.1870,8.2038,210200
2004-02-23,8.1870,8.1954,7.9771,8.0820,94800
2004-02-24,8.0610,8.2290,7.5992,7.7420,2856800
2004-02-25,7.7671,8.0820,7.7252,8.0610,2178200
2004-02-26,8.0610,8.1240,8.0190,8.0400,1029200
2004-02-27,8.0190,8.1030,8.0190,8.1030,1516600
2004-03-01,8.0610,8.4809,8.0610,8.3969,1330400
2004-03-02,8.3969,8.4179,8.2919,8.3549,303800
2004-03-03,8.3549,8.3927,8.3129,8.3843,465600
2004-03-04,8.3759,8.3759,7.9141,8.3129,385200
2004-03-05,8.3129,8.3549,8.2919,8.3339,160800
2004-03-08,8.3549,8.3549,8.0065,8.1870,99000
2004-03-09,8.2290,8.2919,8.1870,8.1870,94800
2004-03-10,8.2710,8.2710,8.1450,8.1450,129800
2004-03-11,8.2500,8.4389,8.2500,8.2919,2046200
2004-03-12,8.3549,8.3969,8.2919,8.3759,764400
2004-03-15,8.3885,8.3885,8.2919,8.3339,35800
2004-03-16,8.3549,8.3759,8.3129,8.3549,1954800
2004-03-17,8.3759,8.6278,8.3759,8.6068,1440400
2004-03-18,8.5858,8.6698,8.5648,8.6488,821600
2004-03-19,8.6698,8.6908,8.6488,8.6698,66600
2004-03-22,8.6698,8.7328,8.6698,8.7118,825400
2004-03-23,8.7118,8.8587,8.7118,8.8042,3840000
2004-03-24,8.8042,8.9427,8.7748,8.9427,1556200
2004-03-25,9.2366,9.2996,8.8168,8.9469,1995400
2004-03-26,8.9721,9.0015,8.9427,8.9511,902800
2004-03-29,8.9637,9.3206,8.9637,9.1736,1548800
2004-03-30,9.1946,9.2366,9.0981,9.2324,492800
2004-03-31,9.1736,9.3206,9.1526,9.3206,1969800
2004-04-01,9.3416,9.3835,9.2996,9.3374,852600
2004-04-02,9.3877,9.4465,9.3835,9.4465,1118400
2004-04-05,9.4717,9.5137,9.3626,9.5137,847600
2004-04-06,9.5137,9.5725,9.4717,9.5137,683600
2004-04-07,9.5137,9.5137,9.3835,9.4045,629200
2004-04-08,9.4465,9.4465,9.2996,9.3164,387400
2004-04-12,9.3458,9.3710,9.2282,9.2954,500000
2004-04-13,9.2492,9.3206,9.1736,9.2324,921800
2004-04-14,9.2366,9.2366,9.0267,9.1106,331000
2004-04-15,9.1106,9.1106,8.8168,8.9175,383000
2004-04-16,8.9595,8.9847,8.9217,8.9637,406400
2004-04-19,8.9637,9.0687,8.9616,9.0309,225400
2004-04-20,9.0477,9.0477,8.8252,8.9217,146200
2004-04-21,8.9217,8.9217,8.7202,8.7496,521000
2004-04-22,8.7496,8.7748,8.6866,8.7748,553600
2004-04-23,8.7958,8.8587,8.7916,8.8168,816200
2004-04-26,8.8168,8.9007,8.8126,8.9007,468000
