date,open,high,low,close,volume
1982-06-02,2.0213,2.0507,1.9919,2.0040,1081800
1982-06-03,1.9919,2.0040,1.9746,1.9746,672300
1982-06-04,1.9512,1.9690,1.9278,1.9334,828900
1982-06-07,1.9512,1.9746,1.9278,1.9629,287100
1982-06-08,1.9512,1.9690,1.9334,1.9334,330300
1982-06-09,1.9395,1.9512,1.9278,1.9334,841500
1982-06-10,1.9334,1.9395,1.9278,1.9334,591300
1982-06-11,1.9512,1.9690,1.9278,1.9451,1161000
1982-06-14,1.9395,1.9451,1.9278,1.9278,498600
1982-06-15,1.9395,1.9512,1.9278,1.9395,666900
1982-06-16,1.9395,1.9512,1.9278,1.9395,239400
1982-06-17,1.9161,1.9395,1.8867,1.8989,937800
1982-06-18,1.8989,1.9161,1.8811,1.8989,1577700
1982-06-21,1.9105,1.9218,1.8989,1.9218,1314000
1982-06-22,1.9512,1.9863,1.9161,1.9863,702000
1982-06-23,2.0507,2.1031,1.9919,2.1031,765000
1982-06-24,2.0680,2.0914,2.0447,2.0680,720900
1982-06-25,2.0741,2.0797,2.0624,2.0741,189000
1982-06-28,2.0853,2.1031,2.0680,2.0797,223200
1982-06-29,2.1092,2.1265,2.0853,2.1148,670500
1982-06-30,2.1265,2.1321,2.1148,2.1265,1296000
1982-07-01,2.1265,2.1381,2.1092,2.1265,903600
1982-07-02,2.1498,2.1793,2.1148,2.1732,378900
1982-07-06,2.1732,2.1905,2.1554,2.1732,527400
1982-07-07,2.1498,2.1676,2.1265,2.1554,566100
1982-07-08,2.1209,2.1615,2.0797,2.1209,641700
1982-07-09,2.1092,2.1265,2.0853,2.1031,361800
1982-07-12,2.0914,2.1031,2.0797,2.0970,921600
1982-07-13,2.0970,2.1148,2.0797,2.1031,1000800
1982-07-14,2.0853,2.1031,2.0797,2.0970,921600
1982-07-15,2.0741,2.1148,2.0269,2.0269,684000
1982-07-16,2.0269,2.0564,1.9979,2.0213,2254500
1982-07-19,2.0096,2.0330,1.9863,1.9979,1497600
1982-07-20,2.0269,2.0564,1.9979,2.0507,427500
1982-07-21,2.0797,2.1031,2.0507,2.0741,549000
1982-07-22,2.0853,2.1031,2.0624,2.0914,973800
1982-07-23,2.1438,2.1732,2.1148,2.1554,341100
1982-07-26,2.1265,2.1321,2.1148,2.1209,411300
1982-07-27,2.1265,2.1321,2.1148,2.1209,1046700
1982-07-28,2.1209,2.1321,2.1092,2.1148,781200
1982-07-29,2.1209,2.1265,2.1092,2.1148,727200
1982-07-30,2.1092,2.1265,2.0914,2.1209,1313100
1982-08-02,2.1148,2.1438,2.0853,2.1321,1115100
1982-08-03,2.1321,2.1438,2.1209,2.1265,1321200
1982-08-04,2.1031,2.1148,2.0853,2.0970,638100
1982-08-05,2.0507,2.0914,2.0040,2.0269,819900
1982-08-06,2.0386,2.0507,2.0269,2.0330,691200
1982-08-09,2.0330,2.0447,2.0213,2.0447,567000
1982-08-10,2.0447,2.0564,2.0330,2.0507,463500
1982-08-11,2.0564,2.0680,2.0447,2.0624,248400
1982-08-12,2.0564,2.0680,2.0447,2.0564,338400
1982-08-13,2.0853,2.1148,2.0507,2.1148,688500
1982-08-16,2.1265,2.1381,2.1092,2.1265,940500
1982-08-17,2.1732,2.2082,2.1321,2.2082,1505700
1982-08-18,2.2433,2.2783,2.2082,2.2143,2105100
1982-08-19,2.2372,2.2550,2.2199,2.2316,1035000
1982-08-20,2.2372,2.2489,2.2260,2.2489,1650600
1982-08-23,2.3134,2.3835,2.2433,2.3485,1472400
1982-08-24,2.3779,2.4008,2.3541,2.3657,1353600
