date,open,high,low,close,volume
1990-03-26,2.8121,2.8121,2.7785,2.7785,139200
1990-03-27,2.7785,2.8009,2.7561,2.7785,471600
1990-03-28,2.7785,2.7785,2.7561,2.7785,15600
1990-03-29,2.7785,2.7897,2.7337,2.7561,787200
1990-03-30,2.7561,2.7561,2.7337,2.7561,906000
1990-04-02,2.7449,2.7449,2.7225,2.7225,362400
1990-04-03,2.7449,2.7449,2.7225,2.7449,123600
1990-04-04,2.7449,2.7449,2.7112,2.7112,496800
1990-04-05,2.7225,2.7449,2.7112,2.7337,712800
1990-04-06,2.7225,2.7449,2.7225,2.7225,630000
1990-04-09,2.7337,2.7337,2.7000,2.7337,330000
1990-04-10,2.7337,2.7337,2.7112,2.7225,210000
1990-04-11,2.7337,2.7337,2.7112,2.7112,43200
1990-04-12,2.7112,2.7337,2.7112,2.7337,93600
1990-04-16,2.7112,2.7449,2.7112,2.7449,478800
1990-04-17,2.7561,2.7673,2.7225,2.7673,140400
1990-04-18,2.7561,2.7785,2.7449,2.7673,555600
1990-04-19,2.7785,2.7785,2.7561,2.7561,1048800
1990-04-20,2.7561,2.7785,2.7561,2.7673,81600
1990-04-23,2.7785,2.7785,2.7561,2.7785,56400
1990-04-24,2.7561,2.7785,2.7561,2.7785,70800
1990-04-25,2.7785,2.7785,2.7561,2.7561,76800
1990-04-26,2.7449,2.7785,2.7449,2.7449,273600
1990-04-27,2.7449,2.7673,2.7337,2.7337,442800
1990-04-30,2.7337,2.7561,2.7225,2.7337,1083600
1990-05-01,2.7561,2.7561,2.7337,2.7561,82998
1990-05-02,2.7561,2.7561,2.7112,2.7112,106800
1990-05-03,2.7561,2.7561,2.7112,2.7112,242400
1990-05-04,2.7337,2.7337,2.6888,2.7229,348402
1990-05-07,2.7337,2.7337,2.6888,2.7337,1182402
1990-05-08,2.6888,2.7337,2.6888,2.7337,895200
1990-05-09,2.7561,2.8009,2.7112,2.7785,415602
1990-05-10,2.8009,2.8457,2.7785,2.8457,126402
1990-05-11,2.8457,2.9129,2.8457,2.9129,247602
1990-05-14,2.9129,2.9353,2.8681,2.8681,174402
1990-05-15,2.9129,3.0025,2.8681,2.9801,377202
1990-05-16,2.9801,2.9801,2.9353,2.9685,168000
1990-05-17,2.9801,2.9801,2.9353,2.9353,68802
1990-05-18,2.9353,2.9685,2.9129,2.9577,53202
1990-05-21,2.9801,3.0249,2.9353,3.0025,131202
1990-05-22,3.0025,3.0249,2.9801,2.9801,193602
1990-05-23,2.9801,3.0249,2.9577,2.9801,1092000
1990-05-24,2.9577,2.9801,2.9353,2.9353,31602
1990-05-25,2.9353,2.9801,2.9129,2.9129,34002
1990-05-29,2.9577,2.9577,2.9129,2.9129,117600
1990-05-30,2.9129,2.9353,2.9129,2.9353,338802
1990-05-31,2.9129,2.9129,2.8233,2.8457,667200
1990-06-01,2.8457,2.8681,2.8233,2.8340,437202
1990-06-04,2.8457,2.8457,2.8233,2.8340,286800
1990-06-05,2.8626,2.9077,2.8400,2.8851,612000
1990-06-06,2.9077,2.9527,2.8626,2.9527,177600
1990-06-07,2.9753,2.9753,2.9302,2.9302,120402
1990-06-08,2.9302,2.9978,2.9302,2.9527,176802
1990-06-11,2.9753,2.9753,2.9077,2.9077,162000
1990-06-12,2.9527,2.9527,2.9077,2.9077,655200
1990-06-13,2.9077,2.9302,2.8851,2.9302,687600
1990-06-14,2.9077,2.9077,2.8626,2.9077,655602
1990-06-15,2.8626,2.8851,2.8400,2.8400,217200
1990-06-18,2.8400,2.8851,2.8400,2.8851,366000
1990-06-19,2.8626,2.8626,2.8175,2.8175,204402
1990-06-20,2.8175,2.8175,2.7950,2.7950,18402
1990-06-21,2.7950,2.8400,2.7950,2.7950,370800
1990-06-22,2.8400,2.8400,2.7724,2.7724,792000
1990-06-25,2.7499,2.7724,2.7273,2.7724,320400
1990-06-26,2.7724,2.7950,2.7273,2.7499,302400
1990-06-27,2.7499,2.7950,2.7048,2.7048,546402
1990-06-28,2.7499,2.7499,2.6823,2.7273,396402
1990-06-29,2.7273,2.7273,2.6823,2.7273,344400
1990-07-02,2.6823,2.7273,2.6823,2.7048,505602
1990-07-03,2.6823,2.7048,2.6823,2.6940,774402
1990-07-05,2.6823,2.7048,2.6823,2.6940,428400
1990-07-06,2.7048,2.7048,2.6705,2.6823,249600
1990-07-09,2.6823,2.7048,2.6705,2.6705,371202
1990-07-10,2.6705,2.6823,2.6146,2.6146,254802
1990-07-11,2.6146,2.6372,2.5696,2.5696,587202
1990-07-12,2.5921,2.5921,2.4343,2.4686,1723602
1990-07-13,2.4794,2.7048,2.4569,2.6597,1783200
1990-07-16,2.7048,2.7616,2.6597,2.7273,623202
1990-07-17,2.7273,2.7499,2.7048,2.7273,398400
1990-07-18,2.6823,2.7273,2.6597,2.6597,1322400
1990-07-19,2.6597,2.6823,2.6597,2.6823,84402
1990-07-20,2.6705,2.6823,2.6597,2.6823,519600
1990-07-23,2.6597,2.6823,2.5921,2.5921,434802
1990-07-24,2.5921,2.6146,2.5921,2.6038,2634402
1990-07-25,2.6038,2.6146,2.5470,2.5921,334002
1990-07-26,2.5470,2.6146,2.5470,2.5696,391602
1990-07-27,2.5921,2.5921,2.5470,2.5470,154002
1990-07-30,2.5470,2.5696,2.5470,2.5696,197202
1990-07-31,2.5696,2.5921,2.5470,2.5921,337602
1990-08-01,2.5921,2.5921,2.5470,2.5470,95202
1990-08-02,2.5245,2.5353,2.5019,2.5019,712002
1990-08-03,2.5019,2.5245,2.3442,2.4343,728400
1990-08-06,2.4118,2.4118,2.3442,2.3892,286002
1990-08-07,2.3775,2.3892,2.3216,2.3442,675600
1990-08-08,2.3216,2.3667,2.3216,2.3216,139200
1990-08-09,2.3667,2.3667,2.3216,2.3442,389202
1990-08-10,2.3442,2.3442,2.2540,2.2540,619200
1990-08-13,2.2540,2.2765,2.2315,2.2765,175200
1990-08-14,2.2765,2.2765,2.2315,2.2540,463602
1990-08-15,2.2765,2.3216,2.2765,2.3216,1021602
1990-08-16,2.2991,2.3216,2.2540,2.2540,250800
1990-08-17,2.2540,2.2765,2.2089,2.2540,187602
1990-08-20,2.2089,2.2540,2.2089,2.2540,314400
1990-08-21,2.2089,2.2089,2.0962,2.1413,440400
1990-08-22,2.1413,2.2089,2.1413,2.1747,426402
1990-08-23,2.1413,2.1638,2.1188,2.1296,534000
1990-08-24,2.1864,2.1864,2.1188,2.1296,790800
1990-08-27,2.2089,2.2540,2.1864,2.2089,514002
1990-08-28,2.2540,2.2540,2.2089,2.2540,410400
1990-08-29,2.2765,2.2765,2.2315,2.2423,518400
1990-08-30,2.2765,2.2765,2.2315,2.2315,490800
1990-08-31,2.2315,2.2540,2.2089,2.2423,1270002
1990-09-04,2.2486,2.2713,2.2259,2.2486,506802
1990-09-05,2.2940,2.3167,2.2713,2.2940,967602
1990-09-06,2.2713,2.3167,2.2713,2.2940,519600
1990-09-07,2.2822,2.3167,2.2713,2.2822,680400
1990-09-10,2.2713,2.3394,2.2713,2.3276,772800
1990-09-11,2.3276,2.3276,2.2822,2.2822,730002
1990-09-12,2.2713,2.3167,2.2486,2.3167,266802
1990-09-13,2.2713,2.2940,2.2713,2.2713,361200
1990-09-14,2.2713,2.2940,2.2713,2.2940,431202
1990-09-17,2.2713,2.2940,2.2713,2.2940,69600
1990-09-18,2.2486,2.2940,2.2377,2.2940,328800
1990-09-19,2.2486,2.2940,2.2486,2.2595,705600
1990-09-20,2.2940,2.2940,2.1805,2.2032,827202
1990-09-21,2.1805,2.2259,2.1577,2.1577,549600
1990-09-24,2.1350,2.1350,2.0669,2.0787,356400
1990-09-25,2.0669,2.1123,2.0442,2.0442,738402
1990-09-26,2.0896,2.0896,1.9079,1.9079,1110000
1990-09-27,1.9760,1.9760,1.8398,1.8398,1400802
1990-09-28,1.8170,1.9079,1.7716,1.9079,1438800
1990-10-01,1.9306,1.9988,1.9079,1.9760,1084002
1990-10-02,2.0215,2.1459,1.9988,2.1232,902802
1990-10-03,2.0896,2.2032,2.0896,2.1350,456402
1990-10-04,2.1577,2.2032,2.1350,2.2032,64800
1990-10-05,2.1350,2.2486,2.1350,2.2032,320400
1990-10-08,2.2713,2.3167,2.2486,2.3167,361602
1990-10-09,2.2486,2.2940,2.2486,2.2486,694800
1990-10-10,2.2595,2.2713,2.2259,2.2595,765600
1990-10-11,2.2259,2.2486,2.0896,2.1350,336000
1990-10-12,2.1350,2.1805,2.1123,2.1696,454002
