date,open,high,low,close,volume
1985-07-22,0.0943,0.0959,0.0932,0.0936,1036000
1985-07-23,0.0943,0.0947,0.0924,0.0928,41800
1985-07-24,0.0924,0.0928,0.0901,0.0909,16900
1985-07-25,0.0901,0.0924,0.0901,0.0924,42600
1985-07-26,0.0916,0.0920,0.0912,0.0920,27300
1985-07-29,0.0920,0.0920,0.0909,0.0912,37300
1985-07-30,0.0905,0.0912,0.0893,0.0893,23700
1985-07-31,0.0890,0.0893,0.0862,0.0866,26700
1985-08-01,0.0866,0.0878,0.0866,0.0870,7200
1985-08-02,0.0874,0.0886,0.0866,0.0882,29000
1985-08-05,0.0882,0.0886,0.0878,0.0886,14100
1985-08-06,0.0890,0.0893,0.0882,0.0882,24800
1985-08-07,0.0882,0.0886,0.0878,0.0878,7400
1985-08-08,0.0874,0.0882,0.0870,0.0882,4600
1985-08-09,0.0878,0.0882,0.0874,0.0874,1800
1985-08-12,0.0870,0.0878,0.0870,0.0870,2000
1985-08-13,0.0866,0.0870,0.0862,0.0870,54300
1985-08-14,0.0870,0.0870,0.0866,0.0870,900
1985-08-15,0.0870,0.0874,0.0866,0.0870,14400
1985-08-16,0.0870,0.0870,0.0851,0.0855,6600
1985-08-19,0.0851,0.0851,0.0835,0.0835,11600
1985-08-20,0.0832,0.0839,0.0832,0.0839,28200
1985-08-21,0.0832,0.0839,0.0832,0.0835,14400
1985-08-22,0.0843,0.0843,0.0839,0.0839,4600
1985-08-23,0.0839,0.0839,0.0835,0.0835,1800
1985-08-26,0.0828,0.0828,0.0824,0.0824,6300
1985-08-27,0.0824,0.0824,0.0813,0.0816,6200
1985-08-28,0.0824,0.0835,0.0824,0.0832,15800
1985-08-29,0.0839,0.0839,0.0839,0.0839,2500
1985-08-30,0.0835,0.0839,0.0835,0.0835,9800
1985-09-03,0.0839,0.0843,0.0835,0.0839,4100
1985-09-04,0.0835,0.0835,0.0832,0.0832,1800
1985-09-05,0.0824,0.0828,0.0820,0.0820,9100
1985-09-06,0.0816,0.0816,0.0813,0.0816,10500
1985-09-09,0.0813,0.0813,0.0805,0.0805,2800
1985-09-10,0.0805,0.0805,0.0789,0.0789,9800
1985-09-11,0.0785,0.0785,0.0758,0.0758,8400
1985-09-12,0.0758,0.0762,0.0751,0.0751,8300
1985-09-13,0.0743,0.0747,0.0739,0.0739,5700
1985-09-16,0.0739,0.0751,0.0739,0.0751,7700
1985-09-17,0.0747,0.0751,0.0739,0.0751,5900
1985-09-18,0.0751,0.0774,0.0743,0.0774,51500
1985-09-19,0.0778,0.0785,0.0778,0.0785,7300
