date,open,high,low,close,volume
1984-07-19,1.1544,1.1734,1.1302,1.1348,1936800
1984-07-20,1.1400,1.1492,1.1205,1.1256,531200
1984-07-23,1.1205,1.1302,1.1158,1.1158,203200
1984-07-24,1.1158,1.1158,1.0629,1.0917,626400
1984-07-25,1.0871,1.0968,1.0388,1.0583,787200
1984-07-26,1.0675,1.0727,1.0146,1.0532,616000
1984-07-27,1.0583,1.0727,1.0388,1.0439,219200
1984-07-30,1.0439,1.0439,0.9859,0.9859,263200
1984-07-31,0.9910,0.9910,0.9427,0.9812,520800
1984-08-01,0.9859,0.9956,0.9617,0.9956,465600
1984-08-02,1.0146,1.0388,0.9910,1.0002,447200
1984-08-03,1.0002,1.0198,0.9910,1.0002,356000
1984-08-06,0.9910,1.0100,0.9715,0.9715,224800
1984-08-07,0.9812,1.0727,0.9812,1.0342,890400
1984-08-08,1.0583,1.0727,1.0342,1.0342,1086400
1984-08-09,1.0485,1.0485,1.0342,1.0388,247200
1984-08-10,1.0485,1.0583,1.0146,1.0244,241600
1984-08-13,1.0244,1.0388,1.0146,1.0244,144000
1984-08-14,1.0198,1.0342,1.0198,1.0290,156000
1984-08-15,1.0388,1.0388,1.0146,1.0198,268000
1984-08-16,1.0244,1.0244,1.0002,1.0100,254400
1984-08-17,1.0244,1.0290,1.0002,1.0002,86400
1984-08-20,0.9910,0.9956,0.9812,0.9812,122400
1984-08-21,0.9910,0.9910,0.9617,0.9761,235200
1984-08-22,0.9812,0.9910,0.9617,0.9617,206400
1984-08-23,0.9669,0.9669,0.9525,0.9571,565600
1984-08-24,0.9571,0.9669,0.9571,0.9571,271200
1984-08-27,0.9617,0.9617,0.9329,0.9473,149600
1984-08-28,0.9473,0.9473,0.9329,0.9329,106400
1984-08-29,0.9427,0.9473,0.9381,0.9427,170400
1984-08-30,0.9473,0.9571,0.9427,0.9525,148800
1984-08-31,0.9525,0.9525,0.9427,0.9427,58400
1984-09-04,0.9473,0.9473,0.9139,0.9283,111200
1984-09-05,0.9139,0.9232,0.8800,0.9232,269600
1984-09-06,0.9283,0.9473,0.9232,0.9427,408800
1984-09-07,0.9571,1.0100,0.9571,0.9761,1136000
1984-09-10,0.9956,0.9956,0.9812,0.9859,399200
1984-09-11,0.9956,1.0100,0.9859,0.9910,380000
1984-09-12,1.0054,1.0485,1.0054,1.0388,1611200
1984-09-13,1.0439,1.0439,1.0100,1.0244,1135200
1984-09-14,1.0342,1.0342,0.9910,1.0100,473600
1984-09-17,1.0244,1.0290,1.0100,1.0100,402400
1984-09-18,1.0002,1.0054,0.9812,0.9812,220800
1984-09-19,0.9812,1.0290,0.9812,1.0198,918400
1984-09-20,1.0244,1.0290,1.0198,1.0198,436000
1984-09-21,1.0198,1.0244,0.9617,0.9617,212800
1984-09-24,0.9473,0.9571,0.9427,0.9571,146400
1984-09-25,0.9617,0.9617,0.9473,0.9571,76800
1984-09-26,0.9473,1.0002,0.9473,0.9910,623200
1984-09-27,0.9956,1.0100,0.9715,0.9812,398400
1984-09-28,0.9812,0.9812,0.9571,0.9761,140800
1984-10-01,0.9761,0.9761,0.9617,0.9715,40800
1984-10-02,0.9617,0.9715,0.9473,0.9473,140000
1984-10-03,0.9571,0.9669,0.9473,0.9525,366400
1984-10-04,0.9617,0.9669,0.9473,0.9525,110400
1984-10-05,0.9525,0.9571,0.9473,0.9525,57600
1984-10-08,0.9525,0.9525,0.9381,0.9427,28000
1984-10-09,0.9427,0.9427,0.9329,0.9329,112800
1984-10-10,0.9232,0.9329,0.9232,0.9329,95200
1984-10-11,0.9381,0.9381,0.9232,0.9232,94400
1984-10-12,0.9186,0.9232,0.9088,0.9088,280000
1984-10-15,0.8996,0.9232,0.8996,0.9232,185600
1984-10-16,0.9232,0.9232,0.9042,0.9088,94400
