date,open,high,low,close,volume
2013-06-19,14.0446,14.9362,13.9711,14.5226,31981500
2013-06-20,15.0465,15.0465,14.0171,14.0630,9274200
2013-06-21,14.4307,14.5226,14.1549,14.3572,8323500
2013-06-24,14.3755,14.5594,13.9711,14.2744,4279700
2013-06-25,14.2928,14.4675,14.1090,14.4491,3577300
2013-06-26,14.4215,14.4215,13.9527,14.1549,14755100
2013-06-27,14.0998,14.5869,13.6494,14.2469,12121700
2013-06-28,14.2469,14.4950,14.0171,14.0171,16988100
2013-07-01,14.3296,14.3296,13.5575,13.5943,25839400
2013-07-02,13.5023,13.8976,13.5023,13.7873,30520100
2013-07-03,13.7413,13.8700,13.5391,13.6678,8542600
2013-07-05,13.7413,14.6605,13.6862,14.3939,12427000
2013-07-08,14.3663,14.7432,14.2423,14.6651,15345100
2013-07-09,14.5134,14.6789,14.2469,14.4399,9936400
2013-07-10,14.2469,14.3112,13.9206,14.1457,16327000
2013-07-11,14.3388,14.3388,13.7505,13.9068,17029600
2013-07-12,13.8516,13.8976,13.6954,13.7229,10426300
2013-07-15,13.7229,13.8149,13.2266,13.4840,20636400
2013-07-16,13.3920,14.0998,13.3920,14.0446,9328500
2013-07-17,14.1182,14.6697,14.0538,14.6053,13411100
2013-07-18,14.6513,14.7983,14.0906,14.2193,10825700
2013-07-19,14.1090,14.7800,14.0263,14.6789,11658700
2013-07-22,14.7892,14.8213,14.3480,14.4583,6141600
2013-07-23,14.4215,14.5823,14.2836,14.3847,9298400
2013-07-24,14.3847,14.6007,14.1733,14.4399,6205200
2013-07-25,14.3939,14.5869,14.2009,14.3112,7069700
2013-07-26,14.2836,14.6789,14.0722,14.6053,5884800
2013-07-29,14.5869,14.5869,14.1549,14.2560,9020200
2013-07-30,14.3388,14.6651,14.2101,14.6605,12798200
2013-07-31,14.7064,14.8995,14.5502,14.6421,7681500
2013-08-01,14.6513,14.9638,14.6513,14.9041,10303300
2013-08-02,14.8443,15.1384,14.8167,15.0189,8258600
2013-08-05,15.0098,15.0098,14.6053,14.7064,8754100
2013-08-06,14.6972,14.9362,14.5410,14.8719,6232000
2013-08-07,14.8443,14.8443,14.5686,14.6605,4755000
2013-08-08,14.7708,14.9914,14.6237,14.8259,7110400
2013-08-09,14.7892,14.8535,14.6697,14.6880,4293800
2013-08-12,14.5961,14.7616,14.4675,14.6329,4882400
2013-08-13,14.6237,14.6605,14.5226,14.5502,3615400
2013-08-14,14.5502,14.7156,14.3939,14.6145,3940500
2013-08-15,14.5134,14.8811,14.4307,14.7983,5160000
2013-08-16,14.7432,14.9362,14.6697,14.6880,6373200
2013-08-19,14.7524,14.7616,14.4215,14.4307,6123600
2013-08-20,14.5502,14.5502,14.2652,14.4307,4265600
2013-08-21,14.3480,14.5042,14.2377,14.4858,5040000
2013-08-22,14.4858,14.5456,14.3663,14.4399,3731700
2013-08-23,14.4399,14.5134,14.3112,14.4766,3981300
2013-08-26,14.5134,14.6145,14.4399,14.5778,4125000
2013-08-27,14.4766,14.7064,14.4215,14.4573,9059500
2013-08-28,14.4858,14.5318,14.4123,14.4858,11099300
2013-08-29,14.4583,14.6053,14.3755,14.4950,2795500
2013-08-30,14.4766,14.5042,14.3296,14.4307,5386300
2013-09-03,14.6053,14.7340,14.4215,14.5042,3783600
2013-09-04,14.5134,14.7800,14.4858,14.7340,4992000
2013-09-05,14.6789,14.9592,14.5961,14.9270,3521200
2013-09-06,14.9914,15.0189,14.7800,14.8811,3358700
2013-09-09,14.8535,15.0189,14.8535,15.0143,3668900
2013-09-10,15.0557,15.2303,14.9362,15.2166,4292100
2013-09-11,15.3039,15.6807,15.1660,15.6715,7562700
2013-09-12,15.7359,15.8646,15.5704,15.7221,4836500
