date,open,high,low,close,volume
1985-07-01,0.6789,0.6896,0.6789,0.6789,110504
1985-07-02,0.6815,0.6922,0.6815,0.6922,86800
1985-07-03,0.6922,0.6975,0.6922,0.6949,74904
1985-07-05,0.6949,0.6975,0.6815,0.6815,141600
1985-07-08,0.6815,0.6843,0.6682,0.6815,69400
1985-07-09,0.6815,0.6896,0.6789,0.6815,146200
1985-07-10,0.6815,0.6868,0.6789,0.6815,145200
1985-07-11,0.6815,0.6896,0.6761,0.6843,210104
1985-07-12,0.6843,0.6896,0.6815,0.6896,97704
1985-07-15,0.6896,0.6896,0.6815,0.6896,103200
1985-07-16,0.6896,0.6949,0.6868,0.6949,133400
1985-07-17,0.6949,0.7003,0.6922,0.6922,339000
1985-07-18,0.6922,0.6975,0.6868,0.6949,118704
1985-07-19,0.6949,0.6949,0.6843,0.6896,227504
1985-07-22,0.6896,0.6896,0.6843,0.6868,3675104
1985-07-23,0.6868,0.6868,0.6789,0.6843,146200
1985-07-24,0.6843,0.6843,0.6761,0.6843,106904
1985-07-25,0.6657,0.6657,0.6575,0.6629,103200
1985-07-26,0.6629,0.6708,0.6575,0.6708,74904
1985-07-29,0.6708,0.6708,0.6603,0.6603,77600
1985-07-30,0.6603,0.6629,0.6575,0.6603,32800
1985-07-31,0.6603,0.6629,0.6522,0.6603,93200
1985-08-01,0.6603,0.6657,0.6575,0.6629,116000
1985-08-02,0.6575,0.6575,0.6468,0.6496,62104
1985-08-05,0.6496,0.6522,0.6148,0.6173,176304
1985-08-06,0.6173,0.6229,0.6120,0.6120,262200
1985-08-07,0.6120,0.6255,0.6041,0.6201,190000
1985-08-08,0.6201,0.6229,0.6148,0.6148,88600
1985-08-09,0.6148,0.6201,0.6148,0.6148,63904
1985-08-12,0.6148,0.6201,0.6148,0.6173,182704
1985-08-13,0.6173,0.6229,0.6173,0.6173,87704
1985-08-14,0.6173,0.6336,0.6173,0.6255,197304
1985-08-15,0.6255,0.6336,0.6229,0.6336,257600
1985-08-16,0.6336,0.6336,0.6229,0.6255,53904
1985-08-19,0.6255,0.6336,0.6229,0.6282,71200
1985-08-20,0.6282,0.6389,0.6255,0.6361,52904
1985-08-21,0.6361,0.6389,0.6361,0.6389,58400
1985-08-22,0.6389,0.6389,0.6255,0.6336,93200
1985-08-23,0.6336,0.6415,0.6336,0.6415,59304
1985-08-26,0.6415,0.6415,0.6415,0.6415,14600
1985-08-27,0.6415,0.6415,0.6361,0.6361,26400
1985-08-28,0.6415,0.6496,0.6415,0.6443,69400
1985-08-29,0.6443,0.6443,0.6361,0.6389,68504
1985-08-30,0.6389,0.6443,0.6361,0.6443,64800
1985-09-03,0.6443,0.6443,0.6361,0.6361,74904
1985-09-04,0.6361,0.6415,0.6361,0.6415,49304
1985-09-05,0.6415,0.6468,0.6415,0.6443,53904
1985-09-06,0.6443,0.6522,0.6443,0.6496,52904
1985-09-09,0.6496,0.6522,0.6468,0.6522,99504
1985-09-10,0.6522,0.6522,0.6443,0.6443,113304
1985-09-11,0.6443,0.6496,0.6443,0.6443,41104
1985-09-12,0.6443,0.6443,0.6361,0.6389,70304
1985-09-13,0.6389,0.6496,0.6361,0.6415,107800
1985-09-16,0.6415,0.6443,0.6361,0.6389,67600
1985-09-17,0.6389,0.6389,0.6336,0.6361,73104
1985-09-18,0.6361,0.6389,0.6308,0.6336,174504
1985-09-19,0.6308,0.6308,0.6282,0.6308,813200
1985-09-20,0.6308,0.6361,0.6255,0.6255,115104
1985-09-23,0.6255,0.6255,0.6229,0.6255,139800
1985-09-24,0.6255,0.6255,0.6201,0.6201,26400
1985-09-25,0.6201,0.6201,0.6148,0.6148,55704
1985-09-26,0.6148,0.6148,0.5987,0.5987,237504
1985-09-30,0.5987,0.6041,0.5959,0.6013,263104
1985-10-01,0.6013,0.6013,0.5987,0.5987,385600
1985-10-02,0.5987,0.6041,0.5987,0.6041,81304
1985-10-03,0.6041,0.6120,0.6013,0.6120,58400
1985-10-04,0.6120,0.6148,0.6066,0.6094,42904
1985-10-07,0.6094,0.6201,0.6066,0.6201,52904
1985-10-08,0.6201,0.6201,0.6041,0.6201,183600
1985-10-09,0.6201,0.6282,0.6201,0.6255,62104
1985-10-10,0.6255,0.6282,0.6201,0.6201,59304
1985-10-11,0.6201,0.6255,0.6148,0.6173,52904
1985-10-14,0.6173,0.6389,0.6120,0.6173,32800
1985-10-15,0.6173,0.6173,0.6120,0.6148,104104
1985-10-16,0.6148,0.6173,0.6120,0.6148,36504
1985-10-17,0.6148,0.6173,0.6120,0.6120,90400
1985-10-18,0.6120,0.6148,0.6094,0.6120,50200
1985-10-21,0.6120,0.6255,0.6120,0.6255,65704
1985-10-22,0.6255,0.6282,0.6173,0.6201,51104
1985-10-23,0.6201,0.6201,0.6120,0.6201,12928704
1985-10-24,0.6229,0.6308,0.6229,0.6308,1477504
1985-10-25,0.6173,0.6173,0.6120,0.6148,62104
1985-10-28,0.6148,0.6173,0.6094,0.6094,471504
1985-10-29,0.6120,0.6148,0.6120,0.6148,1464704
1985-10-30,0.6201,0.6255,0.6201,0.6201,74000
1985-10-31,0.6255,0.6255,0.6201,0.6201,74000
1985-11-01,0.6201,0.6255,0.6173,0.6229,169000
1985-11-04,0.6229,0.6282,0.6201,0.6229,74904
1985-11-05,0.6229,0.6308,0.6201,0.6308,80400
1985-11-06,0.6308,0.6308,0.6201,0.6255,183600
1985-11-07,0.6255,0.6282,0.6201,0.6255,512600
1985-11-08,0.6255,0.6282,0.6173,0.6282,101400
1985-11-11,0.6282,0.6336,0.6255,0.6336,148904
1985-11-12,0.6361,0.6575,0.6361,0.6522,280504
1985-11-13,0.6550,0.6657,0.6550,0.6603,283200
1985-11-14,0.6603,0.6603,0.6550,0.6603,120600
1985-11-15,0.6550,0.6550,0.6522,0.6550,132400
1985-11-18,0.6550,0.6603,0.6550,0.6603,124200
1985-11-19,0.6603,0.6682,0.6575,0.6629,169904
1985-11-20,0.6629,0.6629,0.6575,0.6575,47504
1985-11-21,0.6603,0.6708,0.6603,0.6682,213800
1985-11-22,0.6682,0.6789,0.6682,0.6736,134304
1985-11-25,0.6736,0.6789,0.6736,0.6761,78504
1985-11-26,0.6761,0.6815,0.6736,0.6815,99504
1985-11-27,0.6815,0.6868,0.6761,0.6815,139800
1985-11-29,0.6815,0.6843,0.6761,0.6789,74000
1985-12-02,0.6789,0.6843,0.6708,0.6736,132400
1985-12-03,0.6736,0.6789,0.6657,0.6761,116000
1985-12-04,0.6761,0.6789,0.6682,0.6789,186400
1985-12-05,0.6789,0.6815,0.6736,0.6736,181800
1985-12-06,0.6736,0.6736,0.6657,0.6682,183600
1985-12-09,0.6682,0.6682,0.6550,0.6657,130600
1985-12-10,0.6657,0.6708,0.6468,0.6496,105000
1985-12-11,0.6468,0.6468,0.6336,0.6336,127904
1985-12-12,0.6336,0.6415,0.6336,0.6336,134304
1985-12-13,0.6336,0.6629,0.6336,0.6629,229304
1985-12-16,0.6629,0.6736,0.6575,0.6682,198200
1985-12-17,0.6682,0.6736,0.6657,0.6736,142504
1985-12-18,0.6736,0.6736,0.6629,0.6657,108704
1985-12-19,0.6657,0.6736,0.6575,0.6682,85800
1985-12-20,0.6682,0.6815,0.6496,0.6815,283200
1985-12-23,0.6815,0.6843,0.6789,0.6815,47504
1985-12-24,0.6815,0.6815,0.6761,0.6789,87704
1985-12-26,0.6789,0.6815,0.6708,0.6736,42904
1985-12-27,0.6736,0.6815,0.6657,0.6736,124200
1985-12-30,0.6736,0.6789,0.6629,0.6789,88600
1985-12-31,0.6789,0.6815,0.6761,0.6815,135200
1986-01-02,0.6815,0.6843,0.6789,0.6843,56600
1986-01-03,0.6843,0.6922,0.6789,0.6922,1557904
1986-01-06,0.6922,0.6922,0.6815,0.6815,1475704
1986-01-07,0.6815,0.6949,0.6815,0.6922,141600
1986-01-08,0.6922,0.6922,0.6761,0.6789,90400
1986-01-09,0.6789,0.6843,0.6761,0.6761,288704
1986-01-10,0.6761,0.6843,0.6761,0.6843,145200
1986-01-13,0.6843,0.6896,0.6789,0.6868,151600
1986-01-14,0.6868,0.6922,0.6789,0.6789,107800
1986-01-15,0.6789,0.6843,0.6789,0.6789,84000
1986-01-16,0.6789,0.6868,0.6789,0.6815,100504
1986-01-17,0.6815,0.6868,0.6789,0.6789,150704
1986-01-20,0.6789,0.6815,0.6761,0.6789,46600
1986-01-21,0.6789,0.6843,0.6761,0.6789,74904
1986-01-22,0.6789,0.6843,0.6761,0.6789,239400
1986-01-23,0.6789,0.6843,0.6761,0.6815,126000
1986-01-24,0.6815,0.6868,0.6682,0.6789,7932304
1986-01-27,0.6657,0.6657,0.6603,0.6629,1221600
1986-01-28,0.6629,0.6629,0.6522,0.6575,834200
1986-01-29,0.6575,0.6603,0.6443,0.6443,177200
1986-01-30,0.6443,0.6496,0.6282,0.6282,148000
1986-01-31,0.6282,0.6415,0.6282,0.6415,74000
1986-02-03,0.6415,0.6496,0.6415,0.6468,86800
1986-02-04,0.6468,0.6550,0.6468,0.6522,229304
1986-02-05,0.6522,0.6550,0.6308,0.6308,63904
1986-02-06,0.6308,0.6336,0.6229,0.6229,350800
1986-02-07,0.6173,0.6173,0.5959,0.5959,211000
1986-02-10,0.5959,0.5987,0.5827,0.5880,196400
1986-02-11,0.5880,0.5906,0.5853,0.5906,153504
1986-02-12,0.5906,0.6013,0.5880,0.5906,243000
1986-02-13,0.5906,0.5987,0.5906,0.5906,95000
1986-02-14,0.5906,0.6094,0.5906,0.6094,128800
1986-02-18,0.6094,0.6308,0.6066,0.6282,159904
1986-02-19,0.6282,0.6282,0.5934,0.5987,245800
1986-02-20,0.5987,0.6066,0.5959,0.6066,280504
1986-02-21,0.6066,0.6094,0.6041,0.6094,178104
1986-02-24,0.6094,0.6120,0.5987,0.6041,232000
1986-02-25,0.6041,0.6066,0.6013,0.6066,96800
1986-02-26,0.6066,0.6066,0.5987,0.5987,197304
1986-02-27,0.6013,0.6120,0.6013,0.6120,122400
1986-02-28,0.6120,0.6201,0.6066,0.6120,193704
1986-03-03,0.6120,0.6282,0.6120,0.6201,127904
1986-03-04,0.6255,0.6361,0.6255,0.6308,327104
1986-03-05,0.6308,0.6308,0.6229,0.6282,127904
1986-03-06,0.6282,0.6308,0.6148,0.6229,201000
1986-03-07,0.6229,0.6282,0.6120,0.6201,180000
1986-03-10,0.6201,0.6201,0.6094,0.6148,319800
1986-03-11,0.6148,0.6201,0.6148,0.6201,127000
1986-03-12,0.6201,0.6308,0.6148,0.6282,236600
1986-03-13,0.6282,0.6336,0.6173,0.6336,477800
1986-03-14,0.6336,0.6361,0.6201,0.6336,281400
1986-03-17,0.6336,0.6336,0.6201,0.6201,156200
1986-03-18,0.6201,0.6336,0.6148,0.6336,138800
1986-03-19,0.6336,0.6336,0.6229,0.6336,74000
1986-03-20,0.6336,0.6336,0.6255,0.6308,44704
1986-03-21,0.6308,0.6522,0.6308,0.6522,420304
1986-03-24,0.6522,0.6575,0.6389,0.6575,200104
1986-03-25,0.6575,0.6736,0.6496,0.6736,261304
1986-03-26,0.6736,0.6736,0.6522,0.6603,1631000
1986-03-27,0.6603,0.6629,0.6496,0.6550,98600
1986-03-31,0.6522,0.6522,0.6336,0.6443,2941304
1986-04-01,0.6496,0.6496,0.6336,0.6361,70304
1986-04-02,0.6361,0.6575,0.6336,0.6522,163504
1986-04-03,0.6522,0.6629,0.6522,0.6603,126000
1986-04-04,0.6603,0.6629,0.6496,0.6522,365504
1986-04-07,0.6522,0.6575,0.6522,0.6522,91304
1986-04-08,0.6522,0.6575,0.6522,0.6550,80400
1986-04-09,0.6550,0.6575,0.6415,0.6468,228400
1986-04-10,0.6468,0.6550,0.6443,0.6468,72104
1986-04-11,0.6468,0.6496,0.6361,0.6468,217400
1986-04-14,0.6468,0.6550,0.6415,0.6415,106904
1986-04-15,0.6415,0.6443,0.6308,0.6308,130600
1986-04-16,0.6308,0.6496,0.6308,0.6415,300600
1986-04-17,0.6415,0.6550,0.6389,0.6550,481504
1986-04-18,0.6550,0.6603,0.6468,0.6550,123304
1986-04-21,0.6550,0.6657,0.6522,0.6522,161704
1986-04-22,0.6522,0.6708,0.6522,0.6708,339904
1986-04-23,0.6629,0.6708,0.6629,0.6708,2846304
1986-04-24,0.6575,0.6575,0.6468,0.6496,57504
1986-04-25,0.6496,0.6603,0.6496,0.6575,2891104
1986-04-28,0.6575,0.6629,0.6522,0.6575,201904
1986-04-29,0.6522,0.6522,0.6389,0.6389,109600
1986-04-30,0.6389,0.6468,0.6173,0.6308,84904
1986-05-01,0.6308,0.6389,0.6201,0.6255,140704
1986-05-02,0.6255,0.6415,0.6255,0.6389,209200
1986-05-05,0.6389,0.6443,0.6361,0.6443,161704
1986-05-06,0.6443,0.6468,0.6282,0.6282,98600
1986-05-07,0.6282,0.6361,0.6229,0.6282,62104
1986-05-08,0.6282,0.6496,0.6282,0.6415,127904
1986-05-09,0.6415,0.6415,0.6308,0.6389,222000
1986-05-12,0.6389,0.6389,0.6120,0.6173,1222600
1986-05-13,0.6173,0.6255,0.6120,0.6229,147104
1986-05-14,0.6229,0.6255,0.6148,0.6229,235704
1986-05-15,0.6229,0.6443,0.6201,0.6443,103200
1986-05-16,0.6443,0.6550,0.6443,0.6550,295104
1986-05-19,0.6550,0.6550,0.6468,0.6522,77600
1986-05-20,0.6522,0.6575,0.6496,0.6522,210104
1986-05-21,0.6522,0.6575,0.6468,0.6468,42000
1986-05-22,0.6468,0.6522,0.6443,0.6496,96800
1986-05-23,0.6496,0.6496,0.6415,0.6468,94104
1986-05-27,0.6468,0.6468,0.6415,0.6468,75800
1986-05-28,0.6468,0.6496,0.6443,0.6468,47504
1986-05-29,0.6468,0.6496,0.6308,0.6468,99504
1986-05-30,0.6468,0.6522,0.6361,0.6522,145200
1986-06-02,0.6522,0.6522,0.6361,0.6361,133400
1986-06-03,0.6361,0.6468,0.6336,0.6415,56600
1986-06-04,0.6415,0.6522,0.6336,0.6522,68504
1986-06-05,0.6522,0.6522,0.6415,0.6443,39200
1986-06-06,0.6443,0.6468,0.6336,0.6415,86800
1986-06-09,0.6389,0.6389,0.6173,0.6201,159904
1986-06-10,0.6201,0.6282,0.6173,0.6229,66704
