date,open,high,low,close,volume
1990-03-26,1.4273,1.4428,1.4198,1.4428,1022400
1990-03-27,1.4428,1.4509,1.4273,1.4509,2573600
1990-03-28,1.4509,1.4664,1.4428,1.4664,437600
1990-03-29,1.4509,1.4509,1.4509,1.4509,97600
1990-03-30,1.4509,1.4583,1.4509,1.4583,768000
1990-04-02,1.4583,1.4583,1.4353,1.4353,698400
1990-04-03,1.4353,1.4428,1.4353,1.4353,154400
1990-04-04,1.4353,1.4428,1.3733,1.4353,952800
1990-04-05,1.4353,1.4353,1.4118,1.4198,519200
1990-04-06,1.4198,1.4273,1.4043,1.4043,1216800
1990-04-09,1.4043,1.4198,1.4043,1.4118,489600
1990-04-10,1.4118,1.4198,1.4043,1.4043,544800
1990-04-11,1.4043,1.4198,1.4043,1.4118,264000
1990-04-12,1.4118,1.4353,1.4118,1.4353,363200
1990-04-16,1.4353,1.4583,1.4198,1.4509,273600
1990-04-17,1.4509,1.4583,1.4509,1.4583,212000
1990-04-18,1.4509,1.4509,1.4353,1.4428,715200
1990-04-19,1.4428,1.4428,1.4273,1.4273,993600
1990-04-20,1.4273,1.4428,1.4118,1.4198,851200
1990-04-23,1.4198,1.4273,1.4118,1.4198,528000
1990-04-24,1.4198,1.4273,1.4118,1.4273,876800
1990-04-25,1.4273,1.4273,1.4118,1.4273,455200
1990-04-26,1.4273,1.4273,1.4118,1.4273,1266400
1990-04-27,1.4273,1.4273,1.4118,1.4198,651200
1990-04-30,1.4198,1.4353,1.4198,1.4353,284000
1990-05-01,1.4353,1.4428,1.4198,1.4273,3185600
1990-05-02,1.4273,1.4353,1.4198,1.4198,469600
1990-05-03,1.4198,1.4273,1.4198,1.4273,2809600
1990-05-04,1.4273,1.4353,1.4198,1.4353,412000
1990-05-07,1.4353,1.4583,1.4273,1.4583,356800
1990-05-08,1.4583,1.5129,1.4583,1.4974,758400
1990-05-09,1.4974,1.5129,1.4893,1.5129,331200
1990-05-10,1.5129,1.5129,1.5048,1.5129,271200
1990-05-11,1.5129,1.5204,1.5048,1.5129,637600
1990-05-14,1.5129,1.5359,1.5048,1.5359,909600
1990-05-15,1.5359,1.5439,1.5284,1.5439,293600
1990-05-16,1.5439,1.5750,1.5359,1.5750,565600
1990-05-17,1.5750,1.6134,1.5750,1.6060,796800
1990-05-18,1.6060,1.6134,1.5905,1.5905,548800
1990-05-21,1.5979,1.6134,1.5979,1.5979,604000
1990-05-22,1.5979,1.6134,1.5905,1.5905,424800
1990-05-23,1.5905,1.5979,1.5750,1.5750,304800
1990-05-24,1.5750,1.5905,1.5750,1.5750,80800
1990-05-25,1.5750,1.5750,1.5594,1.5669,357600
1990-05-29,1.5669,1.5824,1.5514,1.5750,1158400
1990-05-30,1.5750,1.5750,1.5359,1.5359,584000
1990-05-31,1.5359,1.5439,1.5359,1.5439,265600
1990-06-01,1.5439,1.5594,1.5359,1.5514,360000
1990-06-04,1.5594,1.5750,1.5594,1.5669,216000
1990-06-05,1.5669,1.5905,1.5669,1.5905,329600
1990-06-06,1.5905,1.5905,1.5824,1.5905,937600
1990-06-07,1.5905,1.5905,1.5514,1.5594,962400
1990-06-08,1.5594,1.5750,1.5514,1.5669,1682400
1990-06-11,1.5837,1.6075,1.5762,1.6075,419200
1990-06-12,1.6075,1.6464,1.5994,1.6307,905600
1990-06-13,1.6307,1.6464,1.6307,1.6307,351200
1990-06-14,1.6307,1.6307,1.6075,1.6151,152800
1990-06-15,1.6151,1.6389,1.5994,1.6389,425600
1990-06-18,1.6389,1.6389,1.6232,1.6232,162400
1990-06-19,1.6232,1.6546,1.6232,1.6464,751200
1990-06-20,1.6464,1.6621,1.6464,1.6621,157600
1990-06-21,1.6621,1.6621,1.6464,1.6546,932000
1990-06-22,1.6546,1.6546,1.6075,1.6232,398400
1990-06-25,1.6232,1.6389,1.6075,1.6389,539200
1990-06-26,1.6389,1.6389,1.6232,1.6307,428000
1990-06-27,1.6232,1.6307,1.6232,1.6307,640800
1990-06-28,1.6307,1.6307,1.6232,1.6232,156800
1990-06-29,1.6307,1.6464,1.6232,1.6464,268000
1990-07-02,1.6389,1.6546,1.6389,1.6464,47200
1990-07-03,1.6389,1.6703,1.6389,1.6464,336800
1990-07-05,1.6546,1.6546,1.6464,1.6464,272000
1990-07-06,1.6546,1.6546,1.6389,1.6546,64800
1990-07-09,1.6703,1.6859,1.6703,1.6859,81600
1990-07-10,1.6935,1.7091,1.6778,1.6935,204800
1990-07-11,1.6935,1.7016,1.6935,1.6935,56000
1990-07-12,1.7091,1.7091,1.7016,1.7016,139200
1990-07-13,1.7016,1.7173,1.7016,1.7016,267200
1990-07-16,1.7016,1.7248,1.6935,1.7173,112000
1990-07-17,1.7173,1.7248,1.7091,1.7173,272000
1990-07-18,1.7091,1.7091,1.7016,1.7016,136800
1990-07-19,1.6859,1.6935,1.6621,1.6778,396000
1990-07-20,1.6546,1.6778,1.6464,1.6703,206400
1990-07-23,1.6621,1.6778,1.6621,1.6621,252800
1990-07-24,1.6621,1.6621,1.6307,1.6307,239200
1990-07-25,1.6389,1.6389,1.6307,1.6389,84800
1990-07-26,1.6232,1.6307,1.6232,1.6232,12800
1990-07-27,1.6232,1.6307,1.6232,1.6307,5600
