date,open,high,low,close,volume
1987-11-05,0.5849,0.5964,0.5849,0.5907,126800
1987-11-06,0.5964,0.5964,0.5877,0.5877,62400
1987-11-09,0.5877,0.5877,0.5762,0.5849,28800
1987-11-10,0.5792,0.5792,0.5735,0.5735,134800
1987-11-11,0.5792,0.5849,0.5792,0.5822,19200
1987-11-12,0.5849,0.5907,0.5762,0.5762,150000
1987-11-13,0.5762,0.5937,0.5762,0.5937,21600
1987-11-16,0.5877,0.5992,0.5877,0.5964,161200
1987-11-17,0.5992,0.5992,0.5907,0.5964,84400
1987-11-18,0.5964,0.6021,0.5937,0.6021,249200
1987-11-19,0.6021,0.6021,0.5964,0.5992,41200
1987-11-20,0.6021,0.6021,0.5937,0.5937,14400
1987-11-23,0.5964,0.6079,0.5907,0.6079,15600
1987-11-24,0.6136,0.6308,0.6136,0.6308,195200
1987-11-25,0.6308,0.6308,0.6221,0.6308,7600
1987-11-27,0.6251,0.6281,0.6193,0.6193,38800
1987-11-30,0.6106,0.6136,0.5937,0.6079,78400
1987-12-01,0.6106,0.6106,0.5992,0.6079,29600
1987-12-02,0.6021,0.6021,0.5937,0.5964,283200
1987-12-03,0.5992,0.5992,0.5849,0.5849,35600
1987-12-04,0.5792,0.5792,0.5707,0.5735,27600
1987-12-07,0.5792,0.6021,0.5792,0.5964,102000
1987-12-08,0.5907,0.5907,0.5907,0.5907,33200
1987-12-09,0.5964,0.5964,0.5877,0.5877,35600
1987-12-10,0.5849,0.5964,0.5849,0.5907,15200
1987-12-11,0.5937,0.5937,0.5849,0.5849,14000
1987-12-14,0.5877,0.6051,0.5792,0.6051,32400
1987-12-15,0.6021,0.6251,0.6021,0.6251,27200
1987-12-16,0.6281,0.6308,0.6221,0.6308,24000
1987-12-17,0.6308,0.6336,0.6251,0.6336,32400
1987-12-18,0.6395,0.6395,0.6193,0.6193,33200
1987-12-21,0.6251,0.6365,0.6193,0.6336,19200
1987-12-22,0.6395,0.6423,0.6336,0.6423,39200
1987-12-23,0.6423,0.6480,0.6336,0.6423,39600
1987-12-24,0.6365,0.6423,0.6365,0.6423,26000
1987-12-28,0.6365,0.6365,0.6193,0.6193,13600
1987-12-29,0.6251,0.6251,0.6193,0.6251,7200
1987-12-30,0.6251,0.6251,0.6136,0.6136,22400
1987-12-31,0.6079,0.6308,0.6079,0.6308,65200
1988-01-04,0.6308,0.6365,0.6251,0.6308,42800
1988-01-05,0.6308,0.6423,0.6308,0.6423,28000
1988-01-06,0.6395,0.6395,0.6365,0.6365,22400
1988-01-07,0.6308,0.6395,0.6281,0.6308,34000
1988-01-08,0.6251,0.6308,0.6193,0.6308,16800
1988-01-11,0.6308,0.6365,0.6166,0.6308,40400
1988-01-12,0.6308,0.6308,0.6193,0.6193,26000
1988-01-13,0.6193,0.6193,0.6079,0.6136,50000
1988-01-14,0.6193,0.6336,0.6193,0.6336,16400
1988-01-15,0.6395,0.6423,0.6365,0.6365,57600
1988-01-18,0.6423,0.6450,0.6281,0.6281,73600
1988-01-19,0.6308,0.6308,0.6251,0.6251,117600
1988-01-20,0.6281,0.6308,0.6193,0.6193,118800
1988-01-21,0.6193,0.6365,0.6193,0.6221,93600
1988-01-22,0.6281,0.6365,0.6251,0.6308,23600
1988-01-25,0.6281,0.6365,0.6281,0.6365,26000
1988-01-26,0.6365,0.6365,0.6193,0.6281,30800
1988-01-27,0.6281,0.6336,0.6251,0.6336,16000
1988-01-28,0.6365,0.6365,0.6308,0.6365,20000
1988-01-29,0.6423,0.6450,0.6336,0.6365,45600
1988-02-01,0.6396,0.6455,0.6396,0.6455,54800
1988-02-02,0.6427,0.6514,0.6338,0.6455,257200
1988-02-03,0.6427,0.6427,0.6338,0.6338,134800
1988-02-04,0.6338,0.6427,0.6338,0.6427,14800
1988-02-05,0.6455,0.6483,0.6366,0.6396,76000
1988-02-08,0.6338,0.6396,0.6279,0.6396,45200
1988-02-09,0.6366,0.6427,0.6338,0.6338,57600
1988-02-10,0.6338,0.6427,0.6338,0.6427,32400
1988-02-11,0.6427,0.6514,0.6338,0.6455,50000
1988-02-12,0.6455,0.6514,0.6396,0.6514,44400
1988-02-16,0.6544,0.6544,0.6427,0.6483,28800
1988-02-17,0.6544,0.6631,0.6544,0.6600,38000
1988-02-18,0.6544,0.6572,0.6483,0.6514,16400
1988-02-19,0.6572,0.6572,0.6483,0.6483,8400
1988-02-22,0.6544,0.6544,0.6455,0.6483,14800
1988-02-23,0.6483,0.6544,0.6427,0.6483,40000
1988-02-24,0.6483,0.6483,0.6396,0.6396,63200
1988-02-25,0.6396,0.6396,0.6338,0.6396,30800
1988-02-26,0.6396,0.6455,0.6366,0.6455,46000
1988-02-29,0.6396,0.6396,0.6338,0.6338,31600
1988-03-01,0.6366,0.6427,0.6338,0.6366,72000
1988-03-02,0.6396,0.6396,0.6338,0.6396,114800
1988-03-03,0.6338,0.6455,0.6338,0.6455,30400
1988-03-04,0.6455,0.6455,0.6396,0.6455,8400
1988-03-07,0.6483,0.6514,0.6455,0.6514,15200
1988-03-08,0.6544,0.6544,0.6396,0.6396,176000
1988-03-09,0.6427,0.6427,0.6396,0.6396,28400
1988-03-10,0.6366,0.6455,0.6366,0.6427,51600
1988-03-11,0.6455,0.6455,0.6427,0.6455,4400
1988-03-14,0.6514,0.6544,0.6483,0.6544,12000
1988-03-15,0.6483,0.6514,0.6483,0.6514,8800
1988-03-16,0.6544,0.6572,0.6514,0.6572,40000
1988-03-17,0.6572,0.6572,0.6544,0.6572,21200
1988-03-18,0.6572,0.6600,0.6514,0.6600,22400
1988-03-21,0.6572,0.6572,0.6514,0.6572,19200
1988-03-22,0.6572,0.6572,0.6483,0.6483,16800
1988-03-23,0.6514,0.6514,0.6455,0.6455,30800
1988-03-24,0.6455,0.6544,0.6455,0.6544,25200
1988-03-25,0.6483,0.6544,0.6483,0.6544,33600
1988-03-28,0.6455,0.6455,0.6366,0.6366,82000
1988-03-29,0.6427,0.6427,0.6366,0.6366,16800
1988-03-30,0.6396,0.6427,0.6338,0.6338,137200
1988-03-31,0.6338,0.6455,0.6338,0.6455,101600
1988-04-04,0.6396,0.6455,0.6396,0.6455,22000
1988-04-05,0.6427,0.6427,0.6309,0.6396,59600
1988-04-06,0.6396,0.6396,0.6338,0.6396,57200
1988-04-07,0.6338,0.6396,0.6338,0.6396,16800
1988-04-08,0.6396,0.6455,0.6338,0.6366,32800
1988-04-11,0.6427,0.6427,0.6338,0.6338,58800
1988-04-12,0.6396,0.6396,0.6338,0.6396,52800
1988-04-13,0.6338,0.6366,0.6338,0.6338,135200
1988-04-14,0.6338,0.6338,0.6279,0.6309,63200
1988-04-15,0.6309,0.6309,0.6279,0.6279,132400
1988-04-18,0.6309,0.6309,0.6248,0.6248,61600
1988-04-19,0.6248,0.6279,0.6220,0.6248,60800
1988-04-20,0.6279,0.6309,0.6220,0.6309,54800
1988-04-21,0.6248,0.6309,0.6248,0.6279,10400
1988-04-22,0.6309,0.6396,0.6309,0.6366,213200
1988-04-25,0.6396,0.6427,0.6366,0.6396,15600
1988-04-26,0.6396,0.6455,0.6366,0.6366,14000
1988-04-27,0.6396,0.6396,0.6338,0.6366,220400
1988-04-28,0.6344,0.6464,0.6313,0.6402,41600
1988-04-29,0.6373,0.6464,0.6373,0.6464,38400
1988-05-02,0.6433,0.6493,0.6373,0.6373,47200
1988-05-03,0.6373,0.6373,0.6281,0.6281,29200
1988-05-04,0.6281,0.6313,0.6192,0.6253,31200
1988-05-05,0.6281,0.6313,0.6253,0.6281,12800
1988-05-06,0.6281,0.6344,0.6281,0.6344,26800
1988-05-09,0.6313,0.6344,0.6224,0.6224,48800
1988-05-10,0.6224,0.6281,0.6224,0.6224,15600
1988-05-11,0.6253,0.6281,0.6132,0.6161,27200
1988-05-12,0.6103,0.6132,0.6012,0.6103,46400
1988-05-13,0.6041,0.6103,0.6041,0.6072,43200
1988-05-16,0.6103,0.6103,0.6041,0.6041,77600
