date,open,high,low,close,volume
1980-01-02,1.0066,1.0198,1.0066,1.0066,61800
1980-01-03,1.0066,1.0198,1.0066,1.0135,82401
1980-01-04,1.0135,1.0198,1.0066,1.0198,41001
1980-01-07,1.0198,1.0198,1.0066,1.0198,36600
1980-01-08,1.0198,1.0266,1.0066,1.0135,46200
1980-01-09,1.0135,1.0198,1.0003,1.0066,288201
1980-01-10,1.0066,1.0135,1.0003,1.0066,35001
1980-01-11,1.0066,1.0135,1.0003,1.0003,59400
1980-01-14,1.0003,1.0135,1.0003,1.0003,52401
1980-01-15,1.0003,1.0066,1.0003,1.0003,62001
1980-01-16,1.0003,1.0066,1.0003,1.0066,72801
1980-01-17,1.0066,1.0135,0.9940,1.0003,218601
1980-01-18,1.0003,1.0003,0.9740,0.9803,157200
1980-01-21,0.9803,0.9872,0.9477,0.9545,132801
1980-01-22,0.9545,0.9740,0.9477,0.9608,86001
1980-01-23,0.9608,0.9740,0.9608,0.9608,46200
1980-01-24,0.9608,0.9677,0.9545,0.9545,83400
1980-01-25,0.9545,0.9608,0.9408,0.9477,239601
1980-01-28,0.9477,0.9677,0.9477,0.9477,127200
1980-01-29,0.9477,0.9677,0.9477,0.9608,80001
1980-01-30,0.9608,0.9608,0.9277,0.9345,314601
1980-01-31,0.9345,0.9408,0.9345,0.9408,62001
1980-02-01,0.9408,0.9477,0.9345,0.9408,55401
1980-02-04,0.9408,0.9545,0.9408,0.9545,220200
1980-02-05,0.9477,0.9477,0.9277,0.9345,178401
1980-02-06,0.9345,0.9408,0.9277,0.9408,54801
1980-02-07,0.9408,0.9477,0.9345,0.9408,142200
1980-02-08,0.9408,0.9608,0.9345,0.9477,129600
1980-02-11,0.9477,0.9477,0.9214,0.9277,115401
1980-02-12,0.9277,0.9277,0.8819,0.8950,169401
1980-02-13,0.8950,0.9150,0.8950,0.9013,289200
1980-02-14,0.9013,0.9082,0.8950,0.9013,57600
1980-02-15,0.9013,0.9013,0.8887,0.8950,161601
