date,open,high,low,close,volume
1972-06-01,0.7043,0.7061,0.6979,0.7061,318600
1972-06-02,0.7061,0.7132,0.7040,0.7040,140400
1972-06-05,0.7040,0.7051,0.6805,0.6938,469800
1972-06-06,0.6877,0.6877,0.6857,0.6877,140400
1972-06-07,0.6877,0.6888,0.6816,0.6836,178200
1972-06-08,0.6836,0.6857,0.6795,0.6836,432000
1972-06-09,0.6836,0.6857,0.6826,0.6846,199800
1972-06-12,0.6846,0.6857,0.6816,0.6826,183600
1972-06-13,0.6836,0.6908,0.6836,0.6908,415800
1972-06-14,0.6928,0.6999,0.6928,0.6979,216000
1972-06-15,0.6979,0.6999,0.6949,0.6959,178200
1972-06-16,0.6959,0.6999,0.6918,0.6949,183600
1972-06-19,0.6949,0.6979,0.6877,0.6928,324000
1972-06-20,0.6928,0.6938,0.6897,0.6928,129600
1972-06-21,0.6928,0.6979,0.6908,0.6938,356400
1972-06-22,0.6938,0.6990,0.6918,0.6979,324000
1972-06-23,0.6979,0.7030,0.6979,0.7020,275400
1972-06-26,0.7020,0.7020,0.6959,0.6959,194400
1972-06-27,0.6959,0.6979,0.6918,0.6918,669600
1972-06-28,0.6918,0.6928,0.6897,0.6908,75600
1972-06-29,0.6908,0.6949,0.6816,0.6908,280800
1972-06-30,0.6908,0.6938,0.6826,0.6846,135000
1972-07-03,0.6846,0.6857,0.6795,0.6836,216000
1972-07-05,0.6836,0.6846,0.6755,0.6846,372600
1972-07-06,0.6846,0.6990,0.6846,0.6918,793800
1972-07-07,0.6908,0.6908,0.6816,0.6816,259200
1972-07-10,0.6816,0.6877,0.6755,0.6816,372600
1972-07-11,0.6816,0.6888,0.6785,0.6866,1080000
1972-07-12,0.6866,0.6908,0.6866,0.6877,367200
1972-07-13,0.6877,0.6918,0.6836,0.6918,302400
1972-07-14,0.6928,0.7183,0.6928,0.7163,993600
1972-07-17,0.7163,0.7224,0.7092,0.7122,561600
1972-07-18,0.7122,0.7122,0.7020,0.7040,302400
1972-07-19,0.7040,0.7061,0.6959,0.6959,356400
1972-07-20,0.6938,0.6938,0.6897,0.6897,243000
1972-07-21,0.6897,0.6949,0.6877,0.6918,275400
1972-07-24,0.6918,0.6959,0.6918,0.6928,410400
1972-07-25,0.6938,0.6990,0.6938,0.6949,469800
1972-07-26,0.6949,0.6999,0.6949,0.6999,145800
1972-07-27,0.6999,0.7234,0.6979,0.7224,739800
1972-07-28,0.7224,0.7244,0.7142,0.7142,318600
1972-07-31,0.7142,0.7183,0.7112,0.7132,167400
1972-08-01,0.7132,0.7203,0.7112,0.7203,783000
1972-08-02,0.7203,0.7306,0.7183,0.7265,523800
1972-08-03,0.7265,0.7274,0.7163,0.7183,410400
1972-08-04,0.7183,0.7183,0.7061,0.7183,432000
1972-08-07,0.7172,0.7172,0.7101,0.7172,151200
1972-08-08,0.7172,0.7172,0.7112,0.7132,329400
1972-08-09,0.7132,0.7153,0.7030,0.7142,669600
1972-08-10,0.7142,0.7142,0.7112,0.7142,372600
1972-08-11,0.7142,0.7183,0.7122,0.7153,480600
1972-08-14,0.7172,0.7295,0.7172,0.7193,756000
1972-08-15,0.7193,0.7244,0.7163,0.7172,291600
1972-08-16,0.7172,0.7203,0.7153,0.7153,194400
1972-08-17,0.7153,0.7193,0.7153,0.7163,280800
1972-08-18,0.7163,0.7183,0.7142,0.7172,923400
1972-08-21,0.7172,0.7203,0.7163,0.7203,378000
1972-08-22,0.7203,0.7244,0.7183,0.7203,248400
1972-08-23,0.7203,0.7254,0.7183,0.7183,172800
1972-08-24,0.7183,0.7203,0.7101,0.7122,691200
1972-08-25,0.7122,0.7142,0.7061,0.7122,491400
1972-08-28,0.7122,0.7142,0.7092,0.7092,210600
1972-08-29,0.7112,0.7183,0.7112,0.7153,286200
1972-08-30,0.7153,0.7172,0.7101,0.7101,329400
1972-08-31,0.7081,0.7081,0.7040,0.7040,270000
1972-09-01,0.7040,0.7092,0.7010,0.7092,507600
1972-09-05,0.7061,0.7061,0.7020,0.7020,113400
1972-09-06,0.7020,0.7061,0.6990,0.7010,799200
1972-09-07,0.7010,0.7030,0.6969,0.6969,156600
1972-09-08,0.6969,0.6979,0.6918,0.6928,178200
1972-09-11,0.6928,0.6928,0.6877,0.6928,216000
1972-09-12,0.6928,0.6938,0.6897,0.6908,426600
1972-09-13,0.6897,0.6897,0.6888,0.6897,221400
1972-09-14,0.6897,0.6938,0.6888,0.6908,567000
1972-09-15,0.6908,0.6918,0.6755,0.6775,750600
1972-09-18,0.6775,0.6775,0.6642,0.6714,637200
1972-09-19,0.6714,0.6714,0.6621,0.6621,275400
1972-09-20,0.6612,0.6612,0.6550,0.6602,324000
1972-09-21,0.6602,0.6612,0.6550,0.6612,378000
1972-09-22,0.6612,0.6632,0.6469,0.6500,372600
1972-09-25,0.6500,0.6530,0.6367,0.6367,2748600
1972-09-26,0.6367,0.6448,0.6326,0.6428,712800
1972-09-27,0.6469,0.6734,0.6469,0.6714,696600
1972-09-28,0.6755,0.6805,0.6755,0.6755,1204200
1972-09-29,0.6755,0.6816,0.6755,0.6805,189000
1972-10-02,0.6805,0.6816,0.6653,0.6693,891000
1972-10-03,0.6673,0.6673,0.6621,0.6662,680400
1972-10-04,0.6693,0.6734,0.6693,0.6714,1096200
1972-10-05,0.6703,0.6703,0.6662,0.6683,545400
1972-10-06,0.6683,0.6775,0.6662,0.6734,993600
1972-10-09,0.6734,0.6744,0.6703,0.6744,459000
1972-10-10,0.6744,0.6775,0.6703,0.6734,982800
1972-10-11,0.6734,0.6775,0.6693,0.6724,1166400
1972-10-12,0.6714,0.6714,0.6632,0.6632,243000
1972-10-13,0.6612,0.6612,0.6520,0.6541,820800
1972-10-16,0.6541,0.6541,0.6489,0.6500,329400
1972-10-17,0.6500,0.6530,0.6489,0.6520,815400
1972-10-18,0.6541,0.6621,0.6541,0.6612,793800
1972-10-19,0.6612,0.6632,0.6581,0.6632,448200
1972-10-20,0.6632,0.6653,0.6602,0.6612,199800
1972-10-23,0.6612,0.6775,0.6612,0.6693,513000
1972-10-24,0.6693,0.6795,0.6602,0.6795,1382400
1972-10-25,0.6795,0.6938,0.6775,0.6877,648000
1972-10-26,0.6897,0.6990,0.6897,0.6918,1485000
1972-10-27,0.6918,0.6928,0.6816,0.6846,734400
1972-10-30,0.6846,0.6846,0.6755,0.6785,291600
1972-10-31,0.6785,0.6816,0.6775,0.6816,939600
1972-11-01,0.6816,0.6836,0.6775,0.6816,966600
1972-11-02,0.6816,0.6888,0.6805,0.6866,491400
1972-11-03,0.6866,0.6999,0.6846,0.6979,729000
1972-11-06,0.6979,0.7020,0.6949,0.6959,561600
1972-11-08,0.6959,0.7020,0.6949,0.6990,372600
1972-11-09,0.6990,0.6999,0.6938,0.6999,837000
1972-11-10,0.6999,0.7061,0.6979,0.6979,648000
1972-11-13,0.6979,0.7030,0.6959,0.6999,270000
1972-11-14,0.6999,0.7101,0.6979,0.7092,1171800
1972-11-15,0.7092,0.7112,0.7071,0.7071,783000
1972-11-16,0.7071,0.7142,0.7051,0.7112,491400
1972-11-17,0.7244,0.7417,0.7244,0.7336,2052000
1972-11-20,0.7336,0.7346,0.7306,0.7336,955800
1972-11-21,0.7336,0.7336,0.7193,0.7193,1042200
1972-11-22,0.7193,0.7254,0.7183,0.7213,405000
1972-11-24,0.7213,0.7244,0.7193,0.7203,145800
1972-11-27,0.7203,0.7224,0.7183,0.7224,399600
1972-11-28,0.7213,0.7213,0.7163,0.7183,361800
1972-11-29,0.7172,0.7172,0.7142,0.7163,772200
1972-11-30,0.7163,0.7163,0.7092,0.7112,388800
1972-12-01,0.7112,0.7142,0.7071,0.7112,864000
1972-12-04,0.7112,0.7153,0.7092,0.7132,421200
1972-12-05,0.7153,0.7172,0.7153,0.7172,594000
1972-12-06,0.7172,0.7244,0.7163,0.7244,777600
1972-12-07,0.7244,0.7336,0.7203,0.7336,1215000
1972-12-08,0.7336,0.7336,0.7285,0.7306,718200
1972-12-11,0.7306,0.7306,0.7203,0.7265,1495800
1972-12-12,0.7265,0.7265,0.7213,0.7224,475200
1972-12-13,0.7224,0.7224,0.7203,0.7213,199800
1972-12-14,0.7213,0.7213,0.7163,0.7183,599400
1972-12-15,0.7183,0.7213,0.7183,0.7193,761400
1972-12-18,0.7183,0.7183,0.7142,0.7183,232200
1972-12-19,0.7142,0.7142,0.7040,0.7081,793800
1972-12-20,0.7081,0.7092,0.7010,0.7020,783000
1972-12-21,0.7020,0.7030,0.6908,0.6928,675000
1972-12-22,0.6928,0.6959,0.6908,0.6959,1366200
1972-12-26,0.6959,0.6969,0.6918,0.6928,421200
1972-12-27,0.6938,0.6999,0.6938,0.6999,810000
1972-12-29,0.7020,0.7112,0.7020,0.7112,858600
1973-01-02,0.7122,0.7172,0.7122,0.7172,1296000
1973-01-03,0.7163,0.7163,0.7122,0.7122,372600
1973-01-04,0.7081,0.7081,0.6959,0.7010,572400
1973-01-05,0.7010,0.7010,0.6938,0.6969,675000
1973-01-08,0.6969,0.7010,0.6938,0.6999,1026000
1973-01-09,0.6969,0.6969,0.6918,0.6928,280800
1973-01-10,0.6918,0.6918,0.6866,0.6877,394200
1973-01-11,0.6877,0.7040,0.6866,0.6938,1927800
1973-01-12,0.6979,0.7040,0.6979,0.7010,1150200
1973-01-15,0.7010,0.7010,0.6938,0.6999,313200
1973-01-16,0.6999,0.6999,0.6918,0.6999,1074600
1973-01-17,0.6999,0.7101,0.6959,0.7101,1279800
1973-01-18,0.7101,0.7183,0.7061,0.7172,399600
1973-01-19,0.7172,0.7183,0.7071,0.7092,583200
1973-01-22,0.7092,0.7153,0.7040,0.7092,939600
1973-01-23,0.7101,0.7132,0.7101,0.7132,2181600
1973-01-24,0.7132,0.7163,0.7020,0.7020,1992600
1973-01-26,0.7020,0.7020,0.6918,0.6918,491400
1973-01-29,0.6918,0.6918,0.6734,0.6734,442800
1973-01-30,0.6734,0.6785,0.6662,0.6785,729000
1973-01-31,0.6785,0.6846,0.6775,0.6805,302400
1973-02-01,0.6805,0.6846,0.6755,0.6755,545400
1973-02-02,0.6755,0.6795,0.6714,0.6795,372600
1973-02-05,0.6775,0.6775,0.6734,0.6734,210600
1973-02-06,0.6734,0.6857,0.6724,0.6857,928800
1973-02-07,0.6857,0.6888,0.6775,0.6785,513000
1973-02-08,0.6785,0.6857,0.6755,0.6846,459000
1973-02-09,0.6846,0.6877,0.6826,0.6846,313200
1973-02-12,0.6857,0.6897,0.6857,0.6866,345600
1973-02-13,0.6866,0.6928,0.6826,0.6857,653400
1973-02-14,0.6857,0.6908,0.6795,0.6795,302400
1973-02-15,0.6795,0.6866,0.6795,0.6816,216000
1973-02-16,0.6816,0.6877,0.6805,0.6877,183600
1973-02-20,0.6888,0.6949,0.6888,0.6888,896400
1973-02-21,0.6888,0.6908,0.6836,0.6846,405000
1973-02-22,0.6846,0.6846,0.6785,0.6836,367200
1973-02-23,0.6836,0.6897,0.6826,0.6826,658800
1973-02-26,0.6826,0.6877,0.6775,0.6826,561600
1973-02-27,0.6826,0.6826,0.6775,0.6785,475200
1973-02-28,0.6785,0.6795,0.6683,0.6734,675000
1973-03-01,0.6734,0.6816,0.6734,0.6795,847800
1973-03-02,0.6795,0.6816,0.6714,0.6795,469800
1973-03-05,0.6795,0.6836,0.6744,0.6836,507600
1973-03-06,0.6836,0.6918,0.6826,0.6918,658800
1973-03-07,0.6918,0.7040,0.6897,0.6990,712800
1973-03-08,0.6999,0.7092,0.6999,0.7061,621000
1973-03-09,0.7061,0.7092,0.7051,0.7092,534600
1973-03-12,0.7092,0.7092,0.7040,0.7040,561600
1973-03-13,0.7040,0.7101,0.7040,0.7101,1263600
1973-03-14,0.7112,0.7265,0.7112,0.7265,1036800
1973-03-15,0.7265,0.7326,0.7193,0.7193,1139400
1973-03-16,0.7193,0.7224,0.7122,0.7153,561600
1973-03-19,0.7153,0.7213,0.7142,0.7172,685800
1973-03-20,0.7172,0.7193,0.7122,0.7122,1593000
1973-03-21,0.7122,0.7142,0.7020,0.7020,1198800
1973-03-22,0.6979,0.6979,0.6816,0.6816,4552200
1973-03-23,0.6816,0.6836,0.6662,0.6785,1641600
1973-03-26,0.6785,0.6816,0.6693,0.6724,2035800
1973-03-27,0.6744,0.6836,0.6744,0.6795,1150200
1973-03-28,0.6795,0.6836,0.6703,0.6775,696600
1973-03-29,0.6795,0.6959,0.6795,0.6959,1107000
1973-03-30,0.6959,0.6979,0.6785,0.6805,448200
1973-04-02,0.6795,0.6795,0.6703,0.6734,772200
1973-04-03,0.6734,0.6775,0.6693,0.6744,1620000
1973-04-04,0.6703,0.6703,0.6642,0.6653,1512000
1973-04-05,0.6653,0.6734,0.6621,0.6734,696600
1973-04-06,0.6734,0.6775,0.6683,0.6744,1085400
1973-04-09,0.6744,0.6795,0.6673,0.6775,896400
1973-04-10,0.6846,0.6938,0.6846,0.6918,1107000
1973-04-11,0.6857,0.6857,0.6775,0.6857,658800
1973-04-12,0.6857,0.6897,0.6673,0.6764,1036800
1973-04-13,0.6764,0.6795,0.6683,0.6764,513000
1973-04-16,0.6744,0.6744,0.6703,0.6724,529200
1973-04-17,0.6724,0.6734,0.6642,0.6703,540000
1973-04-18,0.6683,0.6683,0.6612,0.6662,1236600
