date,open,high,low,close,volume
1972-06-01,0.2895,0.2897,0.2853,0.2897,2332800
1972-06-02,0.2897,0.2906,0.2853,0.2862,1531200
1972-06-05,0.2862,0.2870,0.2836,0.2853,2452800
1972-06-06,0.2853,0.2932,0.2844,0.2914,2227200
1972-06-07,0.2914,0.2914,0.2870,0.2914,979200
1972-06-08,0.2914,0.2924,0.2897,0.2897,1012800
1972-06-09,0.2897,0.2924,0.2897,0.2914,1483200
1972-06-12,0.2914,0.2967,0.2914,0.2924,1843200
1972-06-13,0.2924,0.2967,0.2906,0.2950,2064000
1972-06-14,0.2950,0.2967,0.2932,0.2950,1963200
1972-06-15,0.2950,0.2976,0.2914,0.2914,2587200
1972-06-16,0.2914,0.2967,0.2879,0.2967,2275200
1972-06-19,0.2967,0.3002,0.2958,0.3002,1608000
1972-06-20,0.3002,0.3020,0.2985,0.3020,2212800
1972-06-21,0.3020,0.3037,0.2985,0.2985,1934400
1972-06-22,0.2985,0.3011,0.2958,0.2993,2313600
1972-06-23,0.2993,0.3002,0.2914,0.2985,1406400
1972-06-26,0.2985,0.2985,0.2914,0.2950,1536000
1972-06-27,0.2950,0.2976,0.2914,0.2950,1944000
1972-06-28,0.2941,0.2941,0.2906,0.2924,1248000
1972-06-29,0.2924,0.2967,0.2906,0.2967,1060800
1972-06-30,0.2967,0.3020,0.2958,0.2976,2774400
1972-07-03,0.2976,0.3002,0.2950,0.2985,782400
1972-07-05,0.3002,0.3073,0.3002,0.3037,2755200
1972-07-06,0.3063,0.3108,0.3063,0.3098,3696000
1972-07-07,0.3098,0.3143,0.3081,0.3143,2011200
1972-07-10,0.3143,0.3186,0.3134,0.3152,2932800
1972-07-11,0.3152,0.3186,0.3152,0.3152,2073600
1972-07-12,0.3152,0.3186,0.3143,0.3160,2558400
1972-07-13,0.3143,0.3143,0.3055,0.3073,1056000
1972-07-14,0.3073,0.3160,0.3063,0.3143,1502400
1972-07-17,0.3143,0.3160,0.3063,0.3117,777600
1972-07-18,0.3108,0.3108,0.2993,0.3081,1449600
1972-07-19,0.3081,0.3125,0.3055,0.3098,2035200
1972-07-20,0.3098,0.3117,0.3047,0.3055,1416000
1972-07-21,0.3055,0.3073,0.3020,0.3073,907200
1972-07-24,0.3073,0.3073,0.2967,0.3002,9235200
1972-07-25,0.3011,0.3081,0.3011,0.3055,2558400
1972-07-26,0.3055,0.3073,0.3037,0.3037,1286400
1972-07-27,0.3037,0.3047,0.3020,0.3020,1075200
1972-07-28,0.3029,0.3047,0.3029,0.3047,1070400
1972-07-31,0.3047,0.3047,0.3020,0.3020,1939200
1972-08-01,0.3020,0.3090,0.3020,0.3081,1713600
1972-08-02,0.3090,0.3134,0.3090,0.3125,2865600
1972-08-03,0.3125,0.3134,0.3063,0.3081,1238400
1972-08-04,0.3081,0.3117,0.3055,0.3098,2035200
1972-08-07,0.3098,0.3108,0.3063,0.3108,1862400
1972-08-08,0.3108,0.3125,0.3090,0.3108,2280000
1972-08-09,0.3108,0.3117,0.3090,0.3117,2352000
1972-08-10,0.3117,0.3152,0.3098,0.3152,1104000
1972-08-11,0.3152,0.3213,0.3134,0.3213,3000000
1972-08-14,0.3213,0.3231,0.3186,0.3213,3144000
1972-08-15,0.3213,0.3213,0.3178,0.3195,1190400
1972-08-16,0.3195,0.3213,0.3152,0.3178,1454400
1972-08-17,0.3178,0.3222,0.3169,0.3186,2587200
1972-08-18,0.3178,0.3178,0.3125,0.3125,2894400
1972-08-21,0.3125,0.3143,0.3081,0.3125,1228800
1972-08-22,0.3125,0.3160,0.3090,0.3108,1358400
1972-08-23,0.3108,0.3143,0.3063,0.3090,1569600
1972-08-24,0.3090,0.3098,0.3020,0.3073,2044800
1972-08-25,0.3073,0.3090,0.3020,0.3037,2678400
1972-08-28,0.3037,0.3063,0.3011,0.3029,1363200
1972-08-29,0.3029,0.3063,0.3011,0.3047,2030400
1972-08-30,0.3047,0.3047,0.3011,0.3029,2116800
1972-08-31,0.3029,0.3037,0.2985,0.3002,2078400
1972-09-01,0.3002,0.3011,0.2967,0.3011,4627200
1972-09-05,0.3011,0.3020,0.2993,0.3020,940800
1972-09-06,0.3011,0.3011,0.2924,0.2941,1819200
