date,open,high,low,close,volume
1970-01-02,0.7107,0.7156,0.7099,0.7139,1664000
1970-01-05,0.7139,0.7188,0.7099,0.7172,1036800
1970-01-06,0.7156,0.7156,0.7091,0.7139,960000
1970-01-07,0.7156,0.7269,0.7156,0.7253,1420800
1970-01-08,0.7253,0.7367,0.7237,0.7334,1062400
1970-01-09,0.7334,0.7334,0.7286,0.7318,524800
1970-01-12,0.7318,0.7318,0.7269,0.7269,742400
1970-01-13,0.7269,0.7286,0.7237,0.7237,819200
1970-01-14,0.7269,0.7448,0.7269,0.7269,1190400
1970-01-15,0.7269,0.7302,0.7253,0.7269,780800
1970-01-16,0.7318,0.7464,0.7318,0.7350,819200
1970-01-19,0.7335,0.7335,0.7270,0.7286,1024000
1970-01-20,0.7302,0.7343,0.7302,0.7311,537600
1970-01-21,0.7311,0.7367,0.7270,0.7359,1356800
1970-01-22,0.7359,0.7546,0.7278,0.7530,1804800
1970-01-23,0.7497,0.7497,0.7302,0.7302,5785600
1970-01-26,0.7302,0.7319,0.7205,0.7205,1062400
1970-01-27,0.7221,0.7270,0.7221,0.7221,294400
1970-01-28,0.7221,0.7262,0.7173,0.7173,1651200
1970-01-29,0.7173,0.7173,0.7124,0.7156,832000
1970-01-30,0.7181,0.7262,0.7181,0.7205,870400
1970-02-02,0.7205,0.7221,0.7140,0.7140,4902400
1970-02-03,0.7156,0.7326,0.7156,0.7270,2470400
1970-02-04,0.7270,0.7335,0.7270,0.7286,768000
1970-02-05,0.7286,0.7326,0.7254,0.7302,908800
1970-02-06,0.7302,0.7432,0.7286,0.7400,1062400
1970-02-09,0.7400,0.7497,0.7359,0.7465,1280000
1970-02-10,0.7465,0.7465,0.7432,0.7448,576000
1970-02-11,0.7448,0.7465,0.7400,0.7465,1318400
1970-02-12,0.7481,0.7546,0.7481,0.7530,1587200
1970-02-13,0.7513,0.7513,0.7400,0.7432,3097600
1970-02-16,0.7432,0.7578,0.7432,0.7441,870400
1970-02-17,0.7432,0.7432,0.7108,0.7173,3084800
1970-02-18,0.7165,0.7165,0.6986,0.7010,2598400
1970-02-19,0.7010,0.7043,0.6945,0.7043,4121600
1970-02-20,0.7043,0.7084,0.7027,0.7027,1689600
1970-02-24,0.7027,0.7059,0.6978,0.7059,1971200
1970-02-25,0.7059,0.7091,0.6962,0.7010,5785600
1970-02-26,0.6880,0.6880,0.6848,0.6856,3494400
1970-02-27,0.6880,0.7140,0.6880,0.7091,2342400
1970-03-02,0.7091,0.7221,0.7091,0.7124,3084800
1970-03-03,0.7124,0.7173,0.7075,0.7173,1753600
1970-03-04,0.7173,0.7197,0.7140,0.7156,2150400
1970-03-05,0.7156,0.7173,0.7108,0.7108,3046400
1970-03-06,0.7075,0.7075,0.7010,0.7075,768000
1970-03-09,0.7075,0.7115,0.7075,0.7084,550400
1970-03-10,0.7084,0.7132,0.7084,0.7132,857600
1970-03-11,0.7132,0.7140,0.7115,0.7132,1612800
1970-03-12,0.7132,0.7140,0.7124,0.7140,2022400
1970-03-13,0.7140,0.7173,0.7075,0.7075,3289600
1970-03-16,0.7059,0.7059,0.6848,0.6880,4633600
1970-03-17,0.6880,0.6994,0.6864,0.6888,2278400
1970-03-18,0.6913,0.7027,0.6913,0.6978,1036800
1970-03-19,0.6978,0.7027,0.6880,0.6897,524800
1970-03-20,0.6897,0.6978,0.6888,0.6978,678400
1970-03-23,0.6962,0.6962,0.6897,0.6897,384000
1970-03-24,0.6921,0.6962,0.6921,0.6962,396800
1970-03-25,0.6962,0.7319,0.6962,0.7075,3520000
1970-03-26,0.7075,0.7124,0.7043,0.7075,844800
1970-03-30,0.7010,0.7010,0.6897,0.6994,1062400
1970-03-31,0.6994,0.7075,0.6986,0.7075,486400
1970-04-01,0.7140,0.7205,0.7140,0.7173,1612800
1970-04-02,0.7173,0.7189,0.7140,0.7140,934400
1970-04-03,0.7140,0.7165,0.7140,0.7140,332800
1970-04-06,0.7140,0.7205,0.7108,0.7115,512000
1970-04-07,0.7115,0.7156,0.7108,0.7132,1254400
1970-04-08,0.7124,0.7124,0.7091,0.7099,204800
1970-04-09,0.7099,0.7124,0.7059,0.7075,742400
1970-04-10,0.7075,0.7075,0.7027,0.7027,614400
1970-04-13,0.7027,0.7027,0.6945,0.6945,934400
1970-04-14,0.6945,0.6954,0.6832,0.6945,1075200
1970-04-15,0.6945,0.6978,0.6848,0.6897,1587200
1970-04-16,0.6880,0.6880,0.6792,0.6792,1088000
1970-04-17,0.6792,0.6962,0.6758,0.6962,1241600
1970-04-20,0.6962,0.7011,0.6914,0.6914,678400
1970-04-21,0.6914,0.6938,0.6825,0.6825,780800
1970-04-22,0.6825,0.6849,0.6751,0.6751,1395200
1970-04-23,0.6703,0.6703,0.6597,0.6622,870400
1970-04-24,0.6622,0.6686,0.6622,0.6654,524800
1970-04-27,0.6654,0.6686,0.6346,0.6459,3084800
1970-04-28,0.6459,0.6589,0.6435,0.6499,1305600
1970-04-29,0.6499,0.6589,0.6492,0.6557,1254400
1970-04-30,0.6557,0.6589,0.6427,0.6467,537600
1970-05-01,0.6467,0.6524,0.6394,0.6394,780800
1970-05-04,0.6362,0.6362,0.6232,0.6232,2483200
1970-05-05,0.6167,0.6167,0.6005,0.6102,1740800
1970-05-06,0.6102,0.6297,0.6102,0.6135,2944000
1970-05-07,0.6159,0.6313,0.6159,0.6313,1433600
1970-05-08,0.6297,0.6297,0.6183,0.6183,985600
1970-05-11,0.6183,0.6183,0.6118,0.6118,448000
1970-05-12,0.6070,0.6070,0.6005,0.6029,1024000
1970-05-13,0.5989,0.5989,0.5916,0.5989,1676800
1970-05-14,0.5980,0.5980,0.5948,0.5972,896000
1970-05-15,0.6005,0.6257,0.6005,0.6257,1292800
1970-05-18,0.6257,0.6297,0.6207,0.6248,1113600
1970-05-19,0.6235,0.6235,0.5975,0.6008,691200
1970-05-20,0.5975,0.5975,0.5845,0.5845,966400
1970-05-21,0.5845,0.5845,0.5715,0.5765,611200
1970-05-22,0.5715,0.5715,0.5569,0.5585,518400
1970-05-25,0.5536,0.5536,0.5391,0.5391,467200
1970-05-26,0.5358,0.5358,0.5213,0.5228,662400
1970-05-27,0.5293,0.5813,0.5293,0.5748,508800
1970-05-28,0.5862,0.6235,0.5862,0.6073,566400
1970-05-29,0.6073,0.6462,0.5845,0.6365,275200
1970-06-01,0.6365,0.6495,0.6300,0.6332,489600
1970-06-02,0.6332,0.6495,0.6170,0.6267,377600
1970-06-03,0.6267,0.6300,0.6202,0.6284,294400
1970-06-04,0.6300,0.6397,0.6300,0.6300,316800
1970-06-05,0.6235,0.6235,0.6122,0.6170,441600
1970-06-08,0.6170,0.6218,0.6025,0.6202,272000
1970-06-09,0.6202,0.6202,0.6138,0.6170,412800
1970-06-10,0.6170,0.6202,0.6056,0.6105,169600
1970-06-11,0.6073,0.6073,0.5828,0.5910,822400
1970-06-12,0.5958,0.6056,0.5958,0.6056,224000
1970-06-15,0.6073,0.6154,0.6073,0.6138,432000
1970-06-16,0.6138,0.6430,0.6105,0.6365,528000
1970-06-17,0.6365,0.6478,0.6267,0.6300,582400
1970-06-18,0.6300,0.6512,0.6252,0.6462,390400
1970-06-19,0.6527,0.6690,0.6527,0.6592,646400
1970-06-22,0.6560,0.6560,0.6397,0.6445,412800
1970-06-23,0.6445,0.6592,0.6414,0.6462,252800
1970-06-24,0.6462,0.6527,0.6332,0.6430,182400
1970-06-25,0.6430,0.6478,0.6332,0.6397,192000
1970-06-26,0.6397,0.6462,0.6202,0.6202,134400
1970-06-29,0.6202,0.6218,0.6040,0.6105,236800
1970-06-30,0.6105,0.6300,0.6105,0.6105,246400
1970-07-01,0.6105,0.6252,0.6105,0.6252,185600
1970-07-02,0.6252,0.6365,0.6252,0.6252,819200
1970-07-06,0.6252,0.6348,0.6252,0.6332,185600
1970-07-07,0.6284,0.6284,0.6235,0.6267,240000
1970-07-08,0.6267,0.6462,0.6235,0.6462,425600
1970-07-09,0.6462,0.6478,0.6332,0.6430,268800
1970-07-10,0.6430,0.6478,0.6235,0.6365,3520000
1970-07-13,0.6365,0.6414,0.6315,0.6397,220800
1970-07-14,0.6397,0.6462,0.6284,0.6462,326400
1970-07-15,0.6478,0.6755,0.6478,0.6705,675200
1970-07-16,0.6705,0.6997,0.6690,0.6949,697600
1970-07-17,0.6949,0.7144,0.6917,0.7144,592000
1970-07-20,0.7113,0.7113,0.6983,0.6983,496000
1970-07-21,0.6983,0.6983,0.6886,0.6935,832000
1970-07-22,0.6935,0.7081,0.6935,0.6966,489600
1970-07-23,0.6966,0.7048,0.6836,0.6869,345600
1970-07-24,0.6869,0.7081,0.6853,0.7065,473600
1970-07-27,0.7065,0.7096,0.7033,0.7081,214400
1970-07-28,0.7016,0.7016,0.6903,0.6983,422400
1970-07-29,0.6983,0.6999,0.6903,0.6903,412800
1970-07-30,0.6903,0.6951,0.6853,0.6886,198400
1970-07-31,0.6886,0.6886,0.6675,0.6756,371200
1970-08-03,0.6756,0.6788,0.6561,0.6626,582400
1970-08-04,0.6626,0.6626,0.6513,0.6561,188800
1970-08-05,0.6561,0.6626,0.6496,0.6561,595200
1970-08-06,0.6626,0.6756,0.6626,0.6739,412800
1970-08-07,0.6739,0.6756,0.6643,0.6675,268800
