date,open,high,low,close,volume
1986-07-09,0.4655,0.4655,0.4618,0.4655,6112800
1986-07-10,0.4692,0.4692,0.4618,0.4692,1080000
1986-07-11,0.4618,0.4692,0.4618,0.4692,2682000
1986-07-14,0.4655,0.4692,0.4543,0.4543,435600
1986-07-15,0.4506,0.4543,0.4432,0.4506,2707200
1986-07-16,0.4506,0.4506,0.4432,0.4469,748800
1986-07-17,0.4449,0.4469,0.4432,0.4432,4510800
1986-07-18,0.4432,0.4469,0.4394,0.4469,2404800
1986-07-21,0.4469,0.4581,0.4394,0.4506,4359600
1986-07-22,0.4543,0.4692,0.4543,0.4618,752400
1986-07-23,0.4730,0.4804,0.4730,0.4804,1260000
1986-07-24,0.4767,0.4767,0.4692,0.4692,8960400
1986-07-25,0.4767,0.5102,0.4692,0.5027,13906800
1986-07-28,0.5065,0.5102,0.4916,0.4953,2048400
1986-07-29,0.4916,0.4990,0.4916,0.4990,2631600
1986-07-30,0.4953,0.5027,0.4953,0.4990,2703600
1986-07-31,0.4990,0.5139,0.4990,0.5065,4935600
1986-08-01,0.5065,0.5065,0.4916,0.4916,11084400
1986-08-04,0.4916,0.4916,0.4841,0.4916,4298400
1986-08-05,0.4859,0.4953,0.4859,0.4916,1159200
1986-08-06,0.4990,0.4990,0.4916,0.4990,532800
1986-08-07,0.4990,0.4990,0.4916,0.4916,514800
1986-08-08,0.4990,0.5027,0.4990,0.5027,2786400
1986-08-11,0.5027,0.5065,0.4990,0.5065,2826000
1986-08-12,0.5102,0.5251,0.5102,0.5214,1018800
1986-08-13,0.5288,0.5512,0.5288,0.5512,2361600
1986-08-14,0.5512,0.5549,0.5437,0.5549,1256400
1986-08-15,0.5474,0.5549,0.5474,0.5512,471600
1986-08-18,0.5512,0.5623,0.5474,0.5586,885600
1986-08-19,0.5623,0.5735,0.5623,0.5623,3002400
1986-08-20,0.5623,0.5698,0.5586,0.5661,1929600
1986-08-21,0.5698,0.5698,0.5623,0.5698,7300800
1986-08-22,0.5661,0.5698,0.5661,0.5698,4626000
1986-08-25,0.5661,0.5661,0.5512,0.5586,1209600
1986-08-26,0.5586,0.5623,0.5512,0.5623,464400
1986-08-27,0.5623,0.5661,0.5586,0.5661,320400
1986-08-28,0.5586,0.5661,0.5586,0.5586,345600
1986-08-29,0.5661,0.5661,0.5586,0.5623,3877200
1986-09-02,0.5641,0.5661,0.5586,0.5623,572400
1986-09-03,0.5586,0.5586,0.5512,0.5549,2721600
1986-09-04,0.5549,0.5549,0.5512,0.5512,1278000
1986-09-05,0.5549,0.5549,0.5437,0.5437,1692000
1986-09-08,0.5400,0.5512,0.5325,0.5400,4474800
1986-09-09,0.5400,0.5400,0.5325,0.5380,2106000
1986-09-10,0.5363,0.5400,0.5325,0.5363,1180800
1986-09-11,0.5363,0.5400,0.5214,0.5214,3459600
1986-09-12,0.5176,0.5251,0.4916,0.4916,2577600
1986-09-15,0.4990,0.5027,0.4953,0.4990,1778400
1986-09-16,0.4916,0.4916,0.4730,0.4767,1803600
1986-09-17,0.4730,0.4878,0.4730,0.4878,1836000
1986-09-18,0.4878,0.4878,0.4804,0.4804,1879200
1986-09-19,0.4804,0.4953,0.4804,0.4878,1796400
1986-09-22,0.4953,0.5139,0.4878,0.5139,547200
1986-09-23,0.5176,0.5251,0.5139,0.5214,1134000
1986-09-24,0.5251,0.5251,0.5176,0.5214,133200
1986-09-25,0.5214,0.5214,0.5065,0.5065,759600
1986-09-26,0.5120,0.5139,0.5065,0.5139,158400
1986-09-29,0.5065,0.5065,0.4990,0.5027,2401200
1986-09-30,0.5065,0.5102,0.5027,0.5102,2685600
1986-10-01,0.5102,0.5102,0.5065,0.5102,1148400
1986-10-02,0.5102,0.5102,0.5065,0.5102,576000
1986-10-03,0.5102,0.5176,0.5065,0.5176,964800
1986-10-06,0.5176,0.5251,0.5139,0.5251,687600
1986-10-07,0.5176,0.5288,0.5176,0.5214,3027600
1986-10-08,0.5214,0.5288,0.5214,0.5214,856800
1986-10-09,0.5251,0.5251,0.5214,0.5214,716400
1986-10-10,0.5251,0.5251,0.5176,0.5251,1645200
1986-10-13,0.5214,0.5251,0.5214,0.5251,97200
1986-10-14,0.5214,0.5251,0.5214,0.5214,601200
1986-10-15,0.5251,0.5251,0.5214,0.5251,612000
1986-10-16,0.5251,0.5251,0.5214,0.5214,720000
1986-10-17,0.5288,0.5288,0.5214,0.5251,529200
1986-10-20,0.5251,0.5251,0.5214,0.5214,360000
1986-10-21,0.5214,0.5251,0.5214,0.5214,1281600
1986-10-22,0.5251,0.5251,0.5214,0.5251,2642400
1986-10-23,0.5251,0.5288,0.5214,0.5214,1864800
1986-10-24,0.5251,0.5437,0.5251,0.5363,3146400
1986-10-27,0.5363,0.5474,0.5363,0.5437,3081600
1986-10-28,0.5437,0.5437,0.5380,0.5400,5644800
1986-10-29,0.5400,0.5400,0.5288,0.5288,896400
1986-10-30,0.5288,0.5400,0.5288,0.5400,1393200
1986-10-31,0.5400,0.5400,0.4767,0.4878,14731200
1986-11-03,0.4953,0.4953,0.4878,0.4916,3060000
1986-11-04,0.4916,0.4916,0.4730,0.4749,3448800
1986-11-05,0.4730,0.4767,0.4469,0.4469,2394000
1986-11-06,0.4432,0.4506,0.4245,0.4469,4989600
1986-11-07,0.4469,0.4488,0.4432,0.4469,3492000
1986-11-10,0.4394,0.4488,0.4357,0.4394,2563200
1986-11-11,0.4432,0.4432,0.4357,0.4414,2196000
1986-11-12,0.4432,0.4449,0.4171,0.4245,5342400
1986-11-13,0.4171,0.4226,0.4134,0.4134,9720000
1986-11-14,0.4134,0.4134,0.3985,0.4059,5580000
1986-11-17,0.4059,0.4096,0.3985,0.4059,2584800
1986-11-18,0.4114,0.4134,0.4059,0.4059,1011600
1986-11-19,0.4022,0.4096,0.3985,0.4022,2991600
1986-11-20,0.4022,0.4022,0.3985,0.4022,2664000
1986-11-21,0.4022,0.4357,0.3985,0.4320,7394400
1986-11-24,0.4357,0.4469,0.4320,0.4432,1929600
1986-11-25,0.4469,0.4469,0.4394,0.4432,3927600
1986-11-26,0.4432,0.4432,0.4394,0.4432,684000
1986-11-28,0.4469,0.4506,0.4432,0.4506,241200
1986-12-01,0.4469,0.4469,0.4394,0.4469,1929600
1986-12-02,0.4432,0.4543,0.4432,0.4543,1933200
1986-12-03,0.4543,0.4692,0.4469,0.4692,3045600
1986-12-04,0.4730,0.5027,0.4730,0.4916,8402400
1986-12-05,0.4916,0.4990,0.4804,0.4841,1821600
1986-12-08,0.4804,0.4878,0.4767,0.4804,990000
1986-12-09,0.4767,0.4804,0.4730,0.4767,3481200
1986-12-10,0.4804,0.4804,0.4767,0.4804,482400
1986-12-11,0.4804,0.4804,0.4767,0.4785,15242400
1986-12-12,0.4730,0.4767,0.4655,0.4655,1137600
1986-12-15,0.4692,0.4692,0.4432,0.4469,3222000
1986-12-16,0.4469,0.4469,0.4394,0.4432,3376800
1986-12-17,0.4432,0.4543,0.4394,0.4543,8247600
1986-12-18,0.4506,0.4618,0.4506,0.4618,6015600
1986-12-19,0.4618,0.4655,0.4506,0.4543,25016400
1986-12-22,0.4581,0.4581,0.4488,0.4543,4086000
1986-12-23,0.4506,0.4543,0.4469,0.4543,5788800
1986-12-24,0.4506,0.4581,0.4506,0.4581,1576800
1986-12-26,0.4506,0.4543,0.4506,0.4543,482400
1986-12-29,0.4543,0.4543,0.4506,0.4506,637200
1986-12-30,0.4469,0.4506,0.4432,0.4506,3099600
1986-12-31,0.4506,0.4692,0.4506,0.4618,1652400
1987-01-02,0.4618,0.4692,0.4618,0.4655,709200
1987-01-05,0.4618,0.4730,0.4618,0.4730,4204800
1987-01-06,0.4692,0.4841,0.4692,0.4767,11199600
1987-01-07,0.4841,0.4841,0.4767,0.4841,568800
1987-01-08,0.4841,0.4953,0.4804,0.4916,10944000
1987-01-09,0.4953,0.5139,0.4878,0.5065,2890800
1987-01-12,0.5139,0.5176,0.5065,0.5139,1864800
1987-01-13,0.5065,0.5102,0.4878,0.5102,8092800
1987-01-14,0.5102,0.5196,0.5065,0.5176,4636800
1987-01-15,0.5102,0.5196,0.5102,0.5102,1861200
1987-01-16,0.5102,0.5139,0.4878,0.4953,2127600
1987-01-19,0.4953,0.4953,0.4878,0.4916,3895200
1987-01-20,0.4953,0.4990,0.4878,0.4916,12412800
1987-01-21,0.4916,0.4953,0.4896,0.4916,1612800
1987-01-22,0.4953,0.5065,0.4916,0.5065,3956400
1987-01-23,0.5065,0.5102,0.5027,0.5102,7009200
1987-01-26,0.5065,0.5102,0.5065,0.5065,2862000
1987-01-27,0.5102,0.5102,0.5065,0.5065,3218400
1987-01-28,0.5102,0.5102,0.4990,0.4990,5047200
1987-01-29,0.5027,0.5027,0.4916,0.4971,7599600
1987-01-30,0.4990,0.4990,0.4916,0.4990,417600
1987-02-02,0.4990,0.4990,0.4953,0.4990,1198800
1987-02-03,0.4990,0.5102,0.4953,0.5102,15750000
1987-02-04,0.5027,0.5139,0.5027,0.5102,6534000
1987-02-05,0.5139,0.5288,0.5102,0.5232,13348800
1987-02-06,0.5176,0.5251,0.4953,0.5010,20145600
1987-02-09,0.4953,0.4990,0.4320,0.4432,62640000
1987-02-10,0.4469,0.4506,0.4432,0.4469,15814800
1987-02-11,0.4469,0.4543,0.4432,0.4469,6307200
1987-02-12,0.4543,0.4618,0.4506,0.4618,9831600
1987-02-13,0.4618,0.4655,0.4543,0.4618,3672000
1987-02-17,0.4618,0.4618,0.4543,0.4581,6872400
1987-02-18,0.4543,0.4581,0.4414,0.4432,2923200
1987-02-19,0.4394,0.4543,0.4394,0.4543,6753600
1987-02-20,0.4525,0.4618,0.4525,0.4618,4309200
1987-02-23,0.4543,0.4618,0.4432,0.4543,2880000
1987-02-24,0.4543,0.4581,0.4449,0.4561,5572800
1987-02-25,0.4581,0.4618,0.4506,0.4561,5954400
1987-02-26,0.4618,0.4636,0.4543,0.4618,6174000
1987-02-27,0.4581,0.4618,0.4543,0.4543,4280400
1987-03-02,0.4543,0.4581,0.4506,0.4506,1191600
1987-03-03,0.4581,0.4581,0.4506,0.4543,7549200
1987-03-04,0.4581,0.4581,0.4543,0.4581,8355600
1987-03-05,0.4543,0.4692,0.4543,0.4692,8812800
1987-03-06,0.4655,0.4692,0.4600,0.4618,3898800
1987-03-09,0.4506,0.4655,0.4506,0.4506,3528000
1987-03-10,0.4506,0.4543,0.4506,0.4506,1818000
1987-03-11,0.4506,0.4543,0.4506,0.4525,10566000
1987-03-12,0.4543,0.4543,0.4469,0.4469,1537200
1987-03-13,0.4543,0.4543,0.4469,0.4543,9075600
1987-03-16,0.4506,0.4581,0.4469,0.4506,7113600
1987-03-17,0.4543,0.4543,0.4506,0.4543,928800
1987-03-18,0.4543,0.4543,0.4506,0.4543,2588400
1987-03-19,0.4543,0.4581,0.4506,0.4543,18662400
1987-03-20,0.4506,0.4581,0.4469,0.4506,3517200
1987-03-23,0.4543,0.4543,0.4283,0.4283,12679200
1987-03-24,0.4357,0.4432,0.4283,0.4394,10504800
1987-03-25,0.4432,0.4432,0.4320,0.4394,3758400
1987-03-26,0.4320,0.4394,0.4245,0.4245,15570000
1987-03-27,0.4320,0.4320,0.4245,0.4245,2682000
1987-03-30,0.4245,0.4245,0.4096,0.4096,6656400
1987-03-31,0.4171,0.4171,0.4096,0.4171,1083600
1987-04-01,0.4134,0.4245,0.4096,0.4245,2628000
1987-04-02,0.4245,0.4320,0.4208,0.4320,6066000
1987-04-03,0.4245,0.4394,0.4245,0.4394,4435200
1987-04-06,0.4394,0.4432,0.4357,0.4432,13690800
1987-04-07,0.4432,0.4432,0.4339,0.4394,11199600
1987-04-08,0.4320,0.4357,0.4245,0.4245,8758800
1987-04-09,0.4245,0.4245,0.4208,0.4208,4842000
1987-04-10,0.4208,0.4245,0.4171,0.4245,3193200
1987-04-13,0.4226,0.4245,0.4134,0.4208,4748400
1987-04-14,0.4171,0.4208,0.4096,0.4134,7110000
1987-04-15,0.4096,0.4171,0.4059,0.4096,1339200
1987-04-16,0.4079,0.4096,0.4059,0.4096,4309200
1987-04-20,0.4096,0.4096,0.4059,0.4096,1411200
1987-04-21,0.4096,0.4096,0.3985,0.4059,4672800
1987-04-22,0.4059,0.4059,0.4022,0.4059,3240000
1987-04-23,0.4059,0.4059,0.3965,0.4022,7884000
1987-04-24,0.4022,0.4245,0.3985,0.4153,3117600
