date,open,high,low,close,volume
1985-07-01,3.3453,3.4332,3.3453,3.4332,200698
1985-07-02,3.4332,3.4705,3.4211,3.4705,271299
1985-07-03,3.4705,3.4837,3.4332,3.4332,263199
1985-07-05,3.4453,3.4968,3.4453,3.4968,102602
1985-07-08,3.4584,3.4584,3.4332,3.4584,72900
1985-07-09,3.4584,3.4584,3.4079,3.4211,137700
1985-07-10,3.4079,3.4079,3.3696,3.3958,81901
1985-07-11,3.3958,3.4332,3.3958,3.4079,136500
1985-07-12,3.4079,3.4332,3.3574,3.3958,610300
1985-07-15,3.3827,3.3827,3.3322,3.3574,392101
1985-07-16,3.3574,3.3827,3.3201,3.3827,353201
1985-07-17,3.3827,3.4584,3.3827,3.3958,374498
1985-07-18,3.3958,3.4211,3.3453,3.3696,125499
1985-07-19,3.3696,3.4079,3.3696,3.3827,222001
1985-07-22,3.3827,3.3827,3.3574,3.3696,82898
1985-07-23,3.3696,3.3827,3.3574,3.3696,180098
1985-07-24,3.3696,3.3696,3.3574,3.3696,64901
1985-07-25,3.3696,3.3827,3.3453,3.3696,599501
1985-07-26,3.3827,3.4079,3.3827,3.3827,107502
1985-07-29,3.3827,3.4211,3.3827,3.4211,148002
1985-07-30,3.4211,3.4211,3.3958,3.4079,58001
1985-07-31,3.4079,3.4211,3.3958,3.4079,54599
1985-08-01,3.4079,3.4584,3.3958,3.4453,191201
1985-08-02,3.4453,3.4837,3.4453,3.4453,64000
1985-08-05,3.4453,3.4584,3.4079,3.4211,173401
1985-08-06,3.4211,3.4453,3.3827,3.4079,373501
1985-08-07,3.4079,3.4332,3.4079,3.4079,193600
1985-08-08,3.4079,3.4453,3.4079,3.4453,155798
1985-08-09,3.4453,3.4705,3.4332,3.4332,64800
1985-08-12,3.4332,3.4584,3.4211,3.4211,98101
1985-08-13,3.4211,3.4211,3.3958,3.3958,118802
1985-08-14,3.3827,3.3827,3.3322,3.3453,158102
1985-08-15,3.3453,3.3574,3.3453,3.3453,38698
1985-08-16,3.3453,3.3574,3.3322,3.3322,38698
1985-08-19,3.3322,3.3696,3.3201,3.3696,257398
1985-08-20,3.3696,3.3696,3.3453,3.3453,45902
1985-08-21,3.3453,3.3696,3.3453,3.3696,374802
1985-08-22,3.3958,3.4211,3.3958,3.3958,95398
1985-08-23,3.4079,3.4332,3.4079,3.4211,47400
1985-08-26,3.4211,3.4837,3.4211,3.4332,214599
1985-08-27,3.4332,3.4453,3.4079,3.4453,54002
1985-08-28,3.4453,3.4453,3.4079,3.4211,60902
