date,open,high,low,close,volume
1985-07-01,1.5351,1.5820,1.5351,1.5463,178400
1985-07-02,1.5463,1.5463,1.5107,1.5229,337600
1985-07-03,1.5351,1.5698,1.5351,1.5698,1909600
1985-07-05,1.5698,1.5698,1.5576,1.5576,116800
1985-07-08,1.5576,1.5698,1.5463,1.5698,158400
1985-07-09,1.5698,1.5698,1.5229,1.5463,261600
1985-07-10,1.5463,1.5463,1.4882,1.5107,1311200
1985-07-11,1.5107,1.5698,1.5107,1.5463,1032800
1985-07-12,1.5463,1.5698,1.5351,1.5463,1602400
1985-07-15,1.5463,1.5932,1.5463,1.5932,782400
1985-07-16,1.5932,1.6401,1.5820,1.6401,472800
1985-07-17,1.6513,1.7104,1.6513,1.6982,1344000
1985-07-18,1.6982,1.7104,1.6635,1.6757,608800
1985-07-19,1.6757,1.7104,1.6757,1.6869,1107200
1985-07-22,1.6869,1.6869,1.6635,1.6869,449600
1985-07-23,1.6869,1.6869,1.6513,1.6757,228000
1985-07-24,1.6757,1.6757,1.6288,1.6401,293600
1985-07-25,1.6401,1.6401,1.6166,1.6166,116800
1985-07-26,1.6166,1.6288,1.5932,1.6045,529600
1985-07-29,1.6045,1.6045,1.5463,1.5698,158400
1985-07-30,1.5576,1.5576,1.4761,1.4995,301600
1985-07-31,1.4995,1.5229,1.4882,1.4995,252000
1985-08-01,1.4995,1.5229,1.4882,1.5107,217600
1985-08-02,1.5107,1.5107,1.4882,1.4882,313600
1985-08-05,1.4761,1.4761,1.4170,1.4414,208800
1985-08-06,1.4414,1.4414,1.3477,1.4058,649600
1985-08-07,1.4058,1.4058,1.3945,1.4058,155200
1985-08-08,1.4058,1.4058,1.3121,1.3589,1389600
1985-08-09,1.3702,1.4058,1.3702,1.4058,577600
1985-08-12,1.4058,1.4170,1.3823,1.3823,57600
1985-08-13,1.3823,1.3823,1.3702,1.3702,336800
1985-08-14,1.3702,1.3702,1.3589,1.3589,112800
1985-08-15,1.3589,1.3823,1.3477,1.3702,34400
1985-08-16,1.3702,1.3823,1.3355,1.3355,68800
1985-08-19,1.3355,1.3589,1.3121,1.3121,334400
1985-08-20,1.3121,1.3355,1.3121,1.3121,911200
1985-08-21,1.3121,1.3233,1.3008,1.3121,513600
1985-08-22,1.3121,1.3477,1.3121,1.3233,130400
1985-08-23,1.3233,1.3355,1.3121,1.3355,81600
