date,open,high,low,close,volume
1983-04-06,4.3246,4.3613,4.1956,4.1956,169200
1983-04-07,4.2337,4.2513,4.1780,4.1780,46400
1983-04-08,4.2337,4.2513,4.1956,4.2513,148400
1983-04-11,4.3613,4.4712,4.3070,4.4712,138000
1983-04-12,4.4712,4.6178,4.4712,4.6178,109200
1983-04-13,4.6545,4.6735,4.6354,4.6735,95600
1983-04-14,4.6354,4.6354,4.5445,4.5812,150400
1983-04-15,4.5445,4.5621,4.4346,4.4346,216800
1983-04-18,4.4346,4.5079,4.3803,4.5079,190800
1983-04-19,4.5079,4.5621,4.4536,4.5445,103600
1983-04-20,4.5079,4.5621,4.5079,4.5445,161200
1983-04-21,4.5621,4.6911,4.5445,4.6545,323600
1983-04-22,4.6354,4.6354,4.5079,4.5445,130000
1983-04-25,4.4346,4.5079,4.3613,4.3613,175200
1983-04-26,4.3246,4.3979,4.2513,4.2689,170400
1983-04-27,4.2147,4.3246,4.0871,4.1223,191600
1983-04-28,4.1780,4.2513,4.1047,4.1956,959600
1983-04-29,4.2337,4.2689,4.1780,4.2337,400800
1983-05-02,4.1780,4.2513,4.1047,4.2513,140400
1983-05-03,4.1047,4.1604,4.0681,4.1223,214400
1983-05-04,4.1956,4.2513,4.1414,4.1780,188400
1983-05-05,4.1780,4.1956,4.1414,4.1414,92800
1983-05-06,4.1604,4.3803,4.1604,4.3613,522800
1983-05-09,4.3613,4.3803,4.3070,4.3613,167600
1983-05-10,4.3422,4.3979,4.2689,4.2880,318800
1983-05-11,4.3246,4.3246,4.1047,4.1780,630000
1983-05-12,4.1956,4.1956,4.1414,4.1414,453200
1983-05-13,4.1604,4.3803,4.1604,4.3422,372800
1983-05-16,4.3070,4.3070,4.2337,4.2689,176400
1983-05-17,4.3070,4.3613,4.2513,4.2689,403600
1983-05-18,4.2880,4.3070,4.2337,4.2689,183600
1983-05-19,4.2147,4.2513,4.0871,4.1223,159200
1983-05-20,4.1223,4.1414,4.0138,4.1414,146000
1983-05-23,4.1047,4.2513,4.0871,4.2513,194000
1983-05-24,4.2147,4.2880,4.1956,4.2147,259200
1983-05-25,4.2513,4.3613,4.2513,4.3613,369200
1983-05-26,4.3803,4.3803,4.2880,4.3070,256000
1983-05-27,4.2689,4.2689,4.1047,4.1956,677600
1983-05-31,4.1223,4.1604,3.9405,3.9405,577600
1983-06-01,3.9405,4.0871,3.9405,4.0871,397600
1983-06-02,4.1047,4.1780,4.0138,4.1223,433200
1983-06-03,4.1414,4.1956,4.1047,4.1223,178400
1983-06-06,4.1414,4.3803,4.1414,4.2880,378000
1983-06-07,4.3803,4.4155,4.3246,4.3979,716000
1983-06-08,4.3246,4.4346,4.3246,4.3979,789600
1983-06-09,4.4712,4.6545,4.4712,4.6354,756400
1983-06-10,4.6911,4.7087,4.6735,4.6911,454000
1983-06-13,4.7820,4.8377,4.7468,4.7820,399600
1983-06-14,4.8743,5.1675,4.8377,4.9843,521200
1983-06-15,4.9110,4.9476,4.8010,4.9476,421600
1983-06-16,5.0942,5.0942,4.9110,5.0400,458000
1983-06-17,5.0752,5.0942,4.9843,5.0400,232000
1983-06-20,5.0576,5.1133,4.9843,5.0209,235600
1983-06-21,4.9843,5.0576,4.8934,5.0400,200400
1983-06-22,5.0400,5.0942,4.9843,5.0209,279200
1983-06-23,4.9843,5.0576,4.9476,5.0400,497600
1983-06-24,5.0019,5.0019,4.8743,4.9843,153600
1983-06-27,4.9476,4.9667,4.8934,4.9667,170000
1983-06-28,4.9476,4.9843,4.8377,4.8377,222800
1983-06-29,4.8010,4.9110,4.8010,4.8377,388400
1983-06-30,4.8934,4.9286,4.8377,4.8934,68800
1983-07-01,4.8743,4.9476,4.8010,4.9476,120800
1983-07-05,4.9110,4.9667,4.8010,4.9667,75200
1983-07-06,5.0019,5.0400,4.9286,4.9843,90400
1983-07-07,4.9476,5.0019,4.9110,4.9110,193200
1983-07-08,4.9476,4.9843,4.8934,4.9667,88000
1983-07-11,4.9843,5.1675,4.9843,5.0752,244000
1983-07-12,5.0576,5.1309,5.0576,5.0752,118800
1983-07-13,5.0576,5.0752,4.9667,5.0576,339600
1983-07-14,5.2775,5.4241,5.1866,5.4241,490000
1983-07-15,5.4241,5.5340,5.2951,5.3332,240800
1983-07-18,5.3141,5.3141,5.2218,5.2775,187200
1983-07-19,5.3141,5.3684,5.2951,5.3508,138000
1983-07-20,5.4065,5.4974,5.4065,5.4974,209600
1983-07-21,5.5340,5.5883,5.5150,5.5531,234800
1983-07-22,5.5619,5.5883,5.5340,5.5531,186400
1983-07-25,5.4974,5.5150,5.4417,5.4798,221200
1983-07-26,5.5340,5.5531,5.4417,5.4798,239200
1983-07-27,5.4607,5.4974,5.3508,5.3874,186800
1983-07-28,5.3508,5.3684,5.3508,5.3508,45600
1983-07-29,5.3141,5.3141,4.9843,5.0400,246800
1983-08-01,5.0019,5.0400,4.8377,4.8934,234800
1983-08-02,4.8934,4.9476,4.8553,4.8743,126800
1983-08-03,4.8934,4.9286,4.8743,4.9286,95200
1983-08-04,4.9110,4.9110,4.7820,4.9110,178400
1983-08-05,4.8743,4.9110,4.8010,4.8934,88400
1983-08-08,4.8010,4.8743,4.6735,4.8377,93200
1983-08-09,4.8010,4.8377,4.7278,4.8201,84400
1983-08-10,4.8553,4.8934,4.8201,4.8934,81200
1983-08-11,4.9286,5.0209,4.8743,4.9476,98800
1983-08-12,4.9110,5.1485,4.9110,5.1485,75600
1983-08-15,5.1309,5.2599,5.1309,5.2042,71600
1983-08-16,5.1675,5.2218,5.1133,5.1133,59200
1983-08-17,5.1133,5.2042,5.1133,5.1485,48400
1983-08-18,5.1866,5.2599,5.1675,5.1675,70000
1983-08-19,5.1675,5.2042,5.1309,5.1309,48000
1983-08-22,5.1309,5.2218,5.1309,5.1485,59200
1983-08-23,5.1309,5.1866,5.1309,5.1309,82400
1983-08-24,5.1309,5.1309,5.0942,5.0942,71200
1983-08-25,5.0942,5.0942,4.9476,5.0019,105200
1983-08-26,4.9843,5.0019,4.9476,4.9667,349200
1983-08-29,4.9843,4.9843,4.9476,4.9843,76000
1983-08-30,5.0019,5.0942,5.0019,5.0576,85200
1983-08-31,5.0752,5.1133,5.0576,5.0942,86000
1983-09-01,5.0942,5.0942,5.0019,5.0019,94800
1983-09-02,5.0019,5.0752,4.9476,5.0752,229600
1983-09-06,5.0400,5.1309,5.0400,5.1133,185200
1983-09-07,5.1133,5.2042,5.1133,5.1675,98400
1983-09-08,5.1485,5.3874,5.1485,5.3874,170400
1983-09-09,5.3684,5.3874,5.2951,5.3508,139600
1983-09-12,5.3508,5.4241,5.1485,5.2042,106000
1983-09-13,5.1866,5.2599,5.1866,5.1866,93200
1983-09-14,5.2042,5.2218,5.1309,5.1866,304400
