date,open,high,low,close,volume
1973-05-03,1.0057,1.0329,1.0057,1.0057,96000
1973-05-04,1.0731,1.1285,1.0731,1.0731,160000
1973-05-07,1.0198,1.0731,1.0198,1.0198,177600
1973-05-08,1.0057,1.0329,1.0057,1.0057,64000
1973-05-09,1.0329,1.0731,1.0329,1.0329,86400
1973-05-10,1.0329,1.0731,1.0329,1.0329,25600
1973-05-11,1.0329,1.0731,1.0329,1.0329,38400
1973-05-14,1.0329,1.0731,1.0329,1.0329,64000
1973-05-15,1.0329,1.0731,1.0329,1.0329,92800
1973-05-16,1.0198,1.0731,1.0198,1.0198,54400
1973-05-17,1.0329,1.0731,1.0329,1.0329,88000
1973-05-18,0.9915,1.0329,0.9915,0.9915,88000
1973-05-21,0.9100,0.9513,0.9100,0.9100,206400
1973-05-22,0.9100,0.9513,0.9100,0.9100,28800
1973-05-23,0.8970,0.9241,0.8970,0.8970,81600
1973-05-24,0.8426,0.8970,0.8426,0.8426,148800
1973-05-25,0.8698,0.9100,0.8698,0.8698,116800
1973-05-29,0.8698,0.9100,0.8698,0.8698,43200
1973-05-30,0.8426,0.8970,0.8426,0.8426,1600
1973-05-31,0.8426,0.8970,0.8426,0.8426,81600
1973-06-01,0.8426,0.8970,0.8426,0.8426,16000
1973-06-04,0.8426,0.8970,0.8426,0.8426,6400
1973-06-05,0.8426,0.8970,0.8426,0.8426,83200
1973-06-06,0.8426,0.8970,0.8426,0.8426,43200
1973-06-07,0.8426,0.8970,0.8426,0.8426,20800
1973-06-08,0.8698,0.9100,0.8698,0.8698,25600
1973-06-11,0.8970,0.9372,0.8970,0.8970,59200
1973-06-12,0.9100,0.9513,0.9100,0.9100,62400
1973-06-13,0.9100,0.9513,0.9100,0.9100,14400
1973-06-14,0.8970,0.9372,0.8970,0.8970,43200
1973-06-15,0.8970,0.9372,0.8970,0.8970,35200
1973-06-18,0.8426,0.8970,0.8426,0.8426,54400
1973-06-19,0.8426,0.8970,0.8426,0.8426,20800
1973-06-20,0.8698,0.9100,0.8698,0.8698,16000
1973-06-21,0.8426,0.8970,0.8426,0.8426,38400
1973-06-22,0.8426,0.8970,0.8426,0.8426,76800
1973-06-25,0.8426,0.8970,0.8426,0.8426,20800
1973-06-26,0.8426,0.8970,0.8426,0.8426,30400
1973-06-27,0.8285,0.8698,0.8285,0.8285,43200
1973-06-28,0.8024,0.8426,0.8024,0.8024,59200
1973-06-29,0.8024,0.8426,0.8024,0.8024,35200
1973-07-02,0.8024,0.8426,0.8024,0.8024,14400
1973-07-03,0.8024,0.8426,0.8024,0.8024,6400
1973-07-05,0.8024,0.8426,0.8024,0.8024,1600
1973-07-06,0.8024,0.8426,0.8024,0.8024,14400
1973-07-09,0.8285,0.8698,0.8285,0.8285,16000
1973-07-10,0.8426,0.8970,0.8426,0.8426,16000
1973-07-11,0.8426,0.8970,0.8426,0.8426,1600
1973-07-12,0.8426,0.8970,0.8426,0.8426,20800
1973-07-13,0.8426,0.8970,0.8426,0.8426,4800
1973-07-16,0.8426,0.8970,0.8426,0.8426,16000
1973-07-17,0.8426,0.8970,0.8426,0.8426,30400
1973-07-18,0.8426,0.8970,0.8426,0.8426,25600
1973-07-19,0.8426,0.8970,0.8426,0.8426,14400
1973-07-20,0.8426,0.8970,0.8426,0.8426,14400
1973-07-23,0.8426,0.8970,0.8426,0.8426,43200
1973-07-24,0.8698,0.9100,0.8698,0.8698,40000
1973-07-25,0.9241,0.9785,0.9241,0.9241,115200
