date,open,high,low,close,volume
1984-07-19,4.0548,4.0826,4.0270,4.0548,79000
1984-07-20,4.0548,4.0548,3.9668,4.0548,174700
1984-07-23,4.0270,4.0270,3.9668,4.0270,41900
1984-07-24,3.9969,3.9969,3.9111,3.9969,126000
1984-07-25,3.9969,4.0270,3.9390,3.9668,62800
1984-07-26,3.8231,3.8509,3.7953,3.8231,81800
1984-07-27,3.8810,3.8810,3.7953,3.8509,117700
1984-07-30,3.7953,3.7953,3.7953,3.7953,195300
1984-07-31,3.8231,3.8231,3.7073,3.7652,196700
1984-08-01,3.7652,3.7953,3.7073,3.7351,104400
1984-08-02,3.8810,3.8810,3.8810,3.8810,244400
1984-08-03,3.8810,4.1127,3.8810,4.1127,220600
1984-08-06,4.0826,4.1985,4.0826,4.1429,208000
1984-08-07,4.1429,4.1707,4.0548,4.1429,121900
1984-08-08,4.1707,4.1707,4.1127,4.1429,133200
1984-08-09,4.1429,4.1985,4.1127,4.1707,116200
1984-08-10,4.1985,4.1985,4.1985,4.1985,75600
1984-08-13,4.1429,4.1429,4.1127,4.1429,179000
1984-08-14,4.1707,4.1985,4.1127,4.1707,81400
1984-08-15,4.1707,4.1985,4.1429,4.1707,86200
1984-08-16,4.1985,4.1985,4.1707,4.1985,37000
1984-08-17,4.1707,4.1985,4.1127,4.1707,51400
1984-08-20,4.1429,4.1985,4.1429,4.1707,47100
1984-08-21,4.2286,4.2587,4.2286,4.2286,70700
1984-08-22,4.2587,4.3143,4.2587,4.2865,77600
1984-08-23,4.2587,4.3746,4.2587,4.3143,92300
1984-08-24,4.3143,4.3143,4.2865,4.3143,64500
1984-08-27,4.2865,4.2865,4.2286,4.2587,44400
1984-08-28,4.2587,4.2865,4.2286,4.2587,43200
1984-08-29,4.2286,4.2865,4.2286,4.2286,133700
1984-08-30,4.2286,4.2865,4.2286,4.2286,152500
1984-08-31,4.2587,4.2865,4.2286,4.2865,88900
1984-09-04,4.2865,4.2865,4.2587,4.2587,46700
1984-09-05,4.2587,4.2587,4.2587,4.2587,55700
1984-09-06,4.2865,4.2865,4.2587,4.2587,43200
1984-09-07,4.2587,4.2865,4.2587,4.2587,58700
1984-09-10,4.2286,4.2865,4.2286,4.2865,47400
1984-09-11,4.2865,4.3143,4.2587,4.2587,111000
1984-09-12,4.2865,4.2865,4.1985,4.2286,99700
1984-09-13,4.4024,4.4024,4.2286,4.4024,266300
1984-09-14,4.4024,4.6063,4.4024,4.5182,252600
1984-09-17,4.5182,4.5460,4.5182,4.5182,138500
1984-09-18,4.5182,4.6063,4.5182,4.5761,367000
1984-09-19,4.5761,4.6619,4.5460,4.6341,277100
1984-09-20,4.6063,4.6920,4.6063,4.6920,324000
1984-09-21,4.6341,4.6619,4.6063,4.6063,97000
1984-09-24,4.6063,4.6341,4.5460,4.5460,72200
1984-09-25,4.5182,4.5761,4.5182,4.5761,139400
1984-09-26,4.5460,4.6063,4.5460,4.5761,126300
1984-09-27,4.6063,4.6920,4.6063,4.6063,551600
1984-09-28,4.6063,4.7221,4.6063,4.7221,394400
1984-10-01,4.7221,4.7499,4.6063,4.6341,419700
1984-10-02,4.6063,4.6920,4.6063,4.6619,228100
1984-10-03,4.6619,4.7221,4.6619,4.6920,714300
1984-10-04,4.6920,4.8078,4.6920,4.8078,317400
1984-10-05,4.8658,4.9538,4.8380,4.8936,407200
1984-10-08,4.8658,4.8936,4.8078,4.8380,83900
1984-10-09,4.8380,4.8658,4.8380,4.8380,158400
1984-10-10,4.8380,4.8658,4.7499,4.7777,1268000
1984-10-11,4.7777,4.8380,4.7777,4.8078,120700
1984-10-12,4.8380,4.8658,4.7777,4.8078,70500
1984-10-15,4.7777,4.8658,4.7777,4.8380,199900
1984-10-16,4.8380,4.8658,4.8078,4.8380,191900
1984-10-17,4.8380,4.8936,4.8380,4.8936,125700
1984-10-18,4.8658,4.9538,4.8658,4.8936,96800
1984-10-19,4.9538,4.9816,4.8658,4.8936,189600
1984-10-22,4.8936,4.9538,4.8936,4.9237,115900
1984-10-23,4.9538,5.0094,4.9538,4.9538,94200
1984-10-24,4.9816,4.9816,4.9237,4.9816,119600
1984-10-25,4.9538,4.9816,4.8936,4.9237,117700
1984-10-26,4.7221,4.7499,4.6341,4.6619,111300
1984-10-29,4.6619,4.6920,4.6341,4.6619,133300
1984-10-30,4.6619,4.7221,4.6619,4.7221,98800
1984-10-31,4.7499,4.8078,4.7499,4.7777,76600
1984-11-01,4.8078,4.8936,4.8078,4.8936,124000
1984-11-02,4.8658,4.8936,4.8380,4.8658,315000
1984-11-05,4.8658,4.8936,4.8078,4.8380,175900
1984-11-06,4.8380,4.8658,4.7777,4.8078,85400
1984-11-07,4.6920,4.7499,4.5761,4.5761,248500
1984-11-08,4.5460,4.5460,4.4603,4.5182,229400
1984-11-09,4.5182,4.6619,4.5182,4.6341,146400
1984-11-12,4.6619,4.6920,4.6341,4.6920,59000
1984-11-13,4.6920,4.6920,4.6341,4.6341,105600
1984-11-14,4.6341,4.6619,4.5761,4.5761,82700
1984-11-15,4.6063,4.6341,4.5761,4.6341,51500
1984-11-16,4.6341,4.6619,4.6341,4.6341,82700
1984-11-19,4.6619,4.6920,4.6341,4.6619,49000
1984-11-20,4.6619,4.7499,4.6341,4.6920,210600
1984-11-21,4.7221,4.7499,4.6920,4.7221,63900
1984-11-23,4.8078,4.8380,4.7221,4.8078,91100
1984-11-26,4.8658,4.9237,4.8380,4.8936,186900
1984-11-27,4.8658,4.9538,4.8658,4.9538,88600
1984-11-28,4.9538,4.9538,4.9237,4.9237,239100
1984-11-29,4.8936,4.9237,4.8658,4.8936,56800
1984-11-30,4.8380,4.8380,4.8078,4.8380,278000
1984-12-03,4.8658,4.9816,4.8380,4.9538,299100
1984-12-04,4.8936,4.9237,4.8658,4.8936,165700
1984-12-05,4.8936,4.9538,4.8658,4.8658,78900
1984-12-06,4.8936,4.9237,4.8936,4.8936,39500
1984-12-07,4.8936,4.8936,4.8936,4.8936,41900
1984-12-10,4.8936,4.9538,4.8936,4.9237,422800
1984-12-11,4.9237,4.9538,4.8936,4.9237,57900
1984-12-12,4.9816,4.9816,4.9816,4.9816,168300
1984-12-13,4.9816,5.0395,4.9237,4.9816,53500
1984-12-14,5.0094,5.0395,5.0094,5.0094,109400
1984-12-17,5.0094,5.0395,4.9816,5.0094,81500
1984-12-18,5.0697,5.0975,5.0395,5.0975,203800
1984-12-19,5.0697,5.1554,5.0697,5.1253,192600
1984-12-20,5.0975,5.1253,5.0395,5.0697,166800
1984-12-21,5.1554,5.1554,5.1554,5.1554,95200
1984-12-24,5.1855,5.2411,5.1554,5.2133,175900
1984-12-26,5.2133,5.2133,5.0975,5.0975,44800
1984-12-27,5.0975,5.1253,5.0697,5.0975,65300
1984-12-28,5.0975,5.0975,5.0697,5.0975,78700
1984-12-31,5.0697,5.1253,5.0697,5.0975,49400
1985-01-02,5.1253,5.1855,5.0395,5.0697,68800
1985-01-03,5.0697,5.2133,5.0697,5.1253,172100
1985-01-04,5.0975,5.1554,5.0697,5.0975,92000
1985-01-07,5.0975,5.1253,5.0697,5.0975,100400
1985-01-08,5.0697,5.0697,5.0395,5.0697,116500
1985-01-09,5.0395,5.0975,5.0094,5.0697,248300
1985-01-10,5.0395,5.1855,5.0395,5.1855,123000
1985-01-11,5.1554,5.2133,5.1253,5.1253,270300
1985-01-14,5.1253,5.1554,5.1253,5.1253,98400
1985-01-15,5.0975,5.1855,5.0975,5.0975,92900
1985-01-16,5.0975,5.1855,5.0975,5.1855,59800
1985-01-17,5.1554,5.1855,5.1253,5.1554,76300
1985-01-18,5.1855,5.2133,5.1855,5.1855,42600
1985-01-21,5.2133,5.2133,5.2133,5.2133,61700
1985-01-22,5.1855,5.1855,5.0975,5.1554,185200
1985-01-23,5.1253,5.1253,5.0697,5.1253,199000
1985-01-24,5.0697,5.1253,5.0697,5.0697,175100
1985-01-25,5.0975,5.1253,5.0697,5.0975,73900
1985-01-28,5.0975,5.1554,5.0975,5.1253,114800
1985-01-29,4.9538,4.9816,4.9237,4.9237,326900
1985-01-30,4.9816,5.0094,4.9237,4.9538,101500
1985-01-31,4.9237,5.0094,4.8936,4.9237,104300
1985-02-01,4.9237,4.9237,4.8936,4.8936,93300
1985-02-04,4.8936,4.9816,4.8936,4.9816,99000
1985-02-05,4.9538,5.0395,4.9237,4.9538,188500
1985-02-06,4.9816,5.0094,4.9237,4.9538,260300
1985-02-07,5.0094,5.0395,5.0094,5.0094,60500
1985-02-08,5.0975,5.0975,5.0094,5.0975,102900
1985-02-11,5.0395,5.1253,4.9816,5.0395,96700
1985-02-12,5.0395,5.0975,5.0094,5.0395,49200
1985-02-13,5.0094,5.0975,5.0094,5.0975,115900
1985-02-14,5.0395,5.0975,5.0395,5.0395,49300
1985-02-15,5.0697,5.0975,5.0395,5.0697,48300
1985-02-19,5.0697,5.0975,5.0395,5.0697,41600
1985-02-20,5.0975,5.1253,5.0697,5.0975,112200
1985-02-21,5.0697,5.3014,4.9816,4.9816,92800
1985-02-22,4.9538,5.0094,4.9538,4.9538,75300
1985-02-25,4.9816,5.0094,4.9538,4.9816,108100
1985-02-26,4.9816,5.0094,4.9538,4.9816,183900
1985-02-27,4.9538,4.9816,4.9237,4.9538,167900
1985-02-28,4.8936,4.8936,4.8658,4.8936,71000
1985-03-01,4.8658,4.9237,4.8380,4.8658,99700
1985-03-04,4.8380,4.8380,4.7777,4.8078,173800
1985-03-05,4.8658,4.9816,4.8658,4.9237,91500
1985-03-06,4.9237,4.9237,4.8658,4.8936,52000
1985-03-07,4.8936,4.9538,4.8936,4.9538,109500
1985-03-08,4.9237,4.9538,4.8936,4.9237,182200
1985-03-11,4.9538,4.9538,4.8936,4.9538,105300
1985-03-12,4.9538,4.9816,4.9538,4.9538,177300
1985-03-13,4.9538,4.9816,4.8936,4.8936,211600
1985-03-14,4.9816,5.0094,4.9816,4.9816,184400
1985-03-15,4.9816,5.0395,4.9816,4.9816,175900
1985-03-18,4.9816,5.0094,4.9816,5.0094,98300
