date,open,high,low,close,volume
1983-04-06,1.5687,1.5751,1.5560,1.5687,960000
1983-04-07,1.5751,1.5751,1.5624,1.5687,464000
1983-04-08,1.5687,1.5687,1.5305,1.5369,219200
1983-04-11,1.5369,1.5496,1.5305,1.5369,387200
1983-04-12,1.5496,1.5624,1.5432,1.5624,313600
1983-04-13,1.5687,1.5943,1.5687,1.5943,401600
1983-04-14,1.6070,1.6134,1.5973,1.6070,316800
1983-04-15,1.6134,1.6167,1.5973,1.5973,286400
1983-04-18,1.5973,1.6039,1.5871,1.6039,337600
1983-04-19,1.6039,1.6228,1.5912,1.6228,494400
1983-04-20,1.6228,1.6295,1.6198,1.6261,198400
1983-04-21,1.6261,1.6389,1.6134,1.6134,465600
1983-04-22,1.6167,1.6325,1.6070,1.6134,182400
1983-04-25,1.6134,1.6325,1.5943,1.6198,468800
1983-04-26,1.6295,1.6389,1.6198,1.6325,272000
1983-04-27,1.6516,1.6708,1.6325,1.6422,387200
1983-04-28,1.6453,1.6516,1.6389,1.6483,571200
1983-04-29,1.6580,1.6677,1.6483,1.6677,619200
1983-05-02,1.6677,1.6805,1.6516,1.6550,670400
1983-05-03,1.6422,1.6483,1.6325,1.6483,428800
1983-05-04,1.6356,1.6453,1.6228,1.6295,451200
1983-05-05,1.6198,1.6356,1.6006,1.6070,740800
1983-05-06,1.6134,1.6644,1.6134,1.6516,803200
1983-05-09,1.6389,1.6580,1.6325,1.6550,553600
1983-05-10,1.6611,1.6611,1.6453,1.6453,492800
1983-05-11,1.6483,1.6516,1.6325,1.6422,252800
1983-05-12,1.6422,1.6453,1.6198,1.6228,396800
1983-05-13,1.6295,1.6295,1.6167,1.6261,225600
1983-05-16,1.6198,1.6325,1.6070,1.6325,356800
1983-05-17,1.6325,1.6389,1.6228,1.6389,288000
1983-05-18,1.6356,1.6899,1.6356,1.6453,825600
1983-05-19,1.6261,1.6261,1.6006,1.6134,1417600
1983-05-20,1.6134,1.6356,1.6070,1.6356,321600
1983-05-23,1.6389,1.6580,1.6356,1.6483,488000
1983-05-24,1.6516,1.6805,1.6516,1.6805,355200
1983-05-25,1.6708,1.6805,1.6644,1.6772,580800
1983-05-26,1.6708,1.7345,1.6644,1.7154,1388800
1983-05-27,1.7154,1.7154,1.6963,1.6993,209600
1983-05-31,1.6993,1.7027,1.6644,1.6708,601600
1983-06-01,1.6580,1.6738,1.6580,1.6738,488000
1983-06-02,1.6772,1.6805,1.6261,1.6453,366400
1983-06-03,1.6389,1.6516,1.6198,1.6453,1065600
1983-06-06,1.6580,1.6644,1.6550,1.6611,5444800
1983-06-07,1.6677,1.6677,1.6453,1.6516,457600
1983-06-08,1.6516,1.6550,1.6356,1.6356,444800
1983-06-09,1.6389,1.6422,1.6261,1.6356,427200
