date,open,high,low,close,volume
1985-04-08,0.9779,0.9779,0.9584,0.9682,4340000
1985-04-09,0.9682,0.9826,0.9631,0.9779,2136400
1985-04-10,0.9779,1.0124,0.9779,1.0073,1830000
1985-04-11,1.0073,1.0124,1.0022,1.0073,988800
1985-04-12,1.0073,1.0170,0.9826,0.9877,1182000
1985-04-15,0.9928,0.9975,0.9877,0.9928,535600
1985-04-16,0.9928,1.0022,0.9779,0.9826,690400
1985-04-17,0.9732,0.9877,0.9732,0.9779,1061600
1985-04-18,0.9732,0.9779,0.9682,0.9732,1284400
1985-04-19,0.9732,0.9779,0.9682,0.9732,434400
1985-04-22,0.9682,0.9732,0.9631,0.9631,471200
1985-04-23,0.9631,0.9779,0.9631,0.9779,376800
1985-04-24,0.9732,0.9779,0.9682,0.9732,295600
1985-04-25,0.9732,0.9779,0.9584,0.9682,649600
1985-04-26,0.9435,0.9631,0.9341,0.9537,1395200
1985-04-29,0.9435,0.9486,0.9435,0.9435,513600
1985-04-30,0.9435,0.9486,0.9388,0.9435,687600
1985-05-01,0.9435,0.9486,0.9388,0.9435,392400
1985-05-02,0.9486,0.9537,0.9388,0.9486,449600
1985-05-03,0.9584,0.9584,0.9388,0.9584,341200
1985-05-06,0.9537,0.9877,0.9537,0.9826,608800
1985-05-07,0.9826,0.9975,0.9826,0.9928,454400
1985-05-08,0.9928,0.9975,0.9826,0.9877,136400
1985-05-09,0.9826,0.9928,0.9779,0.9877,420400
1985-05-10,0.9877,1.0170,0.9826,1.0124,268400
1985-05-13,1.0022,1.0073,0.9975,0.9975,274000
1985-05-14,1.0073,1.0073,1.0022,1.0073,189600
1985-05-15,1.0022,1.0073,0.9975,1.0022,595200
1985-05-16,1.0022,1.0073,0.9975,1.0022,290000
1985-05-17,0.9975,1.0124,0.9975,1.0073,492800
1985-05-20,1.0170,1.0366,1.0170,1.0319,586800
1985-05-21,1.0268,1.0413,1.0217,1.0268,572400
1985-05-22,1.0073,1.0217,1.0022,1.0073,413600
1985-05-23,1.0073,1.0073,0.9975,1.0022,254800
1985-05-24,0.9975,1.0170,0.9975,1.0073,186800
1985-05-28,1.0073,1.0268,1.0073,1.0268,192400
1985-05-29,1.0217,1.0366,1.0217,1.0366,282000
1985-05-30,1.0319,1.0366,1.0268,1.0366,181600
1985-05-31,1.0268,1.0464,1.0268,1.0464,3320800
1985-06-03,1.0562,1.0562,1.0464,1.0515,4040000
1985-06-04,1.0268,1.0268,1.0124,1.0268,424000
1985-06-05,1.0217,1.0464,1.0170,1.0217,602000
1985-06-06,1.0217,1.0366,1.0170,1.0319,820400
1985-06-07,1.0319,1.0366,1.0319,1.0319,484400
1985-06-10,1.0319,1.0413,1.0319,1.0366,534400
1985-06-11,1.0366,1.0413,1.0319,1.0366,442400
1985-06-12,1.0366,1.0413,1.0319,1.0413,674000
1985-06-13,1.0366,1.0413,1.0170,1.0268,426000
1985-06-14,1.0268,1.0319,1.0217,1.0319,259600
1985-06-17,1.0319,1.0413,1.0319,1.0413,416400
1985-06-18,1.0366,1.0464,1.0366,1.0464,481200
1985-06-19,1.0464,1.0515,1.0464,1.0464,324800
1985-06-20,1.0413,1.0515,1.0413,1.0515,378800
1985-06-21,1.0366,1.0366,1.0366,1.0366,225200
1985-06-24,1.0366,1.0464,1.0366,1.0464,256000
1985-06-25,1.0413,1.0659,1.0413,1.0562,690000
1985-06-26,1.0562,1.0609,1.0515,1.0609,589600
1985-06-27,1.0562,1.0609,1.0413,1.0515,652000
1985-06-28,1.0515,1.0562,1.0515,1.0515,141600
1985-07-01,1.0464,1.0515,1.0319,1.0413,221200
1985-07-02,1.0366,1.0413,1.0217,1.0319,366400
1985-07-03,1.0319,1.0319,1.0217,1.0319,253200
1985-07-05,1.0366,1.0413,1.0366,1.0366,564800
1985-07-08,1.0366,1.0413,1.0319,1.0413,248000
1985-07-09,1.0413,1.0562,1.0413,1.0562,347600
1985-07-10,1.0515,1.0609,1.0464,1.0562,288400
1985-07-11,1.0562,1.0659,1.0515,1.0659,307200
1985-07-12,1.0659,1.0757,1.0659,1.0757,268000
1985-07-15,1.0710,1.0804,1.0609,1.0804,360400
1985-07-16,1.0906,1.0906,1.0659,1.0906,286400
1985-07-17,1.0855,1.0906,1.0757,1.0855,736000
1985-07-18,1.0804,1.0906,1.0804,1.0804,834800
1985-07-19,1.0855,1.0855,1.0804,1.0855,815200
1985-07-22,1.0757,1.0855,1.0515,1.0515,498400
1985-07-23,1.0413,1.0413,1.0268,1.0268,358800
1985-07-24,1.0073,1.0170,0.9877,1.0073,842400
1985-07-25,1.0170,1.0170,1.0022,1.0124,210400
1985-07-26,1.0124,1.0124,1.0022,1.0073,400400
1985-07-29,0.9732,1.0073,0.9584,0.9732,437600
1985-07-30,0.9826,0.9975,0.9779,0.9877,391200
1985-07-31,0.9877,0.9975,0.9826,0.9826,264400
1985-08-01,0.9928,0.9928,0.9826,0.9877,467200
1985-08-02,0.9779,0.9877,0.9779,0.9779,193200
1985-08-05,0.9826,0.9826,0.9631,0.9682,222800
1985-08-06,0.9584,0.9732,0.9584,0.9631,152800
1985-08-07,0.9631,0.9682,0.9537,0.9631,523600
1985-08-08,0.9779,0.9779,0.9584,0.9779,226000
1985-08-09,0.9779,0.9877,0.9732,0.9779,178000
1985-08-12,0.9877,0.9877,0.9732,0.9877,156400
1985-08-13,0.9877,0.9877,0.9779,0.9877,352800
1985-08-14,0.9779,0.9975,0.9779,0.9928,205600
1985-08-15,0.9975,1.0022,0.9928,0.9975,100400
1985-08-16,1.0022,1.0073,0.9975,0.9975,194800
1985-08-19,1.0170,1.0170,0.9975,1.0170,173600
1985-08-20,1.0124,1.0170,1.0022,1.0124,155200
1985-08-21,1.0073,1.0217,1.0073,1.0170,722400
1985-08-22,1.0217,1.0217,1.0170,1.0170,118800
1985-08-23,1.0124,1.0170,1.0073,1.0073,134400
1985-08-26,1.0170,1.0217,1.0022,1.0170,180800
1985-08-27,1.0124,1.0217,1.0124,1.0217,177600
1985-08-28,1.0170,1.0217,1.0124,1.0170,89600
1985-08-29,1.0268,1.0268,1.0170,1.0268,598000
1985-08-30,1.0268,1.0268,1.0170,1.0217,121600
1985-09-03,1.0268,1.0319,1.0124,1.0268,1717200
1985-09-04,0.9975,1.0073,0.9975,0.9975,546000
1985-09-05,1.0073,1.0170,1.0022,1.0073,414800
