date,open,high,low,close,volume
1980-11-18,2.7554,2.8295,2.7554,2.7554,3200
1980-11-19,2.7807,2.8530,2.7807,2.7807,8000
1980-11-20,2.7807,2.7807,2.7554,2.7554,16600
1980-11-21,2.8530,2.9037,2.8530,2.8530,18700
1980-11-24,2.8295,2.8295,2.7554,2.7554,40900
1980-11-25,2.6832,2.6832,2.6344,2.6344,25800
1980-11-26,2.7554,2.8295,2.7554,2.7554,75000
1980-11-28,2.8061,2.8295,2.8061,2.8061,19300
1980-12-01,2.8061,2.8061,2.7320,2.7320,26200
1980-12-02,2.6344,2.6344,2.5368,2.5368,20000
1980-12-03,2.5602,2.6344,2.5602,2.5602,10500
1980-12-04,2.5602,2.5856,2.4880,2.4880,13700
1980-12-05,2.4880,2.5856,2.4880,2.4880,11000
1980-12-08,2.3905,2.3905,2.2929,2.2929,8700
1980-12-09,2.2929,2.4393,2.2929,2.2929,38700
1980-12-10,2.4880,2.6344,2.4880,2.4880,10800
1980-12-11,2.4880,2.5856,2.4393,2.4393,10800
1980-12-12,2.4880,2.5856,2.4880,2.4880,4500
1980-12-15,2.4880,2.4880,2.3417,2.3417,8000
1980-12-16,2.3417,2.4393,2.3417,2.3417,7500
1980-12-17,2.3417,2.4393,2.3417,2.3417,7000
1980-12-18,2.3417,2.4393,2.2929,2.2929,10600
1980-12-19,2.3417,2.4393,2.3417,2.3417,18700
1980-12-22,2.3905,2.4880,2.3905,2.3905,16800
1980-12-23,2.3905,2.4393,2.3905,2.3905,8600
1980-12-24,2.3905,2.4880,2.3905,2.3905,9200
1980-12-26,2.4393,2.5368,2.4393,2.4393,3900
1980-12-29,2.4393,2.5368,2.4393,2.4393,4400
1980-12-30,2.4393,2.5368,2.4393,2.4393,13400
1980-12-31,2.4393,2.4880,2.3905,2.3905,7800
1981-01-02,2.4880,2.5368,2.4880,2.4880,8000
1981-01-05,2.5368,2.6344,2.5368,2.5368,9400
1981-01-06,2.5368,2.6344,2.5368,2.5368,10200
1981-01-07,2.5368,2.5368,2.3905,2.3905,17100
1981-01-08,2.4393,2.5368,2.4393,2.4393,7800
1981-01-09,2.5368,2.6344,2.5368,2.5368,5600
1981-01-12,2.5368,2.6344,2.5368,2.5368,11400
1981-01-13,2.6344,2.7320,2.6344,2.6344,5000
1981-01-14,2.6832,2.7807,2.6832,2.6832,7100
1981-01-15,2.6832,2.7807,2.6832,2.6832,3300
1981-01-16,2.6832,2.7807,2.6832,2.6832,6800
1981-01-19,2.6832,2.7807,2.6832,2.6832,7600
1981-01-20,2.6832,2.7807,2.6344,2.6344,6800
1981-01-21,2.6832,2.7807,2.6832,2.6832,2600
1981-01-22,2.6832,2.7320,2.6344,2.6344,7700
1981-01-23,2.6832,2.7807,2.6832,2.6832,7900
1981-01-26,2.6832,2.7320,2.6344,2.6344,3200
1981-01-27,2.6832,2.7807,2.6832,2.6832,4100
1981-01-28,2.6832,2.7807,2.6344,2.6344,7800
1981-01-29,2.6344,2.7320,2.6344,2.6344,2300
1981-01-30,2.6344,2.7320,2.6344,2.6344,4700
1981-02-02,2.6344,2.6832,2.5856,2.5856,8500
1981-02-03,2.5856,2.6832,2.5856,2.5856,3100
1981-02-04,2.6344,2.7320,2.6344,2.6344,6100
1981-02-05,2.6344,2.7320,2.6344,2.6344,4600
1981-02-06,2.6344,2.7320,2.6344,2.6344,5300
1981-02-09,2.6344,2.7320,2.6344,2.6344,3800
1981-02-10,2.6344,2.7320,2.6344,2.6344,4300
1981-02-11,2.6344,2.7320,2.6344,2.6344,2700
1981-02-12,2.6344,2.7320,2.6344,2.6344,3000
