date,open,high,low,close,volume
2012-04-12,24.3005,25.0021,23.3870,24.8487,654700
2012-04-13,24.8487,27.3701,24.7829,27.0412,1685000
2012-04-16,27.0412,27.0412,26.3030,26.7123,550200
2012-04-17,26.6027,26.8585,26.3104,26.3104,179600
2012-04-18,26.3104,26.6319,25.2141,26.3104,207100
2012-04-19,26.3104,27.2020,26.1642,26.3104,598100
2012-04-20,26.3834,27.0412,26.3834,26.5442,149700
2012-04-23,26.4858,26.4858,25.8865,26.0765,95700
2012-04-24,26.3104,26.3104,25.3456,25.3968,124500
2012-04-25,25.4333,25.9449,25.2141,25.3968,266200
2012-04-26,25.2945,25.5722,25.1702,25.5430,183900
2012-04-27,25.7622,25.7622,24.8267,24.9291,536000
2012-04-30,25.0972,25.5064,24.8487,24.8852,4105700
2012-05-01,24.6587,24.9218,23.8109,23.9424,6878600
2012-05-02,23.8255,23.8730,23.1166,23.3870,11287600
2012-05-03,23.3358,23.3724,22.6927,22.9412,11800000
2012-05-04,22.5465,22.7219,22.0130,22.0422,10881000
2012-05-07,21.9984,22.3273,21.3772,21.4503,12257200
2012-05-08,21.2602,22.2249,21.0117,21.9984,14601300
2012-05-09,21.7864,24.0374,21.7280,23.7451,13990000
2012-05-10,24.1544,24.3736,23.0361,23.7378,8862000
2012-05-11,23.1897,23.4966,22.9485,23.2627,4460100
2012-05-14,22.7950,23.0800,22.4844,22.8900,6398200
2012-05-15,22.9119,23.6209,22.7000,23.1458,6362800
2012-05-16,22.9923,23.6720,22.8389,23.4601,6118600
2012-05-17,23.3066,23.3870,22.8023,22.8462,5850500
2012-05-18,22.9704,23.1568,22.6488,22.9339,7940800
2012-05-21,22.8242,23.6355,22.6196,23.5258,5480100
2012-05-22,23.2993,23.5843,22.8973,23.1166,5415000
2012-05-23,22.9119,23.0143,22.5684,22.9558,5268900
2012-05-24,22.9631,22.9777,22.4734,22.7512,4210400
2012-05-25,22.6635,22.9558,22.5319,22.8754,3217900
2012-05-29,22.8608,23.1823,22.5538,22.6635,3979600
2012-05-30,22.5027,22.5319,22.0532,22.2469,6000600
2012-05-31,22.1153,22.1811,21.7207,21.9472,8098000
2012-06-01,21.5599,22.0495,21.4722,21.8668,5701700
2012-06-04,21.4137,22.0642,21.3772,21.5818,4844900
2012-06-05,21.4649,21.9984,21.4243,21.8522,4046500
2012-06-06,21.9472,23.3870,21.7937,23.0435,8609400
