date,open,high,low,close,volume
1990-03-26,2.5260,2.5260,2.4219,2.4219,197702
1990-03-27,2.4219,2.4740,2.3438,2.4219,269395
1990-03-28,2.3438,2.3438,2.2917,2.3177,2390400
1990-03-29,2.2917,2.2917,2.1615,2.2135,643200
1990-03-30,2.1615,2.2135,2.0573,2.1094,624000
1990-04-02,2.0573,2.1615,2.0052,2.1094,480595
1990-04-03,2.1615,2.2135,2.1615,2.1615,304003
1990-04-04,2.2396,2.4219,2.2135,2.3698,2380800
1990-04-05,2.3438,2.3958,2.2917,2.3177,1294003
1990-04-06,2.3177,2.3958,2.3177,2.3438,393600
1990-04-09,2.3438,2.4740,2.3438,2.3438,485702
1990-04-10,2.3313,2.3958,2.3177,2.3958,230995
1990-04-11,2.3438,2.3958,2.3438,2.3438,145901
1990-04-12,2.3958,2.5385,2.3958,2.5260,904896
1990-04-16,2.4479,2.5521,2.4479,2.5000,616896
1990-04-17,2.5000,2.5521,2.5000,2.5260,683501
1990-04-18,2.5260,2.6042,2.5000,2.5000,332102
1990-04-19,2.5000,2.5000,2.4219,2.4219,72902
1990-04-20,2.4219,2.5260,2.4219,2.5260,442195
1990-04-23,2.5000,2.5000,2.3313,2.3438,568896
1990-04-24,2.3698,2.4219,2.3177,2.3177,384605
1990-04-25,2.3438,2.3958,2.3177,2.3958,230995
1990-04-26,2.3698,2.6302,2.3698,2.5781,887597
1990-04-27,2.5521,2.5521,2.4740,2.4740,217603
1990-04-30,2.4740,2.5260,2.4740,2.4740,234202
1990-05-01,2.5260,2.5521,2.4875,2.5260,981696
1990-05-02,2.4479,2.4479,2.3438,2.3698,4197696
1990-05-03,2.4479,2.5000,2.4219,2.4740,3385603
1990-05-04,2.4479,2.4479,2.3958,2.4479,129197
1990-05-07,2.4219,2.4479,2.3958,2.4219,129197
1990-05-08,2.4219,2.4219,2.3438,2.3698,1793904
1990-05-09,2.3698,2.3958,2.3438,2.3438,181104
1990-05-10,2.3958,2.3958,2.3177,2.3313,1525104
1990-05-11,2.3823,2.3958,2.3438,2.3958,856301
1990-05-14,2.3438,2.4615,2.3438,2.4615,1417603
1990-05-15,2.4219,2.6042,2.4219,2.5521,5015597
1990-05-16,2.5260,2.6042,2.5260,2.5521,2403802
1990-05-17,2.5781,2.6042,2.5521,2.5781,3443203
1990-05-18,2.5781,2.6302,2.5781,2.6177,1495603
1990-05-21,2.5781,2.8646,2.5781,2.7083,1847597
1990-05-22,2.7865,2.8125,2.7083,2.7865,2440896
1990-05-23,2.7604,2.8385,2.7479,2.8125,1889203
1990-05-24,2.8385,2.8385,2.7865,2.8385,1048896
1990-05-25,2.7865,2.8125,2.7604,2.7865,1392605
1990-05-29,2.7865,2.8906,2.7865,2.8125,592003
1990-05-30,2.8646,3.0208,2.8646,2.9688,1576301
1990-05-31,3.0208,3.0208,2.9427,2.9427,359002
1990-06-01,2.9427,2.9948,2.8906,2.8906,499200
1990-06-04,2.9427,2.9427,2.7604,2.8125,1534704
1990-06-05,2.8125,2.8646,2.7604,2.7865,1789997
1990-06-06,2.7083,2.7865,2.6823,2.7604,808896
1990-06-07,2.7865,2.7865,2.6823,2.7083,407002
1990-06-08,2.6823,2.7344,2.6042,2.6563,1428403
1990-06-11,2.6302,2.7083,2.6302,2.6438,1177603
1990-06-12,2.6302,2.7865,2.6302,2.7865,2922797
1990-06-13,2.8125,2.8385,2.7604,2.8000,265603
1990-06-14,2.7865,2.8125,2.7344,2.7344,958704
1990-06-15,2.7083,2.7865,2.6563,2.7083,3548803
1990-06-18,2.7604,2.7604,2.5125,2.5781,1647302
1990-06-19,2.5781,2.6563,2.5521,2.6438,1507805
1990-06-20,2.6563,2.6823,2.5646,2.5781,1261402
1990-06-21,2.5781,2.6563,2.5781,2.5781,954202
1990-06-22,2.5781,2.6563,2.5781,2.6302,746803
1990-06-25,2.3958,2.6177,2.3958,2.5521,4314797
1990-06-26,2.5521,2.6042,2.5521,2.5521,1261997
1990-06-27,2.5521,2.5781,2.5260,2.5521,1299802
1990-06-28,2.6302,2.7083,2.6302,2.6563,1989696
1990-06-29,2.7083,2.8646,2.6823,2.8125,1551302
1990-07-02,2.8125,2.8385,2.7865,2.7865,1693402
1990-07-03,2.7344,2.8125,2.7344,2.7604,559296
1990-07-05,2.7604,2.7604,2.6563,2.7344,336605
1990-07-06,2.6563,2.7083,2.6302,2.7083,612403
1990-07-09,2.7083,2.7083,2.6302,2.6823,424301
1990-07-10,2.7083,2.7344,2.6563,2.6823,134400
1990-07-11,2.6563,2.7604,2.6563,2.7344,540096
1990-07-12,2.7604,2.8906,2.7083,2.8906,574003
1990-07-13,2.9948,3.2552,2.9427,3.1771,4771200
1990-07-16,3.1510,3.2031,3.0729,3.1771,1224902
1990-07-17,3.2031,3.2031,3.1125,3.1250,804403
1990-07-18,3.0990,3.0990,3.0208,3.0208,1377197
1990-07-19,2.9948,3.0469,2.9688,3.0469,904301
1990-07-20,3.0729,3.0990,3.0208,3.0208,1370803
1990-07-23,2.9427,2.9948,2.8250,2.9167,1323504
1990-07-24,2.9167,2.9167,2.7479,2.8125,1408003
1990-07-25,2.8385,2.8906,2.8125,2.8646,1250496
1990-07-26,2.8906,3.1250,2.8646,3.1250,1937904
1990-07-27,3.1250,3.1250,3.0208,3.0729,474797
1990-07-30,2.9688,2.9688,2.8125,2.8646,1125696
1990-07-31,2.8125,2.8906,2.7865,2.7865,637997
1990-08-01,2.7865,3.0604,2.7865,2.9427,3955795
1990-08-02,2.8385,2.9042,2.8125,2.8385,894701
1990-08-03,2.8385,2.8385,2.3698,2.7344,2029997
1990-08-06,2.6563,2.6563,2.4740,2.5521,1893696
1990-08-07,2.6302,2.6823,2.5521,2.5521,535603
1990-08-08,2.5521,2.7083,2.5521,2.6688,1148102
1990-08-09,2.7083,2.7344,2.6563,2.7344,461395
1990-08-10,2.7344,2.7344,2.6302,2.6563,216902
1990-08-13,2.6302,2.7083,2.6042,2.7083,117696
1990-08-14,2.7083,2.7604,2.6042,2.6563,436397
1990-08-15,2.6302,2.7083,2.6042,2.7083,588096
1990-08-16,2.6563,2.6823,2.5781,2.6177,798701
1990-08-17,2.5781,2.6302,2.5521,2.5521,754502
1990-08-20,2.5781,2.5781,2.4479,2.5000,845395
1990-08-21,2.3698,2.4615,2.3177,2.4354,1016304
1990-08-22,2.4219,2.4740,2.3823,2.3958,1709395
1990-08-23,2.3698,2.4083,2.2656,2.3177,2941997
1990-08-24,2.3698,2.3698,2.2396,2.2396,656602
1990-08-27,2.2917,2.4219,2.2917,2.4219,1054704
1990-08-28,2.4219,2.5781,2.4219,2.5781,576595
1990-08-29,2.5000,2.6042,2.5000,2.5000,501696
1990-08-30,2.5000,2.5000,2.4740,2.4740,100397
1990-08-31,2.4740,2.5260,2.4740,2.4740,42202
1990-09-04,2.4740,2.5000,2.4479,2.4479,798701
1990-09-05,2.5000,2.6302,2.5000,2.6177,2083200
1990-09-06,2.5781,2.6302,2.5260,2.5521,535603
1990-09-07,2.5521,2.6302,2.5260,2.6302,741101
1990-09-10,2.6042,2.6302,2.5781,2.5917,225197
1990-09-11,2.6302,2.6302,2.5781,2.5917,800602
1990-09-12,2.5781,2.6177,2.5781,2.6177,407597
1990-09-13,2.5781,2.6302,2.5781,2.6302,241901
1990-09-14,2.6302,2.6302,2.5521,2.5781,577901
1990-09-17,2.6042,2.6302,2.5781,2.6302,194496
1990-09-18,2.5781,2.6042,2.5521,2.5917,1167302
1990-09-19,2.6042,2.6302,2.5781,2.5917,134400
1990-09-20,2.5521,2.6302,2.4740,2.4740,532397
1990-09-21,2.4479,2.4479,2.2396,2.2656,1355501
1990-09-24,2.2656,2.2917,2.2396,2.2396,1002202
1990-09-25,2.2396,2.2917,2.1875,2.2656,1338202
1990-09-26,2.2656,2.2656,2.1875,2.2396,983002
1990-09-27,2.2396,2.2396,1.8490,1.8490,2185603
1990-09-28,1.9010,2.0313,1.7969,2.0052,1930195
1990-10-01,2.0573,2.1354,2.0573,2.0833,674496
1990-10-02,2.1094,2.1354,1.9792,2.0052,814704
1990-10-03,1.9792,1.9792,1.8229,1.8750,1515504
1990-10-04,1.7969,1.8365,1.7708,1.7969,1302403
1990-10-05,1.7448,1.8229,1.7188,1.7708,1096896
1990-10-08,1.7969,1.8229,1.5885,1.6667,2106202
1990-10-09,1.6667,1.7708,1.6146,1.6927,1868102
1990-10-10,1.7188,1.8490,1.7188,1.7708,620803
1990-10-11,1.7708,1.7708,1.7188,1.7313,979795
1990-10-12,1.7448,1.7448,1.6927,1.6927,847296
1990-10-15,1.6927,1.7063,1.6146,1.6146,517104
1990-10-16,1.6406,1.6406,1.5625,1.6146,284102
1990-10-17,1.6146,1.8750,1.6146,1.8490,1013702
1990-10-18,1.8490,2.1094,1.8490,2.0052,1802803
1990-10-19,2.0313,2.2135,1.9792,2.0573,2187504
1990-10-22,2.0313,2.3177,1.9927,2.2792,1576301
1990-10-23,2.2396,2.4219,2.2135,2.3958,1233197
1990-10-24,2.3958,2.4219,2.2396,2.3563,1891795
1990-10-25,2.3698,2.3958,2.3438,2.3823,842803
1990-10-26,2.3177,2.3958,2.2917,2.2917,1825901
1990-10-29,2.2396,2.2917,2.0833,2.1354,677702
1990-10-30,2.1094,2.2135,2.0833,2.2135,374400
1990-10-31,2.2396,2.3177,2.2135,2.2656,417197
1990-11-01,2.2260,2.2656,2.1875,2.2656,469104
1990-11-02,2.3177,2.3177,2.2917,2.2917,382704
1990-11-05,2.3177,2.3698,2.3177,2.3438,2548397
1990-11-06,2.3563,2.4219,2.2917,2.3438,846701
1990-11-07,2.2396,2.2396,2.2135,2.2260,326400
1990-11-08,2.2396,2.2396,2.1094,2.1094,865901
1990-11-09,2.1094,2.1875,2.1094,2.1875,576595
1990-11-12,2.2656,2.3698,2.2396,2.2917,538195
1990-11-13,2.3958,2.5000,2.3438,2.4740,733997
1990-11-14,2.5000,2.7083,2.5000,2.6042,1161600
1990-11-15,2.6042,2.6823,2.5781,2.6042,1334400
1990-11-16,2.5781,2.6042,2.4479,2.4479,889603
1990-11-19,2.4479,2.5260,2.3698,2.5260,536304
1990-11-20,2.5260,2.5260,2.4219,2.4219,200304
1990-11-21,2.3698,2.3958,2.3438,2.3958,505603
1990-11-23,2.3698,2.3958,2.3698,2.3958,325104
1990-11-26,2.3177,2.3438,2.2917,2.2917,173405
1990-11-27,2.3438,2.3438,2.2656,2.3438,835200
1990-11-28,2.3438,2.3438,2.2917,2.2917,538195
1990-11-29,2.2917,2.3313,2.2656,2.3177,130502
1990-11-30,2.2917,2.4219,2.2917,2.3958,278400
1990-12-03,2.5000,2.5000,2.4479,2.5000,313603
1990-12-04,2.5000,2.6042,2.5000,2.5260,591302
1990-12-05,2.6302,2.8125,2.5521,2.7604,2858803
1990-12-06,2.8646,2.8906,2.7604,2.8125,1363200
1990-12-07,2.7740,2.7865,2.7083,2.7604,868397
1990-12-10,2.7344,2.8646,2.7344,2.8385,1336301
1990-12-11,2.8125,2.8906,2.8125,2.8385,614995
1990-12-12,2.8385,2.8906,2.8385,2.8385,741101
1990-12-13,2.8385,2.8906,2.7344,2.7865,341702
1990-12-14,2.7344,2.7604,2.6823,2.7083,437702
1990-12-17,2.7344,2.8125,2.7083,2.7865,163805
1990-12-18,2.8385,2.8385,2.7865,2.7865,895296
1990-12-19,2.7865,2.7865,2.7344,2.7479,312902
1990-12-20,2.7344,2.7740,2.6823,2.7604,278995
1990-12-21,2.7865,2.7865,2.7344,2.7344,802502
1990-12-24,2.7865,2.7865,2.7344,2.7479,37104
1990-12-26,2.7740,2.7865,2.7344,2.7344,19200
1990-12-27,2.7604,2.7865,2.7344,2.7604,444096
1990-12-28,2.7740,2.7865,2.7083,2.7865,240000
1990-12-31,2.7344,2.8125,2.7344,2.8125,698803
1991-01-02,2.7344,2.7344,2.6563,2.6563,616301
1991-01-03,2.6042,2.6042,2.5000,2.5260,849197
1991-01-04,2.5521,2.5521,2.5000,2.5521,53702
1991-01-07,2.4219,2.4479,2.3698,2.3958,969600
1991-01-08,2.3438,2.4219,2.3438,2.4083,1224902
1991-01-09,2.4219,2.5781,2.4219,2.5000,648902
1991-01-10,2.5521,2.6042,2.5521,2.5781,124800
