date,open,high,low,close,volume
1987-07-10,9.0668,9.7420,9.0668,9.5992,4386000
1987-07-13,9.6455,9.9349,9.6455,9.6918,1955200
1987-07-14,9.6918,9.7420,9.4526,9.6455,732000
1987-07-15,9.5992,9.6455,9.5992,9.6455,197000
1987-07-16,9.6455,9.6455,9.5992,9.6455,274000
1987-07-17,9.6455,9.6455,9.6455,9.6455,126000
1987-07-20,9.6455,9.6455,9.5491,9.5992,793800
1987-07-21,9.4989,9.6455,9.4989,9.6455,197800
1987-07-22,9.6455,9.6918,9.5992,9.6918,12800
1987-07-23,9.7420,9.7420,9.4526,9.5491,496400
1987-07-24,9.5491,9.6455,9.4526,9.6455,178200
1987-07-27,9.6455,9.6918,9.5992,9.6455,129800
1987-07-28,9.5992,9.6455,9.4526,9.4526,119800
1987-07-29,9.4526,9.4989,9.3060,9.4063,228000
1987-07-30,9.6455,10.2243,9.2597,9.4063,1811000
1987-07-31,9.4063,9.4063,9.3060,9.4063,216800
1987-08-03,9.4063,9.4063,8.9703,9.0668,507800
1987-08-04,9.1131,9.2134,8.9202,8.9703,571200
1987-08-05,9.0205,9.0668,8.9202,9.0668,229600
1987-08-06,9.0205,9.0668,8.9703,9.0205,159600
1987-08-07,8.9703,8.9703,8.9202,8.9202,131200
1987-08-10,8.9703,8.9703,8.9202,8.9703,160400
1987-08-11,8.9202,8.9703,8.9202,8.9703,90800
1987-08-12,8.9202,9.0205,8.9202,9.0205,92800
1987-08-13,9.0205,9.0205,8.9703,8.9703,64600
1987-08-14,8.9703,9.0205,8.8739,9.0205,304800
1987-08-17,9.0668,9.0668,8.9703,9.0668,46600
1987-08-18,9.0668,9.0668,8.9703,9.0205,30000
1987-08-19,9.0205,9.0205,8.9703,9.0205,98800
1987-08-20,9.0205,9.0205,8.9703,9.0205,61600
1987-08-21,9.0205,9.0205,8.9703,8.9703,9800
1987-08-24,9.0205,9.0205,8.9703,8.9703,158800
1987-08-25,8.9703,9.0205,8.9703,8.9703,259600
1987-08-26,9.0205,9.0668,8.8739,8.9202,5610000
1987-08-27,8.9202,8.9202,8.9202,8.9202,0
1987-08-28,8.0559,8.0559,7.6200,7.6200,3400
1987-08-31,7.6701,7.6701,7.4271,7.4772,45000
1987-09-01,7.4772,7.4772,7.0914,7.0914,31000
1987-09-02,6.9448,7.0412,6.9448,6.9448,9800
1987-09-03,6.9448,6.9448,6.8483,6.8483,14000
1987-09-04,6.7982,6.8985,6.7982,6.8985,10600
1987-09-08,6.8483,6.8483,6.6554,6.6554,22600
1987-09-09,6.5590,6.6053,6.4123,6.5590,20000
1987-09-10,6.5590,6.5590,6.4625,6.4625,25400
1987-09-11,6.4625,6.5590,6.4123,6.4625,88400
1987-09-14,6.3660,6.3660,6.1731,6.2696,646400
1987-09-15,6.3197,6.5127,6.3197,6.4123,108000
1987-09-16,6.4625,6.4625,6.3197,6.4625,107000
1987-09-17,6.3660,6.4123,6.3197,6.3660,25800
1987-09-18,6.3660,6.4123,6.2696,6.3660,133400
1987-09-21,6.3197,6.3197,6.2696,6.3197,116800
1987-09-22,6.1731,6.3197,6.0767,6.3197,64200
1987-09-23,6.3197,6.3197,6.2696,6.3197,114400
1987-09-24,6.3197,6.3197,6.2696,6.2696,6600
1987-09-25,6.3197,6.3197,6.0767,6.1731,60600
1987-09-28,6.1731,6.1731,6.1268,6.1731,100400
1987-09-29,6.1731,6.1731,6.0265,6.1268,115000
1987-09-30,5.9339,5.9339,5.6909,5.7873,252200
1987-10-01,5.7410,5.7410,5.6407,5.6909,87000
1987-10-02,5.6909,5.8838,5.6407,5.8838,196000
1987-10-05,5.7873,5.8336,5.7410,5.7410,69800
1987-10-06,5.7410,5.7873,5.6909,5.6909,40400
1987-10-07,5.7410,5.7410,5.5944,5.6909,30400
1987-10-08,5.7410,5.7410,5.5944,5.6909,36600
1987-10-09,5.6909,5.7410,5.4478,5.4478,261000
1987-10-12,5.4478,5.4478,5.1121,5.3050,210400
1987-10-13,5.4980,5.5481,5.3552,5.5481,374800
1987-10-14,5.5481,5.5481,5.4015,5.4980,69600
1987-10-15,5.4015,5.4478,5.3552,5.4015,104800
1987-10-16,5.4015,5.4015,5.2086,5.2086,262400
1987-10-19,5.1121,5.1121,3.4724,3.4724,181400
1987-10-20,3.6653,4.1476,2.9901,3.4724,139000
1987-10-21,3.7618,3.7618,3.6190,3.7618,82400
1987-10-22,3.6190,3.7618,3.4724,3.4724,150200
1987-10-23,3.4724,3.4724,3.2795,3.3759,96400
1987-10-26,3.3258,3.3258,3.2332,3.2795,42400
1987-10-27,3.2795,3.3759,3.2795,3.3258,71400
1987-10-28,3.2332,3.2795,2.8937,3.2795,642200
1987-10-29,3.2795,3.4724,3.2795,3.4724,45400
1987-10-30,3.6190,3.8582,3.6190,3.8582,84200
1987-11-02,3.8582,3.8582,3.8119,3.8582,71200
1987-11-03,3.8582,3.8582,3.6190,3.6653,35600
1987-11-04,3.6190,3.7116,3.5688,3.7116,26000
1987-11-05,3.6653,3.7116,3.6190,3.6653,48000
1987-11-06,3.6653,3.6653,3.5688,3.6653,64000
1987-11-09,3.5688,3.6190,3.5187,3.5688,8200
1987-11-10,3.4724,3.5688,3.4724,3.4724,21000
1987-11-11,3.5688,3.6190,3.4724,3.5187,16000
1987-11-12,3.4724,3.6190,3.3759,3.6190,61800
1987-11-13,3.6190,3.7116,3.5187,3.6190,21200
1987-11-16,3.6190,3.7116,3.5688,3.6190,37800
1987-11-17,3.5688,3.6190,3.5187,3.5187,6000
1987-11-18,3.5688,3.5688,3.3759,3.5187,35000
1987-11-19,3.5187,3.5688,3.5187,3.5688,32800
1987-11-20,3.5187,3.5187,3.3759,3.5187,44600
1987-11-23,3.5187,3.5187,3.4724,3.4724,4800
1987-11-24,3.4724,3.7618,3.4724,3.5688,884800
1987-11-25,3.5688,3.5688,3.3759,3.5688,105800
1987-11-27,3.3759,3.4724,3.3759,3.3759,23600
1987-11-30,3.3759,3.3759,3.2795,3.3759,44000
1987-12-01,3.4025,3.4998,3.4025,3.4531,29800
1987-12-02,3.4531,3.4531,3.3520,3.4531,23000
1987-12-03,3.4025,3.4025,3.1576,3.1576,40600
1987-12-04,3.2081,3.2081,3.0137,3.1109,70400
1987-12-07,3.1109,3.1109,3.0642,3.1109,94400
1987-12-08,3.0642,3.1109,3.0137,3.0642,34000
1987-12-09,3.0642,3.2587,3.0642,3.2587,145000
1987-12-10,3.1109,3.2587,3.1109,3.2081,38600
1987-12-11,3.2081,3.2081,3.0137,3.1109,24400
1987-12-14,3.1109,3.3520,3.1109,3.3053,336400
1987-12-15,3.2587,3.3053,3.2587,3.2587,28800
1987-12-16,3.2587,3.4531,3.2081,3.4531,158000
1987-12-17,3.4531,3.4531,3.3520,3.3520,50000
1987-12-18,3.4531,3.8420,3.4025,3.8420,73200
1987-12-21,3.8886,4.2308,3.8886,4.1803,98600
1987-12-22,4.1803,4.1803,3.9353,3.9858,58800
1987-12-23,3.9858,4.4719,3.9858,4.2775,62600
1987-12-24,4.2775,4.2775,4.1803,4.1803,34200
1987-12-28,4.2775,4.2775,3.9858,3.9858,47200
1987-12-29,3.8886,3.9858,3.8420,3.8886,48200
1987-12-30,3.8886,3.9858,3.8420,3.9858,51600
1987-12-31,3.8886,3.8886,3.7914,3.8886,111200
1988-01-04,4.0364,4.1297,3.9353,4.0831,43000
1988-01-05,4.1297,4.2775,4.0364,4.0364,64000
1988-01-06,4.1297,4.1297,3.9858,4.0364,25600
1988-01-07,4.0831,4.2308,4.0831,4.2308,71600
1988-01-08,4.2308,4.2308,3.8886,3.8886,48800
1988-01-11,3.8886,3.8886,3.6942,3.8420,54000
1988-01-12,3.9353,3.9353,3.7914,3.8420,44000
1988-01-13,3.8886,4.0831,3.7914,4.0831,31800
1988-01-14,4.0831,4.1803,4.0831,4.0831,68800
1988-01-15,4.1803,4.2308,3.9858,3.9858,89200
1988-01-18,3.9858,3.9858,3.8886,3.8886,14800
1988-01-19,3.9353,3.9353,3.8420,3.8886,20400
1988-01-20,3.8420,3.8886,3.7914,3.8420,58400
1988-01-21,3.7409,4.0364,3.7409,4.0364,57000
1988-01-22,3.9858,4.0364,3.7914,3.8886,22400
1988-01-25,3.7409,3.8886,3.7409,3.8420,104800
1988-01-26,3.7409,3.8420,3.7409,3.7409,77600
1988-01-27,3.7409,3.9353,3.7409,3.9353,70800
1988-01-28,3.8886,3.8886,3.8420,3.8420,5200
1988-01-29,3.7409,3.7914,3.6942,3.6942,81200
1988-02-01,3.7409,3.7914,3.6942,3.6942,17200
1988-02-02,3.6942,3.9353,3.5970,3.8886,61800
1988-02-03,3.8886,3.9353,3.8420,3.8886,27600
1988-02-04,3.8886,3.8886,3.7409,3.7914,14600
1988-02-05,3.8420,4.0364,3.7914,4.0364,219800
1988-02-08,3.9353,4.1803,3.8886,4.0831,109200
1988-02-09,4.1803,4.2775,4.1297,4.2308,203600
1988-02-10,4.2775,4.3242,4.2308,4.2775,78200
1988-02-11,4.2577,4.3517,4.2069,4.3047,59200
1988-02-12,4.3047,4.3047,4.2069,4.2069,33600
