date,open,high,low,close,volume
1998-02-12,7.2540,7.7485,7.2540,7.4188,3903701
1998-02-13,7.5046,7.5837,7.3397,7.4188,504000
1998-02-17,7.6694,7.8343,7.6694,7.7485,132600
1998-02-18,7.8343,8.2431,7.7881,8.2431,140700
1998-02-19,8.3289,8.5729,8.0783,8.0783,235001
1998-02-20,7.9991,8.0783,7.5046,7.7090,204701
1998-02-23,7.7485,7.8343,7.5441,7.8343,60600
1998-02-24,7.7881,7.8343,7.4584,7.5837,261300
1998-02-25,7.6694,7.6694,7.4188,7.5837,129000
1998-02-26,7.5046,7.9991,7.5046,7.8738,87000
1998-02-27,7.8738,7.9134,7.7485,7.8738,29100
1998-03-02,7.8343,7.9134,7.8343,7.8738,151001
1998-03-03,7.9134,8.2431,7.8343,8.2431,71801
1998-03-04,8.1640,8.2431,7.8343,8.0783,31001
1998-03-05,7.9991,7.9991,7.7485,7.9530,51600
1998-03-06,7.9530,7.9991,7.8343,7.9991,15000
1998-03-09,7.9991,8.1640,7.8343,7.8343,30600
1998-03-10,7.8343,7.9991,7.5837,7.8343,208001
1998-03-11,7.8343,8.1640,7.8343,7.8738,77400
1998-03-12,7.9134,8.2431,7.8343,8.2036,100901
1998-03-13,8.3289,8.7377,8.3289,8.5729,163901
1998-03-16,8.5729,8.5729,8.3289,8.4080,191700
1998-03-17,8.3289,8.3289,8.0783,8.0783,31901
1998-03-18,8.0783,8.3289,8.0783,8.1640,26201
1998-03-19,8.3289,8.3289,8.1640,8.3289,112200
1998-03-20,8.2431,8.5729,8.2431,8.5333,29100
1998-03-23,9.0675,10.0566,8.9026,9.8918,497801
1998-03-24,10.0566,10.2215,9.4829,9.5620,100001
1998-03-25,9.6478,10.4721,9.5620,10.4721,198701
1998-03-26,10.5512,10.5512,10.0566,10.5512,104801
1998-03-27,10.5908,10.6765,10.2215,10.5512,72600
1998-03-30,10.3864,10.5116,10.3072,10.4259,62700
1998-03-31,10.5116,11.0458,10.5116,11.0458,124200
1998-04-01,10.9667,11.2107,10.9667,11.2107,226301
1998-04-02,11.3755,11.6261,11.2107,11.4613,54900
1998-04-03,11.5404,11.6261,11.2107,11.4151,58901
1998-04-06,11.5404,11.7053,11.1315,11.1711,30300
1998-04-07,11.0062,11.0458,10.6369,10.6369,35201
1998-04-08,10.5512,11.0458,10.3072,11.0458,27701
1998-04-09,10.9667,11.0062,10.8414,10.8809,20201
1998-04-13,10.8018,10.8018,10.7161,10.8018,7001
1998-04-14,10.8018,10.9667,10.7161,10.9667,13800
1998-04-15,11.0458,11.1315,11.0062,11.0062,27701
1998-04-16,11.0458,11.0458,10.8809,10.8809,21900
1998-04-17,10.8018,10.9667,10.8018,10.8414,27000
1998-04-20,10.7556,11.1315,10.7556,11.1315,45701
1998-04-21,11.2107,11.2107,11.0458,11.1315,124500
1998-04-22,11.1315,11.1711,10.8809,10.8809,15101
1998-04-23,10.8018,10.8018,10.4721,10.4721,33101
1998-04-24,10.3864,10.5512,10.1424,10.1424,18000
1998-04-27,9.9775,9.9775,9.5620,9.6478,53801
1998-04-28,9.5620,9.7269,9.5620,9.6478,14400
1998-04-29,9.6478,9.6478,9.1532,9.2719,28200
1998-04-30,9.3180,9.6873,9.2323,9.6873,40500
1998-05-01,9.8126,9.8126,9.7269,9.7269,4200
1998-05-04,9.6478,9.6873,9.3180,9.3972,15101
1998-05-05,9.3180,9.3576,9.0675,9.1532,17400
1998-05-06,9.1070,9.1532,8.8235,8.9026,78401
1998-05-07,8.9026,9.5620,8.9026,9.1532,110100
1998-05-08,9.1532,9.1532,8.8235,9.1070,22800
1998-05-11,9.0279,9.3180,8.9026,8.9883,74801
1998-05-12,9.1532,9.1532,9.0279,9.0279,86501
1998-05-13,9.0675,9.1927,9.0675,9.1532,88200
1998-05-14,9.1532,9.1532,9.1070,9.1532,31001
1998-05-15,9.0675,9.1070,8.9883,9.0675,13200
1998-05-18,8.9883,8.9883,8.7377,8.7773,6000
1998-05-19,8.5729,8.5729,8.2827,8.5729,192101
1998-05-20,8.5729,8.5729,8.4871,8.5333,148601
1998-05-21,8.4937,8.4937,8.0783,8.3289,160901
1998-05-22,8.2827,8.7377,8.2827,8.6124,9900
1998-05-26,8.5729,8.9883,8.5729,8.9422,34001
1998-05-27,8.9883,9.1532,8.6586,8.8235,228900
1998-05-28,8.8630,8.9026,8.5729,8.6124,623501
1998-05-29,8.6586,8.6982,8.3684,8.4080,111101
1998-06-01,8.4937,8.5729,8.3289,8.4080,67301
1998-06-02,8.3289,8.5729,8.2827,8.5729,17100
1998-06-03,8.4937,8.6982,8.4937,8.6982,10001
1998-06-04,8.6586,9.0675,8.6124,8.9883,28901
1998-06-05,9.0279,9.0279,8.8630,8.9026,76500
1998-06-08,8.9422,9.1532,8.9422,9.1532,74201
1998-06-09,9.2323,10.1424,9.2323,10.1424,36101
1998-06-10,10.3072,10.3072,9.8918,9.8918,150401
1998-06-11,9.8126,9.9775,9.7269,9.8126,4200
1998-06-12,9.7269,9.7269,9.4367,9.5620,11100
1998-06-15,9.3972,9.4367,9.3972,9.3972,4301
1998-06-16,9.4829,10.1424,9.4829,10.0171,55500
1998-06-17,10.1424,10.5512,10.1424,10.3864,29700
1998-06-18,10.3864,10.3864,10.2215,10.2215,9300
1998-06-19,10.0566,10.0566,9.8126,9.8126,20700
