date,open,high,low,close,volume
1997-08-08,32.8260,33.4914,32.3824,32.8260,245500
1997-08-11,32.8260,33.0478,32.0541,32.7195,243600
1997-08-12,32.6042,32.8260,32.6042,32.8260,405500
1997-08-13,32.8260,33.2696,31.7170,33.2696,405700
1997-08-14,33.0478,33.1631,32.2759,32.7195,195600
1997-08-15,32.2759,32.6042,31.7170,32.0541,260500
1997-08-18,31.9388,32.1606,31.6105,32.0541,180600
1997-08-19,31.9388,32.0541,30.8298,32.0541,703300
1997-08-20,31.9388,32.1606,31.2734,31.6105,1029500
1997-08-21,31.4952,31.7170,31.1669,31.3887,1406500
1997-08-22,30.9451,31.3887,30.8298,31.3887,157300
1997-08-25,31.9388,32.7195,31.9388,32.6042,1698400
1997-08-26,33.0478,34.0503,32.8260,33.7131,589700
1997-08-27,33.7131,34.0503,33.3849,33.4914,716300
1997-08-28,33.4914,34.8221,33.2696,34.7157,1333100
1997-08-29,34.8221,35.4875,34.8221,35.4875,1840400
1997-09-02,35.4875,37.2619,35.2657,37.0401,1023700
1997-09-03,37.7055,37.9273,37.2619,37.8208,788200
1997-09-04,37.2619,39.3734,36.8183,39.0363,3477000
1997-09-05,39.0363,39.2581,38.8145,39.1516,907200
1997-09-08,39.0363,39.0363,38.7080,38.8145,728300
1997-09-09,38.7080,38.8145,37.9273,38.0426,669300
1997-09-10,37.9273,38.0426,37.4837,37.5990,329500
1997-09-11,37.2619,37.4837,37.0401,37.0401,221600
1997-09-12,37.0846,37.0846,36.8625,36.9780,85400
1997-09-15,37.2001,37.3067,36.4184,36.6405,228600
1997-09-16,36.8625,37.0846,36.5339,36.6405,348400
1997-09-17,36.5339,36.6405,35.6456,35.8677,285100
1997-09-18,35.8677,36.3118,35.7522,36.1963,459400
1997-09-19,35.9743,36.1963,35.7522,35.8677,137500
1997-09-22,35.5301,35.8677,35.0860,35.3081,188700
1997-09-23,35.0860,35.3081,34.1978,35.0860,450700
1997-09-24,35.2015,35.7522,35.0860,35.3081,552200
1997-09-25,35.4236,35.5301,35.2015,35.3081,274500
1997-09-26,35.4236,36.3118,35.3081,36.0897,273700
1997-09-29,36.3118,37.0846,36.1963,36.6405,234500
1997-09-30,36.8625,37.3067,36.4184,37.3067,277300
1997-10-01,37.2001,37.3067,36.6405,36.8625,227800
1997-10-02,36.7559,36.8625,36.5339,36.7559,116600
