date,open,high,low,close,volume
1993-04-28,5.8035,5.9625,5.7240,5.8035,7821000
1993-04-29,5.8035,5.9212,5.8035,5.9212,2118800
1993-04-30,5.9625,5.9625,5.8035,5.8448,536800
1993-05-03,5.8035,5.8448,5.7622,5.8448,509600
1993-05-04,5.8448,5.8448,5.6858,5.7622,787400
1993-05-05,5.7240,5.7622,5.6445,5.6445,747200
1993-05-06,5.6858,5.7240,5.6032,5.6032,392800
1993-05-07,5.6445,5.6858,5.6032,5.6445,180000
1993-05-10,5.6858,5.7622,5.6445,5.6445,269600
1993-05-11,5.6858,5.6858,5.6445,5.6858,109400
1993-05-12,5.6445,5.6445,5.5268,5.6032,110800
1993-05-13,5.6032,5.6032,5.5650,5.5650,171000
1993-05-14,5.5650,5.6445,5.5650,5.5650,166800
1993-05-17,5.5650,5.5650,5.4442,5.4855,132000
1993-05-18,5.4855,5.4855,5.0880,5.2470,534400
1993-05-19,5.3265,5.4442,5.3265,5.3678,203600
1993-05-20,5.2852,5.3265,5.0498,5.1675,1189000
1993-05-21,5.2088,5.2470,5.0880,5.2088,475600
1993-05-24,5.2470,5.2470,5.0880,5.1675,719200
1993-05-25,5.0880,5.1262,4.9672,5.0498,326600
1993-05-26,5.0880,5.2852,5.0880,5.2470,209200
1993-05-27,5.3265,5.4442,5.2470,5.4060,307800
1993-05-28,5.4855,5.6032,5.3678,5.5268,986400
1993-06-01,5.5650,5.5650,5.3678,5.4060,116800
1993-06-02,5.4060,5.5268,5.3678,5.5268,205200
1993-06-03,5.5268,5.5268,5.4060,5.4060,92000
1993-06-04,5.4442,5.4855,5.4060,5.4442,118200
1993-06-07,5.4060,5.5268,5.4060,5.4855,60000
1993-06-08,5.4855,5.4855,5.4060,5.4442,298200
1993-06-09,5.4442,5.4442,5.3678,5.3678,27400
1993-06-10,5.3678,5.4855,5.3678,5.4442,153600
1993-06-11,5.5268,5.6032,5.4442,5.6032,84200
1993-06-14,5.6858,5.7240,5.5650,5.6858,434000
1993-06-15,5.6445,5.8035,5.6032,5.6445,169600
1993-06-16,5.6445,5.7622,5.6445,5.6858,288200
1993-06-17,5.7240,5.7240,5.6032,5.6858,165400
1993-06-18,5.6858,5.7240,5.6032,5.6445,89400
1993-06-21,5.6032,5.6858,5.6032,5.6445,34200
1993-06-22,5.6858,5.7622,5.6032,5.6445,143000
1993-06-23,5.6445,5.7240,5.5650,5.5650,23600
1993-06-24,5.5650,5.7240,5.5650,5.6032,58200
1993-06-25,5.6032,5.8830,5.6032,5.8448,370000
