date,open,high,low,close,volume
1992-03-10,0.8487,0.8487,0.8487,0.8487,176400
1992-03-11,0.8487,0.8487,0.8487,0.8487,0
1992-03-12,0.8487,0.8487,0.8407,0.8487,10800
1992-03-13,0.8487,0.8487,0.8487,0.8487,0
1992-03-16,0.8487,0.8487,0.8487,0.8487,4800
1992-03-17,0.8407,0.8407,0.8407,0.8407,26400
1992-03-18,0.8407,0.8407,0.8407,0.8407,19200
1992-03-19,0.8407,0.8407,0.8407,0.8407,0
1992-03-20,0.8487,0.8487,0.8407,0.8407,7200
1992-03-23,0.8407,0.8407,0.8255,0.8255,96000
1992-03-24,0.8255,0.8255,0.8255,0.8255,1200
1992-03-25,0.8175,0.8255,0.8175,0.8255,64800
1992-03-26,0.8334,0.8334,0.8255,0.8334,34800
1992-03-27,0.8487,0.8487,0.8407,0.8407,64800
1992-03-30,0.8407,0.8407,0.8407,0.8407,19200
1992-03-31,0.8407,0.8487,0.8407,0.8487,78000
1992-04-01,0.8487,0.8487,0.8334,0.8407,72000
1992-04-02,0.8407,0.8407,0.8334,0.8334,8400
1992-04-03,0.8334,0.8334,0.8334,0.8334,57600
1992-04-06,0.8334,0.8334,0.8334,0.8334,25200
1992-04-07,0.8255,0.8255,0.8255,0.8255,12000
1992-04-08,0.8102,0.8102,0.7949,0.8022,66000
1992-04-09,0.8102,0.8102,0.8102,0.8102,4800
1992-04-10,0.8022,0.8022,0.8022,0.8022,26400
1992-04-13,0.8022,0.8102,0.8022,0.8102,3600
1992-04-14,0.8022,0.8022,0.8022,0.8022,6000
1992-04-15,0.8022,0.8022,0.7876,0.7876,19200
1992-04-16,0.7876,0.7876,0.7876,0.7876,7200
1992-04-20,0.7876,0.7876,0.7876,0.7876,42000
1992-04-21,0.7876,0.7876,0.7876,0.7876,19200
1992-04-22,0.7796,0.7796,0.7796,0.7796,6000
1992-04-23,0.7717,0.7717,0.7717,0.7717,16800
1992-04-24,0.7717,0.7717,0.7717,0.7717,6000
1992-04-27,0.7717,0.7717,0.7717,0.7717,12000
1992-04-28,0.7717,0.7717,0.7717,0.7717,1200
1992-04-29,0.7717,0.7717,0.7717,0.7717,9600
1992-04-30,0.7717,0.7717,0.7717,0.7717,27600
1992-05-01,0.7717,0.7796,0.7717,0.7796,15600
1992-05-04,0.7717,0.7796,0.7717,0.7796,26400
1992-05-05,0.7717,0.7717,0.7717,0.7717,12000
1992-05-06,0.7717,0.7717,0.7643,0.7643,32400
1992-05-07,0.7717,0.7717,0.7717,0.7717,1200
1992-05-08,0.7643,0.7643,0.7643,0.7643,20400
1992-05-11,0.7570,0.7570,0.7570,0.7570,2400
1992-05-12,0.7570,0.7570,0.7490,0.7490,96000
1992-05-13,0.7570,0.7570,0.7490,0.7490,26400
1992-05-14,0.7490,0.7490,0.7490,0.7490,0
1992-05-15,0.7490,0.7490,0.7490,0.7490,31200
1992-05-18,0.7490,0.7490,0.7417,0.7490,37200
1992-05-19,0.7490,0.7490,0.7490,0.7490,8400
1992-05-20,0.7490,0.7490,0.7490,0.7490,0
1992-05-21,0.7570,0.7570,0.7570,0.7570,433200
1992-05-22,0.7490,0.7490,0.7490,0.7490,21600
1992-05-26,0.7490,0.7490,0.7490,0.7490,16800
1992-05-27,0.7490,0.7490,0.7417,0.7417,13200
1992-05-28,0.7417,0.7417,0.7417,0.7417,10800
1992-05-29,0.7417,0.7417,0.7417,0.7417,2400
1992-06-01,0.7417,0.7417,0.7417,0.7417,6000
1992-06-02,0.7337,0.7337,0.7337,0.7337,8400
1992-06-03,0.7337,0.7337,0.7337,0.7337,21600
1992-06-04,0.7337,0.7337,0.7337,0.7337,51600
1992-06-05,0.7337,0.7337,0.7337,0.7337,2400
1992-06-08,0.7337,0.7337,0.7337,0.7337,14400
1992-06-09,0.7337,0.7337,0.7337,0.7337,6000
1992-06-10,0.7337,0.7337,0.7337,0.7337,3600
1992-06-11,0.7337,0.7337,0.7337,0.7337,0
1992-06-12,0.7337,0.7337,0.7337,0.7337,0
1992-06-15,0.7337,0.7337,0.7337,0.7337,2400
1992-06-16,0.7258,0.7258,0.7258,0.7258,9600
1992-06-17,0.7258,0.7258,0.7258,0.7258,1200
1992-06-18,0.7258,0.7258,0.7258,0.7258,10800
1992-06-19,0.7337,0.7337,0.7258,0.7258,13200
1992-06-22,0.7185,0.7258,0.7185,0.7258,10800
1992-06-23,0.7185,0.7185,0.7185,0.7185,15600
1992-06-24,0.7185,0.7258,0.7185,0.7258,4800
1992-06-25,0.7258,0.7258,0.7185,0.7185,22800
1992-06-26,0.7185,0.7185,0.7185,0.7185,0
1992-06-29,0.7032,0.7032,0.7032,0.7032,55200
1992-06-30,0.7032,0.7032,0.7032,0.7032,51600
1992-07-01,0.7032,0.7032,0.7032,0.7032,2400
1992-07-02,0.7032,0.7032,0.7032,0.7032,0
1992-07-06,0.6958,0.7105,0.6958,0.7032,100800
1992-07-07,0.6958,0.6958,0.6958,0.6958,14400
1992-07-08,0.6958,0.6958,0.6958,0.6958,2400
1992-07-09,0.6958,0.6958,0.6879,0.6879,141600
1992-07-10,0.6879,0.6879,0.6799,0.6799,44400
1992-07-13,0.6799,0.6799,0.6799,0.6799,3600
1992-07-14,0.6500,0.6726,0.6500,0.6726,172800
1992-07-15,0.6726,0.6726,0.6726,0.6726,18000
1992-07-16,0.6726,0.6726,0.6726,0.6726,7200
1992-07-17,0.6726,0.6726,0.6726,0.6726,0
1992-07-20,0.6726,0.6726,0.6726,0.6726,2400
1992-07-21,0.6726,0.6726,0.6726,0.6726,0
1992-07-22,0.6653,0.6653,0.6653,0.6653,3600
1992-07-23,0.6653,0.6653,0.6653,0.6653,25200
1992-07-24,0.6726,0.6726,0.6653,0.6653,2400
1992-07-27,0.6573,0.6573,0.6573,0.6573,26400
1992-07-28,0.6573,0.6573,0.6573,0.6573,19200
