date,open,high,low,close,volume
1987-12-30,0.2226,0.2317,0.2226,0.2257,180453
1987-12-31,0.2226,0.2286,0.2195,0.2257,506248
1988-01-04,0.2317,0.2346,0.2317,0.2346,164256
1988-01-05,0.2375,0.2495,0.2375,0.2495,806106
1988-01-06,0.2467,0.2558,0.2467,0.2558,273307
1988-01-07,0.2527,0.2527,0.2527,0.2527,154
1988-01-08,0.2558,0.2618,0.2435,0.2435,143112
1988-01-11,0.2406,0.2435,0.2375,0.2375,77861
1988-01-12,0.2406,0.2406,0.2317,0.2346,364648
1988-01-13,0.2375,0.2406,0.2375,0.2406,50540
1988-01-14,0.2406,0.2406,0.2375,0.2375,195754
1988-01-15,0.2406,0.2435,0.2406,0.2406,103208
1988-01-18,0.2406,0.2467,0.2406,0.2435,75759
1988-01-19,0.2467,0.2467,0.2467,0.2467,154
1988-01-20,0.2406,0.2406,0.2406,0.2406,153158
1988-01-21,0.2435,0.2435,0.2406,0.2406,31652
1988-01-22,0.2435,0.2467,0.2435,0.2467,4203
1988-01-25,0.2435,0.2495,0.2435,0.2495,10944
1988-01-26,0.2527,0.2527,0.2495,0.2527,51899
1988-01-27,0.2495,0.2527,0.2495,0.2527,10944
1988-01-28,0.2527,0.2587,0.2527,0.2587,77861
1988-01-29,0.2558,0.2587,0.2527,0.2558,405911
1988-02-01,0.2587,0.2587,0.2587,0.2587,40647
1988-02-02,0.2587,0.2587,0.2587,0.2587,50540
1988-02-03,0.2587,0.2618,0.2587,0.2587,144009
1988-02-04,0.2558,0.2587,0.2558,0.2587,34650
1988-02-05,0.2618,0.2618,0.2527,0.2558,133809
1988-02-08,0.2527,0.2587,0.2527,0.2558,16351
1988-02-09,0.2558,0.2558,0.2527,0.2527,24450
1988-02-10,0.2495,0.2527,0.2495,0.2527,16351
1988-02-11,0.2495,0.2495,0.2467,0.2467,34650
1988-02-12,0.2467,0.2467,0.2406,0.2435,24450
1988-02-16,0.2435,0.2435,0.2346,0.2375,301063
1988-02-17,0.2375,0.2375,0.2375,0.2375,136961
1988-02-18,0.2375,0.2375,0.2346,0.2346,143112
1988-02-19,0.2375,0.2435,0.2375,0.2406,943656
1988-02-22,0.2406,0.2406,0.2375,0.2406,54897
1988-02-23,0.2375,0.2435,0.2317,0.2435,57588
1988-02-24,0.2467,0.2467,0.2406,0.2406,136961
1988-02-25,0.2406,0.2435,0.2406,0.2406,122839
1988-02-26,0.2435,0.2435,0.2406,0.2406,6305
1988-02-29,0.2406,0.2467,0.2406,0.2467,168305
1988-03-01,0.2527,0.2558,0.2527,0.2558,93161
1988-03-02,0.2587,0.2618,0.2558,0.2558,86395
1988-03-03,0.2587,0.2676,0.2587,0.2676,81910
1988-03-04,0.2676,0.2767,0.2647,0.2736,68096
1988-03-07,0.2707,0.2736,0.2676,0.2736,54897
1988-03-08,0.2717,0.2746,0.2717,0.2717,86395
1988-03-09,0.2746,0.2806,0.2746,0.2777,303754
1988-03-10,0.2777,0.2777,0.2717,0.2717,154799
1988-03-11,0.2685,0.2717,0.2656,0.2717,180453
1988-03-14,0.2656,0.2746,0.2656,0.2746,537438
1988-03-15,0.2746,0.2746,0.2717,0.2746,1554009
1988-03-16,0.2777,0.2777,0.2746,0.2777,93161
1988-03-17,0.2777,0.3019,0.2777,0.2990,692698
1988-03-18,0.2990,0.2990,0.2929,0.2929,77861
1988-03-21,0.2958,0.2958,0.2958,0.2958,257109
1988-03-22,0.2929,0.2929,0.2869,0.2869,71095
1988-03-23,0.2838,0.2898,0.2806,0.2898,123454
1988-03-24,0.2898,0.2898,0.2869,0.2869,75759
1988-03-25,0.2838,0.2838,0.2777,0.2777,226047
1988-03-28,0.2746,0.2746,0.2685,0.2685,86395
1988-03-29,0.2717,0.2717,0.2685,0.2717,75759
1988-03-30,0.2656,0.2685,0.2656,0.2685,57588
1988-03-31,0.2627,0.2685,0.2627,0.2685,127504
1988-04-04,0.2685,0.2717,0.2656,0.2717,60894
1988-04-05,0.2717,0.2746,0.2685,0.2746,109359
1988-04-06,0.2717,0.2746,0.2717,0.2746,57588
1988-04-07,0.2746,0.2746,0.2746,0.2746,6305
1988-04-08,0.2717,0.2777,0.2717,0.2777,122839
1988-04-11,0.2746,0.2746,0.2717,0.2746,45440
1988-04-12,0.2717,0.2746,0.2717,0.2717,31652
1988-04-13,0.2746,0.2746,0.2717,0.2746,40647
1988-04-14,0.2717,0.2717,0.2627,0.2627,31652
1988-04-15,0.2627,0.2685,0.2627,0.2685,31652
1988-04-18,0.2656,0.2656,0.2596,0.2627,127504
1988-04-19,0.2627,0.2627,0.2627,0.2627,0
1988-04-20,0.2596,0.2596,0.2596,0.2596,9457
1988-04-21,0.2627,0.2627,0.2567,0.2567,91341
1988-04-22,0.2536,0.2536,0.2475,0.2475,50540
1988-04-25,0.2444,0.2475,0.2415,0.2475,41391
1988-04-26,0.2504,0.2536,0.2504,0.2504,16351
1988-04-27,0.2475,0.2475,0.2444,0.2444,170253
1988-04-28,0.2475,0.2475,0.2475,0.2475,21144
1988-04-29,0.2475,0.2504,0.2475,0.2504,40647
1988-05-02,0.2504,0.2504,0.2504,0.2504,0
1988-05-03,0.2504,0.2504,0.2504,0.2504,154
1988-05-04,0.2475,0.2504,0.2415,0.2415,1138949
1988-05-05,0.2444,0.2444,0.2415,0.2444,10944
1988-05-06,0.2444,0.2475,0.2444,0.2475,24450
1988-05-09,0.2444,0.2444,0.2415,0.2415,31652
1988-05-10,0.2415,0.2475,0.2415,0.2415,14096
1988-05-11,0.2384,0.2384,0.2384,0.2384,27141
1988-05-12,0.2384,0.2384,0.2384,0.2384,0
1988-05-13,0.2415,0.2444,0.2415,0.2444,6305
1988-05-16,0.2444,0.2444,0.2444,0.2444,4203
1988-05-17,0.2475,0.2475,0.2326,0.2355,93161
1988-05-18,0.2326,0.2326,0.2294,0.2294,153158
1988-05-19,0.2294,0.2326,0.2294,0.2294,216000
1988-05-20,0.2326,0.2326,0.2326,0.2326,154
1988-05-23,0.2326,0.2326,0.2326,0.2326,10944
1988-05-24,0.2355,0.2355,0.2355,0.2355,1039047
1988-05-25,0.2384,0.2384,0.2355,0.2355,93161
1988-05-26,0.2355,0.2355,0.2355,0.2355,0
1988-05-27,0.2384,0.2384,0.2355,0.2355,10944
1988-05-31,0.2355,0.2384,0.2355,0.2384,20247
1988-06-01,0.2384,0.2415,0.2355,0.2415,14096
1988-06-02,0.2415,0.2504,0.2415,0.2504,96006
1988-06-03,0.2475,0.2504,0.2475,0.2504,6305
1988-06-06,0.2475,0.2475,0.2444,0.2475,36598
1988-06-07,0.2444,0.2444,0.2415,0.2415,31652
1988-06-08,0.2444,0.2504,0.2415,0.2504,57588
1988-06-09,0.2504,0.2504,0.2504,0.2504,0
1988-06-10,0.2504,0.2504,0.2504,0.2504,0
1988-06-13,0.2536,0.2567,0.2504,0.2504,45440
1988-06-14,0.2485,0.2514,0.2453,0.2485,10944
1988-06-15,0.2485,0.2485,0.2485,0.2485,0
1988-06-16,0.2485,0.2485,0.2424,0.2424,31652
1988-06-17,0.2393,0.2393,0.2393,0.2393,4203
1988-06-20,0.2424,0.2424,0.2424,0.2424,75759
1988-06-21,0.2393,0.2424,0.2393,0.2424,24450
1988-06-22,0.2424,0.2485,0.2424,0.2485,191243
1988-06-23,0.2453,0.2453,0.2424,0.2424,16351
1988-06-24,0.2424,0.2424,0.2393,0.2393,50540
1988-06-27,0.2424,0.2485,0.2424,0.2424,216000
1988-06-28,0.2393,0.2424,0.2393,0.2424,132450
1988-06-29,0.2424,0.2424,0.2393,0.2393,51899
1988-06-30,0.2393,0.2393,0.2335,0.2364,54897
1988-07-01,0.2335,0.2364,0.2335,0.2364,54897
1988-07-05,0.2364,0.2364,0.2303,0.2364,610788
1988-07-06,0.2364,0.2364,0.2335,0.2335,21144
1988-07-07,0.2335,0.2364,0.2335,0.2364,86395
1988-07-08,0.2364,0.2364,0.2364,0.2364,65713
1988-07-11,0.2393,0.2424,0.2393,0.2424,88343
1988-07-12,0.2424,0.2424,0.2424,0.2424,24450
1988-07-13,0.2424,0.2424,0.2424,0.2424,27141
1988-07-14,0.2424,0.2424,0.2393,0.2393,6305
1988-07-15,0.2393,0.2424,0.2364,0.2424,82346
1988-07-18,0.2393,0.2424,0.2393,0.2393,34650
1988-07-19,0.2393,0.2393,0.2364,0.2364,9457
1988-07-20,0.2335,0.2364,0.2335,0.2364,24450
1988-07-21,0.2364,0.2364,0.2364,0.2364,50540
1988-07-22,0.2364,0.2364,0.2364,0.2364,154
1988-07-25,0.2335,0.2364,0.2335,0.2364,30293
1988-07-26,0.2393,0.2424,0.2393,0.2424,102157
1988-07-27,0.2393,0.2393,0.2335,0.2393,112203
1988-07-28,0.2364,0.2364,0.2335,0.2364,159899
1988-07-29,0.2393,0.2424,0.2393,0.2424,72889
1988-08-01,0.2424,0.2453,0.2393,0.2424,86395
1988-08-02,0.2393,0.2424,0.2364,0.2424,132450
1988-08-03,0.2424,0.2424,0.2393,0.2424,50540
1988-08-04,0.2393,0.2453,0.2393,0.2453,47388
1988-08-05,0.2453,0.2453,0.2453,0.2453,154
1988-08-08,0.2485,0.2485,0.2453,0.2453,16351
1988-08-09,0.2453,0.2453,0.2424,0.2424,34650
1988-08-10,0.2393,0.2393,0.2393,0.2393,50540
1988-08-11,0.2364,0.2393,0.2303,0.2303,93161
1988-08-12,0.2303,0.2364,0.2303,0.2335,132450
1988-08-15,0.2335,0.2335,0.2335,0.2335,154
1988-08-16,0.2335,0.2393,0.2335,0.2393,10944
1988-08-17,0.2393,0.2393,0.2364,0.2364,36598
1988-08-18,0.2335,0.2364,0.2335,0.2364,34650
1988-08-19,0.2364,0.2364,0.2364,0.2364,10944
1988-08-22,0.2364,0.2364,0.2335,0.2335,16351
1988-08-23,0.2303,0.2335,0.2303,0.2303,31652
1988-08-24,0.2303,0.2303,0.2303,0.2303,31652
1988-08-25,0.2303,0.2303,0.2303,0.2303,0
