date,open,high,low,close,volume
1997-06-12,26.2076,26.9173,25.1880,25.6938,19963800
1997-06-13,26.1016,26.8194,25.6938,26.4116,3661100
1997-06-16,26.3055,26.5094,24.9841,25.1880,2481700
1997-06-17,24.5763,24.6742,23.7606,24.2663,2283800
1997-06-18,23.9645,24.2663,22.9449,23.1489,1749900
1997-06-19,23.2467,24.1685,23.0428,23.9645,1269900
1997-06-20,24.0624,24.6742,23.9645,24.0624,859100
1997-06-23,24.2663,24.3724,22.9449,23.0428,725000
1997-06-24,23.2467,24.1685,22.1293,23.5567,1212100
1997-06-25,23.5567,23.7606,22.9449,23.4017,726600
1997-06-26,22.9449,23.2467,22.5371,23.0428,534500
1997-06-27,22.9449,23.1489,22.1782,22.2271,441500
1997-06-30,22.1293,22.5371,21.4115,22.3332,796900
1997-07-01,21.8193,22.2761,21.6154,21.9743,621300
1997-07-02,21.9743,22.7900,21.7214,22.6839,818700
1997-07-03,22.4800,22.9939,21.8193,22.8878,696800
1997-07-07,23.2467,23.3528,22.0232,22.1293,1180500
1997-07-08,22.2271,22.5860,22.1293,22.5860,595000
1997-07-09,22.4311,22.5860,21.5175,21.6643,958000
1997-07-10,21.3625,21.4604,20.4979,20.4979,1069200
1997-07-11,20.7508,21.0036,20.7018,20.7508,674600
1997-07-14,21.3625,21.4115,20.7508,20.9058,471200
1997-07-15,20.7018,20.8487,20.6447,20.7018,513000
1997-07-16,20.7018,20.8487,19.5762,19.7312,899600
1997-07-17,19.5762,21.1586,19.5273,21.1097,1286200
1997-07-18,21.3136,21.6154,20.6447,21.1097,346200
1997-07-21,20.7997,21.0526,20.3919,20.7997,216600
1997-07-22,20.7508,21.1097,20.4979,20.5469,351200
1997-07-23,21.2076,21.3136,20.9058,21.1097,507100
1997-07-24,20.3919,21.0036,19.7801,20.0901,412800
1997-07-25,20.2940,20.3919,19.7312,20.0901,253000
1997-07-28,20.0901,20.3429,19.8862,20.1880,953700
1997-07-29,21.1097,21.7704,20.7997,21.7704,1028100
1997-07-30,21.8682,22.7900,21.7704,22.6350,801700
1997-07-31,22.7410,22.8389,21.7704,21.8682,458400
1997-08-01,21.4604,22.0232,21.4115,21.7214,250100
1997-08-04,21.5175,22.7410,21.4115,22.5371,629700
1997-08-05,22.9449,23.1978,21.6154,22.0722,1157400
1997-08-06,22.0722,22.1293,21.4115,21.6154,350500
1997-08-07,21.6154,21.7704,21.0036,21.0036,456200
1997-08-08,20.7997,20.9547,20.1880,20.5958,576100
1997-08-11,20.7018,20.7018,19.9840,20.1880,370400
1997-08-12,20.3919,20.7508,19.8291,19.8291,910300
1997-08-13,20.3429,20.5469,19.4212,19.8862,416500
1997-08-14,20.0901,20.1880,19.5273,19.5762,309000
1997-08-15,19.5762,19.5762,18.6626,18.8095,1385300
1997-08-18,19.2173,19.3233,18.7116,19.1684,551500
1997-08-19,19.0705,19.7801,19.0705,19.7801,380800
1997-08-20,20.2940,20.9058,20.1390,20.9058,621500
1997-08-21,20.7018,20.8487,19.9840,20.1880,479600
1997-08-22,19.6822,20.0901,19.5762,19.9840,408100
1997-08-25,20.3919,20.4408,19.7312,19.8291,230200
1997-08-26,19.7801,20.3429,19.6822,20.1390,296300
1997-08-27,20.2940,20.3919,19.7801,19.9840,619500
1997-08-28,19.9840,20.7018,19.8862,20.6447,492400
