date,open,high,low,close,volume
1995-06-02,0.6499,0.6499,0.5687,0.5822,14915200
1995-06-05,0.5822,0.5893,0.5519,0.5552,4787200
1995-06-06,0.5687,0.5752,0.5552,0.5552,4769600
1995-06-07,0.5552,0.5552,0.5281,0.5552,4793600
1995-06-08,0.5552,0.6093,0.5416,0.6093,7235200
1995-06-09,0.6093,0.6229,0.5958,0.6093,4771200
1995-06-12,0.6229,0.6229,0.5958,0.6229,4409600
1995-06-13,0.6229,0.6229,0.5958,0.5958,2212800
1995-06-14,0.6093,0.6093,0.5958,0.5958,4632000
1995-06-15,0.6093,0.6093,0.5958,0.5990,896000
1995-06-16,0.5958,0.6093,0.5958,0.5958,388800
1995-06-19,0.6093,0.6093,0.5958,0.5990,374400
1995-06-20,0.5958,0.6093,0.5958,0.5958,201600
1995-06-21,0.5958,0.6093,0.5958,0.6093,481600
1995-06-22,0.6093,0.6093,0.5958,0.6093,5576000
1995-06-23,0.6001,0.6499,0.5958,0.6499,2844800
1995-06-26,0.6093,0.6499,0.6093,0.6229,825600
1995-06-27,0.6499,0.6499,0.6093,0.6499,1020800
1995-06-28,0.6093,0.6499,0.6093,0.6499,193600
1995-06-29,0.6499,0.6499,0.6093,0.6499,104000
1995-06-30,0.6499,0.6499,0.6499,0.6499,14400
1995-07-03,0.6499,0.6499,0.6499,0.6499,32000
1995-07-05,0.6229,0.7041,0.6229,0.6770,417600
1995-07-06,0.6770,0.7176,0.6770,0.7176,691200
1995-07-07,0.6906,0.7718,0.6906,0.7447,1740800
1995-07-10,0.7583,0.7853,0.7447,0.7583,1068800
1995-07-11,0.7853,0.7853,0.7041,0.7041,432000
1995-07-12,0.7312,0.7583,0.7312,0.7583,708800
1995-07-13,0.7583,0.7583,0.7312,0.7583,337600
1995-07-14,0.7583,0.7718,0.7583,0.7718,513600
1995-07-17,0.7447,0.7718,0.7447,0.7718,60800
1995-07-18,0.7718,0.7718,0.7176,0.7583,192000
1995-07-19,0.7583,0.7583,0.6906,0.7176,332800
1995-07-20,0.7176,0.7176,0.7176,0.7176,0
1995-07-21,0.7176,0.7176,0.6906,0.6938,176000
1995-07-24,0.6770,0.7176,0.6770,0.7176,3200
1995-07-25,0.7176,0.7176,0.6906,0.6906,46400
1995-07-26,0.7176,0.7312,0.6906,0.7312,187200
1995-07-27,0.7312,0.7718,0.7176,0.7718,979200
1995-07-28,0.7718,0.7853,0.7718,0.7853,9600
1995-07-31,0.7447,0.7853,0.7447,0.7447,89600
1995-08-01,0.7853,0.7853,0.7853,0.7853,9600
1995-08-02,0.7853,0.7853,0.7447,0.7447,38400
1995-08-03,0.7447,0.7853,0.7447,0.7853,59200
1995-08-04,0.7447,0.7447,0.7447,0.7447,11200
1995-08-07,0.7718,0.7718,0.7447,0.7447,14400
1995-08-08,0.7447,0.7718,0.7447,0.7718,216000
1995-08-09,0.7718,0.7718,0.7447,0.7447,182400
1995-08-10,0.7718,0.7718,0.7718,0.7718,9600
1995-08-11,0.7447,0.7718,0.7447,0.7718,8000
1995-08-14,0.7718,0.7718,0.7447,0.7615,107200
1995-08-15,0.7718,0.7718,0.7718,0.7718,4800
1995-08-16,0.7718,0.7718,0.7718,0.7718,8000
1995-08-17,0.7718,0.7718,0.7447,0.7718,99200
1995-08-18,0.7447,0.7718,0.7447,0.7447,257600
1995-08-21,0.7718,0.7718,0.7583,0.7583,401600
1995-08-22,0.8124,0.8124,0.7718,0.8124,2531200
1995-08-23,0.8124,0.8124,0.7918,0.8124,928000
1995-08-24,0.8124,0.8124,0.7718,0.7718,9324800
1995-08-25,0.8124,0.8124,0.7718,0.8124,86400
1995-08-28,0.8124,0.8124,0.7718,0.7718,65600
1995-08-29,0.8124,0.8124,0.7718,0.8124,784000
1995-08-30,0.7718,0.8124,0.7718,0.8124,33600
1995-08-31,0.8124,0.8124,0.8124,0.8124,27200
1995-09-01,0.8124,0.8124,0.8124,0.8124,75200
1995-09-05,0.7718,0.8124,0.7718,0.8124,38400
1995-09-06,0.8124,0.8395,0.7718,0.8395,1896000
1995-09-07,0.7989,0.8530,0.7989,0.8530,769600
1995-09-08,0.8530,0.8666,0.8395,0.8666,2222400
1995-09-11,0.8666,0.8801,0.8530,0.8801,1158400
1995-09-12,0.8395,0.8937,0.8395,0.8937,427200
1995-09-13,0.8801,0.8801,0.8801,0.8801,6400
1995-09-14,0.8801,0.9072,0.8530,0.9072,452800
1995-09-15,0.9072,0.9072,0.8666,0.9072,51200
1995-09-18,0.9072,0.9072,0.8666,0.9072,30400
1995-09-19,0.9072,0.9478,0.8666,0.9478,2232000
1995-09-20,0.9207,0.9478,0.9207,0.9478,4377600
1995-09-21,0.9207,0.9749,0.9207,0.9749,132800
1995-09-22,0.9207,0.9749,0.9207,0.9749,24000
1995-09-25,0.9207,0.9749,0.9207,0.9614,80000
1995-09-26,0.9749,0.9749,0.9207,0.9614,80000
1995-09-27,0.9207,0.9207,0.9207,0.9207,152000
1995-09-28,0.9207,0.9614,0.9207,0.9272,284800
1995-09-29,0.9343,0.9614,0.9343,0.9614,209600
1995-10-02,0.9207,0.9614,0.9207,0.9614,17600
1995-10-03,0.9478,0.9614,0.9207,0.9207,3403200
1995-10-04,0.9207,0.9272,0.8937,0.8937,5144000
1995-10-05,0.8937,0.9072,0.8530,0.8530,334400
1995-10-06,0.8530,0.8801,0.8260,0.8395,329600
1995-10-09,0.8801,0.8801,0.8124,0.8395,129600
1995-10-10,0.7989,0.8395,0.7718,0.7853,379200
1995-10-11,0.7583,0.7989,0.7583,0.7788,163200
1995-10-12,0.7989,0.7989,0.7648,0.7788,206400
1995-10-13,0.7989,0.7989,0.7447,0.7447,620800
1995-10-16,0.7853,0.7853,0.7447,0.7447,846400
1995-10-17,0.7853,0.7853,0.7447,0.7447,641600
1995-10-18,0.7718,0.7853,0.7648,0.7648,892800
1995-10-19,0.7853,0.7853,0.7583,0.7853,1720000
1995-10-20,0.7853,0.7853,0.7853,0.7853,20800
1995-10-23,0.7718,0.8124,0.7583,0.8124,30400
1995-10-24,0.8124,0.8666,0.7853,0.8666,411200
1995-10-25,0.8666,0.8801,0.8395,0.8801,116800
1995-10-26,0.8395,0.8666,0.8395,0.8666,17600
1995-10-27,0.8395,0.8395,0.8395,0.8395,64000
1995-10-30,0.8260,0.8260,0.8260,0.8260,11200
1995-10-31,0.8124,0.8124,0.8124,0.8124,32000
1995-11-01,0.8124,0.8666,0.8124,0.8666,107200
1995-11-02,0.8460,0.8460,0.8124,0.8124,608000
1995-11-03,0.8666,0.8666,0.8260,0.8395,57600
1995-11-06,0.8395,0.8666,0.8260,0.8666,3225600
1995-11-07,0.8530,0.8666,0.8530,0.8666,99200
1995-11-08,0.8666,0.8666,0.8666,0.8666,83200
1995-11-09,0.8124,0.8124,0.8124,0.8124,3200
1995-11-10,0.8666,0.8666,0.8666,0.8666,3200
1995-11-13,0.8124,0.8124,0.8124,0.8124,30400
1995-11-14,0.8666,0.8666,0.8124,0.8124,36800
1995-11-15,0.8124,0.8124,0.8124,0.8124,1600
